epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu
1,0.012048192771084338,0.01195219123505976,0.012244897959183673,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010526315789473684,0.011737089201877934,0.011627906976744186,0.015873015873015872,4.6382759771725794,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.015785975407111998,0.015453639082751745,0.015952143569292122,0.015952143569292122,0.03958333333333333,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014471057884231538,0.016442451420029897,0.015299026425591099,0.01415270018621974,0.02040816326530612,4.626036056057089,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
2,0.012048192771084338,0.01195219123505976,0.012244897959183673,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010526315789473684,0.011737089201877934,0.011627906976744186,0.015873015873015872,4.631208318517124,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,4.580880689636818,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
3,0.012048192771084338,0.01195219123505976,0.012244897959183673,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01838235294117647,0.008421052631578947,0.014084507042253521,0.011627906976744186,0.0,4.646448287725555,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.015952143569292122,0.015952143569292122,0.016450648055832504,0.015453639082751745,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,4.567497580500685,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
4,0.00892458723784025,0.009296148738379814,0.00816326530612245,0.009296148738379814,0.02976190476190476,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.011029411764705883,0.0077192982456140355,0.00782472613458529,0.00904392764857881,0.015873015873015872,4.612824616608797,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.009970089730807577,0.010468594217347957,0.010468594217347957,0.00897308075772682,0.025,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010479041916167664,0.009715994020926755,0.011126564673157162,0.00968342644320298,0.008503401360544218,4.549490809797171,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
5,0.0107095046854083,0.010624169986719787,0.010884353741496598,0.010624169986719787,0.03125,0.0,0.007575757575757576,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013480392156862746,0.009122807017543859,0.008607198748043818,0.014211886304909561,0.010582010582010581,4.562139998797273,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.016450648055832504,0.01794616151545364,0.013459621136590228,0.01794616151545364,0.03875,0.0,0.00625,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.015968063872255488,0.01669157947184853,0.01808066759388039,0.01601489757914339,0.01445578231292517,4.493909020010282,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
6,0.03435966086568496,0.03054448871181939,0.0380952380952381,0.034528552456839307,0.08333333333333333,0.0,0.05303030303030303,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03431372549019608,0.0343859649122807,0.035211267605633804,0.03229974160206718,0.037037037037037035,4.418775743163627,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.03622465935526753,0.034396809571286144,0.03738783649052842,0.036889332003988036,0.07291666666666667,0.0,0.04479166666666667,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03293413173652695,0.037867463876432486,0.04265183124710246,0.02309124767225326,0.05442176870748299,4.362536089647723,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
7,0.02900490852298081,0.027888446215139442,0.029931972789115645,0.029216467463479414,0.08035714285714286,0.01532567049808429,0.007575757575757576,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.022058823529411766,0.03298245614035088,0.023474178403755867,0.03229974160206718,0.05291005291005291,4.245852904892138,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.044533067464273844,0.0423728813559322,0.045862412761714856,0.045363908275174475,0.09833333333333333,0.02710027100271003,0.0125,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04341317365269461,0.04509217737917289,0.039406583217431616,0.03761638733705773,0.06972789115646258,4.18027342938632,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
8,0.03480589022757698,0.034528552456839307,0.031292517006802724,0.03851261620185923,0.09375,0.007662835249042145,0.027777777777777776,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.030637254901960783,0.037192982456140354,0.028951486697965573,0.04392764857881137,0.037037037037037035,4.086615967995245,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.05167829843801928,0.04935194416749751,0.05084745762711865,0.054835493519441676,0.11958333333333333,0.013550135501355014,0.014583333333333334,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04940119760479042,0.05281514698555057,0.0458970792767733,0.047672253258845436,0.07142857142857142,4.015792872034937,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
9,0.04462293618920125,0.049136786188579015,0.04353741496598639,0.041168658698539175,0.11011904761904762,0.0,0.04040404040404041,0.0,0.016835016835016835,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.041666666666666664,0.04631578947368421,0.03990610328638498,0.050387596899224806,0.05291005291005291,3.996337863389321,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.058823529411764705,0.05682951146560319,0.058823529411764705,0.06081754735792622,0.13125,0.0,0.03125,0.0,0.008426966292134831,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0593812375249501,0.058545092177379174,0.05099675475197033,0.0521415270018622,0.08843537414965986,3.9131621452374645,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
10,0.05176260597947345,0.06241699867197875,0.044897959183673466,0.04780876494023904,0.11011904761904762,0.05747126436781609,0.0,0.0,0.020202020202020204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.049019607843137254,0.05333333333333334,0.04381846635367762,0.06201550387596899,0.06349206349206349,3.937009240303227,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.0651379195746095,0.06281156530408774,0.06480558325024925,0.06779661016949153,0.13625,0.05420054200542006,0.013541666666666667,0.0,0.011235955056179775,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06636726546906188,0.0645241654210264,0.0584144645340751,0.05847299813780261,0.09268707482993198,3.8560465251381273,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
