epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu
1,0.012048192771084338,0.01195219123505976,0.012244897959183673,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.014705882352941176,0.010526315789473684,0.011737089201877934,0.011627906976744186,0.015873015873015872,3.117305648374749,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,3.0778831514895417,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
2,0.012048192771084338,0.01195219123505976,0.012244897959183673,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.014705882352941176,0.010526315789473684,0.011737089201877934,0.011627906976744186,0.015873015873015872,3.1340144377422887,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,3.049711441034968,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
3,0.014725568942436412,0.014608233731739707,0.013605442176870748,0.01593625498007968,0.049107142857142856,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.01715686274509804,0.013333333333333334,0.013302034428794992,0.016795865633074936,0.015873015873015872,3.106758522806504,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.016450648055832504,0.016450648055832504,0.015952143569292122,0.01694915254237288,0.04125,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.015469061876247504,0.016940707523667164,0.016226240148354196,0.0148975791433892,0.02040816326530612,3.03593435189224,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
4,0.013386880856760375,0.013280212483399735,0.013605442176870748,0.013280212483399735,0.044642857142857144,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.014705882352941176,0.01263157894736842,0.011737089201877934,0.015503875968992248,0.015873015873015872,3.1121500433156237,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,3.024898956288686,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
5,0.01249442213297635,0.01195219123505976,0.013605442176870748,0.01195219123505976,0.041666666666666664,0.0,0.0,0.0,0.0,0.30522088353413657,0.30278884462151395,0.308843537414966,0.3041168658698539,1.0,0.0,0.0,0.0,0.020202020202020204,0.3639705882352941,0.27157894736842103,0.29577464788732394,0.29069767441860467,0.42857142857142855,0.01838235294117647,0.009122807017543859,0.014084507042253521,0.012919896640826873,0.0,3.0954011357931726,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.026254569624459954,0.025423728813559324,0.02991026919242273,0.023429710867397806,0.06583333333333333,0.0,0.0,0.0,0.0,0.40079760717846463,0.39980059820538383,0.40079760717846463,0.4017946161515454,0.9995833333333334,0.0,0.0,0.0,0.012172284644194757,0.37574850299401197,0.4133034379671151,0.38340287436254056,0.36685288640595903,0.5102040816326531,0.029940119760479042,0.024414549078226207,0.02920723226703755,0.020484171322160148,0.034013605442176874,3.001283401585608,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
6,0.026327532351628737,0.029216467463479414,0.02585034013605442,0.02390438247011952,0.07291666666666667,0.0,0.025252525252525252,0.0,0.0,0.3404730031236055,0.34130146082337315,0.3401360544217687,0.3399734395750332,0.9895833333333334,0.0,0.0,0.0,0.16498316498316498,0.3762254901960784,0.32,0.31846635367762127,0.32299741602067183,0.5608465608465608,0.025735294117647058,0.02666666666666667,0.02269170579029734,0.028423772609819122,0.042328042328042326,3.062688389190442,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.032402791625124626,0.034396809571286144,0.028913260219341975,0.03389830508474576,0.075,0.0,0.015625,0.0,0.0,0.4109338650714523,0.4132602193419741,0.40628115653040875,0.4132602193419741,0.98,0.0,0.0,0.0,0.11329588014981273,0.3932135728542914,0.4197807673143996,0.38386648122392214,0.38472998137802605,0.5204081632653061,0.027944111776447105,0.03462879920279023,0.031061659712563746,0.030540037243947857,0.0391156462585034,2.9506425790986417,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
7,0.031236055332440876,0.03054448871181939,0.034013605442176874,0.029216467463479414,0.07589285714285714,0.0,0.027777777777777776,0.0,0.013468013468013467,0.34895136099955376,0.350597609561753,0.3510204081632653,0.3452855245683931,0.9285714285714286,0.0,0.0,0.017543859649122806,0.26430976430976433,0.3492647058823529,0.3487719298245614,0.3317683881064163,0.3152454780361757,0.6031746031746031,0.029411764705882353,0.032280701754385965,0.027386541471048513,0.03488372093023256,0.042328042328042326,3.0135886427655065,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.03356596876038551,0.03040877367896311,0.028913260219341975,0.041375872382851446,0.06625,0.0,0.017708333333333333,0.01056338028169014,0.015917602996254682,0.41841143236955797,0.42622133599202394,0.4147557328015952,0.41425722831505485,0.93625,0.0,0.0,0.03990610328638498,0.22191011235955055,0.40219560878243515,0.4265072247135027,0.3894297635605007,0.394413407821229,0.5263605442176871,0.02944111776447106,0.035625311410064774,0.0315252665739453,0.03277467411545624,0.0391156462585034,2.882454990984079,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
8,0.038375725122713075,0.04249667994687915,0.04353741496598639,0.029216467463479414,0.08630952380952381,0.011494252873563218,0.0,0.0,0.037037037037037035,0.3453815261044177,0.34794156706507307,0.3564625850340136,0.33200531208499334,0.8973214285714286,0.0,0.0,0.017543859649122806,0.28619528619528617,0.3443627450980392,0.34596491228070175,0.31768388106416273,0.3268733850129199,0.6084656084656085,0.0428921568627451,0.035789473684210524,0.03990610328638498,0.03617571059431524,0.037037037037037035,2.9503904289031126,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.03938185443668993,0.03838484546360917,0.0423728813559322,0.03738783649052842,0.07666666666666666,0.02032520325203252,0.0,0.0,0.035580524344569285,0.43137254901960786,0.44317048853439683,0.4242273180458624,0.4267198404785643,0.9241666666666667,0.0,0.0,0.17370892018779344,0.2153558052434457,0.40219560878243515,0.44593921275535625,0.3954566527584608,0.41899441340782123,0.5255102040816326,0.038922155688622756,0.03961136023916293,0.03477051460361613,0.03910614525139665,0.04846938775510204,2.8096030714821683,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
9,0.05622489959839357,0.06374501992031872,0.053061224489795916,0.05179282868525897,0.11458333333333333,0.007662835249042145,0.015151515151515152,0.0,0.06565656565656566,0.34805890227576974,0.351925630810093,0.35918367346938773,0.3333333333333333,0.8973214285714286,0.0,0.0,0.017543859649122806,0.2962962962962963,0.35784313725490197,0.3424561403508772,0.323943661971831,0.3242894056847545,0.6084656084656085,0.06004901960784314,0.05403508771929825,0.057902973395931145,0.05167958656330749,0.06349206349206349,2.8736686927832857,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.06679960119641076,0.06630109670987039,0.05982053838484546,0.07427716849451645,0.12208333333333334,0.025745257452574527,0.007291666666666667,0.025821596244131457,0.05711610486891386,0.4436689930209372,0.45663010967098705,0.4361914257228315,0.43818544366899304,0.9366666666666666,0.0,0.0,0.19248826291079812,0.24157303370786518,0.41467065868263475,0.4581464872944694,0.4084376448771442,0.43054003724394785,0.5382653061224489,0.07934131736526946,0.06053811659192825,0.06073249884098285,0.07225325884543761,0.06547619047619048,2.7249958498527853,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
10,0.0642570281124498,0.0650730411686587,0.06258503401360545,0.0650730411686587,0.11755952380952381,0.011494252873563218,0.020202020202020204,0.0,0.08585858585858586,0.31682284694332885,0.30810092961487384,0.3469387755102041,0.2961487383798141,0.8363095238095238,0.04980842911877394,0.0,0.03508771929824561,0.20202020202020202,0.3480392156862745,0.29894736842105263,0.30672926447574334,0.28811369509043927,0.5026455026455027,0.06372549019607843,0.06456140350877193,0.06885758998435054,0.05297157622739018,0.07936507936507936,2.8082273211770694,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.08374875373878365,0.08275174476570289,0.08374875373878365,0.0847457627118644,0.1425,0.025745257452574527,0.019791666666666666,0.03403755868544601,0.08895131086142322,0.4562977733466268,0.46859421734795614,0.4491525423728814,0.4511465603190429,0.89875,0.08943089430894309,0.0,0.3474178403755869,0.21254681647940074,0.4226546906187625,0.4730941704035874,0.4107556791840519,0.4554934823091248,0.5416666666666666,0.08333333333333333,0.08395615346287992,0.07510431154381085,0.08417132216014897,0.09863945578231292,2.6409524072638852,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
