epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu
1,0.012048192771084338,0.01195219123505976,0.012244897959183673,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010526315789473684,0.011737089201877934,0.011627906976744186,0.015873015873015872,4.639261472975234,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,4.627649582989314,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
2,0.012048192771084338,0.01195219123505976,0.012244897959183673,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010526315789473684,0.011737089201877934,0.011627906976744186,0.015873015873015872,4.629367186628459,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,4.584137277295717,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
3,0.012048192771084338,0.01195219123505976,0.012244897959183673,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010526315789473684,0.011737089201877934,0.011627906976744186,0.015873015873015872,4.646611892448266,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,4.570218178472396,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
4,0.011601963409192326,0.010624169986719787,0.012244897959183673,0.01195219123505976,0.03869047619047619,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.009824561403508772,0.011737089201877934,0.012919896640826873,0.005291005291005291,4.618684046080154,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,4.557239617410788,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
5,0.008478357875948238,0.00796812749003984,0.00816326530612245,0.009296148738379814,0.028273809523809524,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013480392156862746,0.005614035087719298,0.010954616588419406,0.006459948320413436,0.0,4.58331576632049,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.021768029245596544,0.02193419740777667,0.02143569292123629,0.02193419740777667,0.05458333333333333,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.026447105788423155,0.01943198804185351,0.022716736207695872,0.01899441340782123,0.026360544217687076,4.514091189971752,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
6,0.025881302989736725,0.027888446215139442,0.02585034013605442,0.02390438247011952,0.06696428571428571,0.0,0.03282828282828283,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02696078431372549,0.02526315789473684,0.025039123630672927,0.027131782945736434,0.026455026455026454,4.469859200255884,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.03090727816550349,0.029411764705882353,0.03140578265204387,0.031904287138584245,0.07041666666666667,0.0,0.017708333333333333,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03143712574850299,0.030642750373692077,0.03616133518776078,0.024581005586592177,0.03571428571428571,4.4047151149091786,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
7,0.03792949576082106,0.03851261620185923,0.03945578231292517,0.035856573705179286,0.08779761904761904,0.04980842911877394,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04656862745098039,0.03298245614035088,0.03912363067292645,0.03488372093023256,0.042328042328042326,4.315723233646391,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.038883349950149554,0.03988035892323031,0.04037886340977069,0.036390827517447655,0.08041666666666666,0.052845528455284556,0.0,0.0,0.0018726591760299626,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.035429141716566866,0.04060787244643747,0.03569772832637923,0.03798882681564246,0.0467687074829932,4.2538693327569375,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
8,0.0428380187416332,0.0398406374501992,0.03945578231292517,0.049136786188579015,0.09523809523809523,0.009578544061302681,0.0,0.0,0.045454545454545456,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04779411764705882,0.04,0.041471048513302036,0.04263565891472868,0.05291005291005291,4.193522598423207,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.0480225988700565,0.045363908275174475,0.04835493519441675,0.050348953140578266,0.09916666666666667,0.008130081300813009,0.0,0.0,0.042134831460674156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05538922155688623,0.04434479322371699,0.046824292999536395,0.0446927374301676,0.05782312925170068,4.118480779990757,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
9,0.04551539491298527,0.04780876494023904,0.036734693877551024,0.05179282868525897,0.10863095238095238,0.0,0.0,0.0,0.04882154882154882,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05024509803921569,0.04280701754385965,0.04225352112676056,0.04263565891472868,0.07936507936507936,4.122246826934474,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.055167829843801926,0.053838484546360914,0.05134596211365902,0.06031904287138584,0.11875,0.0,0.0,0.0,0.04400749063670412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06437125748502993,0.05057299451918286,0.04636068613815485,0.060707635009310985,0.058673469387755105,4.043877664694718,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
10,0.05667112896028559,0.057104913678618856,0.05170068027210884,0.06108897742363878,0.12648809523809523,0.022988505747126436,0.007575757575757576,0.0,0.045454545454545456,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07107843137254902,0.04842105263157895,0.05868544600938967,0.046511627906976744,0.08465608465608465,4.063297733032826,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.07178464606181456,0.07527417746759721,0.07028913260219342,0.06979062811565304,0.15458333333333332,0.028455284552845527,0.004166666666666667,0.002347417840375587,0.031835205992509365,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07734530938123753,0.06900847035376183,0.06490496059341679,0.07262569832402235,0.0824829931972789,3.971370211468459,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
