epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu
1,0.012048192771084338,0.01195219123505976,0.012244897959183673,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010526315789473684,0.011737089201877934,0.011627906976744186,0.015873015873015872,4.633246500542099,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,4.618275037355382,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
2,0.012048192771084338,0.01195219123505976,0.012244897959183673,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010526315789473684,0.011737089201877934,0.011627906976744186,0.015873015873015872,4.6341130853709975,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,4.571926574605611,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
3,0.01249442213297635,0.01195219123505976,0.012244897959183673,0.013280212483399735,0.041666666666666664,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.015931372549019607,0.010526315789473684,0.012519561815336464,0.011627906976744186,0.015873015873015872,4.627250429670069,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.01794616151545364,0.01794616151545364,0.018444666001994018,0.01744765702891326,0.045,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.019461077844311378,0.0171898355754858,0.01576263328697265,0.017877094972067038,0.022108843537414966,4.559353839523097,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
4,0.013833110218652387,0.013280212483399735,0.013605442176870748,0.014608233731739707,0.046130952380952384,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01838235294117647,0.011228070175438596,0.014084507042253521,0.011627906976744186,0.021164021164021163,4.614296895699116,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.016450648055832504,0.01694915254237288,0.015453639082751745,0.01694915254237288,0.04125,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.0171898355754858,0.016226240148354196,0.0148975791433892,0.02040816326530612,4.541810217946421,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
5,0.01740294511378849,0.01593625498007968,0.017687074829931974,0.01859229747675963,0.05803571428571429,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.022058823529411766,0.014736842105263158,0.017214397496087636,0.015503875968992248,0.026455026455026454,4.573320244955516,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.021269524759056163,0.019441674975074777,0.02143569292123629,0.022931206380857428,0.05333333333333334,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.019461077844311378,0.022172396611858495,0.01761706073249884,0.0223463687150838,0.025510204081632654,4.493673662443658,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
6,0.031236055332440876,0.03187250996015936,0.02857142857142857,0.033200531208499334,0.05952380952380952,0.0,0.0,0.0,0.050505050505050504,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.030637254901960783,0.031578947368421054,0.0297339593114241,0.027131782945736434,0.0582010582010582,4.45694654703885,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.03173811897640412,0.032402791625124626,0.03090727816550349,0.031904287138584245,0.05708333333333333,0.0,0.0,0.0,0.05056179775280899,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.031936127744510975,0.031639262580966616,0.031061659712563746,0.02830540037243948,0.04081632653061224,4.373445743498671,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
7,0.03168228469433289,0.035856573705179286,0.02857142857142857,0.03054448871181939,0.05952380952380952,0.0,0.0,0.0,0.05218855218855219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.029411764705882353,0.03298245614035088,0.032081377151799685,0.027131782945736434,0.047619047619047616,4.282044246865936,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.02957793286806248,0.02991026919242273,0.02991026919242273,0.028913260219341975,0.050833333333333335,0.0,0.0,0.0,0.052434456928838954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03143712574850299,0.028649725959143,0.03013444598980065,0.027188081936685288,0.034013605442176874,4.19321645253043,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
8,0.04239178937974119,0.043824701195219126,0.04217687074829932,0.041168658698539175,0.10267857142857142,0.0,0.0,0.0,0.04377104377104377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03799019607843137,0.04491228070175438,0.03755868544600939,0.046511627906976744,0.0582010582010582,4.182383614318384,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.052342971086739784,0.05633100697906281,0.04935194416749751,0.05134596211365902,0.10791666666666666,0.0,0.0,0.004694835680751174,0.04868913857677903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05738522954091816,0.04982561036372696,0.05656003708854891,0.04432029795158287,0.06292517006802721,4.096460151608976,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
9,0.043284248103525214,0.0451527224435591,0.04353741496598639,0.041168658698539175,0.12053571428571429,0.0,0.0,0.05263157894736842,0.021885521885521887,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04656862745098039,0.041403508771929824,0.036776212832550864,0.04780361757105943,0.06878306878306878,4.133891931658927,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.06181455633100698,0.0682951146560319,0.059322033898305086,0.05782652043868395,0.13083333333333333,0.0,0.0,0.029342723004694836,0.03089887640449438,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.058383233532934134,0.06352765321375187,0.06212331942512749,0.0521415270018622,0.08333333333333333,4.03438678917674,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
10,0.05176260597947345,0.05312084993359894,0.050340136054421766,0.05179282868525897,0.14285714285714285,0.0,0.0,0.05263157894736842,0.02861952861952862,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05392156862745098,0.05052631578947368,0.041471048513302036,0.060723514211886306,0.08465608465608465,4.09515960979334,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.07361249584579595,0.08075772681954138,0.06979062811565304,0.07028913260219342,0.15583333333333332,0.0,0.0,0.029342723004694836,0.04119850187265917,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06986027944111776,0.07548579970104634,0.07324988409828466,0.062197392923649904,0.10034013605442177,3.986534618150756,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
