epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu
1,0.012048192771084338,0.01195219123505976,0.012244897959183673,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010526315789473684,0.011737089201877934,0.011627906976744186,0.015873015873015872,4.6387625970461706,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,4.626620301854852,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
2,0.012048192771084338,0.01195219123505976,0.012244897959183673,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010526315789473684,0.011737089201877934,0.011627906976744186,0.015873015873015872,4.632125234880494,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,4.57970834404339,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
3,0.0142793395805444,0.013280212483399735,0.014965986394557823,0.014608233731739707,0.047619047619047616,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.014035087719298246,0.013302034428794992,0.015503875968992248,0.015873015873015872,4.635355440860665,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.020272515785975408,0.020438683948155532,0.020937188434695914,0.019441674975074777,0.050833333333333335,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016966067864271458,0.02192326856003986,0.01854427445526194,0.01936685288640596,0.025510204081632654,4.565449119763106,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
4,0.01249442213297635,0.013280212483399735,0.012244897959183673,0.01195219123505976,0.041666666666666664,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.015931372549019607,0.010526315789473684,0.012519561815336464,0.011627906976744186,0.015873015873015872,4.61129424381554,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.01611831173147225,0.015952143569292122,0.016450648055832504,0.015952143569292122,0.04041666666666666,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.015469061876247504,0.016442451420029897,0.015299026425591099,0.0148975791433892,0.02040816326530612,4.549403689160384,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
5,0.022311468094600623,0.02257636122177955,0.021768707482993196,0.02257636122177955,0.0744047619047619,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02696078431372549,0.019649122807017545,0.02112676056338028,0.023255813953488372,0.026455026455026454,4.562499918292963,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.026254569624459954,0.026919242273180457,0.0259222333000997,0.0259222333000997,0.06541666666666666,0.0,0.0010416666666666667,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0249500998003992,0.026905829596412557,0.02688919796012981,0.02271880819366853,0.03316326530612245,4.497547153461491,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
6,0.036590807675145026,0.034528552456839307,0.0380952380952381,0.03718459495351926,0.09523809523809523,0.0,0.045454545454545456,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.041666666666666664,0.03368421052631579,0.03834115805946792,0.03229974160206718,0.042328042328042326,4.4291624505835845,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.04120970422067132,0.03838484546360917,0.0423728813559322,0.04287138584247258,0.0925,0.0,0.027083333333333334,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03842315369261477,0.042600896860986545,0.03801576263328697,0.03761638733705773,0.055272108843537414,4.377182539296174,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
7,0.03435966086568496,0.03054448871181939,0.0326530612244898,0.0398406374501992,0.09077380952380952,0.0,0.04040404040404041,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03431372549019608,0.0343859649122807,0.03442879499217527,0.03617571059431524,0.026455026455026454,4.255569151606426,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.04353605849119309,0.04187437686939183,0.0448654037886341,0.04386839481555334,0.09083333333333334,0.0,0.04583333333333333,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03942115768463074,0.045590433482810166,0.04172461752433936,0.04022346368715084,0.05442176870748299,4.19960384552722,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
8,0.036590807675145026,0.03851261620185923,0.036734693877551024,0.034528552456839307,0.06696428571428571,0.0,0.04040404040404041,0.0,0.03535353535353535,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.031862745098039214,0.03929824561403509,0.036776212832550864,0.028423772609819122,0.06878306878306878,4.095342361198266,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.05051512130275839,0.0448654037886341,0.05583250249252243,0.05084745762711865,0.10125,0.0,0.019791666666666666,0.0,0.03932584269662921,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.041916167664670656,0.05480817140009965,0.0458970792767733,0.04692737430167598,0.06717687074829932,4.044523493322117,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
9,0.043284248103525214,0.043824701195219126,0.04217687074829932,0.043824701195219126,0.06696428571428571,0.0038314176245210726,0.04292929292929293,0.0,0.05555555555555555,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04044117647058824,0.04491228070175438,0.04381846635367762,0.041343669250646,0.047619047619047616,4.011112619967718,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.05616483881688269,0.053838484546360914,0.059322033898305086,0.05533399800598205,0.10625,0.0013550135501355014,0.03333333333333333,0.0,0.04681647940074907,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05039920159680639,0.05904334828101644,0.05192396847473343,0.054003724394785846,0.06887755102040816,3.949440253458375,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
10,0.054439982150825524,0.05976095617529881,0.053061224489795916,0.05046480743691899,0.07589285714285714,0.03639846743295019,0.025252525252525252,0.0,0.0707070707070707,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05269607843137255,0.05543859649122807,0.054773082942097026,0.05167958656330749,0.06349206349206349,3.963062155305249,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.06331006979062812,0.06231306081754736,0.06630109670987039,0.0613160518444666,0.12,0.02981029810298103,0.013541666666666667,0.0,0.054307116104868915,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05738522954091816,0.06626806178375685,0.04821511358368104,0.06368715083798883,0.09013605442176871,3.9070526254894173,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
