epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu
1,0.012048192771084338,0.01195219123505976,0.012244897959183673,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.014705882352941176,0.010526315789473684,0.011737089201877934,0.011627906976744186,0.015873015873015872,3.1189237200538265,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,3.0819195449134367,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
2,0.012048192771084338,0.01195219123505976,0.012244897959183673,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.014705882352941176,0.010526315789473684,0.011737089201877934,0.011627906976744186,0.015873015873015872,3.135964702996012,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,3.0495632852419305,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
3,0.012940651494868362,0.013280212483399735,0.012244897959183673,0.013280212483399735,0.043154761904761904,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.01715686274509804,0.010526315789473684,0.013302034428794992,0.011627906976744186,0.015873015873015872,3.1100731321553576,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.01927550681289465,0.018943170488534396,0.019441674975074777,0.019441674975074777,0.04833333333333333,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.014471057884231538,0.021674140508221227,0.019935095039406582,0.01638733705772812,0.02465986394557823,3.0386024949240817,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
4,0.012048192771084338,0.010624169986719787,0.012244897959183673,0.013280212483399735,0.04017857142857143,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.015931372549019607,0.009824561403508772,0.010172143974960876,0.015503875968992248,0.010582010582010581,3.12089324093248,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.01478896643403124,0.015453639082751745,0.013459621136590228,0.015453639082751745,0.037083333333333336,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.018463073852295408,0.012954658694569009,0.016226240148354196,0.01452513966480447,0.012755102040816327,3.0298970033259596,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
5,0.012048192771084338,0.010624169986719787,0.012244897959183673,0.013280212483399735,0.04017857142857143,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.015931372549019607,0.009824561403508772,0.010172143974960876,0.015503875968992248,0.010582010582010581,3.102349665589441,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.01478896643403124,0.015952143569292122,0.01296111665004985,0.015453639082751745,0.037083333333333336,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.018962075848303395,0.012705530642750373,0.016226240148354196,0.01415270018621974,0.013605442176870748,3.0188496806131084,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
6,0.016956715751896476,0.017264276228419653,0.0163265306122449,0.017264276228419653,0.05654761904761905,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.01715686274509804,0.016842105263157894,0.014084507042253521,0.01937984496124031,0.026455026455026454,3.0744844068112727,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.01977401129943503,0.020937188434695914,0.020438683948155532,0.01794616151545364,0.04958333333333333,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.020459081836327345,0.01943198804185351,0.02132591562355123,0.01564245810055866,0.026360544217687076,2.993325869559291,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
7,0.031236055332440876,0.03054448871181939,0.034013605442176874,0.029216467463479414,0.08035714285714286,0.0,0.04040404040404041,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.031862745098039214,0.030877192982456142,0.028951486697965573,0.03359173126614987,0.037037037037037035,3.0131480784248104,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.03572615486872715,0.036390827517447655,0.03589232303090728,0.03489531405782652,0.07958333333333334,0.0,0.025,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.03243512974051896,0.03736920777279522,0.03245248029670839,0.03314711359404097,0.047619047619047616,2.939656514668235,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
8,0.0285586791610888,0.029216467463479414,0.027210884353741496,0.029216467463479414,0.07142857142857142,0.0,0.04040404040404041,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.03431372549019608,0.02526315789473684,0.028951486697965573,0.027131782945736434,0.031746031746031744,2.9400851833985246,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.04303755400465271,0.04386839481555334,0.04187437686939183,0.043369890329012964,0.09125,0.0,0.041666666666666664,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.03992015968063872,0.044593921275535624,0.03847936949466852,0.040968342644320296,0.05612244897959184,2.8668893831201707,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
9,0.03034359660865685,0.03187250996015936,0.024489795918367346,0.034528552456839307,0.0744047619047619,0.0019157088122605363,0.030303030303030304,0.0,0.008417508417508417,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.030637254901960783,0.030175438596491227,0.026604068857589983,0.037467700258397935,0.026455026455026454,2.8736845439483627,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.044200731139913595,0.04386839481555334,0.04436689930209372,0.04436689930209372,0.10166666666666667,0.0040650406504065045,0.014583333333333334,0.0,0.0046816479400749065,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.040419161676646706,0.046088689586447434,0.03616133518776078,0.04581005586592179,0.055272108843537414,2.791671048053755,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
10,0.04239178937974119,0.043824701195219126,0.036734693877551024,0.04648074369189907,0.10119047619047619,0.0,0.027777777777777776,0.0,0.026936026936026935,0.3003123605533244,0.29747675962815406,0.3047619047619048,0.29880478087649404,1.0,0.0,0.0,0.0,0.0016835016835016834,0.3639705882352941,0.263859649122807,0.29107981220657275,0.29069767441860467,0.4021164021164021,0.04411764705882353,0.041403508771929824,0.041471048513302036,0.041343669250646,0.05291005291005291,2.8137641167970493,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.05616483881688269,0.05333998005982054,0.05333998005982054,0.06181455633100698,0.12916666666666668,0.0,0.014583333333333334,0.0,0.013108614232209739,0.39913592555666333,0.39930209371884345,0.3988035892323031,0.39930209371884345,1.0,0.0,0.0,0.0,0.0018726591760299626,0.37425149700598803,0.4115595416043846,0.38293926750115903,0.36350093109869647,0.5102040816326531,0.05039920159680639,0.05904334828101644,0.04450625869262865,0.05921787709497207,0.070578231292517,2.721875166330436,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
