epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu
1,0.012048192771084338,0.01195219123505976,0.012244897959183673,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010526315789473684,0.011737089201877934,0.011627906976744186,0.015873015873015872,4.638376776419916,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.01611831173147225,0.016450648055832504,0.015952143569292122,0.015952143569292122,0.04041666666666666,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.01669157947184853,0.01576263328697265,0.01452513966480447,0.02040816326530612,4.626182223998577,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
2,0.012048192771084338,0.01195219123505976,0.012244897959183673,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010526315789473684,0.011737089201877934,0.011627906976744186,0.015873015873015872,4.629305770172705,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,4.577756334674362,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
3,0.01606425702811245,0.014608233731739707,0.014965986394557823,0.01859229747675963,0.05357142857142857,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.020833333333333332,0.013333333333333334,0.01643192488262911,0.01808785529715762,0.005291005291005291,4.626255401379825,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.01927550681289465,0.018943170488534396,0.01744765702891326,0.02143569292123629,0.04833333333333333,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0249500998003992,0.016442451420029897,0.017153453871117292,0.01899441340782123,0.023809523809523808,4.5612011215701855,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
4,0.011155734047300312,0.010624169986719787,0.012244897959183673,0.010624169986719787,0.03720238095238095,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.011029411764705883,0.011228070175438596,0.009389671361502348,0.012919896640826873,0.015873015873015872,4.597776577229055,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.014955134596211365,0.011964107676969093,0.014955134596211365,0.01794616151545364,0.0375,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.009481037924151697,0.01768809167912307,0.01483541956420955,0.013780260707635009,0.017857142857142856,4.537914211467161,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
5,0.027666220437304774,0.02656042496679947,0.029931972789115645,0.02656042496679947,0.08630952380952381,0.0,0.010101010101010102,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.030637254901960783,0.025964912280701753,0.025039123630672927,0.031007751937984496,0.031746031746031744,4.531983211709686,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.0353938185443669,0.03389830508474576,0.03489531405782652,0.03738783649052842,0.08458333333333333,0.0,0.010416666666666666,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.036926147704590816,0.03462879920279023,0.03477051460361613,0.03277467411545624,0.04251700680272109,4.471448447625872,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
6,0.037037037037037035,0.035856573705179286,0.0380952380952381,0.03718459495351926,0.09821428571428571,0.0,0.04292929292929293,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03676470588235294,0.037192982456140354,0.033646322378716745,0.04263565891472868,0.037037037037037035,4.383389542327295,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.03954802259887006,0.04037886340977069,0.041375872382851446,0.036889332003988036,0.08375,0.0,0.03854166666666667,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.035429141716566866,0.04160438465371201,0.039406583217431616,0.034636871508379886,0.05102040816326531,4.332018552091123,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
7,0.03435966086568496,0.03054448871181939,0.04217687074829932,0.03054448871181939,0.09821428571428571,0.0,0.027777777777777776,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03308823529411765,0.03508771929824561,0.033646322378716745,0.031007751937984496,0.05291005291005291,4.218148636211513,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.045862412761714856,0.04735792622133599,0.04935194416749751,0.040877367896311065,0.10666666666666667,0.0,0.020833333333333332,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05039920159680639,0.04359740906826109,0.03523412146499768,0.053631284916201116,0.047619047619047616,4.1656665542110645,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
8,0.036590807675145026,0.03718459495351926,0.036734693877551024,0.035856573705179286,0.09970238095238096,0.0,0.03787878787878788,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03431372549019608,0.037894736842105266,0.032081377151799685,0.041343669250646,0.047619047619047616,4.095218466095284,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.050348953140578266,0.04835493519441675,0.05633100697906281,0.04636091724825524,0.11625,0.0,0.023958333333333335,0.0011737089201877935,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05389221556886228,0.04857997010463378,0.04079740380157627,0.054003724394785846,0.05952380952380952,4.037008237981368,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
9,0.04730031236055333,0.049136786188579015,0.04625850340136054,0.04648074369189907,0.11904761904761904,0.0,0.03787878787878788,0.0,0.018518518518518517,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04779411764705882,0.047017543859649125,0.04460093896713615,0.04909560723514212,0.0582010582010582,4.0376540068694915,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.061648388168826854,0.06081754735792622,0.06530408773678963,0.058823529411764705,0.13625,0.0,0.022916666666666665,0.015258215962441314,0.008426966292134831,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.059880239520958084,0.06253114100647733,0.052387575336114975,0.06443202979515829,0.07227891156462585,3.9669266533083043,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
10,0.0535475234270415,0.05046480743691899,0.050340136054421766,0.05976095617529881,0.12202380952380952,0.011494252873563218,0.03787878787878788,0.0,0.02861952861952862,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.058823529411764705,0.05052631578947368,0.051643192488262914,0.05426356589147287,0.06349206349206349,4.008885476803045,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.06613492854769026,0.06380857427716849,0.07278165503489531,0.06181455633100698,0.13916666666666666,0.0027100271002710027,0.022916666666666665,0.015258215962441314,0.025280898876404494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06387225548902195,0.06726457399103139,0.05702364394993046,0.06778398510242085,0.07908163265306123,3.9291582446670406,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
