epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu
1,0.012048192771084338,0.01195219123505976,0.012244897959183673,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010526315789473684,0.011737089201877934,0.011627906976744186,0.015873015873015872,4.638997559247406,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.015785975407111998,0.015952143569292122,0.015453639082751745,0.015952143569292122,0.03958333333333333,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.01619332336821126,0.01483541956420955,0.01452513966480447,0.02040816326530612,4.626932435116525,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
2,0.012048192771084338,0.01195219123505976,0.012244897959183673,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010526315789473684,0.011737089201877934,0.011627906976744186,0.015873015873015872,4.63145303109138,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.01611831173147225,0.015952143569292122,0.016450648055832504,0.015952143569292122,0.04041666666666666,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.01669157947184853,0.01576263328697265,0.01452513966480447,0.02040816326530612,4.581751875720495,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
3,0.012048192771084338,0.01195219123505976,0.012244897959183673,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010526315789473684,0.011737089201877934,0.011627906976744186,0.015873015873015872,4.637578062902652,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.017281488866733134,0.01694915254237288,0.01694915254237288,0.01794616151545364,0.043333333333333335,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.015469061876247504,0.018186347782760338,0.016689847009735744,0.01638733705772812,0.02040816326530612,4.5685044070263165,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
4,0.014725568942436412,0.014608233731739707,0.0163265306122449,0.013280212483399735,0.049107142857142856,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01715686274509804,0.013333333333333334,0.01564945226917058,0.011627906976744186,0.021164021164021163,4.616965937752747,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.02060485211033566,0.019940179461615155,0.02143569292123629,0.020438683948155532,0.051666666666666666,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.017964071856287425,0.02192326856003986,0.01808066759388039,0.021229050279329607,0.023809523809523808,4.556306260255691,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
5,0.01963409192324855,0.017264276228419653,0.02585034013605442,0.01593625498007968,0.06547619047619048,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.022058823529411766,0.018245614035087718,0.017996870109546165,0.020671834625323,0.026455026455026454,4.5793067016329205,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.023429710867397806,0.024925224327018942,0.023928215353938187,0.02143569292123629,0.05875,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.017964071856287425,0.026158445440956652,0.02364394993045897,0.01638733705772812,0.0391156462585034,4.5120542100910805,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
6,0.03257474341811691,0.03054448871181939,0.0326530612244898,0.034528552456839307,0.09077380952380952,0.0,0.030303030303030304,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0392156862745098,0.028771929824561403,0.032081377151799685,0.03229974160206718,0.037037037037037035,4.472446017795139,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.03622465935526753,0.0353938185443669,0.03838484546360917,0.03489531405782652,0.08416666666666667,0.0,0.016666666666666666,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03642714570858283,0.03612356751370204,0.034306907742234584,0.037243947858473,0.03741496598639456,4.412022862889197,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
7,0.031236055332440876,0.03718459495351926,0.02585034013605442,0.03054448871181939,0.07886904761904762,0.017241379310344827,0.007575757575757576,0.0,0.008417508417508417,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.031862745098039214,0.030877192982456142,0.03129890453834116,0.03229974160206718,0.026455026455026454,4.322265842885431,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.03389830508474576,0.034396809571286144,0.03290129611166501,0.034396809571286144,0.07,0.017615176151761516,0.00625,0.0,0.015917602996254682,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03842315369261477,0.031639262580966616,0.027816411682892908,0.037243947858473,0.03741496598639456,4.265902345859557,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
8,0.040160642570281124,0.0398406374501992,0.03537414965986395,0.0451527224435591,0.08779761904761904,0.007662835249042145,0.0025252525252525255,0.0,0.04377104377104377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04411764705882353,0.037894736842105266,0.0406885758998435,0.03359173126614987,0.06349206349206349,4.1855993309174195,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.041375872382851446,0.0423728813559322,0.03988035892323031,0.04187437686939183,0.08666666666666667,0.0027100271002710027,0.0,0.0,0.03651685393258427,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.043912175648702596,0.0401096163428002,0.043115438108484005,0.042085661080074485,0.036564625850340135,4.138732646461657,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
9,0.04239178937974119,0.04648074369189907,0.036734693877551024,0.043824701195219126,0.09821428571428571,0.0,0.0,0.0,0.04882154882154882,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0428921568627451,0.042105263157894736,0.0406885758998435,0.037467700258397935,0.07407407407407407,4.113232716020331,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.04719175805915587,0.04436689930209372,0.04685942173479561,0.050348953140578266,0.09833333333333333,0.0013550135501355014,0.0,0.0,0.04400749063670412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0499001996007984,0.0458395615346288,0.04033379694019471,0.05288640595903166,0.0467687074829932,4.0611549547321575,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
10,0.043284248103525214,0.049136786188579015,0.031292517006802724,0.049136786188579015,0.08482142857142858,0.032567049808429116,0.0,0.0,0.03872053872053872,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04779411764705882,0.04070175438596491,0.03990610328638498,0.050387596899224806,0.037037037037037035,4.066067574333793,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.054004652708541045,0.054336989032901295,0.047856430707876374,0.05982053838484546,0.11208333333333333,0.032520325203252036,0.0,0.0,0.0299625468164794,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05039920159680639,0.05580468360737419,0.04357904496986555,0.061080074487895715,0.05697278911564626,4.012484295972759,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
