epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu
1,0.012048192771084338,0.01195219123505976,0.012244897959183673,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.014705882352941176,0.010526315789473684,0.011737089201877934,0.011627906976744186,0.015873015873015872,3.1183866052316906,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,3.0828485003972457,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
2,0.01249442213297635,0.013280212483399735,0.012244897959183673,0.01195219123505976,0.041666666666666664,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.014705882352941176,0.011228070175438596,0.012519561815336464,0.011627906976744186,0.015873015873015872,3.11999116801407,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.01694915254237288,0.01694915254237288,0.01744765702891326,0.016450648055832504,0.0425,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.015968063872255488,0.017438963627304436,0.016689847009735744,0.015270018621973929,0.021258503401360544,3.047741541001994,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
3,0.01606425702811245,0.01593625498007968,0.017687074829931974,0.014608233731739707,0.05357142857142857,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.0196078431372549,0.014035087719298246,0.017214397496087636,0.015503875968992248,0.010582010582010581,3.1092353082032993,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.020771020272515785,0.019940179461615155,0.022931206380857428,0.019441674975074777,0.052083333333333336,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.023453093812375248,0.01943198804185351,0.020398701900788133,0.01973929236499069,0.023809523809523808,3.0398599530185484,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
4,0.01606425702811245,0.01593625498007968,0.013605442176870748,0.01859229747675963,0.05357142857142857,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.023284313725490197,0.011929824561403509,0.017996870109546165,0.011627906976744186,0.021164021164021163,3.111008350894899,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.023097374543037553,0.022931206380857428,0.020937188434695914,0.025423728813559324,0.057916666666666665,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.01746506986027944,0.025909317389138018,0.022253129346314324,0.01936685288640596,0.03316326530612245,3.0308944382672296,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
5,0.015618027666220438,0.014608233731739707,0.014965986394557823,0.017264276228419653,0.052083333333333336,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.0196078431372549,0.013333333333333334,0.01564945226917058,0.015503875968992248,0.015873015873015872,3.095682834419274,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.018943170488534396,0.01794616151545364,0.015952143569292122,0.022931206380857428,0.0475,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.015968063872255488,0.02042850024912805,0.01761706073249884,0.01675977653631285,0.026360544217687076,3.0196451457801077,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
6,0.02900490852298081,0.029216467463479414,0.02585034013605442,0.03187250996015936,0.09672619047619048,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.03799019607843137,0.023859649122807018,0.028169014084507043,0.028423772609819122,0.037037037037037035,3.06306928015883,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.03871718178796942,0.04037886340977069,0.036390827517447655,0.03938185443668993,0.09708333333333333,0.0,0.0,0.0,0.0,0.4004652708541043,0.40229312063808575,0.3988035892323031,0.4002991026919242,0.9995833333333334,0.0,0.0,0.012910798122065728,0.0,0.37425149700598803,0.41355256601893375,0.3852573018080668,0.36461824953445066,0.5102040816326531,0.03293413173652695,0.04160438465371201,0.037552155771905425,0.03202979515828678,0.05612244897959184,2.9896607986911663,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
7,0.024542614904060688,0.021248339973439574,0.0326530612244898,0.0199203187250996,0.06398809523809523,0.0,0.030303030303030304,0.0,0.0,0.24230254350736277,0.26693227091633465,0.2571428571428571,0.20318725099601595,0.7068452380952381,0.07662835249042145,0.0,0.47368421052631576,0.0016835016835016834,0.2928921568627451,0.21333333333333335,0.22769953051643194,0.25193798449612403,0.30158730158730157,0.029411764705882353,0.02175438596491228,0.0297339593114241,0.015503875968992248,0.026455026455026454,3.0246157699373883,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.035559986706547024,0.03589232303090728,0.040877367896311065,0.02991026919242273,0.07958333333333334,0.0,0.023958333333333335,0.0,0.0,0.40727816550348955,0.4132602193419741,0.4336989032901296,0.3748753738783649,0.7916666666666666,0.17886178861788618,0.0,0.4894366197183099,0.0018726591760299626,0.3977045908183633,0.4120577977080219,0.3444598980064905,0.4361266294227188,0.45663265306122447,0.03842315369261477,0.03413054309915296,0.043115438108484005,0.024581005586592177,0.0467687074829932,2.9488629042884367,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
8,0.026327532351628737,0.029216467463479414,0.027210884353741496,0.02257636122177955,0.08779761904761904,0.0,0.0,0.0,0.0,0.21285140562248997,0.20849933598937584,0.24217687074829933,0.18857901726427623,0.5788690476190477,0.0,0.0,0.6491228070175439,0.08585858585858586,0.26348039215686275,0.18385964912280703,0.19640062597809077,0.21705426356589147,0.30687830687830686,0.03553921568627451,0.021052631578947368,0.028951486697965573,0.020671834625323,0.031746031746031744,3.0257549294399824,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.04204054503157195,0.04287138584247258,0.050348953140578266,0.03290129611166501,0.10541666666666667,0.0,0.0,0.0,0.0,0.39514788966434033,0.40279162512462613,0.419740777666999,0.3629112662013958,0.6670833333333334,0.0,0.0,0.8063380281690141,0.08426966292134831,0.36976047904191617,0.40782262082710513,0.33472415391747795,0.44692737430167595,0.3877551020408163,0.041916167664670656,0.04210264075734928,0.041261010662957814,0.03910614525139665,0.050170068027210885,2.9064218680222353,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
9,0.02677376171352075,0.03187250996015936,0.027210884353741496,0.021248339973439574,0.08928571428571429,0.0,0.0,0.0,0.0,0.23828647925033467,0.25232403718459495,0.24761904761904763,0.2151394422310757,0.6696428571428571,0.0,0.0,0.5263157894736842,0.09090909090909091,0.2818627450980392,0.21333333333333335,0.21830985915492956,0.25064599483204136,0.32275132275132273,0.031862745098039214,0.023859649122807018,0.028169014084507043,0.020671834625323,0.042328042328042326,2.958786072022465,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.04652708541043536,0.04735792622133599,0.05284147557328016,0.03938185443668993,0.11666666666666667,0.0,0.0,0.0,0.0,0.4195746095048189,0.4222333000997009,0.4292123629112662,0.40727816550348955,0.77125,0.0,0.0,0.6924882629107981,0.07865168539325842,0.38922155688622756,0.4347284504235177,0.36114974501622626,0.4532588454376164,0.44982993197278914,0.046906187624750496,0.04633781763826607,0.0449698655540102,0.042085661080074485,0.05952380952380952,2.8250381099539923,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
10,0.03034359660865685,0.033200531208499334,0.031292517006802724,0.02656042496679947,0.07291666666666667,0.0,0.0,0.0,0.03198653198653199,0.24721106648817492,0.2536520584329349,0.2639455782312925,0.2244355909694555,0.6264880952380952,0.0,0.0,0.5964912280701754,0.16666666666666666,0.2855392156862745,0.22526315789473683,0.21752738654147105,0.26744186046511625,0.36507936507936506,0.028186274509803922,0.031578947368421054,0.03442879499217527,0.021963824289405683,0.037037037037037035,2.9644766675207777,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.047856430707876374,0.0423728813559322,0.05533399800598205,0.045862412761714856,0.1025,0.0,0.0,0.01056338028169014,0.03089887640449438,0.4209039548022599,0.42323030907278164,0.43120638085742774,0.4082751744765703,0.7408333333333333,0.0,0.0,0.7265258215962441,0.12734082397003746,0.39271457085828343,0.4349775784753363,0.3560500695410292,0.4584729981378026,0.45408163265306123,0.05239520958083832,0.045590433482810166,0.04728789986091794,0.0446927374301676,0.05612244897959184,2.800291467719238,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
