epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu
1,0.012048192771084338,0.01195219123505976,0.010884353741496598,0.013280212483399735,0.04017857142857143,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.014705882352941176,0.010526315789473684,0.011737089201877934,0.012919896640826873,0.010582010582010581,3.118909366851085,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.01611831173147225,0.015952143569292122,0.016450648055832504,0.015952143569292122,0.04041666666666666,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.014970059880239521,0.01669157947184853,0.01576263328697265,0.01452513966480447,0.02040816326530612,3.0689082857222605,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
2,0.016956715751896476,0.014608233731739707,0.017687074829931974,0.01859229747675963,0.05654761904761905,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.020833333333333332,0.014736842105263158,0.017214397496087636,0.01937984496124031,0.005291005291005291,3.109982355637829,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.020771020272515785,0.020937188434695914,0.020438683948155532,0.020937188434695914,0.052083333333333336,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.018463073852295408,0.02192326856003986,0.019471488178025034,0.01973929236499069,0.025510204081632654,3.04950188497009,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
3,0.016956715751896476,0.017264276228419653,0.0163265306122449,0.017264276228419653,0.05654761904761905,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.01715686274509804,0.016842105263157894,0.01486697965571205,0.021963824289405683,0.010582010582010581,3.10296143340724,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.02010634762379528,0.019441674975074777,0.018943170488534396,0.02193419740777667,0.050416666666666665,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.01996007984031936,0.020179372197309416,0.019007881316643487,0.020856610800744878,0.02040816326530612,3.025475392669647,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
4,0.019187862561356538,0.01593625498007968,0.02040816326530612,0.021248339973439574,0.06398809523809523,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.020833333333333332,0.018245614035087718,0.017214397496087636,0.023255813953488372,0.015873015873015872,3.086717475370231,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.020937188434695914,0.019940179461615155,0.02193419740777667,0.020937188434695914,0.0525,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.020958083832335328,0.02092675635276532,0.02086230876216968,0.01899441340782123,0.025510204081632654,3.0132189288255025,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
5,0.030789825970548863,0.03187250996015936,0.02857142857142857,0.03187250996015936,0.10267857142857142,0.0,0.0,0.0,0.0,0.3043284248103525,0.301460823373174,0.30612244897959184,0.3054448871181939,0.9985119047619048,0.0210727969348659,0.0,0.0,0.0,0.36887254901960786,0.2673684210526316,0.2996870109546166,0.29069767441860467,0.3915343915343915,0.03553921568627451,0.028070175438596492,0.028169014084507043,0.03359173126614987,0.037037037037037035,3.0432957960313476,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.0385510136257893,0.038883349950149554,0.03738783649052842,0.03938185443668993,0.09666666666666666,0.0,0.0,0.0,0.0,0.4044533067464274,0.40229312063808575,0.4032901296111665,0.4077766699900299,1.0,0.028455284552845527,0.0,0.015258215962441314,0.0,0.37524950099800397,0.4190333831589437,0.3857209086694483,0.36983240223463687,0.5178571428571429,0.0344311377245509,0.04060787244643747,0.039406583217431616,0.03202979515828678,0.05187074829931973,2.9756258162361875,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
6,0.024542614904060688,0.02390438247011952,0.031292517006802724,0.01859229747675963,0.06101190476190476,0.0,0.025252525252525252,0.0,0.006734006734006734,0.2525658188308791,0.26162018592297476,0.2693877551020408,0.22709163346613545,0.7797619047619048,0.0,0.0,0.5614035087719298,0.016835016835016835,0.32230392156862747,0.21263157894736842,0.23161189358372458,0.27260981912144705,0.31216931216931215,0.024509803921568627,0.02456140350877193,0.025039123630672927,0.021963824289405683,0.031746031746031744,2.978151647388164,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.03256895978730475,0.03339980059820538,0.031904287138584245,0.032402791625124626,0.06291666666666666,0.0,0.040625,0.0,0.0056179775280898875,0.4293785310734463,0.44167497507477566,0.4336989032901296,0.4127617148554337,0.8204166666666667,0.0,0.0,0.6924882629107981,0.023408239700374533,0.38772455089820357,0.45017438963627304,0.3713490959666203,0.45027932960893857,0.4880952380952381,0.03343313373253493,0.032137518684603884,0.03477051460361613,0.02644320297951583,0.04251700680272109,2.913462026842649,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
7,0.038821954484605084,0.03851261620185923,0.04217687074829932,0.035856573705179286,0.09970238095238096,0.0,0.0025252525252525255,0.0,0.03198653198653199,0.2574743418116912,0.2602921646746348,0.2693877551020408,0.24302788844621515,0.7366071428571429,0.0,0.0,0.7192982456140351,0.06902356902356903,0.32107843137254904,0.22105263157894736,0.2323943661971831,0.2777777777777778,0.3439153439153439,0.04411764705882353,0.035789473684210524,0.03834115805946792,0.031007751937984496,0.07407407407407407,2.91158813857862,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.05333998005982054,0.05583250249252243,0.05583250249252243,0.04835493519441675,0.1225,0.0,0.0010416666666666667,0.0,0.024344569288389514,0.4322033898305085,0.4411764705882353,0.4426719840478564,0.4127617148554337,0.7929166666666667,0.0,0.0,0.7546948356807511,0.05149812734082397,0.3917165668662675,0.45241654210264076,0.38340287436254056,0.4521415270018622,0.47619047619047616,0.05089820359281437,0.05455904334828102,0.05146036161335188,0.04357541899441341,0.07908163265306123,2.8071691298175785,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
8,0.03480589022757698,0.033200531208499334,0.034013605442176874,0.03718459495351926,0.10119047619047619,0.0,0.007575757575757576,0.05263157894736842,0.006734006734006734,0.28424810352521196,0.29349269588313415,0.2979591836734694,0.26162018592297476,0.7113095238095238,0.0,0.0,0.6491228070175439,0.2053872053872054,0.33700980392156865,0.2540350877192982,0.2519561815336463,0.3152454780361757,0.37566137566137564,0.049019607843137254,0.02666666666666667,0.035211267605633804,0.028423772609819122,0.0582010582010582,2.8760613471681866,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.06081754735792622,0.06231306081754736,0.06331006979062812,0.05682951146560319,0.13166666666666665,0.0,0.00625,0.04225352112676056,0.00749063670411985,0.4393486208042539,0.4481555333998006,0.4551345962113659,0.4147557328015952,0.7679166666666667,0.0,0.0,0.7171361502347418,0.17790262172284643,0.40119760479041916,0.458395615346288,0.38386648122392214,0.45996275605214154,0.49404761904761907,0.06287425149700598,0.059790732436472344,0.05702364394993046,0.05772811918063315,0.07482993197278912,2.7677600742693795,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
9,0.0499776885319054,0.05444887118193891,0.05170068027210884,0.043824701195219126,0.11011904761904762,0.0,0.025252525252525252,0.05263157894736842,0.04208754208754209,0.29049531459170014,0.301460823373174,0.3006802721088435,0.2695883134130146,0.6875,0.0,0.0,0.6491228070175439,0.2558922558922559,0.3443627450980392,0.2596491228070175,0.2543035993740219,0.3242894056847545,0.3968253968253968,0.06985294117647059,0.03859649122807018,0.053208137715179966,0.03617571059431524,0.08465608465608465,2.821766340535754,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.08291791292788302,0.08574277168494517,0.0872382851445663,0.07577268195413758,0.15833333333333333,0.0,0.015625,0.06338028169014084,0.04681647940074907,0.43685609837155204,0.4506480558325025,0.44865403788634095,0.41126620139581255,0.7508333333333334,0.0,0.0,0.6772300469483568,0.2340823970037453,0.40219560878243515,0.4541604384653712,0.3875753361149745,0.4484171322160149,0.5008503401360545,0.08483033932135728,0.08196312904833085,0.07324988409828466,0.08007448789571694,0.10714285714285714,2.694683284131979,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
10,0.062025881302989735,0.07171314741035857,0.06802721088435375,0.04648074369189907,0.12202380952380952,0.0038314176245210726,0.03282828282828283,0.05263157894736842,0.06565656565656566,0.2931726907630522,0.30810092961487384,0.3034013605442177,0.2682602921646746,0.6681547619047619,0.0,0.0,0.6666666666666666,0.28619528619528617,0.3382352941176471,0.2673684210526316,0.25508607198748046,0.32299741602067183,0.42857142857142855,0.07230392156862746,0.056140350877192984,0.06416275430359937,0.05167958656330749,0.08994708994708994,2.7700897993013722,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.09371884346959122,0.09820538384845463,0.1036889332003988,0.07926221335992024,0.16708333333333333,0.0013550135501355014,0.023958333333333335,0.07042253521126761,0.07397003745318352,0.44333665669657696,0.4546360917248255,0.4546360917248255,0.42073778664007977,0.7520833333333333,0.0,0.0,0.7089201877934272,0.24250936329588016,0.40469061876247503,0.46263079222720477,0.3912841910060269,0.4595903165735568,0.5017006802721088,0.09580838323353294,0.09267563527653214,0.08623087621696801,0.08789571694599628,0.12074829931972789,2.6290006628065026,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
