epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu
1,0.013297872340425532,0.013192612137203167,0.013513513513513514,0.013192612137203167,0.040160642570281124,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014925373134328358,0.011990407673860911,0.018518518518518517,0.00949367088607595,0.0,4.638966174835854,2256,758,740,758,747,336,450,351,372,1005,1251,1134,948,174,0.015492253873063468,0.015492253873063468,0.015492253873063468,0.015492253873063468,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01487603305785124,0.015759312320916905,0.011734028683181226,0.015531660692951015,0.022670025188916875,4.620556380338477,6003,2001,2001,2001,2325,924,906,558,1290,1815,4188,2301,2511,1191
2,0.01152482269503546,0.011873350923482849,0.00945945945945946,0.013192612137203167,0.03480589022757698,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014925373134328358,0.008792965627498001,0.012345679012345678,0.012658227848101266,0.0,4.630366792070105,2256,758,740,758,747,336,450,351,372,1005,1251,1134,948,174,0.01132766949858404,0.01249375312343828,0.010494752623688156,0.010994502748625687,0.02924731182795699,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.012121212121212121,0.010983763132760267,0.009126466753585397,0.010354440461967344,0.017632241813602016,4.564376442150019,6003,2001,2001,2001,2325,924,906,558,1290,1815,4188,2301,2511,1191
3,0.016400709219858155,0.013192612137203167,0.021621621621621623,0.014511873350923483,0.049531459170013385,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.021890547263681594,0.011990407673860911,0.023809523809523808,0.010548523206751054,0.0,4.616578176511941,2256,758,740,758,747,336,450,351,372,1005,1251,1134,948,174,0.02348825587206397,0.022988505747126436,0.0239880059970015,0.02348825587206397,0.06064516129032258,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0209366391184573,0.024594078319006684,0.020425901781833986,0.019912385503783353,0.036943744752308987,4.555531865414949,6003,2001,2001,2001,2325,924,906,558,1290,1815,4188,2301,2511,1191
4,0.024379432624113476,0.025065963060686015,0.02027027027027027,0.027704485488126648,0.07362784471218206,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.029850746268656716,0.019984012789768184,0.03439153439153439,0.016877637130801686,0.0,4.592517798674022,2256,758,740,758,747,336,450,351,372,1005,1251,1134,948,174,0.02681992337164751,0.02798600699650175,0.02448775612193903,0.02798600699650175,0.06924731182795699,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.023140495867768594,0.028414517669531996,0.020860495436766623,0.024691358024691357,0.042821158690176324,4.516905243667229,6003,2001,2001,2001,2325,924,906,558,1290,1815,4188,2301,2511,1191
5,0.03634751773049645,0.03430079155672823,0.033783783783783786,0.040897097625329816,0.08299866131191433,0.0,0.0,0.0,0.053763440860215055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.041791044776119404,0.0319744204636291,0.04938271604938271,0.024261603375527425,0.017241379310344827,4.510963196450091,2256,758,740,758,747,336,450,351,372,1005,1251,1134,948,174,0.04147926036981509,0.04397801099450275,0.041979010494752625,0.0384807596201899,0.0778494623655914,0.0,0.0,0.0,0.05271317829457364,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.031955922865013774,0.04560649474689589,0.030421555845284658,0.039824771007566706,0.06633081444164568,4.430016559103261,6003,2001,2001,2001,2325,924,906,558,1290,1815,4188,2301,2511,1191
6,0.02925531914893617,0.03430079155672823,0.02972972972972973,0.023746701846965697,0.06157965194109773,0.0,0.0,0.0,0.053763440860215055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03582089552238806,0.023980815347721823,0.03439153439153439,0.02531645569620253,0.017241379310344827,4.388502296826518,2256,758,740,758,747,336,450,351,372,1005,1251,1134,948,174,0.03731467599533567,0.04047976011994003,0.03648175912043978,0.03498250874562719,0.06666666666666667,0.0,0.0,0.0,0.053488372093023255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03415977961432507,0.03868194842406877,0.03215993046501521,0.03424930306650737,0.05373635600335852,4.305020544740651,6003,2001,2001,2001,2325,924,906,558,1290,1815,4188,2301,2511,1191
7,0.0425531914893617,0.044854881266490766,0.03918918918918919,0.04353562005277045,0.10174029451137885,0.0,0.0,0.0,0.053763440860215055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.051741293532338306,0.035171862509992005,0.054673721340388004,0.03270042194092827,0.017241379310344827,4.229278239798038,2256,758,740,758,747,336,450,351,372,1005,1251,1134,948,174,0.04964184574379477,0.053973013493253376,0.05147426286856572,0.043478260869565216,0.09978494623655915,0.0,0.0,0.0,0.05116279069767442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.050137741046831955,0.0494269340974212,0.03824424163407214,0.04540023894862605,0.08060453400503778,4.150942859462196,6003,2001,2001,2001,2325,924,906,558,1290,1815,4188,2301,2511,1191
8,0.04654255319148936,0.048812664907651716,0.04864864864864865,0.04221635883905013,0.11914323962516733,0.0,0.0,0.0,0.043010752688172046,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05572139303482587,0.03916866506794564,0.06084656084656084,0.03481012658227848,0.017241379310344827,4.145251659636802,2256,758,740,758,747,336,450,351,372,1005,1251,1134,948,174,0.06113609861735799,0.06596701649175413,0.06446776611694154,0.05297351324337831,0.12516129032258064,0.0,0.0,0.0,0.05891472868217054,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06060606060606061,0.0613658070678128,0.0434593654932638,0.05894066109119873,0.09991603694374475,4.067780623848232,6003,2001,2001,2001,2325,924,906,558,1290,1815,4188,2301,2511,1191
9,0.047872340425531915,0.05013192612137203,0.051351351351351354,0.04221635883905013,0.11378848728246319,0.0,0.006666666666666667,0.0,0.053763440860215055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05472636815920398,0.042366107114308556,0.059082892416225746,0.04008438818565401,0.017241379310344827,4.093133669372992,2256,758,740,758,747,336,450,351,372,1005,1251,1134,948,174,0.06296851574212893,0.06796601699150424,0.062468765617191405,0.05847076461769116,0.12473118279569892,0.0,0.00772626931567329,0.0,0.06279069767441861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0628099173553719,0.06303724928366762,0.04650152107779226,0.06172839506172839,0.09739714525608732,4.01602946085551,6003,2001,2001,2001,2325,924,906,558,1290,1815,4188,2301,2511,1191
10,0.05540780141843971,0.052770448548812667,0.06351351351351352,0.05013192612137203,0.12182061579651941,0.0,0.02666666666666667,0.0,0.05913978494623656,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06069651741293532,0.051159072741806554,0.07142857142857142,0.043248945147679324,0.017241379310344827,4.044384624941129,2256,758,740,758,747,336,450,351,372,1005,1251,1134,948,174,0.07113110111610861,0.07446276861569215,0.0734632683658171,0.06546726636681659,0.1281720430107527,0.008658008658008658,0.019867549668874173,0.0,0.07984496124031008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06887052341597796,0.07211079274116523,0.05693176879617558,0.07088809239346874,0.09907640638119228,3.9686796209642576,6003,2001,2001,2001,2325,924,906,558,1290,1815,4188,2301,2511,1191
