epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu
1,0.013297872340425532,0.013192612137203167,0.013513513513513514,0.013192612137203167,0.040160642570281124,0.0,0.0,0.0,0.0,0.33111702127659576,0.32849604221635886,0.3364864864864865,0.32849604221635886,1.0,0.0,0.0,0.0,0.0,0.3701492537313433,0.2997601918465228,0.4603174603174603,0.23734177215189872,0.0,0.014925373134328358,0.011990407673860911,0.018518518518518517,0.00949367088607595,0.0,3.109172929263284,2256,758,740,758,747,336,450,351,372,1005,1251,1134,948,174,0.015492253873063468,0.015492253873063468,0.015492253873063468,0.015492253873063468,0.04,0.0,0.0,0.0,0.0,0.3873063468265867,0.3873063468265867,0.3873063468265867,0.3873063468265867,1.0,0.0,0.0,0.0,0.0,0.371900826446281,0.3939828080229226,0.29335071707953064,0.38829151732377537,0.5667506297229219,0.01487603305785124,0.015759312320916905,0.011734028683181226,0.015531660692951015,0.022670025188916875,3.0841404859093893,6003,2001,2001,2001,2325,924,906,558,1290,1815,4188,2301,2511,1191
2,0.013297872340425532,0.013192612137203167,0.013513513513513514,0.013192612137203167,0.040160642570281124,0.0,0.0,0.0,0.0,0.33111702127659576,0.32849604221635886,0.3364864864864865,0.32849604221635886,1.0,0.0,0.0,0.0,0.0,0.3701492537313433,0.2997601918465228,0.4603174603174603,0.23734177215189872,0.0,0.014925373134328358,0.011990407673860911,0.018518518518518517,0.00949367088607595,0.0,3.1030373539484986,2256,758,740,758,747,336,450,351,372,1005,1251,1134,948,174,0.015492253873063468,0.015492253873063468,0.015492253873063468,0.015492253873063468,0.04,0.0,0.0,0.0,0.0,0.3873063468265867,0.3873063468265867,0.3873063468265867,0.3873063468265867,1.0,0.0,0.0,0.0,0.0,0.371900826446281,0.3939828080229226,0.29335071707953064,0.38829151732377537,0.5667506297229219,0.01487603305785124,0.015759312320916905,0.011734028683181226,0.015531660692951015,0.022670025188916875,3.0442971670089434,6003,2001,2001,2001,2325,924,906,558,1290,1815,4188,2301,2511,1191
3,0.013297872340425532,0.013192612137203167,0.013513513513513514,0.013192612137203167,0.040160642570281124,0.0,0.0,0.0,0.0,0.33111702127659576,0.32849604221635886,0.3364864864864865,0.32849604221635886,1.0,0.0,0.0,0.0,0.0,0.3701492537313433,0.2997601918465228,0.4603174603174603,0.23734177215189872,0.0,0.014925373134328358,0.011990407673860911,0.018518518518518517,0.00949367088607595,0.0,3.099945879997091,2256,758,740,758,747,336,450,351,372,1005,1251,1134,948,174,0.015492253873063468,0.015492253873063468,0.015492253873063468,0.015492253873063468,0.04,0.0,0.0,0.0,0.0,0.3873063468265867,0.3873063468265867,0.3873063468265867,0.3873063468265867,1.0,0.0,0.0,0.0,0.0,0.371900826446281,0.3939828080229226,0.29335071707953064,0.38829151732377537,0.5667506297229219,0.01487603305785124,0.015759312320916905,0.011734028683181226,0.015531660692951015,0.022670025188916875,3.0387949742576628,6003,2001,2001,2001,2325,924,906,558,1290,1815,4188,2301,2511,1191
4,0.013297872340425532,0.013192612137203167,0.013513513513513514,0.013192612137203167,0.040160642570281124,0.0,0.0,0.0,0.0,0.33111702127659576,0.32849604221635886,0.3364864864864865,0.32849604221635886,1.0,0.0,0.0,0.0,0.0,0.3701492537313433,0.2997601918465228,0.4603174603174603,0.23734177215189872,0.0,0.014925373134328358,0.011990407673860911,0.018518518518518517,0.00949367088607595,0.0,3.099081702266179,2256,758,740,758,747,336,450,351,372,1005,1251,1134,948,174,0.015492253873063468,0.015492253873063468,0.015492253873063468,0.015492253873063468,0.04,0.0,0.0,0.0,0.0,0.3873063468265867,0.3873063468265867,0.3873063468265867,0.3873063468265867,1.0,0.0,0.0,0.0,0.0,0.371900826446281,0.3939828080229226,0.29335071707953064,0.38829151732377537,0.5667506297229219,0.01487603305785124,0.015759312320916905,0.011734028683181226,0.015531660692951015,0.022670025188916875,3.0316088293743753,6003,2001,2001,2001,2325,924,906,558,1290,1815,4188,2301,2511,1191
5,0.02171985815602837,0.021108179419525065,0.021621621621621623,0.022427440633245383,0.06559571619812583,0.0,0.0,0.0,0.0,0.33111702127659576,0.32849604221635886,0.3364864864864865,0.32849604221635886,1.0,0.0,0.0,0.0,0.0,0.3701492537313433,0.2997601918465228,0.4603174603174603,0.23734177215189872,0.0,0.022885572139303482,0.020783373301358914,0.029982363315696647,0.015822784810126583,0.0,3.0938146334167915,2256,758,740,758,747,336,450,351,372,1005,1251,1134,948,174,0.02465433949691821,0.025487256371814093,0.0239880059970015,0.02448775612193903,0.06365591397849463,0.0,0.0,0.0,0.0,0.3873063468265867,0.3873063468265867,0.3873063468265867,0.3873063468265867,1.0,0.0,0.0,0.0,0.0,0.371900826446281,0.3939828080229226,0.29335071707953064,0.38829151732377537,0.5667506297229219,0.02203856749311295,0.025787965616045846,0.018252933507170794,0.024691358024691357,0.036943744752308987,3.0276878162481258,6003,2001,2001,2001,2325,924,906,558,1290,1815,4188,2301,2511,1191
6,0.01950354609929078,0.021108179419525065,0.02027027027027027,0.017150395778364115,0.058902275769745646,0.0,0.0,0.0,0.0,0.33111702127659576,0.32849604221635886,0.3364864864864865,0.32849604221635886,1.0,0.0,0.0,0.0,0.0,0.3701492537313433,0.2997601918465228,0.4603174603174603,0.23734177215189872,0.0,0.024875621890547265,0.015187849720223821,0.02204585537918871,0.020042194092827006,0.0,3.0830829430979194,2256,758,740,758,747,336,450,351,372,1005,1251,1134,948,174,0.023155089122105614,0.02448775612193903,0.0239880059970015,0.020989505247376312,0.05978494623655914,0.0,0.0,0.0,0.0,0.3879726803265034,0.38780609695152424,0.38780609695152424,0.38830584707646176,1.0,0.0,0.0,0.0,0.0031007751937984496,0.371900826446281,0.394937917860554,0.29335071707953064,0.38868976503385105,0.5692695214105793,0.0209366391184573,0.024116523400191024,0.01694915254237288,0.025089605734767026,0.031066330814441646,3.0176891128003707,6003,2001,2001,2001,2325,924,906,558,1290,1815,4188,2301,2511,1191
7,0.01374113475177305,0.013192612137203167,0.013513513513513514,0.014511873350923483,0.041499330655957165,0.0,0.0,0.0,0.0,0.33111702127659576,0.32849604221635886,0.3364864864864865,0.32849604221635886,1.0,0.0,0.0,0.0,0.0,0.3701492537313433,0.2997601918465228,0.4603174603174603,0.23734177215189872,0.0,0.015920398009950248,0.011990407673860911,0.019400352733686066,0.00949367088607595,0.0,3.070061758054909,2256,758,740,758,747,336,450,351,372,1005,1251,1134,948,174,0.01649175412293853,0.015992003998001,0.01649175412293853,0.01699150424787606,0.04258064516129032,0.0,0.0,0.0,0.0,0.38913876395135766,0.3888055972013993,0.3888055972013993,0.38980509745127434,1.0,0.0,0.0,0.0,0.008527131782945736,0.371900826446281,0.3966093600764088,0.29335071707953064,0.3914774990043807,0.5692695214105793,0.01487603305785124,0.017191977077363897,0.014341590612777053,0.015531660692951015,0.022670025188916875,3.005268056889524,6003,2001,2001,2001,2325,924,906,558,1290,1815,4188,2301,2511,1191
8,0.013297872340425532,0.013192612137203167,0.013513513513513514,0.013192612137203167,0.040160642570281124,0.0,0.0,0.0,0.0,0.3320035460992908,0.32849604221635886,0.3364864864864865,0.3311345646437995,1.0,0.0,0.0,0.0,0.005376344086021506,0.3711442786069652,0.3005595523581135,0.4603174603174603,0.23945147679324894,0.0,0.014925373134328358,0.011990407673860911,0.018518518518518517,0.00949367088607595,0.0,3.067205199113129,2256,758,740,758,747,336,450,351,372,1005,1251,1134,948,174,0.017991004497751123,0.017491254372813594,0.01699150424787606,0.019490254872563718,0.04086021505376344,0.0010822510822510823,0.0,0.0,0.009302325581395349,0.3926370148259204,0.391304347826087,0.392303848075962,0.39430284857571213,1.0,0.0,0.0,0.0,0.024806201550387597,0.3746556473829201,0.4004297994269341,0.29813124728378965,0.3942652329749104,0.5717884130982368,0.01652892561983471,0.01862464183381089,0.013906996957844416,0.018717642373556352,0.02434928631402183,2.9961643527194735,6003,2001,2001,2001,2325,924,906,558,1290,1815,4188,2301,2511,1191
9,0.027039007092198582,0.026385224274406333,0.02702702702702703,0.027704485488126648,0.06559571619812583,0.002976190476190476,0.0,0.0,0.02956989247311828,0.3421985815602837,0.3390501319261214,0.34594594594594597,0.341688654353562,1.0,0.0,0.0,0.0,0.06720430107526881,0.3880597014925373,0.3053557154276579,0.4673721340388007,0.2542194092827004,0.005747126436781609,0.03482587064676617,0.020783373301358914,0.0291005291005291,0.028481012658227847,0.005747126436781609,3.0255259520618627,2256,758,740,758,747,336,450,351,372,1005,1251,1134,948,174,0.03065134099616858,0.030484757621189407,0.026986506746626688,0.034482758620689655,0.057634408602150536,0.007575757575757576,0.0,0.0,0.03333333333333333,0.41246043644844244,0.4107946026986507,0.4107946026986507,0.41579210394802596,0.9982795698924731,0.0,0.0,0.0,0.12015503875968993,0.3862258953168044,0.42382999044890163,0.3211647109952195,0.4109916367980884,0.5919395465994962,0.026446280991735537,0.03247373447946514,0.030421555845284658,0.026682596575069693,0.03946263643996641,2.9389729166992025,6003,2001,2001,2001,2325,924,906,558,1290,1815,4188,2301,2511,1191
10,0.027039007092198582,0.026385224274406333,0.024324324324324326,0.030343007915567283,0.05488621151271754,0.0,0.0,0.0,0.053763440860215055,0.3537234042553192,0.35224274406332456,0.35135135135135137,0.3575197889182058,0.998661311914324,0.0,0.0,0.0,0.13978494623655913,0.39800995024875624,0.3181454836131095,0.48148148148148145,0.2626582278481013,0.017241379310344827,0.03781094527363184,0.01838529176658673,0.02821869488536155,0.028481012658227847,0.011494252873563218,2.9924147315059146,2256,758,740,758,747,336,450,351,372,1005,1251,1134,948,174,0.03398300849575212,0.03648175912043978,0.030484757621189407,0.03498250874562719,0.04645161290322581,0.0010822510822510823,0.0,0.0,0.07364341085271318,0.42278860569715143,0.4207896051974013,0.4192903548225887,0.42828585707146427,0.9944086021505376,0.0,0.0,0.0,0.17519379844961241,0.3950413223140496,0.4348137535816619,0.33463711429813126,0.41855834328952607,0.6020151133501259,0.02699724517906336,0.037010506208213945,0.03259452411994785,0.030665073675826365,0.0436607892527288,2.8954877216339745,6003,2001,2001,2001,2325,924,906,558,1290,1815,4188,2301,2511,1191
