epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu
1,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.040160642570281124,0.0,0.0,0.0,0.0,0.3221216041397154,0.3221216041397154,0.3221216041397154,0.3221216041397154,1.0,0.0,0.0,0.0,0.0,0.3498233215547703,0.30612244897959184,0.3311036789297659,0.273224043715847,0.46296296296296297,0.014134275618374558,0.012244897959183673,0.013377926421404682,0.01092896174863388,0.018518518518518517,3.1078194062634754,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.015656565656565657,0.015609264853977844,0.015752032520325202,0.015609264853977844,0.04,0.0,0.0,0.0,0.0,0.39141414141414144,0.3902316213494461,0.3938008130081301,0.3902316213494461,1.0,0.0,0.0,0.0,0.0,0.380517503805175,0.3968253968253968,0.3546099290780142,0.3811944091486658,0.5043227665706052,0.015220700152207,0.015873015873015872,0.014184397163120567,0.015247776365946633,0.020172910662824207,3.0806176285149673,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
2,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.040160642570281124,0.0,0.0,0.0,0.0,0.3221216041397154,0.3221216041397154,0.3221216041397154,0.3221216041397154,1.0,0.0,0.0,0.0,0.0,0.3498233215547703,0.30612244897959184,0.3311036789297659,0.273224043715847,0.46296296296296297,0.014134275618374558,0.012244897959183673,0.013377926421404682,0.01092896174863388,0.018518518518518517,3.1141063431924456,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.015656565656565657,0.015609264853977844,0.015752032520325202,0.015609264853977844,0.04,0.0,0.0,0.0,0.0,0.39141414141414144,0.3902316213494461,0.3938008130081301,0.3902316213494461,1.0,0.0,0.0,0.0,0.0,0.380517503805175,0.3968253968253968,0.3546099290780142,0.3811944091486658,0.5043227665706052,0.015220700152207,0.015873015873015872,0.014184397163120567,0.015247776365946633,0.020172910662824207,3.036410008696996,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
3,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.040160642570281124,0.0,0.0,0.0,0.0,0.3221216041397154,0.3221216041397154,0.3221216041397154,0.3221216041397154,1.0,0.0,0.0,0.0,0.0,0.3498233215547703,0.30612244897959184,0.3311036789297659,0.273224043715847,0.46296296296296297,0.014134275618374558,0.012244897959183673,0.013377926421404682,0.01092896174863388,0.018518518518518517,3.1129500441327083,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.015656565656565657,0.015609264853977844,0.015752032520325202,0.015609264853977844,0.04,0.0,0.0,0.0,0.0,0.39141414141414144,0.3902316213494461,0.3938008130081301,0.3902316213494461,1.0,0.0,0.0,0.0,0.0,0.380517503805175,0.3968253968253968,0.3546099290780142,0.3811944091486658,0.5043227665706052,0.015220700152207,0.015873015873015872,0.014184397163120567,0.015247776365946633,0.020172910662824207,3.0293649487222485,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
4,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.040160642570281124,0.0,0.0,0.0,0.0,0.3221216041397154,0.3221216041397154,0.3221216041397154,0.3221216041397154,1.0,0.0,0.0,0.0,0.0,0.3498233215547703,0.30612244897959184,0.3311036789297659,0.273224043715847,0.46296296296296297,0.014134275618374558,0.012244897959183673,0.013377926421404682,0.01092896174863388,0.018518518518518517,3.1104815023733963,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.01734006734006734,0.017623363544813697,0.017276422764227643,0.017119838872104734,0.04430107526881721,0.0,0.0,0.0,0.0,0.39141414141414144,0.3902316213494461,0.3938008130081301,0.3902316213494461,1.0,0.0,0.0,0.0,0.0,0.380517503805175,0.3968253968253968,0.3546099290780142,0.3811944091486658,0.5043227665706052,0.015728056823947234,0.018140589569160998,0.015366430260047281,0.016518424396442185,0.024015369836695485,3.023467544915299,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
5,0.018111254851228976,0.02328589909443726,0.019404915912031046,0.01164294954721863,0.05622489959839357,0.0,0.0,0.0,0.0,0.3221216041397154,0.3221216041397154,0.3221216041397154,0.3221216041397154,1.0,0.0,0.0,0.0,0.0,0.3498233215547703,0.30612244897959184,0.3311036789297659,0.273224043715847,0.46296296296296297,0.016489988221436984,0.01904761904761905,0.0189520624303233,0.014571948998178506,0.027777777777777776,3.1033990291646454,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.019023569023569022,0.019133937562940583,0.018800813008130083,0.019133937562940583,0.048602150537634406,0.0,0.0,0.0,0.0,0.39141414141414144,0.3902316213494461,0.3938008130081301,0.3902316213494461,1.0,0.0,0.0,0.0,0.0,0.380517503805175,0.3968253968253968,0.3546099290780142,0.3811944091486658,0.5043227665706052,0.020294266869609334,0.01839254220206601,0.02009456264775414,0.01736552308343922,0.020172910662824207,3.019110826691393,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
6,0.019404915912031046,0.019404915912031046,0.015523932729624839,0.02328589909443726,0.060240963855421686,0.0,0.0,0.0,0.0,0.3221216041397154,0.3221216041397154,0.3221216041397154,0.3221216041397154,1.0,0.0,0.0,0.0,0.0,0.3498233215547703,0.30612244897959184,0.3311036789297659,0.273224043715847,0.46296296296296297,0.024734982332155476,0.0163265306122449,0.023411371237458192,0.014571948998178506,0.024691358024691357,3.089487908985554,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.018013468013468013,0.019637462235649546,0.018292682926829267,0.016112789526686808,0.046021505376344085,0.0,0.0,0.0,0.0,0.39141414141414144,0.3902316213494461,0.3938008130081301,0.3902316213494461,1.0,0.0,0.0,0.0,0.0,0.380517503805175,0.3968253968253968,0.3546099290780142,0.3811944091486658,0.5043227665706052,0.0197869101978691,0.017132779037540943,0.017336485421591805,0.018636171113934775,0.01825168107588857,3.006848627469355,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
7,0.02630444156964209,0.027166882276843468,0.0258732212160414,0.0258732212160414,0.08165997322623829,0.0,0.0,0.0,0.0,0.3221216041397154,0.3221216041397154,0.3221216041397154,0.3221216041397154,1.0,0.0,0.0,0.0,0.0,0.3498233215547703,0.30612244897959184,0.3311036789297659,0.273224043715847,0.46296296296296297,0.030624263839811542,0.023809523809523808,0.02564102564102564,0.023679417122040074,0.037037037037037035,3.0580137975774173,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.030134680134680136,0.030211480362537766,0.029979674796747968,0.030211480362537766,0.07698924731182796,0.0,0.0,0.0,0.0,0.39141414141414144,0.3902316213494461,0.3938008130081301,0.3902316213494461,1.0,0.0,0.0,0.0,0.0,0.380517503805175,0.3968253968253968,0.3546099290780142,0.3811944091486658,0.5043227665706052,0.0289193302891933,0.03073822121441169,0.02797478329393223,0.029224904701397714,0.037463976945244955,2.9745354854699335,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
8,0.031910306166451054,0.03234152652005175,0.03492884864165589,0.028460543337645538,0.0749665327978581,0.04964539007092199,0.008888888888888889,0.0,0.0,0.32427770590771887,0.32729624838292365,0.32858990944372574,0.3169469598965071,0.8273092369477911,0.20567375886524822,0.0,0.16666666666666666,0.024444444444444446,0.32744405182567726,0.3224489795918367,0.32441471571906355,0.30601092896174864,0.38580246913580246,0.027090694935217905,0.03469387755102041,0.03121516164994426,0.028233151183970857,0.046296296296296294,3.0004476437850367,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.04057239057239057,0.039778449144008056,0.04369918699186992,0.038267875125881166,0.08043010752688172,0.05112474437627812,0.004415011037527594,0.0,0.0,0.42104377104377105,0.4254783484390735,0.42073170731707316,0.4169184290030212,0.9109677419354839,0.2034764826175869,0.0,0.3179190751445087,0.015676567656765675,0.42364282090309485,0.41975308641975306,0.3735224586288416,0.4332909783989835,0.5091258405379443,0.040081177067478435,0.04081632653061224,0.03230890464933018,0.04404913172384583,0.052833813640730067,2.902705789174295,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
9,0.028891763691246228,0.029754204398447608,0.03234152652005175,0.02457956015523933,0.05220883534136546,0.07801418439716312,0.013333333333333334,0.0,0.0,0.31867184131090986,0.3208279430789133,0.32858990944372574,0.30659767141009053,0.6492637215528781,0.0,0.0,0.4256410256410256,0.19555555555555557,0.31095406360424027,0.3231292517006803,0.2686733556298774,0.3333333333333333,0.4074074074074074,0.023557126030624265,0.03197278911564626,0.027870680044593088,0.03278688524590164,0.018518518518518517,2.9553895122072418,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.04141414141414142,0.04179254783484391,0.04522357723577236,0.03726082578046324,0.07440860215053763,0.06339468302658487,0.011037527593818985,0.0,0.0008250825082508251,0.4102693602693603,0.41943605236656595,0.4192073170731707,0.39224572004028196,0.7870967741935484,0.0,0.0,0.5722543352601156,0.25577557755775576,0.4079147640791476,0.41143864953388765,0.36997635933806144,0.4256670902160102,0.473583093179635,0.0426179604261796,0.04081632653061224,0.034278959810874705,0.044472681067344345,0.05187319884726225,2.8535360830801504,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
10,0.036653730056058646,0.03880983182406209,0.04139715394566624,0.029754204398447608,0.05220883534136546,0.0673758865248227,0.008888888888888889,0.007692307692307693,0.044444444444444446,0.32902112979732645,0.33247089262613194,0.34023285899094435,0.314359637774903,0.6398929049531459,0.024822695035460994,0.0,0.4205128205128205,0.25333333333333335,0.33451118963486454,0.3258503401360544,0.28205128205128205,0.33697632058287796,0.43209876543209874,0.024734982332155476,0.04353741496598639,0.030100334448160536,0.040983606557377046,0.040123456790123455,2.8802230459906615,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.05185185185185185,0.05085599194360524,0.054878048780487805,0.04984894259818731,0.08344086021505376,0.049079754601226995,0.0033112582781456954,0.01348747591522158,0.0462046204620462,0.4228956228956229,0.4259818731117825,0.4344512195121951,0.4083585095669688,0.7944086021505377,0.03783231083844581,0.0,0.5664739884393064,0.2755775577557756,0.4241501775748351,0.42227261274880323,0.37903861308116626,0.44006776789495977,0.4908741594620557,0.055301877219685436,0.05013857394809776,0.042947202521670606,0.053367217280813214,0.07012487992315082,2.7726612746113477,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
