epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu
1,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.040160642570281124,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014134275618374558,0.012244897959183673,0.013377926421404682,0.01092896174863388,0.018518518518518517,4.64024531342645,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.015656565656565657,0.015609264853977844,0.015752032520325202,0.015609264853977844,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.015220700152207,0.015873015873015872,0.014184397163120567,0.015247776365946633,0.020172910662824207,4.620437015828862,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
2,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.040160642570281124,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014134275618374558,0.012244897959183673,0.013377926421404682,0.01092896174863388,0.018518518518518517,4.642756413981647,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.015656565656565657,0.015609264853977844,0.015752032520325202,0.015609264853977844,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.015220700152207,0.015873015873015872,0.014184397163120567,0.015247776365946633,0.020172910662824207,4.568416978213121,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
3,0.013799051315222079,0.014230271668822769,0.014230271668822769,0.0129366106080207,0.0428380187416332,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.020023557126030624,0.01020408163265306,0.01560758082497213,0.01366120218579235,0.009259259259259259,4.659282965616915,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.01616161616161616,0.017623363544813697,0.01676829268292683,0.014098690835850957,0.04129032258064516,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0182648401826484,0.015117157974300832,0.01773049645390071,0.013553578991952562,0.01825168107588857,4.555029440728903,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
4,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.040160642570281124,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014134275618374558,0.012244897959183673,0.013377926421404682,0.01092896174863388,0.018518518518518517,4.62643836623073,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.015656565656565657,0.015609264853977844,0.015752032520325202,0.015609264853977844,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.015220700152207,0.015873015873015872,0.014184397163120567,0.015247776365946633,0.020172910662824207,4.540562403001368,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
5,0.014661492022423459,0.0129366106080207,0.014230271668822769,0.016817593790426907,0.04551539491298527,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02237926972909305,0.01020408163265306,0.017837235228539576,0.01092896174863388,0.018518518518518517,4.591353073876806,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.018686868686868686,0.01812688821752266,0.018800813008130083,0.019133937562940583,0.04774193548387097,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.020801623541349568,0.01763668430335097,0.0169424743892829,0.0169419737399407,0.026897214217098942,4.498550528067129,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
6,0.030616645105648987,0.031047865459249677,0.031047865459249677,0.029754204398447608,0.07630522088353414,0.0,0.0022222222222222222,0.0,0.028888888888888888,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03769140164899882,0.026530612244897958,0.033444816053511704,0.0273224043715847,0.033950617283950615,4.492852596333953,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.030471380471380472,0.03272910372608258,0.029979674796747968,0.028700906344410877,0.07182795698924731,0.0,0.0033112582781456954,0.0,0.009075907590759076,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0273972602739726,0.03199798437893676,0.027580772261623327,0.028801355357899194,0.04130643611911623,4.400454701638783,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
7,0.037516170763260026,0.03622250970245795,0.03622250970245795,0.040103492884864166,0.0749665327978581,0.03546099290780142,0.013333333333333334,0.0,0.03333333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04240282685512368,0.03469387755102041,0.033444816053511704,0.03825136612021858,0.046296296296296294,4.34966390921464,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.0436026936026936,0.04632426988922457,0.04217479674796748,0.04229607250755287,0.08516129032258064,0.023517382413087935,0.004415011037527594,0.0,0.028052805280528052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04515474378488077,0.04283194759385236,0.032702915681639085,0.053367217280813214,0.04803073967339097,4.246467893452757,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
8,0.045278137128072445,0.03880983182406209,0.04657179818887452,0.050452781371280724,0.12315930388219545,0.0425531914893617,0.0,0.0,0.0022222222222222222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04122497055359246,0.047619047619047616,0.046822742474916385,0.04189435336976321,0.05246913580246913,4.207110050887371,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.05185185185185185,0.0513595166163142,0.054878048780487805,0.04934541792547835,0.10795698924731183,0.04805725971370143,0.0,0.0,0.00825082508250825,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0547945205479452,0.05039052658100277,0.036249014972419225,0.06607369758576874,0.05763688760806916,4.102530123007418,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
9,0.048727899956877964,0.047865459249676584,0.047865459249676584,0.050452781371280724,0.11646586345381527,0.03546099290780142,0.006666666666666667,0.0,0.028888888888888888,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06007067137809187,0.04217687074829932,0.04905239687848383,0.04371584699453552,0.06481481481481481,4.125974667488681,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.055723905723905724,0.05689828801611279,0.056910569105691054,0.05337361530715005,0.11182795698924732,0.028629856850715747,0.0033112582781456954,0.0,0.033003300330033,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.060882800608828,0.05316200554295793,0.04373522458628842,0.062261753494282084,0.07012487992315082,4.016478094749579,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
10,0.04915912031047866,0.047865459249676584,0.0517464424320828,0.047865459249676584,0.12182061579651941,0.03546099290780142,0.0,0.0,0.028888888888888888,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05889281507656066,0.04353741496598639,0.045707915273132664,0.04918032786885246,0.05864197530864197,4.092707743774256,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.05858585858585859,0.05740181268882175,0.05945121951219512,0.05891238670694864,0.12,0.026584867075664622,0.0,0.0,0.03547854785478548,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06443429731100964,0.05568153187200806,0.042159180457052796,0.07285048708174502,0.06628242074927954,3.9654670073127103,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
