epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu
1,0.013799051315222079,0.014230271668822769,0.0129366106080207,0.014230271668822769,0.0428380187416332,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.015312131919905771,0.01292517006802721,0.014492753623188406,0.011839708561020037,0.018518518518518517,4.634361566475313,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.019023569023569022,0.019133937562940583,0.019308943089430895,0.01863041289023162,0.048602150537634406,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018772196854388634,0.019148400100781053,0.017336485421591805,0.021177467174925878,0.01825168107588857,4.6132773864951595,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
2,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.040160642570281124,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014134275618374558,0.012244897959183673,0.013377926421404682,0.01092896174863388,0.018518518518518517,4.652886986578267,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.015656565656565657,0.015609264853977844,0.015752032520325202,0.015609264853977844,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.015220700152207,0.015873015873015872,0.014184397163120567,0.015247776365946633,0.020172910662824207,4.555863690617109,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
3,0.008193186718413108,0.00517464424320828,0.01164294954721863,0.007761966364812419,0.025435073627844713,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.008244994110718492,0.00816326530612245,0.011148272017837236,0.006375227686703097,0.006172839506172839,4.617368842055439,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.008585858585858586,0.008056394763343404,0.009146341463414634,0.008559919436052367,0.02193548387096774,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.008625063419583967,0.008566389518770472,0.01024428684003152,0.007623888182973317,0.0067243035542747355,4.531226613465383,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
4,0.0129366106080207,0.014230271668822769,0.0129366106080207,0.01164294954721863,0.040160642570281124,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.012956419316843345,0.01292517006802721,0.013377926421404682,0.01092896174863388,0.018518518518518517,4.572757959468656,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.013973063973063972,0.012588116817724069,0.01524390243902439,0.014098690835850957,0.03526881720430108,0.0010224948875255625,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014713343480466767,0.013605442176870748,0.012214342001576044,0.014824227022448115,0.01633045148895293,4.485365660182555,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
5,0.028460543337645538,0.028460543337645538,0.028460543337645538,0.028460543337645538,0.07228915662650602,0.0425531914893617,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.028268551236749116,0.02857142857142857,0.032329988851727984,0.02459016393442623,0.030864197530864196,4.464401580692108,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.039057239057239054,0.038267875125881166,0.037601626016260166,0.041289023162134945,0.07827956989247312,0.05112474437627812,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.033992897006595635,0.04157218442932729,0.031914893617021274,0.04150783566285472,0.05091258405379443,4.36405547170928,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
6,0.031047865459249677,0.03363518758085381,0.03880983182406209,0.02069857697283312,0.058902275769745646,0.09929078014184398,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03415783274440518,0.029251700680272108,0.04124860646599777,0.02185792349726776,0.033950617283950615,4.2922758601666935,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.04663299663299663,0.04682779456193353,0.046747967479674794,0.04632426988922457,0.07913978494623657,0.09406952965235174,0.0,0.0,0.0008250825082508251,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.041603247082699135,0.0491307634164777,0.03743104806934594,0.049978822532825075,0.06147934678194044,4.153694455952757,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
7,0.053471323846485556,0.050452781371280724,0.05304010349288486,0.056921086675291076,0.12182061579651941,0.05319148936170213,0.0,0.0,0.04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04711425206124853,0.05714285714285714,0.04905239687848383,0.04644808743169399,0.08950617283950617,4.129692995532826,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.06414141414141414,0.06948640483383686,0.0625,0.06042296072507553,0.12301075268817205,0.06441717791411043,0.0,0.0,0.026402640264026403,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0578386605783866,0.0672713529856387,0.055161544523246654,0.06649724692926726,0.08069164265129683,3.967792590619739,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
8,0.05217766278568348,0.055627425614489,0.050452781371280724,0.050452781371280724,0.12449799196787148,0.0425531914893617,0.006666666666666667,0.0,0.028888888888888888,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.050647820965842166,0.053061224489795916,0.057971014492753624,0.037340619307832425,0.08641975308641975,3.9967861660804767,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.06380471380471381,0.06092648539778449,0.06605691056910569,0.06445115810674723,0.12387096774193548,0.050102249488752554,0.0011037527593818985,0.0,0.03382838283828383,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05733130390664637,0.06701940035273368,0.05279747832939322,0.06565014824227022,0.08645533141210375,3.8447277544323444,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
9,0.053471323846485556,0.062095730918499355,0.04915912031047866,0.04915912031047866,0.12717536813922356,0.04964539007092199,0.0,0.0,0.03333333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05771495877502945,0.05102040816326531,0.059085841694537344,0.03551912568306011,0.09876543209876543,3.9317034762087646,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.07222222222222222,0.07150050352467271,0.07317073170731707,0.07200402819738168,0.1389247311827957,0.05521472392638037,0.0,0.0,0.0429042904290429,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0669710806697108,0.07482993197278912,0.06185973207249803,0.0724269377382465,0.09702209414024976,3.772414226082439,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
10,0.056058645968089696,0.06080206985769728,0.054333764553686936,0.05304010349288486,0.12583668005354753,0.0425531914893617,0.0,0.0,0.05333333333333334,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06949352179034157,0.04829931972789116,0.06354515050167224,0.03642987249544627,0.10185185185185185,3.908955076019432,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.07693602693602694,0.07603222557905337,0.07571138211382114,0.07905337361530715,0.1406451612903226,0.05930470347648262,0.0,0.0,0.0594059405940594,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0730593607305936,0.07886117409926933,0.06501182033096926,0.08005082592121983,0.0989433237271854,3.7403379087094906,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
