epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu
1,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.040160642570281124,0.0,0.0,0.0,0.0,0.3221216041397154,0.3221216041397154,0.3221216041397154,0.3221216041397154,1.0,0.0,0.0,0.0,0.0,0.3498233215547703,0.30612244897959184,0.3311036789297659,0.273224043715847,0.46296296296296297,0.014134275618374558,0.012244897959183673,0.013377926421404682,0.01092896174863388,0.018518518518518517,3.1082187798990675,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.015656565656565657,0.015609264853977844,0.015752032520325202,0.015609264853977844,0.04,0.0,0.0,0.0,0.0,0.39141414141414144,0.3902316213494461,0.3938008130081301,0.3902316213494461,1.0,0.0,0.0,0.0,0.0,0.380517503805175,0.3968253968253968,0.3546099290780142,0.3811944091486658,0.5043227665706052,0.015220700152207,0.015873015873015872,0.014184397163120567,0.015247776365946633,0.020172910662824207,3.08149607237742,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
2,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.040160642570281124,0.0,0.0,0.0,0.0,0.3221216041397154,0.3221216041397154,0.3221216041397154,0.3221216041397154,1.0,0.0,0.0,0.0,0.0,0.3498233215547703,0.30612244897959184,0.3311036789297659,0.273224043715847,0.46296296296296297,0.014134275618374558,0.012244897959183673,0.013377926421404682,0.01092896174863388,0.018518518518518517,3.115728078087942,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.015656565656565657,0.015609264853977844,0.015752032520325202,0.015609264853977844,0.04,0.0,0.0,0.0,0.0,0.39141414141414144,0.3902316213494461,0.3938008130081301,0.3902316213494461,1.0,0.0,0.0,0.0,0.0,0.380517503805175,0.3968253968253968,0.3546099290780142,0.3811944091486658,0.5043227665706052,0.015220700152207,0.015873015873015872,0.014184397163120567,0.015247776365946633,0.020172910662824207,3.036702371205545,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
3,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.040160642570281124,0.0,0.0,0.0,0.0,0.3221216041397154,0.3221216041397154,0.3221216041397154,0.3221216041397154,1.0,0.0,0.0,0.0,0.0,0.3498233215547703,0.30612244897959184,0.3311036789297659,0.273224043715847,0.46296296296296297,0.014134275618374558,0.012244897959183673,0.013377926421404682,0.01092896174863388,0.018518518518518517,3.112149559767815,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.015656565656565657,0.015609264853977844,0.015752032520325202,0.015609264853977844,0.04,0.0,0.0,0.0,0.0,0.39141414141414144,0.3902316213494461,0.3938008130081301,0.3902316213494461,1.0,0.0,0.0,0.0,0.0,0.380517503805175,0.3968253968253968,0.3546099290780142,0.3811944091486658,0.5043227665706052,0.015220700152207,0.015873015873015872,0.014184397163120567,0.015247776365946633,0.020172910662824207,3.0288606072114375,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
4,0.017680034497628287,0.018111254851228976,0.016817593790426907,0.018111254851228976,0.05488621151271754,0.0,0.0,0.0,0.0,0.3221216041397154,0.3221216041397154,0.3221216041397154,0.3221216041397154,1.0,0.0,0.0,0.0,0.0,0.3498233215547703,0.30612244897959184,0.3311036789297659,0.273224043715847,0.46296296296296297,0.020023557126030624,0.0163265306122449,0.0189520624303233,0.01639344262295082,0.018518518518518517,3.1081789583417554,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.01936026936026936,0.01863041289023162,0.018800813008130083,0.020644511581067473,0.04946236559139785,0.0,0.0,0.0,0.0,0.39141414141414144,0.3902316213494461,0.3938008130081301,0.3902316213494461,1.0,0.0,0.0,0.0,0.0,0.380517503805175,0.3968253968253968,0.3546099290780142,0.3811944091486658,0.5043227665706052,0.017757483510908167,0.020156210632401108,0.018912529550827423,0.018212621770436255,0.023054755043227664,3.0204107830420086,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
5,0.02544200086244071,0.02328589909443726,0.02328589909443726,0.029754204398447608,0.07898259705488621,0.0,0.0,0.0,0.0,0.32470892626131953,0.32470892626131953,0.32470892626131953,0.32470892626131953,1.0,0.0,0.0,0.0,0.013333333333333334,0.3498233215547703,0.31020408163265306,0.3311036789297659,0.273224043715847,0.48148148148148145,0.023557126030624265,0.026530612244897958,0.020066889632107024,0.023679417122040074,0.046296296296296294,3.0985077417529108,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.02239057239057239,0.021148036253776436,0.020833333333333332,0.025176233635448138,0.05720430107526882,0.0,0.0,0.0,0.0,0.3925925925925926,0.39123867069486407,0.3943089430894309,0.39224572004028196,1.0,0.0,0.0,0.0,0.005775577557755775,0.380517503805175,0.3985890652557319,0.3546099290780142,0.3841592545531554,0.5043227665706052,0.020294266869609334,0.02343159486016629,0.019700551615445233,0.0241423125794155,0.024975984630163303,3.006294933794323,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
6,0.016386373436826217,0.018111254851228976,0.0129366106080207,0.018111254851228976,0.04685408299866131,0.010638297872340425,0.0,0.0,0.0,0.3320396722725313,0.33247089262613194,0.3298835705045278,0.33376455368693403,0.9959839357429718,0.0,0.0,0.0,0.057777777777777775,0.3580683156654888,0.31700680272108844,0.3366778149386845,0.28051001821493626,0.49382716049382713,0.014134275618374558,0.017687074829931974,0.0189520624303233,0.01366120218579235,0.018518518518518517,3.084831445059832,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.018013468013468013,0.017623363544813697,0.017784552845528455,0.01863041289023162,0.043010752688172046,0.007157464212678937,0.0,0.0,0.0,0.39966329966329966,0.39778449144008055,0.40040650406504064,0.40080563947633435,1.0,0.0,0.0,0.0,0.040429042904290426,0.3876204972095383,0.4056437389770723,0.3624901497241923,0.39178314273612874,0.5081652257444764,0.018772196854388634,0.01763668430335097,0.018518518518518517,0.016518424396442185,0.020172910662824207,2.9817138569122212,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
7,0.018111254851228976,0.018111254851228976,0.014230271668822769,0.02199223803363519,0.04417670682730924,0.031914893617021274,0.0,0.0,0.0,0.3385079775765416,0.34152652005174644,0.33376455368693403,0.34023285899094435,0.9946452476572959,0.0,0.0,0.0,0.09333333333333334,0.3663133097762073,0.3224489795918367,0.3455964325529543,0.28233151183970856,0.5092592592592593,0.0176678445229682,0.018367346938775512,0.021181716833890748,0.014571948998178506,0.021604938271604937,3.073906836400725,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.022053872053872055,0.022155085599194362,0.018292682926829267,0.0256797583081571,0.04430107526881721,0.028629856850715747,0.0,0.0,0.0,0.40606060606060607,0.40584088620342396,0.4065040650406504,0.40584088620342396,0.9987096774193548,0.0,0.0,0.0,0.07425742574257425,0.39167935058346015,0.41320231796422274,0.36879432624113473,0.39813638288860653,0.5148895292987512,0.0243531202435312,0.02091206853111615,0.02009456264775414,0.02244811520542143,0.025936599423631124,2.9607373272931135,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
8,0.02371711944803795,0.02199223803363519,0.02199223803363519,0.027166882276843468,0.04819277108433735,0.024822695035460994,0.0,0.0,0.02666666666666667,0.34583872358775336,0.34928848641655885,0.34023285899094435,0.34799482535575677,0.9933065595716198,0.0,0.0,0.0,0.13333333333333333,0.375736160188457,0.32857142857142857,0.3534002229654404,0.28688524590163933,0.5246913580246914,0.027090694935217905,0.021768707482993196,0.027870680044593088,0.01912568306010929,0.027777777777777776,3.042750955296262,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.025925925925925925,0.026183282980866064,0.022357723577235773,0.02920443101711984,0.043440860215053764,0.02556237218813906,0.0,0.0,0.0231023102310231,0.413973063973064,0.4123867069486405,0.41310975609756095,0.4164149043303122,0.9978494623655914,0.0,0.0,0.0,0.11468646864686469,0.39776763064434295,0.4220206601158982,0.37706855791962174,0.4078780177890724,0.5177713736791547,0.0258751902587519,0.025951121189216428,0.0252167060677699,0.024989411266412537,0.029779058597502402,2.928487296056266,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
9,0.028460543337645538,0.028460543337645538,0.02328589909443726,0.03363518758085381,0.050870147255689425,0.014184397163120567,0.0,0.0,0.05333333333333334,0.3475636050021561,0.35316946959896506,0.3389391979301423,0.35058214747736094,0.9959839357429718,0.0,0.0,0.0,0.13777777777777778,0.37809187279151946,0.3299319727891156,0.35228539576365664,0.2887067395264117,0.5339506172839507,0.030624263839811542,0.027210884353741496,0.030100334448160536,0.026411657559198543,0.030864197530864196,3.00642819423108,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.03518518518518519,0.033736153071500505,0.03048780487804878,0.041289023162134945,0.05075268817204301,0.013292433537832311,0.0,0.0,0.06435643564356436,0.41515151515151516,0.41389728096676737,0.41260162601626016,0.418932527693857,0.9987096774193548,0.0,0.0,0.0,0.1188118811881188,0.3987823439878234,0.42328042328042326,0.37903861308116626,0.4104193138500635,0.5139289145052833,0.03145611364789447,0.037037037037037035,0.03309692671394799,0.037695891571368066,0.0345821325648415,2.892101619219539,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
10,0.03406640793445451,0.03492884864165589,0.02328589909443726,0.04398447606727038,0.0642570281124498,0.0035460992907801418,0.0,0.0,0.06666666666666667,0.3510133678309616,0.35446313065976714,0.3428201811125485,0.35575679172056923,0.9946452476572959,0.0,0.0,0.0,0.15777777777777777,0.3839811542991755,0.33197278911564626,0.35674470457079155,0.290528233151184,0.5401234567901234,0.02944640753828033,0.036734693877551024,0.027870680044593088,0.033697632058287796,0.05246913580246913,2.966962477933646,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,0.034511784511784514,0.03121852970795569,0.031504065040650404,0.04078549848942598,0.056344086021505375,0.003067484662576687,0.0,0.0,0.05858085808580858,0.419023569023569,0.41842900302114805,0.41615853658536583,0.42245720040281975,0.9978494623655914,0.0,0.0,0.0,0.13943894389438943,0.4028411973617453,0.4270597127739985,0.3837667454688731,0.41380770859805166,0.5168107588856868,0.032470826991374935,0.03552532123960695,0.032702915681639085,0.038966539601863616,0.02881844380403458,2.8565785828664247,5940,1986,1968,1986,2325,978,906,519,1212,1971,3969,2538,2361,1041
