epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.0178491744756805,0.01740294511378849,0.018741633199464525,0.01740294511378849,0.05925925925925926,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016203703703703703,0.01824212271973466,0.009259259259259259,0.019267822736030827,0.035398230088495575,0.025396825396825397,0.0,4.629161448310604,2241,747,747,747,675,288,444,336,498,432,1809,864,1038,339,1575,666,0.021040424121935058,0.019880715705765408,0.02186878727634195,0.021371769383697812,0.052982895285773886,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01968174204355109,0.021929824561403508,0.020225593154414623,0.01927019270192702,0.02729044834307992,0.026474880133416718,0.0,4.579840779541501,6036,2012,2012,2012,2397,972,912,573,1182,2388,3648,2571,2439,1026,4797,1239
2,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013888888888888888,0.011608623548922056,0.006944444444444444,0.011560693641618497,0.02654867256637168,0.017142857142857144,0.0,4.651263800863175,2241,747,747,747,675,288,444,336,498,432,1809,864,1038,339,1575,666,0.015904572564612324,0.015904572564612324,0.015904572564612324,0.015904572564612324,0.04005006257822278,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01507537688442211,0.01644736842105263,0.01633605600933489,0.014760147601476014,0.017543859649122806,0.020012507817385866,0.0,4.563207202908849,6036,2012,2012,2012,2397,972,912,573,1182,2388,3648,2571,2439,1026,4797,1239
3,0.013386880856760375,0.013386880856760375,0.012048192771084338,0.014725568942436412,0.044444444444444446,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013888888888888888,0.013266998341625208,0.005787037037037037,0.01348747591522158,0.032448377581120944,0.01904761904761905,0.0,4.636681518827045,2241,747,747,747,675,288,444,336,498,432,1809,864,1038,339,1575,666,0.019052352551358516,0.017892644135188866,0.019880715705765408,0.019383697813121274,0.047976637463496036,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016331658291457288,0.020833333333333332,0.015947102294826914,0.01845018450184502,0.028265107212475632,0.023973316656243485,0.0,4.563850660684332,6036,2012,2012,2012,2397,972,912,573,1182,2388,3648,2571,2439,1026,4797,1239
4,0.013386880856760375,0.013386880856760375,0.014725568942436412,0.012048192771084338,0.044444444444444446,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016203703703703703,0.01271420674405749,0.006944444444444444,0.012524084778420038,0.032448377581120944,0.01904761904761905,0.0,4.642034065079764,2241,747,747,747,675,288,444,336,498,432,1809,864,1038,339,1575,666,0.017064280980781974,0.01739562624254473,0.016898608349900597,0.016898608349900597,0.04297037964121819,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013819095477386936,0.01918859649122807,0.015947102294826914,0.017220172201722016,0.01949317738791423,0.02147175317907025,0.0,4.558563090855906,6036,2012,2012,2012,2397,972,912,573,1182,2388,3648,2571,2439,1026,4797,1239
5,0.012940651494868362,0.013386880856760375,0.012048192771084338,0.013386880856760375,0.04296296296296296,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016203703703703703,0.012161415146489774,0.008101851851851851,0.011560693641618497,0.029498525073746312,0.018412698412698412,0.0,4.632951864968555,2241,747,747,747,675,288,444,336,498,432,1809,864,1038,339,1575,666,0.016235917826375082,0.016401590457256462,0.015904572564612324,0.016401590457256462,0.040884438881935756,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.015494137353433836,0.016721491228070175,0.017113963438350838,0.014760147601476014,0.017543859649122806,0.020429435063581407,0.0,4.549936283179827,6036,2012,2012,2012,2397,972,912,573,1182,2388,3648,2571,2439,1026,4797,1239
6,0.0178491744756805,0.01606425702811245,0.01606425702811245,0.0214190093708166,0.05925925925925926,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018518518518518517,0.017689331122166942,0.009259259259259259,0.015414258188824663,0.0471976401179941,0.025396825396825397,0.0,4.601801983323921,2241,747,747,747,675,288,444,336,498,432,1809,864,1038,339,1575,666,0.02186878727634195,0.021371769383697812,0.019383697813121274,0.02485089463220676,0.05506883604505632,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.023031825795644893,0.021107456140350877,0.024893037728510307,0.01886018860188602,0.021442495126705652,0.027517198248905566,0.0,4.514286331975594,6036,2012,2012,2012,2397,972,912,573,1182,2388,3648,2571,2439,1026,4797,1239
7,0.03034359660865685,0.030789825970548863,0.0321285140562249,0.028112449799196786,0.10074074074074074,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04398148148148148,0.027086788280818133,0.019675925925925927,0.031791907514450865,0.05309734513274336,0.04317460317460318,0.0,4.452301039008464,2241,747,747,747,675,288,444,336,498,432,1809,864,1038,339,1575,666,0.041915175612988735,0.040755467196819085,0.041749502982107355,0.04324055666003976,0.10387984981226533,0.0,0.003289473684210526,0.0,0.0008460236886632825,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04313232830820771,0.04111842105263158,0.045507584597432905,0.03731037310373104,0.043859649122807015,0.05232436939754013,0.0016142050040355124,4.354808991914399,6036,2012,2012,2012,2397,972,912,573,1182,2388,3648,2571,2439,1026,4797,1239
8,0.04417670682730924,0.050870147255689425,0.038821954484605084,0.0428380187416332,0.11851851851851852,0.06597222222222222,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04398148148148148,0.04422332780541736,0.02662037037037037,0.04527938342967245,0.0855457227138643,0.06285714285714286,0.0,4.282871775731397,2241,747,747,747,675,288,444,336,498,432,1809,864,1038,339,1575,666,0.04324055666003976,0.044234592445328035,0.03777335984095427,0.04771371769383698,0.08260325406758448,0.06481481481481481,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04648241206030151,0.04111842105263158,0.038506417736289385,0.04305043050430504,0.05555555555555555,0.054409005628517824,0.0,4.152109620111363,6036,2012,2012,2012,2397,972,912,573,1182,2388,3648,2571,2439,1026,4797,1239
9,0.04462293618920125,0.04417670682730924,0.040160642570281124,0.049531459170013385,0.11407407407407408,0.052083333333333336,0.0,0.0,0.01606425702811245,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.034722222222222224,0.046987285793255944,0.032407407407407406,0.03757225433526012,0.09734513274336283,0.06222222222222222,0.003003003003003003,4.2266147652676676,2241,747,747,747,675,288,444,336,498,432,1809,864,1038,339,1575,666,0.050033134526176276,0.04920477137176938,0.04473161033797217,0.05616302186878728,0.09052982895285774,0.051440329218107,0.0,0.0,0.02961082910321489,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05443886097152429,0.047149122807017545,0.048230260598988724,0.05412054120541206,0.04483430799220273,0.06128830519074421,0.00645682001614205,4.096386302141577,6036,2012,2012,2012,2397,972,912,573,1182,2388,3648,2571,2439,1026,4797,1239
10,0.04863900044622936,0.049531459170013385,0.03748326639892905,0.058902275769745646,0.1348148148148148,0.04513888888888889,0.0,0.0,0.010040160642570281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04398148148148148,0.04975124378109453,0.03125,0.046242774566473986,0.10029498525073746,0.06857142857142857,0.0015015015015015015,4.168748670898873,2241,747,747,747,675,288,444,336,498,432,1809,864,1038,339,1575,666,0.05616302186878728,0.059145129224652086,0.04622266401590457,0.06312127236580517,0.11514392991239049,0.03806584362139918,0.0,0.0,0.021996615905245348,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06825795644891122,0.04824561403508772,0.056398288603656165,0.05576055760557606,0.056530214424951264,0.069626850114655,0.004035512510088781,4.025783996379794,6036,2012,2012,2012,2397,972,912,573,1182,2388,3648,2571,2439,1026,4797,1239
