epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.015050907481186366,0.01593625498007968,0.013280212483399735,0.01593625498007968,0.050595238095238096,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.020833333333333332,0.01178101178101178,0.01643192488262911,0.011363636363636364,0.021164021164021163,0.018826135105204873,0.0,4.6292363099684595,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.024094383516118312,0.023429710867397806,0.024426719840478565,0.024426719840478565,0.06041666666666667,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.026447105788423155,0.0229197807673144,0.02086230876216968,0.023836126629422718,0.030612244897959183,0.03175646079719667,0.0,4.585636239069251,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
2,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010395010395010396,0.011737089201877934,0.011363636363636364,0.015873015873015872,0.014950166112956811,0.0,4.63448773806683,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,0.02102496714848883,0.0,4.563285424488254,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
3,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010395010395010396,0.011737089201877934,0.011363636363636364,0.015873015873015872,0.014950166112956811,0.0,4.609909645273074,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,0.02102496714848883,0.0,4.539979426953514,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
4,0.03054448871181939,0.02656042496679947,0.02656042496679947,0.03851261620185923,0.10267857142857142,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03676470588235294,0.02702702702702703,0.027386541471048513,0.03156565656565657,0.047619047619047616,0.03820598006644518,0.0,4.514187661247371,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.03788634097706879,0.036889332003988036,0.03838484546360917,0.03838484546360917,0.09416666666666666,0.0,0.0,0.002347417840375587,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.029940119760479042,0.04185351270553064,0.03523412146499768,0.03240223463687151,0.055272108843537414,0.04971528690319755,0.0006887052341597796,4.442020374423604,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
5,0.029216467463479414,0.02656042496679947,0.029216467463479414,0.03187250996015936,0.09523809523809523,0.0,0.0,0.03508771929824561,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03676470588235294,0.02494802494802495,0.026604068857589983,0.03282828282828283,0.031746031746031744,0.035437430786267994,0.004415011037527594,4.2811022889777695,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.044533067464273844,0.045862412761714856,0.045862412761714856,0.04187437686939183,0.09583333333333334,0.0,0.0,0.04460093896713615,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03942115768463074,0.04708520179372197,0.04218822438572091,0.04022346368715084,0.058673469387755105,0.052562417871222074,0.01928374655647383,4.200150950955726,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
6,0.049136786188579015,0.043824701195219126,0.04648074369189907,0.057104913678618856,0.12648809523809523,0.0,0.007575757575757576,0.0,0.03758169934640523,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.051470588235294115,0.04781704781704782,0.04225352112676056,0.05176767676767677,0.08465608465608465,0.058693244739756366,0.011037527593818985,4.090698026038209,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.06563642406114989,0.0707876370887338,0.059322033898305086,0.06679960119641076,0.14541666666666667,0.0,0.009375,0.0,0.03464419475655431,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06437125748502993,0.06626806178375685,0.0593416782568382,0.05921787709497207,0.09183673469387756,0.08453788874288218,0.006198347107438017,4.0261112211867,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
7,0.05843293492695883,0.057104913678618856,0.049136786188579015,0.06905710491367861,0.14583333333333334,0.0,0.0025252525252525255,0.0,0.05392156862745098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0625,0.056133056133056136,0.05086071987480438,0.06944444444444445,0.06349206349206349,0.06976744186046512,0.013245033112582781,4.021794657308267,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.062479228979727484,0.06530408773678963,0.054336989032901295,0.06779661016949153,0.13416666666666666,0.0,0.0,0.0,0.05056179775280899,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.058383233532934134,0.0645241654210264,0.0602688919796013,0.054748603351955305,0.08418367346938775,0.07928164695575997,0.009641873278236915,3.953292872034937,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
8,0.08100929614873838,0.07171314741035857,0.07835325365205843,0.09296148738379814,0.19345238095238096,0.0,0.045454545454545456,0.0,0.05718954248366013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0821078431372549,0.08038808038808039,0.07433489827856025,0.08838383838383838,0.09523809523809523,0.0902547065337763,0.04415011037527594,3.950375148710713,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.0739448321701562,0.07477567298105683,0.06530408773678963,0.08175473579262213,0.1525,0.0,0.01875,0.0035211267605633804,0.054307116104868915,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0718562874251497,0.07498754359740907,0.07834955957348169,0.06405959031657356,0.08843537414965986,0.09286027157249234,0.014462809917355372,3.8744111294047543,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
9,0.07746790615316512,0.06772908366533864,0.07702523240371846,0.08764940239043825,0.16964285714285715,0.0,0.017676767676767676,0.017543859649122806,0.08660130718954248,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07352941176470588,0.07969507969507969,0.07120500782472614,0.08207070707070707,0.10052910052910052,0.09136212624584718,0.02207505518763797,3.8763649287399016,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.0879029577932868,0.08823529411764706,0.08025922233300099,0.09521435692921236,0.17708333333333334,0.0013550135501355014,0.013541666666666667,0.004694835680751174,0.08052434456928839,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08582834331337326,0.08893871449925261,0.09133055169216504,0.07672253258845438,0.10714285714285714,0.1116951379763469,0.013085399449035813,3.7805989989017323,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
10,0.09207613988490483,0.08632138114209828,0.08632138114209828,0.10358565737051793,0.19642857142857142,0.011494252873563218,0.020202020202020204,0.08771929824561403,0.09313725490196079,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08700980392156862,0.09494109494109494,0.07902973395931143,0.10858585858585859,0.1111111111111111,0.10631229235880399,0.03532008830022075,3.776729561787572,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.09056164838816883,0.09122632103688934,0.08823529411764706,0.09222333000997009,0.17791666666666667,0.008130081300813009,0.013541666666666667,0.017605633802816902,0.07865168539325842,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08682634730538923,0.0924265072247135,0.09086694483078349,0.08230912476722532,0.10884353741496598,0.11191414805081033,0.023415977961432508,3.6732528853868085,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
