epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.040160642570281124,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014134275618374558,0.012244897959183673,0.013377926421404682,0.01092896174863388,0.018518518518518517,0.018691588785046728,0.0,4.676573206813956,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.015609264853977844,0.015609264853977844,0.015609264853977844,0.015609264853977844,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.015220700152207,0.01580135440180587,0.014184397163120567,0.015132408575031526,0.020172910662824207,0.019509125235997484,0.0,4.565053437211522,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
2,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.040160642570281124,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014134275618374558,0.012244897959183673,0.013377926421404682,0.01092896174863388,0.018518518518518517,0.018691588785046728,0.0,4.6380158326090175,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.015609264853977844,0.015609264853977844,0.015609264853977844,0.015609264853977844,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.015220700152207,0.01580135440180587,0.014184397163120567,0.015132408575031526,0.020172910662824207,0.019509125235997484,0.0,4.562256986240926,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
3,0.02242345838723588,0.02457956015523933,0.02199223803363519,0.02069857697283312,0.06559571619812583,0.0,0.0,0.0,0.006666666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027090694935217905,0.019727891156462583,0.024526198439241916,0.017304189435336976,0.033950617283950615,0.030529595015576325,0.004201680672268907,4.624106238966823,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.020308828465928165,0.02014098690835851,0.020644511581067473,0.02014098690835851,0.05075268817204301,0.0,0.0,0.0,0.0024390243902439024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0197869101978691,0.02056684223727113,0.018124507486209612,0.01807482135350988,0.03073967339097022,0.025382840360813928,0.0,4.531741743801664,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
4,0.02501078050884002,0.02199223803363519,0.031047865459249677,0.02199223803363519,0.060240963855421686,0.0425531914893617,0.0,0.0,0.0022222222222222222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.020023557126030624,0.027891156462585033,0.023411371237458192,0.022768670309653915,0.037037037037037035,0.03613707165109034,0.0,4.436122695245122,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.03205773749580396,0.03474320241691843,0.030211480362537766,0.03121852970795569,0.05849462365591398,0.04805725971370143,0.0,0.0,0.0065040650406504065,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.038559107052257735,0.028843742162026585,0.026004728132387706,0.03741067675493905,0.0345821325648415,0.03922802601216698,0.0033585222502099076,4.336848335483803,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
5,0.047865459249676584,0.050452781371280724,0.04398447606727038,0.04915912031047866,0.11244979919678715,0.0070921985815602835,0.0022222222222222222,0.0,0.05333333333333334,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05535924617196702,0.04353741496598639,0.054626532887402456,0.03551912568306011,0.07098765432098765,0.06728971962616823,0.004201680672268907,4.186792687024984,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.050016784155756965,0.04934541792547835,0.04632426988922457,0.054380664652567974,0.10021505376344086,0.006134969325153374,0.0011037527593818985,0.0,0.04715447154471545,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0578386605783866,0.046149987459242536,0.04531126871552404,0.05632618747372846,0.04707012487992315,0.061254457730228654,0.005037783375314861,4.114086201063696,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
6,0.06425183268650281,0.06985769728331177,0.059508408796895215,0.06338939197930142,0.14725568942436412,0.0425531914893617,0.0,0.0,0.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06007067137809187,0.06666666666666667,0.06131549609810479,0.05373406193078324,0.10802469135802469,0.08909657320872275,0.008403361344537815,4.117335310882924,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.06545820745216516,0.07301107754279959,0.05639476334340383,0.06696878147029205,0.12387096774193548,0.034764826175869123,0.0,0.0,0.055284552845528454,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08726534753932014,0.05467770253323301,0.057919621749408984,0.07944514501891552,0.05187319884726225,0.08013425634571009,0.006717044500419815,4.047860208634924,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
7,0.07201379905131522,0.07632600258732213,0.056921086675291076,0.08279430789133248,0.1566265060240964,0.01773049645390071,0.017777777777777778,0.0,0.08222222222222222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0800942285041225,0.0673469387755102,0.07357859531772576,0.05555555555555555,0.12345679012345678,0.09657320872274143,0.01680672268907563,4.024780010241483,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.07502517623363544,0.07905337361530715,0.0634441087613293,0.08257804632426989,0.1329032258064516,0.024539877300613498,0.018763796909492272,0.0,0.07886178861788617,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0867579908675799,0.0692249811888638,0.07013396375098503,0.0878520386717108,0.05763688760806916,0.08873505349276274,0.020151133501259445,3.9438347280245574,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
8,0.07761966364812418,0.0815006468305304,0.06727037516170763,0.08408796895213454,0.17001338688085676,0.01773049645390071,0.017777777777777778,0.0,0.08888888888888889,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06949352179034157,0.08231292517006802,0.06243032329988852,0.07194899817850638,0.1388888888888889,0.1015576323987539,0.023809523809523808,3.927042485311557,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.08324941255454851,0.08811681772406849,0.06998992950654583,0.09164149043303121,0.14236559139784946,0.02556237218813906,0.018763796909492272,0.0,0.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0989345509893455,0.07549535991973916,0.07446808510638298,0.09878100042034468,0.069164265129683,0.09922383050136355,0.019311502938706968,3.8443908179194466,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
9,0.07761966364812418,0.08538163001293661,0.056921086675291076,0.09055627425614489,0.16599732262382866,0.0425531914893617,0.02,0.0,0.07777777777777778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06949352179034157,0.08231292517006802,0.0758082497212932,0.061930783242258654,0.13580246913580246,0.10093457943925234,0.025210084033613446,3.844960701676369,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.08794897616649883,0.08710976837865056,0.0755287009063444,0.10120845921450151,0.15268817204301074,0.044989775051124746,0.016556291390728478,0.0,0.08943089430894309,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1035007610350076,0.08026084775520441,0.08116627265563436,0.09878100042034468,0.07973102785782901,0.10572687224669604,0.016792611251049538,3.751159176245437,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
10,0.09141871496334628,0.09314359637774904,0.07115135834411385,0.10996119016817593,0.1753681392235609,0.04609929078014184,0.02666666666666667,0.0,0.12444444444444444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0977620730270907,0.08775510204081632,0.10033444816053512,0.061930783242258654,0.16666666666666666,0.11713395638629283,0.03361344537815126,3.7256674493063415,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.1042296072507553,0.1052366565961732,0.0866062437059416,0.12084592145015106,0.16946236559139785,0.049079754601226995,0.026490066225165563,0.0,0.12601626016260162,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12227295788939624,0.09530975670930525,0.0933806146572104,0.1176965111391341,0.09990393852065321,0.12355779316131739,0.02686817800167926,3.6282902026424555,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
