epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.015719467956469165,0.015719467956469165,0.015719467956469165,0.015719467956469165,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02142857142857143,0.012797074954296161,0.010638297872340425,0.019390581717451522,0.022222222222222223,0.019667170953101363,0.0,4.559018412985565,2481,827,827,827,975,342,444,108,612,840,1641,1128,1083,270,1983,498,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.04005722460658083,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.012121212121212121,0.015723270440251572,0.015604681404421327,0.011278195488721804,0.019178082191780823,0.019138755980861243,0.0,4.60372699450591,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095,4389,1407
2,0.015719467956469165,0.015719467956469165,0.015719467956469165,0.015719467956469165,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02142857142857143,0.012797074954296161,0.010638297872340425,0.019390581717451522,0.022222222222222223,0.019667170953101363,0.0,4.56618070775393,2481,827,827,827,975,342,444,108,612,840,1641,1128,1083,270,1983,498,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.04005722460658083,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.012121212121212121,0.015723270440251572,0.015604681404421327,0.011278195488721804,0.019178082191780823,0.019138755980861243,0.0,4.6035912344585705,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095,4389,1407
3,0.02418379685610641,0.02539298669891173,0.022974607013301087,0.02418379685610641,0.06153846153846154,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03571428571428571,0.018281535648994516,0.013297872340425532,0.030470914127423823,0.044444444444444446,0.030257186081694403,0.0,4.5466905414745815,2481,827,827,827,975,342,444,108,612,840,1641,1128,1083,270,1983,498,0.022429261559696344,0.021739130434782608,0.024327122153209108,0.021221532091097308,0.061993323795898905,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.019696969696969695,0.023846960167714884,0.025140875596012136,0.01670843776106934,0.029223744292237442,0.02961950330371383,0.0,4.592145594668602,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095,4389,1407
4,0.022974607013301087,0.02418379685610641,0.022974607013301087,0.02176541717049577,0.0441025641025641,0.04093567251461988,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02142857142857143,0.02376599634369287,0.013297872340425532,0.0332409972299169,0.022222222222222223,0.028744326777609682,0.0,4.484265427010908,2481,827,827,827,975,342,444,108,612,840,1641,1128,1083,270,1983,498,0.025362318840579712,0.024844720496894408,0.025362318840579712,0.025879917184265012,0.051979017644253694,0.04139433551198257,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027777777777777776,0.02410901467505241,0.03034243606415258,0.01921470342522974,0.028310502283105023,0.03349282296650718,0.0,4.518039300575019,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095,4389,1407
5,0.035872632003224506,0.036275695284159616,0.03869407496977025,0.032648125755743655,0.057435897435897436,0.03216374269005848,0.0,0.0,0.03594771241830065,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04285714285714286,0.032297379646556976,0.02925531914893617,0.0443213296398892,0.02962962962962963,0.0448814926878467,0.0,4.227779414566329,2481,827,827,827,975,342,444,108,612,840,1641,1128,1083,270,1983,498,0.034161490683229816,0.033126293995859216,0.03364389233954451,0.03571428571428571,0.06437768240343347,0.034858387799564274,0.0,0.0,0.02902621722846442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03484848484848485,0.03380503144654088,0.035110533159947985,0.028404344193817876,0.04474885844748858,0.04237867395762133,0.008528784648187633,4.2457740525692556,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095,4389,1407
6,0.055219669488109635,0.049576783555018135,0.056831922611850064,0.0592503022974607,0.11897435897435897,0.043859649122807015,0.013513513513513514,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07023809523809524,0.04753199268738574,0.02925531914893617,0.07571560480147738,0.08148148148148149,0.06606152294503277,0.012048192771084338,4.139810853502242,2481,827,827,827,975,342,444,108,612,840,1641,1128,1083,270,1983,498,0.04503105590062112,0.04399585921325052,0.046583850931677016,0.044513457556935816,0.09680495946590367,0.0457516339869281,0.013157894736842105,0.0,0.003745318352059925,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04191919191919192,0.046645702306079666,0.052882531426094496,0.03592314118629908,0.048401826484018265,0.05764411027568922,0.005685856432125089,4.138907959742576,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095,4389,1407
7,0.06569931479242241,0.060459492140266025,0.06771463119709795,0.06892382103990327,0.14666666666666667,0.043859649122807015,0.0,0.0,0.008169934640522876,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08214285714285714,0.05728214503351615,0.028368794326241134,0.09695290858725762,0.0962962962962963,0.08219868885526979,0.0,4.071615321364243,2481,827,827,827,975,342,444,108,612,840,1641,1128,1083,270,1983,498,0.05452035886818495,0.05331262939958592,0.05227743271221532,0.057971014492753624,0.12446351931330472,0.0457516339869281,0.0,0.0,0.012172284644194757,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04595959595959596,0.0589622641509434,0.055916775032509754,0.04845446950710108,0.06484018264840183,0.07177033492822966,0.0007107320540156361,4.0667619198416745,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095,4389,1407
8,0.06126561870213623,0.060459492140266025,0.05562273276904474,0.06771463119709795,0.13538461538461538,0.023391812865497075,0.024774774774774775,0.0,0.0016339869281045752,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07380952380952381,0.054844606946983544,0.03280141843971631,0.08310249307479224,0.09259259259259259,0.07160867372667676,0.020080321285140562,4.031557906495617,2481,827,827,827,975,342,444,108,612,840,1641,1128,1083,270,1983,498,0.05469289164941339,0.052795031055900624,0.050724637681159424,0.06055900621118013,0.12207916070577014,0.03376906318082789,0.01864035087719298,0.0,0.012172284644194757,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.051515151515151514,0.05634171907756813,0.05201560468140442,0.05263157894736842,0.06484018264840183,0.06971975393028025,0.007818052594171997,3.9994363199027347,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095,4389,1407
9,0.0769850866586054,0.08222490931076179,0.06166868198307134,0.08706166868198308,0.14666666666666667,0.043859649122807015,0.0022522522522522522,0.0,0.05228758169934641,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09047619047619047,0.07007921998781232,0.04609929078014184,0.10341643582640812,0.1,0.09329299041855774,0.012048192771084338,3.883454390083384,2481,827,827,827,975,342,444,108,612,840,1641,1128,1083,270,1983,498,0.07625948930296757,0.07349896480331262,0.06935817805383022,0.08592132505175984,0.14115402956604672,0.054466230936819175,0.0043859649122807015,0.0012484394506866417,0.0852059925093633,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0696969696969697,0.07966457023060797,0.07715648027741656,0.07435254803675856,0.07853881278538813,0.0961494645705172,0.014214641080312722,3.842524042122935,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095,4389,1407
10,0.06690850463522773,0.0592503022974607,0.05441354292623942,0.08706166868198308,0.12410256410256411,0.0029239766081871343,0.013513513513513514,0.009259259259259259,0.06045751633986928,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08928571428571429,0.055453991468616695,0.04698581560283688,0.07571560480147738,0.11481481481481481,0.07715582450832073,0.02610441767068273,3.895067454057084,2481,827,827,827,975,342,444,108,612,840,1641,1128,1083,270,1983,498,0.060041407867494824,0.05745341614906832,0.04606625258799172,0.07660455486542443,0.11540295660467334,0.018518518518518517,0.013157894736842105,0.01373283395755306,0.06179775280898876,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05555555555555555,0.062368972746331235,0.06025140875596012,0.05179615705931495,0.0776255707762557,0.07427660059239007,0.015636105188343994,3.8381615448524573,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095,4389,1407
