epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.019404915912031046,0.018111254851228976,0.019404915912031046,0.02069857697283312,0.058902275769745646,0.0,0.0,0.0,0.0022222222222222222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016489988221436984,0.02108843537414966,0.012263099219620958,0.02185792349726776,0.030864197530864196,0.028037383177570093,0.0,4.6352826998942165,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.021148036253776436,0.017623363544813697,0.023162134944612285,0.022658610271903322,0.04946236559139785,0.0010224948875255625,0.002207505518763797,0.0,0.0065040650406504065,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0182648401826484,0.022573363431151242,0.02206461780929866,0.017654476670870115,0.026897214217098942,0.025802391441157962,0.0025188916876574307,4.6181431232822465,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
2,0.02112979732643381,0.02457956015523933,0.02069857697283312,0.018111254851228976,0.06157965194109773,0.0,0.0,0.0,0.006666666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016489988221436984,0.023809523809523808,0.0189520624303233,0.018214936247723135,0.037037037037037035,0.02866043613707165,0.004201680672268907,4.627529629554765,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.026518966096005372,0.027190332326283987,0.026183282980866064,0.026183282980866064,0.06580645161290323,0.0,0.0,0.0,0.0040650406504065045,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0228310502283105,0.02834211186355656,0.022852639873916468,0.02395964691046658,0.04130643611911623,0.032724984266834484,0.0016792611251049538,4.598302702249077,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
3,0.027166882276843468,0.0258732212160414,0.028460543337645538,0.027166882276843468,0.08032128514056225,0.0,0.0,0.0,0.006666666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.023557126030624265,0.029251700680272108,0.023411371237458192,0.022768670309653915,0.05246913580246913,0.037383177570093455,0.004201680672268907,4.613476909918742,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.029036589459550184,0.032225579053373615,0.0256797583081571,0.02920443101711984,0.07225806451612904,0.0,0.0,0.0,0.0040650406504065045,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.028411973617453068,0.029345372460496615,0.024034672970843184,0.029003783102143757,0.04130643611911623,0.03587161736941473,0.0016792611251049538,4.566826509525009,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
4,0.032772746873652434,0.029754204398447608,0.03363518758085381,0.03492884864165589,0.10174029451137885,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02944640753828033,0.03469387755102041,0.03455964325529543,0.022768670309653915,0.06172839506172839,0.04735202492211838,0.0,4.599448983347482,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.03423967774420947,0.029707955689828803,0.035246727089627394,0.0377643504531722,0.08602150537634409,0.0,0.0,0.0,0.0032520325203252032,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0350076103500761,0.033860045146726865,0.029156816390858944,0.03656998738965952,0.04130643611911623,0.042584434654919234,0.0008396305625524769,4.528169148558136,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
5,0.030616645105648987,0.029754204398447608,0.03234152652005175,0.029754204398447608,0.09504685408299866,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.028268551236749116,0.03197278911564626,0.03121516164994426,0.02185792349726776,0.05864197530864197,0.04423676012461059,0.0,4.582359034319076,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.03575025176233636,0.032225579053373615,0.03423967774420947,0.04078549848942598,0.08774193548387096,0.0,0.0,0.0,0.007317073170731708,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.041603247082699135,0.032856784549786806,0.0338849487785658,0.03572929802437999,0.040345821325648415,0.04447241451646738,0.0008396305625524769,4.483632866589565,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
6,0.028029322984044848,0.0258732212160414,0.028460543337645538,0.029754204398447608,0.08165997322623829,0.0,0.0,0.0,0.008888888888888889,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02591283863368669,0.029251700680272108,0.030100334448160536,0.018214936247723135,0.05555555555555555,0.038629283489096576,0.004201680672268907,4.540259094369879,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.0374286673380329,0.039778449144008056,0.03474320241691843,0.0377643504531722,0.08602150537634409,0.0010224948875255625,0.0,0.0,0.01788617886178862,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0395738203957382,0.036368196639077,0.03309692671394799,0.039932744850777635,0.04226705091258405,0.04615061883784351,0.0025188916876574307,4.406517763832505,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
7,0.036653730056058646,0.037516170763260026,0.03880983182406209,0.03363518758085381,0.09236947791164658,0.010638297872340425,0.0022222222222222222,0.0,0.02666666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.038869257950530034,0.03537414965986395,0.03567447045707915,0.028233151183970857,0.06790123456790123,0.05046728971962617,0.0056022408963585435,4.472135648279162,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.0491775763679087,0.04984894259818731,0.05236656596173213,0.045317220543806644,0.10021505376344086,0.007157464212678937,0.0011037527593818985,0.0,0.04227642276422764,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0517503805175038,0.04790569350388763,0.04531126871552404,0.05296343001261034,0.049951969260326606,0.060625131109712606,0.0033585222502099076,4.294738830996664,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
8,0.04829667960327728,0.0517464424320828,0.04915912031047866,0.04398447606727038,0.11914323962516733,0.0070921985815602835,0.0022222222222222222,0.0,0.044444444444444446,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05418138987043581,0.044897959183673466,0.044593088071348944,0.03825136612021858,0.09259259259259259,0.06542056074766354,0.00980392156862745,4.396467951568564,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.06394763343403827,0.06545820745216516,0.061933534743202415,0.06445115810674723,0.11526881720430107,0.03067484662576687,0.006622516556291391,0.0,0.06260162601626017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06747843734145104,0.06220215701028342,0.059495665878644605,0.06809583858764187,0.06532180595581172,0.0776169498636459,0.009235936188077247,4.1954923478018005,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
9,0.058645968089693835,0.055627425614489,0.0646830530401035,0.055627425614489,0.13520749665327977,0.024822695035460994,0.008888888888888889,0.0,0.05333333333333334,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05889281507656066,0.058503401360544216,0.057971014492753624,0.039162112932604735,0.12654320987654322,0.07725856697819315,0.01680672268907563,4.329360336823523,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.07955689828801611,0.08308157099697885,0.07603222557905337,0.07955689828801611,0.14150537634408603,0.028629856850715747,0.013245033112582781,0.0,0.08536585365853659,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07661085743277524,0.08101329320290945,0.07762017336485422,0.07818411097099622,0.08741594620557157,0.09628697293895531,0.012594458438287154,4.110088203688843,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
10,0.0599396291504959,0.06080206985769728,0.062095730918499355,0.056921086675291076,0.13119143239625167,0.04964539007092199,0.0022222222222222222,0.0,0.057777777777777775,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06478209658421673,0.05714285714285714,0.06577480490523968,0.03551912568306011,0.12654320987654322,0.08161993769470405,0.011204481792717087,4.263601706941974,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.08442430345753608,0.08962739174219536,0.07854984894259819,0.0850956696878147,0.14537634408602151,0.05725971370143149,0.011037527593818985,0.0,0.08048780487804878,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07965499746321664,0.08678204163531478,0.07762017336485422,0.08617065994115175,0.09702209414024976,0.10258023914411579,0.011754827875734676,4.0296245676113,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
