epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.014018691588785047,0.014018691588785047,0.014018691588785047,0.014018691588785047,0.04,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01568627450980392,0.012919896640826873,0.019867549668874173,0.009933774834437087,0.0,0.020594965675057208,0.0,4.61533559321862,1926,642,642,642,675,396,393,462,765,1161,906,906,114,1311,615,0.01885680612846199,0.01885680612846199,0.01885680612846199,0.01885680612846199,0.04005006257822278,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018214936247723135,0.01916376306620209,0.01447178002894356,0.02009273570324575,0.025069637883008356,0.025256511444356748,0.0,4.382376250291569,5091,1697,1697,1697,2397,960,516,1218,1647,3444,2073,1941,1077,3801,1290
2,0.014018691588785047,0.014018691588785047,0.014018691588785047,0.014018691588785047,0.04,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01568627450980392,0.012919896640826873,0.019867549668874173,0.009933774834437087,0.0,0.020594965675057208,0.0,4.484521281558282,1926,642,642,642,675,396,393,462,765,1161,906,906,114,1311,615,0.01885680612846199,0.01885680612846199,0.01885680612846199,0.01885680612846199,0.04005006257822278,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018214936247723135,0.01916376306620209,0.01447178002894356,0.02009273570324575,0.025069637883008356,0.025256511444356748,0.0,4.352208794088219,5091,1697,1697,1697,2397,960,516,1218,1647,3444,2073,1941,1077,3801,1290
3,0.014018691588785047,0.014018691588785047,0.014018691588785047,0.014018691588785047,0.04,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01568627450980392,0.012919896640826873,0.019867549668874173,0.009933774834437087,0.0,0.020594965675057208,0.0,4.4956662503853515,1926,642,642,642,675,396,393,462,765,1161,906,906,114,1311,615,0.01885680612846199,0.01885680612846199,0.01885680612846199,0.01885680612846199,0.04005006257822278,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018214936247723135,0.01916376306620209,0.01447178002894356,0.02009273570324575,0.025069637883008356,0.025256511444356748,0.0,4.333804254751032,5091,1697,1697,1697,2397,960,516,1218,1647,3444,2073,1941,1077,3801,1290
4,0.014018691588785047,0.014018691588785047,0.014018691588785047,0.014018691588785047,0.04,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01568627450980392,0.012919896640826873,0.019867549668874173,0.009933774834437087,0.0,0.020594965675057208,0.0,4.4823641989956515,1926,642,642,642,675,396,393,462,765,1161,906,906,114,1311,615,0.01885680612846199,0.01885680612846199,0.01885680612846199,0.01885680612846199,0.04005006257822278,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018214936247723135,0.01916376306620209,0.01447178002894356,0.02009273570324575,0.025069637883008356,0.025256511444356748,0.0,4.333762581562438,5091,1697,1697,1697,2397,960,516,1218,1647,3444,2073,1941,1077,3801,1290
5,0.014018691588785047,0.014018691588785047,0.014018691588785047,0.014018691588785047,0.04,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01568627450980392,0.012919896640826873,0.019867549668874173,0.009933774834437087,0.0,0.020594965675057208,0.0,4.48749070845908,1926,642,642,642,675,396,393,462,765,1161,906,906,114,1311,615,0.01885680612846199,0.01885680612846199,0.01885680612846199,0.01885680612846199,0.04005006257822278,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018214936247723135,0.01916376306620209,0.01447178002894356,0.02009273570324575,0.025069637883008356,0.025256511444356748,0.0,4.3310096574377575,5091,1697,1697,1697,2397,960,516,1218,1647,3444,2073,1941,1077,3801,1290
6,0.018172377985462097,0.017133956386292833,0.018691588785046728,0.018691588785046728,0.05185185185185185,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013071895424836602,0.02153316106804479,0.02759381898454746,0.011037527593818985,0.0,0.02669717772692601,0.0,4.481995833130517,1926,642,642,642,675,396,393,462,765,1161,906,906,114,1311,615,0.030249459831074445,0.030642309958750738,0.030053034767236298,0.030053034767236298,0.06424697538589905,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02792956891317547,0.0313588850174216,0.0241196333815726,0.029881504379185988,0.04271123491179202,0.040515653775322284,0.0,4.324097950503953,5091,1697,1697,1697,2397,960,516,1218,1647,3444,2073,1941,1077,3801,1290
7,0.028037383177570093,0.03271028037383177,0.0264797507788162,0.024922118380062305,0.08,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.032679738562091505,0.024978466838931956,0.037527593818984545,0.02207505518763797,0.0,0.041189931350114416,0.0,4.448408560589466,1926,642,642,642,675,396,393,462,765,1161,906,906,114,1311,615,0.031035160086427028,0.031231585150265175,0.03182086034177961,0.030053034767236298,0.06591572799332499,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.030965391621129327,0.031068524970963997,0.02170767004341534,0.029881504379185988,0.0510677808727948,0.04156800841883715,0.0,4.2923913677322725,5091,1697,1697,1697,2397,960,516,1218,1647,3444,2073,1941,1077,3801,1290
8,0.027518172377985463,0.0264797507788162,0.024922118380062305,0.03115264797507788,0.06814814814814815,0.0,0.0,0.015151515151515152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.040522875816993466,0.018949181739879414,0.03642384105960265,0.02207505518763797,0.0,0.04042715484363082,0.0,4.345920645930685,1926,642,642,642,675,396,393,462,765,1161,906,906,114,1311,615,0.039088587703791006,0.03830288744843842,0.03830288744843842,0.04065998821449617,0.08010012515644556,0.0,0.0,0.005747126436781609,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.035215543412264724,0.040940766550522645,0.02942595272551857,0.04173106646058733,0.052924791086350974,0.051828466193107076,0.0015503875968992248,4.15046404462225,5091,1697,1697,1697,2397,960,516,1218,1647,3444,2073,1941,1077,3801,1290
9,0.03894080996884735,0.03894080996884735,0.029595015576323987,0.048286604361370715,0.09481481481481481,0.0,0.0,0.023809523809523808,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06013071895424837,0.024978466838931956,0.04966887417218543,0.033112582781456956,0.0,0.057208237986270026,0.0,4.188608773648429,1926,642,642,642,675,396,393,462,765,1161,906,906,114,1311,615,0.05303476723629935,0.046552740129640544,0.05008839127872716,0.06246317030053035,0.10304547350855235,0.0,0.0,0.018883415435139574,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05585913782635094,0.05168408826945412,0.03473227206946455,0.05409582689335394,0.08635097493036212,0.06919231781110234,0.005426356589147287,3.9354410855247006,5091,1697,1697,1697,2397,960,516,1218,1647,3444,2073,1941,1077,3801,1290
10,0.05088265835929388,0.0529595015576324,0.03894080996884735,0.06074766355140187,0.1288888888888889,0.015151515151515152,0.005089058524173028,0.006493506493506494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06928104575163399,0.03875968992248062,0.0739514348785872,0.033112582781456956,0.008771929824561403,0.07322654462242563,0.0032520325203252032,4.075636312102479,1926,642,642,642,675,396,393,462,765,1161,906,906,114,1311,615,0.0648202710665881,0.06069534472598703,0.061284619917501476,0.07248084855627578,0.12599082186065916,0.0125,0.025193798449612403,0.0024630541871921183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06132361870066788,0.0664924506387921,0.04293294741919923,0.06594538897475528,0.10492107706592387,0.08234675085503815,0.01317829457364341,3.8011260249014804,5091,1697,1697,1697,2397,960,516,1218,1647,3444,2073,1941,1077,3801,1290
