epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.021144278606965175,0.021144278606965175,0.021144278606965175,0.021144278606965175,0.04,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024489795918367346,0.01967799642218247,0.017391304347826087,0.018134715025906734,0.031914893617021274,0.03262955854126679,0.0,4.600817678777338,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.015635179153094463,0.015635179153094463,0.015635179153094463,0.015635179153094463,0.04006677796327212,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014311270125223614,0.01639344262295082,0.015727391874180863,0.015985790408525755,0.014354066985645933,0.02028740490278952,0.0,4.378348570253122,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
2,0.021144278606965175,0.021144278606965175,0.021144278606965175,0.021144278606965175,0.04,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024489795918367346,0.01967799642218247,0.017391304347826087,0.018134715025906734,0.031914893617021274,0.03262955854126679,0.0,4.5700295924349605,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.015635179153094463,0.015635179153094463,0.015635179153094463,0.015635179153094463,0.04006677796327212,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014311270125223614,0.01639344262295082,0.015727391874180863,0.015985790408525755,0.014354066985645933,0.02028740490278952,0.0,4.343402265285695,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
3,0.021144278606965175,0.021144278606965175,0.021144278606965175,0.021144278606965175,0.04,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024489795918367346,0.01967799642218247,0.017391304347826087,0.018134715025906734,0.031914893617021274,0.03262955854126679,0.0,4.5062473480578875,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.015635179153094463,0.015635179153094463,0.015635179153094463,0.015635179153094463,0.04006677796327212,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014311270125223614,0.01639344262295082,0.015727391874180863,0.015985790408525755,0.014354066985645933,0.02028740490278952,0.0,4.341910489193133,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
4,0.006218905472636816,0.006218905472636816,0.006218905472636816,0.006218905472636816,0.0,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.008944543828264758,0.008695652173913044,0.0025906735751295338,0.010638297872340425,0.005758157389635317,0.007067137809187279,4.543179032814443,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.016286644951140065,0.016286644951140065,0.016286644951140065,0.016286644951140065,0.0,0.0,0.0,0.05387931034482758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01967799642218247,0.014344262295081968,0.014416775884665793,0.017761989342806393,0.019138755980861243,0.01775147928994083,0.011363636363636364,4.331487460555782,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
5,0.007048092868988391,0.007462686567164179,0.007462686567164179,0.006218905472636816,0.0,0.0,0.0,0.059027777777777776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.010137149672033392,0.008695652173913044,0.0025906735751295338,0.014184397163120567,0.005758157389635317,0.009422850412249705,4.522714440897725,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.016503800217155265,0.016938110749185668,0.016286644951140065,0.016286644951140065,0.0,0.0,0.0,0.05459770114942529,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01967799642218247,0.014685792349726777,0.014416775884665793,0.018354055654233273,0.019138755980861243,0.01803324880247957,0.011363636363636364,4.330602987581433,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
6,0.011608623548922056,0.009950248756218905,0.012437810945273632,0.012437810945273632,0.0,0.0,0.0,0.09722222222222222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.016696481812760882,0.017391304347826087,0.004317789291882556,0.01950354609929078,0.010876519513755598,0.012956419316843345,4.518767045307317,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.027795874049945712,0.026058631921824105,0.029315960912052116,0.028013029315960912,0.0,0.0,0.0,0.09195402298850575,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03220035778175313,0.025273224043715847,0.02490170380078637,0.028419182948490232,0.03668261562998405,0.029585798816568046,0.021780303030303032,4.328140480795331,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
7,0.006218905472636816,0.006218905472636816,0.006218905472636816,0.006218905472636816,0.0,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.008944543828264758,0.008695652173913044,0.0025906735751295338,0.010638297872340425,0.005758157389635317,0.007067137809187279,4.520983238916097,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.016503800217155265,0.016286644951140065,0.016938110749185668,0.016286644951140065,0.0,0.0,0.0,0.05459770114942529,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01967799642218247,0.014685792349726777,0.014853647881170816,0.017761989342806393,0.019138755980861243,0.01803324880247957,0.011363636363636364,4.318810279672231,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
8,0.011608623548922056,0.012437810945273632,0.009950248756218905,0.012437810945273632,0.008627450980392156,0.0,0.0,0.059027777777777776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.004081632653061225,0.01490757304710793,0.011594202898550725,0.0051813471502590676,0.024822695035460994,0.014075495841330775,0.007067137809187279,4.4869173217571,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.026275787187839305,0.024104234527687295,0.024755700325732898,0.02996742671009772,0.00333889816360601,0.0,0.0,0.08261494252873564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.032796660703637445,0.022540983606557378,0.02839667977282656,0.021906453522794554,0.030303030303030304,0.028740490278951817,0.017992424242424244,4.285111557155945,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
9,0.029850746268656716,0.028606965174129355,0.03109452736318408,0.029850746268656716,0.03372549019607843,0.0,0.0,0.10069444444444445,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0163265306122449,0.03577817531305903,0.034782608695652174,0.016407599309153715,0.051418439716312055,0.03902751119641715,0.012956419316843345,4.387946740904851,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.04256243213897937,0.04299674267100977,0.04299674267100977,0.04169381107491857,0.031163049526989426,0.0,0.0,0.10057471264367816,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04889683959451401,0.0389344262295082,0.03800786369593709,0.04854943753700414,0.0430622009569378,0.049873203719357564,0.017992424242424244,4.155547956535016,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
10,0.04021558872305141,0.04228855721393035,0.03980099502487562,0.03855721393034826,0.03607843137254902,0.0,0.0,0.17708333333333334,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.017687074829931974,0.05008944543828265,0.042028985507246375,0.023316062176165803,0.0726950354609929,0.04862444017914268,0.024734982332155476,4.2501750079355824,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.07252985884907709,0.07231270358306188,0.07231270358306188,0.07296416938110749,0.032276015581524764,0.0,0.0,0.19827586206896552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09421586165772212,0.060109289617486336,0.062035823503713415,0.08703374777975133,0.07177033492822966,0.0839673147365455,0.03409090909090909,3.955690809285084,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
