epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.020378457059679767,0.020378457059679767,0.020378457059679767,0.020378457059679767,0.04,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.007142857142857143,0.02376599634369287,0.012345679012345678,0.026627218934911243,0.04,0.02702702702702703,0.0,4.383511870419846,2061,687,687,687,1050,342,279,390,420,1641,972,1014,75,1554,507,0.016343825665859565,0.016343825665859565,0.016343825665859565,0.016343825665859565,0.040059347181008904,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01957831325301205,0.01417004048582996,0.017937219730941704,0.011456628477905073,0.021505376344086023,0.022765598650927487,0.0,4.4237125818531196,4956,1652,1652,1652,2022,1014,630,1290,1992,2964,2007,1833,1116,3558,1398
2,0.020378457059679767,0.020378457059679767,0.020378457059679767,0.020378457059679767,0.04,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.007142857142857143,0.02376599634369287,0.012345679012345678,0.026627218934911243,0.04,0.02702702702702703,0.0,4.372653613213137,2061,687,687,687,1050,342,279,390,420,1641,972,1014,75,1554,507,0.016343825665859565,0.016343825665859565,0.016343825665859565,0.016343825665859565,0.040059347181008904,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01957831325301205,0.01417004048582996,0.017937219730941704,0.011456628477905073,0.021505376344086023,0.022765598650927487,0.0,4.385194225788501,4956,1652,1652,1652,2022,1014,630,1290,1992,2964,2007,1833,1116,3558,1398
3,0.023289665211062592,0.024745269286754003,0.023289665211062592,0.021834061135371178,0.045714285714285714,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014285714285714285,0.025594149908592323,0.013374485596707819,0.03155818540433925,0.04,0.03088803088803089,0.0,4.310798302603716,2061,687,687,687,1050,342,279,390,420,1641,972,1014,75,1554,507,0.0211864406779661,0.020581113801452784,0.022397094430992737,0.020581113801452784,0.051434223541048464,0.0,0.0,0.0007751937984496124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.026606425702811246,0.017543859649122806,0.025909317389138018,0.012547735951991271,0.026881720430107527,0.02951096121416526,0.0,4.330787320017718,4956,1652,1652,1652,2022,1014,630,1290,1992,2964,2007,1833,1116,3558,1398
4,0.06210577389616691,0.05822416302765648,0.06550218340611354,0.06259097525473072,0.09904761904761905,0.0,0.0,0.06153846153846154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02857142857142857,0.07068860450944546,0.05761316872427984,0.0601577909270217,0.14666666666666667,0.08236808236808237,0.0,4.147283812277181,2061,687,687,687,1050,342,279,390,420,1641,972,1014,75,1554,507,0.060936238902340595,0.05811138014527845,0.05750605326876514,0.0671912832929782,0.10633036597428289,0.0,0.0,0.06744186046511629,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06626506024096386,0.05735492577597841,0.06427503736920777,0.044189852700491,0.08243727598566308,0.08010118043844856,0.012160228898426323,4.126568416321441,4956,1652,1652,1652,2022,1014,630,1290,1992,2964,2007,1833,1116,3558,1398
5,0.10431829209121786,0.10625909752547306,0.10771470160116449,0.09898107714701601,0.1295238095238095,0.008771929824561403,0.0,0.19487179487179487,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05238095238095238,0.11761121267519806,0.11008230452674897,0.09467455621301775,0.16,0.1364221364221364,0.005917159763313609,3.770093463451639,2061,687,687,687,1050,342,279,390,420,1641,972,1014,75,1554,507,0.09483454398708636,0.09685230024213075,0.09079903147699758,0.09685230024213075,0.1211671612265084,0.016765285996055226,0.0,0.16124031007751938,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10793172690763052,0.0860323886639676,0.08520179372197309,0.0894708128750682,0.12096774193548387,0.11382799325463744,0.046494992846924176,3.688053011028299,4956,1652,1652,1652,2022,1014,630,1290,1992,2964,2007,1833,1116,3558,1398
6,0.12518195050946143,0.12663755458515283,0.1222707423580786,0.12663755458515283,0.17809523809523808,0.014619883040935672,0.021505376344086023,0.15384615384615385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09285714285714286,0.13345521023765997,0.10699588477366255,0.14201183431952663,0.13333333333333333,0.1615186615186615,0.013806706114398421,3.536221724005361,2061,687,687,687,1050,342,279,390,420,1641,972,1014,75,1554,507,0.12126715092816788,0.11864406779661017,0.1059322033898305,0.13922518159806296,0.1651829871414441,0.03451676528599606,0.011111111111111112,0.1744186046511628,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1355421686746988,0.11167341430499325,0.12954658694569007,0.09983633387888707,0.14157706093189965,0.14502529510961215,0.060801144492131615,3.458149365786105,4956,1652,1652,1652,2022,1014,630,1290,1992,2964,2007,1833,1116,3558,1398
7,0.12372634643377002,0.11062590975254731,0.11353711790393013,0.1470160116448326,0.18095238095238095,0.02046783625730994,0.0,0.14871794871794872,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09047619047619047,0.13223644119439365,0.09979423868312758,0.14201183431952663,0.18666666666666668,0.16023166023166024,0.011834319526627219,3.5334182898434894,2061,687,687,687,1050,342,279,390,420,1641,972,1014,75,1554,507,0.11097659402744149,0.1023002421307506,0.0950363196125908,0.13559322033898305,0.16073194856577647,0.029585798816568046,0.0,0.1511627906976744,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12349397590361445,0.10256410256410256,0.11210762331838565,0.09710856519367157,0.13172043010752688,0.13603147835862844,0.04721030042918455,3.49358478142813,4956,1652,1652,1652,2022,1014,630,1290,1992,2964,2007,1833,1116,3558,1398
8,0.12760795730228044,0.13100436681222707,0.11062590975254731,0.14119359534206696,0.19904761904761906,0.04093567251461988,0.0,0.10256410256410256,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0880952380952381,0.13772090188909203,0.08950617283950617,0.15877712031558186,0.2,0.16216216216216217,0.021696252465483234,3.433279937936634,2061,687,687,687,1050,342,279,390,420,1641,972,1014,75,1554,507,0.11380145278450363,0.1059322033898305,0.09382566585956416,0.14164648910411623,0.17754698318496537,0.04437869822485207,0.0,0.12403100775193798,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1320281124497992,0.10155195681511471,0.12007972097658197,0.0927441352973268,0.13709677419354838,0.14024732996065206,0.046494992846924176,3.405960760355188,4956,1652,1652,1652,2022,1014,630,1290,1992,2964,2007,1833,1116,3558,1398
9,0.13682678311499272,0.14264919941775836,0.16448326055312956,0.10334788937409024,0.10476190476190476,0.04678362573099415,0.02867383512544803,0.37948717948717947,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10952380952380952,0.14381474710542352,0.18621399176954734,0.08777120315581854,0.16,0.16988416988416988,0.03550295857988166,3.437310375674496,2061,687,687,687,1050,342,279,390,420,1641,972,1014,75,1554,507,0.17171105730427763,0.1967312348668281,0.17554479418886199,0.14285714285714285,0.2062314540059347,0.045364891518737675,0.026984126984126985,0.2875968992248062,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1571285140562249,0.1815114709851552,0.15695067264573992,0.15111838516093834,0.23207885304659498,0.20067453625632378,0.09799713876967096,3.2908606232896362,4956,1652,1652,1652,2022,1014,630,1290,1992,2964,2007,1833,1116,3558,1398
10,0.195536147501213,0.2096069868995633,0.2066957787481805,0.1703056768558952,0.24571428571428572,0.043859649122807015,0.0,0.3333333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1357142857142857,0.21084704448507008,0.19753086419753085,0.1952662721893491,0.17333333333333334,0.2516087516087516,0.023668639053254437,3.2052039396757066,2061,687,687,687,1050,342,279,390,420,1641,972,1014,75,1554,507,0.19269572235673932,0.19854721549636803,0.18280871670702178,0.1967312348668281,0.22898120672601385,0.05029585798816568,0.004761904761904762,0.3395348837209302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.20180722891566266,0.18657219973009448,0.1783756851021425,0.19148936170212766,0.22043010752688172,0.23243395165823497,0.09155937052932761,3.1227119698266623,4956,1652,1652,1652,2022,1014,630,1290,1992,2964,2007,1833,1116,3558,1398
11,0.21300339640950994,0.2197962154294032,0.2445414847161572,0.17467248908296942,0.26857142857142857,0.049707602339181284,0.053763440860215055,0.32051282051282054,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.14523809523809525,0.2303473491773309,0.21604938271604937,0.20414201183431951,0.29333333333333333,0.26705276705276704,0.047337278106508875,3.091166100647772,2061,687,687,687,1050,342,279,390,420,1641,972,1014,75,1554,507,0.23466505246166264,0.25181598062953997,0.21912832929782083,0.2330508474576271,0.30217606330365976,0.07001972386587771,0.044444444444444446,0.3511627906976744,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.24397590361445784,0.22840755735492577,0.2112605879422023,0.22913256955810146,0.28584229390681004,0.2810567734682406,0.11659513590844063,2.986492831250946,4956,1652,1652,1652,2022,1014,630,1290,1992,2964,2007,1833,1116,3558,1398
12,0.20426977195536147,0.21688500727802038,0.22561863173216884,0.1703056768558952,0.22952380952380952,0.05263157894736842,0.06093189964157706,0.3717948717948718,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.13095238095238096,0.2230347349177331,0.22839506172839505,0.1755424063116371,0.28,0.25353925353925355,0.05325443786982249,3.0843248381191293,2061,687,687,687,1050,342,279,390,420,1641,972,1014,75,1554,507,0.241727199354318,0.26150121065375304,0.22941888619854722,0.23426150121065376,0.30811078140454995,0.07001972386587771,0.05555555555555555,0.3635658914728682,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.24146586345381527,0.24190283400809717,0.2222222222222222,0.2225859247135843,0.30824372759856633,0.2844294547498595,0.13304721030042918,2.947862404984173,4956,1652,1652,1652,2022,1014,630,1290,1992,2964,2007,1833,1116,3558,1398
13,0.22561863173216884,0.22852983988355166,0.26055312954876275,0.18777292576419213,0.26761904761904765,0.05263157894736842,0.06093189964157706,0.382051282051282,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.15476190476190477,0.2437538086532602,0.2366255144032922,0.21005917159763313,0.29333333333333333,0.2824967824967825,0.05128205128205128,3.0110750378826645,2061,687,687,687,1050,342,279,390,420,1641,972,1014,75,1554,507,0.24656981436642453,0.2651331719128329,0.23002421307506055,0.24455205811138014,0.3026706231454006,0.08678500986193294,0.05714285714285714,0.3767441860465116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.24397590361445784,0.2483130904183536,0.2192326856003986,0.24331696672122205,0.3010752688172043,0.28864530635188307,0.13948497854077252,2.88095681449884,4956,1652,1652,1652,2022,1014,630,1290,1992,2964,2007,1833,1116,3558,1398
14,0.22367782629791363,0.23580786026200873,0.24745269286754004,0.18777292576419213,0.24666666666666667,0.07017543859649122,0.05734767025089606,0.4153846153846154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.15476190476190477,0.2413162705667276,0.25,0.19625246548323472,0.25333333333333335,0.27606177606177607,0.0631163708086785,2.9926301066821086,2061,687,687,687,1050,342,279,390,420,1641,972,1014,75,1554,507,0.26251008878127524,0.28087167070217917,0.24878934624697335,0.25786924939467315,0.31107814045499504,0.10453648915187377,0.05555555555555555,0.4116279069767442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2600401606425703,0.26417004048583,0.23368211260587943,0.2569558101472995,0.3234767025089606,0.3041034288926363,0.15665236051502146,2.835135569968851,4956,1652,1652,1652,2022,1014,630,1290,1992,2964,2007,1833,1116,3558,1398
15,0.23823386705482774,0.24163027656477437,0.26346433770014555,0.2096069868995633,0.26571428571428574,0.08771929824561403,0.06451612903225806,0.4205128205128205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1619047619047619,0.2577696526508227,0.26954732510288065,0.20019723865877712,0.3466666666666667,0.29214929214929214,0.07297830374753451,2.9303852379293134,2061,687,687,687,1050,342,279,390,420,1641,972,1014,75,1554,507,0.2891444713478612,0.3099273607748184,0.2845036319612591,0.27300242130750607,0.34718100890207715,0.1242603550295858,0.06984126984126984,0.43488372093023253,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2856425702811245,0.291497975708502,0.25460886895864476,0.2896890343698854,0.3503584229390681,0.3344575604272063,0.17381974248927037,2.760744231857534,4956,1652,1652,1652,2022,1014,630,1290,1992,2964,2007,1833,1116,3558,1398
16,0.2455118874332848,0.2576419213973799,0.27219796215429404,0.2066957787481805,0.2761904761904762,0.0935672514619883,0.07885304659498207,0.4153846153846154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1761904761904762,0.263254113345521,0.2623456790123457,0.22386587771203156,0.32,0.3005148005148005,0.07692307692307693,2.8824755757945884,2061,687,687,687,1050,342,279,390,420,1641,972,1014,75,1554,507,0.29418886198547217,0.3196125907990315,0.28026634382566584,0.28268765133171914,0.3590504451038576,0.13313609467455623,0.07936507936507936,0.42403100775193797,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2936746987951807,0.29453441295546556,0.26258096661684105,0.29132569558101473,0.3557347670250896,0.33698707138842043,0.18526466380543632,2.719519392726304,4956,1652,1652,1652,2022,1014,630,1290,1992,2964,2007,1833,1116,3558,1398
17,0.2590975254730713,0.26346433770014555,0.2823871906841339,0.2314410480349345,0.2866666666666667,0.11403508771929824,0.0931899641577061,0.4307692307692308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.19523809523809524,0.27544180377818406,0.28189300411522633,0.23076923076923078,0.3466666666666667,0.3120978120978121,0.09664694280078895,2.8282118681158503,2061,687,687,687,1050,342,279,390,420,1641,972,1014,75,1554,507,0.31658595641646486,0.3383777239709443,0.3099273607748184,0.30145278450363194,0.38822947576656774,0.16765285996055226,0.09047619047619047,0.4317829457364341,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.30873493975903615,0.32186234817813764,0.28699551569506726,0.3098745226404801,0.38082437275985664,0.3605958403597527,0.20457796852646637,2.6488220608936768,4956,1652,1652,1652,2022,1014,630,1290,1992,2964,2007,1833,1116,3558,1398
