epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.021144278606965175,0.021144278606965175,0.021144278606965175,0.021144278606965175,0.04,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024489795918367346,0.01967799642218247,0.017391304347826087,0.018134715025906734,0.031914893617021274,0.03262955854126679,0.0,4.6000647094119245,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.015635179153094463,0.015635179153094463,0.015635179153094463,0.015635179153094463,0.04006677796327212,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014311270125223614,0.01639344262295082,0.015727391874180863,0.015985790408525755,0.014354066985645933,0.02028740490278952,0.0,4.378654687075868,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
2,0.021144278606965175,0.021144278606965175,0.021144278606965175,0.021144278606965175,0.04,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024489795918367346,0.01967799642218247,0.017391304347826087,0.018134715025906734,0.031914893617021274,0.03262955854126679,0.0,4.572015158177213,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.015635179153094463,0.015635179153094463,0.015635179153094463,0.015635179153094463,0.04006677796327212,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014311270125223614,0.01639344262295082,0.015727391874180863,0.015985790408525755,0.014354066985645933,0.02028740490278952,0.0,4.343327141015201,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
3,0.021144278606965175,0.021144278606965175,0.021144278606965175,0.021144278606965175,0.04,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024489795918367346,0.01967799642218247,0.017391304347826087,0.018134715025906734,0.031914893617021274,0.03262955854126679,0.0,4.505750007692656,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.015635179153094463,0.015635179153094463,0.015635179153094463,0.015635179153094463,0.04006677796327212,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014311270125223614,0.01639344262295082,0.015727391874180863,0.015985790408525755,0.014354066985645933,0.02028740490278952,0.0,4.342144185582926,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
4,0.006218905472636816,0.006218905472636816,0.006218905472636816,0.006218905472636816,0.0,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.008944543828264758,0.008695652173913044,0.0025906735751295338,0.010638297872340425,0.005758157389635317,0.007067137809187279,4.543242092353985,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.016286644951140065,0.016286644951140065,0.016286644951140065,0.016286644951140065,0.0,0.0,0.0,0.05387931034482758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01967799642218247,0.014344262295081968,0.014416775884665793,0.017761989342806393,0.019138755980861243,0.01775147928994083,0.011363636363636364,4.33151407479981,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
5,0.007877280265339967,0.007462686567164179,0.007462686567164179,0.008706467661691543,0.0,0.0,0.0,0.06597222222222222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.011329755515802028,0.008695652173913044,0.0034542314335060447,0.015957446808510637,0.006397952655150352,0.01060070671378092,4.523294882197088,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.015635179153094463,0.016286644951140065,0.015635179153094463,0.01498371335504886,0.0,0.0,0.0,0.05172413793103448,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018485390578413835,0.014002732240437158,0.014416775884665793,0.015985790408525755,0.019138755980861243,0.0169061707523246,0.011363636363636364,4.330341881701276,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
6,0.009535655058043118,0.011194029850746268,0.009950248756218905,0.007462686567164179,0.0,0.0,0.0,0.0798611111111111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.013714967203339297,0.015942028985507246,0.004317789291882556,0.012411347517730497,0.010236724248240563,0.008244994110718492,4.517417642014537,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.025841476655808902,0.024104234527687295,0.031921824104234525,0.021498371335504887,0.0,0.0,0.0,0.08548850574712644,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02564102564102564,0.025956284153005466,0.021843599825251202,0.02427471876850207,0.044657097288676235,0.02564102564102564,0.026515151515151516,4.327140697102334,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
7,0.006633499170812604,0.006218905472636816,0.007462686567164179,0.006218905472636816,0.0,0.0,0.0,0.05555555555555555,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.009540846750149075,0.010144927536231883,0.0025906735751295338,0.010638297872340425,0.006397952655150352,0.007067137809187279,4.513660487843983,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.01737242128121607,0.01758957654723127,0.01758957654723127,0.016938110749185668,0.0,0.0,0.0,0.05747126436781609,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.020870602265951103,0.015368852459016393,0.01529051987767584,0.017761989342806393,0.023923444976076555,0.018315018315018316,0.014204545454545454,4.311701890777687,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
8,0.0269485903814262,0.029850746268656716,0.02736318407960199,0.0236318407960199,0.03215686274509804,0.0,0.0,0.08333333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.017687074829931974,0.031007751937984496,0.02608695652173913,0.019861830742659757,0.0425531914893617,0.036468330134357005,0.009422850412249705,4.452405736616397,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.034093376764386535,0.033876221498371335,0.03517915309446254,0.03322475570032573,0.025041736227045076,0.0,0.0,0.08045977011494253,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04054859868813357,0.030396174863387977,0.03145478374836173,0.03256364712847839,0.04784688995215311,0.03803888419273035,0.020833333333333332,4.2424989184649835,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
9,0.03482587064676617,0.033582089552238806,0.03482587064676617,0.036069651741293535,0.04,0.0,0.0,0.11458333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024489795918367346,0.03935599284436494,0.03768115942028986,0.024179620034542316,0.05319148936170213,0.046065259117082535,0.014134275618374558,4.3527033918137175,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.04408251900108578,0.04429967426710098,0.04299674267100977,0.04495114006514658,0.03951029493600445,0.0,0.0,0.09482758620689655,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05068574836016696,0.040300546448087435,0.04193971166448231,0.05032563647128478,0.03508771929824561,0.05353620738236123,0.01231060606060606,4.061508115753936,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
10,0.041044776119402986,0.041044776119402986,0.03980099502487562,0.04228855721393035,0.050980392156862744,0.014184397163120567,0.0,0.10416666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0380952380952381,0.042337507453786526,0.03188405797101449,0.037132987910189985,0.06028368794326241,0.052463211772232884,0.020023557126030624,4.357546425182033,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.06492942453854506,0.06840390879478828,0.050814332247557006,0.0755700325732899,0.07122982749026155,0.013966480446927373,0.0,0.11206896551724138,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0691711389385808,0.0625,0.057667103538663174,0.0763765541740675,0.06060606060606061,0.07776838546069316,0.021780303030303032,4.001065762630632,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
