epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.01632302405498282,0.020618556701030927,0.010309278350515464,0.01804123711340206,0.010416666666666666,0.0,0.03424657534246575,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.015384615384615385,0.016795865633074936,0.022935779816513763,0.010101010101010102,0.0,0.030120481927710843,0.006006006006006006,4.463447387275827,1164,388,388,388,384,342,438,390,774,654,396,114,498,666,0.023372887450557354,0.025889967637540454,0.019417475728155338,0.02481121898597627,0.00411522633744856,0.0,0.04911433172302738,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.021538461538461538,0.024363233665559248,0.02304964539007092,0.020783373301358914,0.03233830845771144,0.031776913099870296,0.0129136400322841,4.468498002278294,2781,927,927,927,972,567,1242,975,1806,1128,1251,402,1542,1239
2,0.013745704467353952,0.01804123711340206,0.01804123711340206,0.005154639175257732,0.0,0.0,0.0365296803652968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.017948717948717947,0.011627906976744186,0.012232415902140673,0.017676767676767676,0.008771929824561403,0.030120481927710843,0.0015015015015015015,4.293021290572648,1164,388,388,388,384,342,438,390,774,654,396,114,498,666,0.029485796476087737,0.02696871628910464,0.02912621359223301,0.032362459546925564,0.00102880658436214,0.0,0.06521739130434782,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.028717948717948718,0.029900332225913623,0.028368794326241134,0.02877697841726619,0.03482587064676617,0.04409857328145266,0.011299435028248588,4.280105431703131,2781,927,927,927,972,567,1242,975,1806,1128,1251,402,1542,1239
3,0.020618556701030927,0.02577319587628866,0.023195876288659795,0.01288659793814433,0.0,0.0,0.0547945205479452,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.007692307692307693,0.027131782945736434,0.012232415902140673,0.025252525252525252,0.05263157894736842,0.03614457831325301,0.009009009009009009,4.137072953161915,1164,388,388,388,384,342,438,390,774,654,396,114,498,666,0.03559870550161812,0.037756202804746494,0.03559870550161812,0.03344120819848975,0.00205761316872428,0.0,0.07809983896940419,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03794871794871795,0.03433001107419712,0.034574468085106384,0.030375699440447643,0.05472636815920398,0.048638132295719845,0.01937046004842615,4.093268785747595,2781,927,927,927,972,567,1242,975,1806,1128,1251,402,1542,1239
4,0.029209621993127148,0.030927835051546393,0.028350515463917526,0.028350515463917526,0.005208333333333333,0.0,0.0730593607305936,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03076923076923077,0.028423772609819122,0.019877675840978593,0.03282828282828283,0.07017543859649122,0.04819277108433735,0.015015015015015015,4.062982356015759,1164,388,388,388,384,342,438,390,774,654,396,114,498,666,0.03595828838547285,0.034519956850053934,0.040992448759439054,0.032362459546925564,0.013374485596707819,0.0,0.07004830917874397,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04,0.033776301218161685,0.044326241134751775,0.026378896882494004,0.04228855721393035,0.04798962386511025,0.020984665052461663,4.015673174098515,2781,927,927,927,972,567,1242,975,1806,1128,1251,402,1542,1239
5,0.04725085910652921,0.04381443298969072,0.05412371134020619,0.04381443298969072,0.0026041666666666665,0.0,0.1232876712328767,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05641025641025641,0.04263565891472868,0.04281345565749235,0.05808080808080808,0.03508771929824561,0.10040160642570281,0.0075075075075075074,4.0333077866596865,1164,388,388,388,384,342,438,390,774,654,396,114,498,666,0.0568140956490471,0.0593311758360302,0.0593311758360302,0.05177993527508091,0.01440329218106996,0.001763668430335097,0.11513687600644122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05435897435897436,0.05813953488372093,0.06294326241134751,0.04716227018385292,0.06965174129353234,0.07782101167315175,0.03066989507667474,3.985085518571894,2781,927,927,927,972,567,1242,975,1806,1128,1251,402,1542,1239
6,0.05240549828178694,0.04896907216494845,0.05670103092783505,0.05154639175257732,0.0026041666666666665,0.005847953216374269,0.1324200913242009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04871794871794872,0.05426356589147287,0.047400611620795105,0.050505050505050504,0.08771929824561403,0.10040160642570281,0.016516516516516516,3.9971764947950224,1164,388,388,388,384,342,438,390,774,654,396,114,498,666,0.06544408486156059,0.07227615965480043,0.05717367853290183,0.0668824163969795,0.0102880658436214,0.008818342151675485,0.13446054750402575,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07076923076923076,0.06256921373200443,0.06294326241134751,0.06314948041566747,0.07960199004975124,0.0914396887159533,0.033091202582728005,3.934765466980178,2781,927,927,927,972,567,1242,975,1806,1128,1251,402,1542,1239
7,0.05412371134020619,0.05154639175257732,0.06443298969072164,0.04639175257731959,0.010416666666666666,0.005847953216374269,0.13013698630136986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05641025641025641,0.05297157622739018,0.05198776758409786,0.05303030303030303,0.07017543859649122,0.10240963855421686,0.018018018018018018,3.9492976132946733,1164,388,388,388,384,342,438,390,774,654,396,114,498,666,0.07587198849334771,0.07874865156418555,0.07335490830636461,0.07551240560949299,0.01131687242798354,0.012345679012345678,0.15539452495974235,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08,0.07364341085271318,0.0726950354609929,0.07034372501998401,0.10199004975124377,0.10440985732814527,0.04035512510088781,3.8651473324147116,2781,927,927,927,972,567,1242,975,1806,1128,1251,402,1542,1239
8,0.0627147766323024,0.05412371134020619,0.07216494845360824,0.061855670103092786,0.013020833333333334,0.023391812865497075,0.136986301369863,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06153846153846154,0.06330749354005168,0.05504587155963303,0.0707070707070707,0.07894736842105263,0.11244979919678715,0.025525525525525526,3.8964516026867213,1164,388,388,388,384,342,438,390,774,654,396,114,498,666,0.08162531463502337,0.08522114347357065,0.07227615965480043,0.08737864077669903,0.021604938271604937,0.01763668430335097,0.15780998389694043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0758974358974359,0.08471760797342193,0.07801418439716312,0.07513988808952837,0.11194029850746269,0.10700389105058365,0.05004035512510089,3.7899138098438625,2781,927,927,927,972,567,1242,975,1806,1128,1251,402,1542,1239
9,0.06958762886597938,0.05670103092783505,0.07216494845360824,0.07989690721649484,0.020833333333333332,0.02046783625730994,0.1506849315068493,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07435897435897436,0.06718346253229975,0.0672782874617737,0.06818181818181818,0.08771929824561403,0.11847389558232932,0.03303303303303303,3.8521185281760095,1164,388,388,388,384,342,438,390,774,654,396,114,498,666,0.08414239482200647,0.08737864077669903,0.07551240560949299,0.0895361380798274,0.044238683127572016,0.021164021164021163,0.14412238325281804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07384615384615385,0.08970099667774087,0.0851063829787234,0.07434052757793765,0.11194029850746269,0.10246433203631647,0.06133979015334948,3.7257769220126526,2781,927,927,927,972,567,1242,975,1806,1128,1251,402,1542,1239
10,0.070446735395189,0.061855670103092786,0.06958762886597938,0.07989690721649484,0.026041666666666668,0.011695906432748537,0.1552511415525114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08205128205128205,0.06459948320413436,0.07339449541284404,0.06060606060606061,0.08771929824561403,0.12048192771084337,0.03303303303303303,3.8195748345548752,1164,388,388,388,384,342,438,390,774,654,396,114,498,666,0.08558072635742539,0.08306364617044229,0.07982740021574973,0.09385113268608414,0.05246913580246913,0.019400352733686066,0.14170692431561996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0758974358974359,0.09080841638981174,0.08599290780141844,0.07673860911270983,0.11194029850746269,0.10700389105058365,0.058918482647296204,3.66999133788009,2781,927,927,927,972,567,1242,975,1806,1128,1251,402,1542,1239
