epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.012755102040816327,0.012755102040816327,0.012755102040816327,0.012755102040816327,0.05434782608695652,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.012987012987012988,0.012605042016806723,0.022123893805309734,0.0,0.0,0.0,0.022727272727272728,4.516994969374468,1176,392,392,392,276,336,564,462,714,678,390,108,516,660,0.020585048754062838,0.020585048754062838,0.020585048754062838,0.020585048754062838,0.05277777777777778,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.019933554817275746,0.02090032154340836,0.029891304347826088,0.014319809069212411,0.014705882352941176,0.015748031496062992,0.02650602409638554,4.50873671201387,2769,923,923,923,1080,573,1116,903,1866,1104,1257,408,1524,1245
2,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.0,0.0,0.05319148936170213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.025974025974025976,0.025210084033613446,0.02654867256637168,0.015384615384615385,0.05555555555555555,0.046511627906976744,0.00909090909090909,4.27201983393455,1176,392,392,392,276,336,564,462,714,678,390,108,516,660,0.021668472372697724,0.021668472372697724,0.021668472372697724,0.021668472372697724,0.0,0.0,0.053763440860215055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.023255813953488372,0.02090032154340836,0.019021739130434784,0.021479713603818614,0.029411764705882353,0.031496062992125984,0.00963855421686747,4.236300417816394,2769,923,923,923,1080,573,1116,903,1866,1104,1257,408,1524,1245
3,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.0,0.0,0.05319148936170213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.025974025974025976,0.025210084033613446,0.02654867256637168,0.015384615384615385,0.05555555555555555,0.046511627906976744,0.00909090909090909,4.163188181766848,1176,392,392,392,276,336,564,462,714,678,390,108,516,660,0.021668472372697724,0.021668472372697724,0.021668472372697724,0.021668472372697724,0.0,0.0,0.053763440860215055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.023255813953488372,0.02090032154340836,0.019021739130434784,0.021479713603818614,0.029411764705882353,0.031496062992125984,0.00963855421686747,4.0888099215787514,2769,923,923,923,1080,573,1116,903,1866,1104,1257,408,1524,1245
4,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.0,0.0,0.05319148936170213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.025974025974025976,0.025210084033613446,0.02654867256637168,0.015384615384615385,0.05555555555555555,0.046511627906976744,0.00909090909090909,4.108258928571429,1176,392,392,392,276,336,564,462,714,678,390,108,516,660,0.021668472372697724,0.021668472372697724,0.021668472372697724,0.021668472372697724,0.0,0.0,0.053763440860215055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.023255813953488372,0.02090032154340836,0.019021739130434784,0.021479713603818614,0.029411764705882353,0.031496062992125984,0.00963855421686747,4.055754061251523,2769,923,923,923,1080,573,1116,903,1866,1104,1257,408,1524,1245
5,0.012755102040816327,0.012755102040816327,0.012755102040816327,0.012755102040816327,0.05434782608695652,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.012987012987012988,0.012605042016806723,0.022123893805309734,0.0,0.0,0.0,0.022727272727272728,4.085301146215322,1176,392,392,392,276,336,564,462,714,678,390,108,516,660,0.020585048754062838,0.020585048754062838,0.020585048754062838,0.020585048754062838,0.05277777777777778,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.019933554817275746,0.02090032154340836,0.029891304347826088,0.014319809069212411,0.014705882352941176,0.015748031496062992,0.02650602409638554,4.056383810046779,2769,923,923,923,1080,573,1116,903,1866,1104,1257,408,1524,1245
6,0.030612244897959183,0.030612244897959183,0.03316326530612245,0.02806122448979592,0.021739130434782608,0.0,0.05319148936170213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03463203463203463,0.028011204481792718,0.035398230088495575,0.015384615384615385,0.05555555555555555,0.046511627906976744,0.01818181818181818,4.087344266930405,1176,392,392,392,276,336,564,462,714,678,390,108,516,660,0.03178042614662333,0.0314192849404117,0.032502708559046585,0.0314192849404117,0.025925925925925925,0.0,0.053763440860215055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.029900332225913623,0.03269024651661308,0.02355072463768116,0.03579952267303103,0.041666666666666664,0.046587926509186355,0.013654618473895583,4.057661735008407,2769,923,923,923,1080,573,1116,903,1866,1104,1257,408,1524,1245
7,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.0,0.0,0.05319148936170213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.025974025974025976,0.025210084033613446,0.02654867256637168,0.015384615384615385,0.05555555555555555,0.046511627906976744,0.00909090909090909,4.090800849758849,1176,392,392,392,276,336,564,462,714,678,390,108,516,660,0.021668472372697724,0.021668472372697724,0.021668472372697724,0.021668472372697724,0.0,0.0,0.053763440860215055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.023255813953488372,0.02090032154340836,0.019021739130434784,0.021479713603818614,0.029411764705882353,0.031496062992125984,0.00963855421686747,4.050448212738974,2769,923,923,923,1080,573,1116,903,1866,1104,1257,408,1524,1245
8,0.02806122448979592,0.02806122448979592,0.02806122448979592,0.02806122448979592,0.0,0.0,0.05851063829787234,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.025974025974025976,0.029411764705882353,0.02654867256637168,0.015384615384615385,0.08333333333333333,0.046511627906976744,0.013636363636363636,4.091975776516661,1176,392,392,392,276,336,564,462,714,678,390,108,516,660,0.024918743228602384,0.024918743228602384,0.023835319609967497,0.02600216684723727,0.0,0.0,0.06182795698924731,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.029900332225913623,0.022508038585209004,0.024456521739130436,0.023070803500397773,0.031862745098039214,0.03674540682414698,0.010441767068273093,4.043728328000857,2769,923,923,923,1080,573,1116,903,1866,1104,1257,408,1524,1245
9,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.0,0.0,0.05319148936170213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.025974025974025976,0.025210084033613446,0.02654867256637168,0.015384615384615385,0.05555555555555555,0.046511627906976744,0.00909090909090909,4.088081307962638,1176,392,392,392,276,336,564,462,714,678,390,108,516,660,0.021668472372697724,0.021668472372697724,0.021668472372697724,0.021668472372697724,0.0,0.0,0.053763440860215055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.023255813953488372,0.02090032154340836,0.019021739130434784,0.021479713603818614,0.029411764705882353,0.031496062992125984,0.00963855421686747,4.0390622575345905,2769,923,923,923,1080,573,1116,903,1866,1104,1257,408,1524,1245
10,0.0467687074829932,0.04591836734693878,0.04591836734693878,0.04846938775510204,0.0,0.0,0.0975177304964539,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.047619047619047616,0.046218487394957986,0.05014749262536873,0.023076923076923078,0.1111111111111111,0.08333333333333333,0.01818181818181818,4.079299771055883,1176,392,392,392,276,336,564,462,714,678,390,108,516,660,0.03755868544600939,0.03791982665222102,0.03791982665222102,0.03683640303358613,0.0,0.0,0.0931899641577061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.036544850498338874,0.03804930332261522,0.034420289855072464,0.03420843277645187,0.056372549019607844,0.0531496062992126,0.018473895582329317,4.0342444918912514,2769,923,923,923,1080,573,1116,903,1866,1104,1257,408,1524,1245
