epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.0,0.0,0.05319148936170213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.025974025974025976,0.025210084033613446,0.02654867256637168,0.015384615384615385,0.05555555555555555,0.046511627906976744,0.00909090909090909,4.496983327022215,1176,392,392,392,276,336,564,462,714,678,390,108,516,660,0.021668472372697724,0.021668472372697724,0.021668472372697724,0.021668472372697724,0.0,0.0,0.053763440860215055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.023255813953488372,0.02090032154340836,0.019021739130434784,0.021479713603818614,0.029411764705882353,0.031496062992125984,0.00963855421686747,4.488221096536148,2769,923,923,923,1080,573,1116,903,1866,1104,1257,408,1524,1245
2,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.0,0.0,0.05319148936170213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.025974025974025976,0.025210084033613446,0.02654867256637168,0.015384615384615385,0.05555555555555555,0.046511627906976744,0.00909090909090909,4.211625235421317,1176,392,392,392,276,336,564,462,714,678,390,108,516,660,0.021668472372697724,0.021668472372697724,0.021668472372697724,0.021668472372697724,0.0,0.0,0.053763440860215055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.023255813953488372,0.02090032154340836,0.019021739130434784,0.021479713603818614,0.029411764705882353,0.031496062992125984,0.00963855421686747,4.169840759299386,2769,923,923,923,1080,573,1116,903,1866,1104,1257,408,1524,1245
3,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.0,0.0,0.05319148936170213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.025974025974025976,0.025210084033613446,0.02654867256637168,0.015384615384615385,0.05555555555555555,0.046511627906976744,0.00909090909090909,4.126588211578577,1176,392,392,392,276,336,564,462,714,678,390,108,516,660,0.021668472372697724,0.021668472372697724,0.021668472372697724,0.021668472372697724,0.0,0.0,0.053763440860215055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.023255813953488372,0.02090032154340836,0.019021739130434784,0.021479713603818614,0.029411764705882353,0.031496062992125984,0.00963855421686747,4.06644561756557,2769,923,923,923,1080,573,1116,903,1866,1104,1257,408,1524,1245
4,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.0,0.0,0.05319148936170213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.025974025974025976,0.025210084033613446,0.02654867256637168,0.015384615384615385,0.05555555555555555,0.046511627906976744,0.00909090909090909,4.0795644124348955,1176,392,392,392,276,336,564,462,714,678,390,108,516,660,0.02275189599133261,0.02275189599133261,0.02275189599133261,0.02275189599133261,0.0,0.0,0.056451612903225805,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.023255813953488372,0.022508038585209004,0.021739130434782608,0.021479713603818614,0.029411764705882353,0.03346456692913386,0.00963855421686747,4.050107218204056,2769,923,923,923,1080,573,1116,903,1866,1104,1257,408,1524,1245
5,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.10869565217391304,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.025974025974025976,0.025210084033613446,0.04424778761061947,0.0,0.0,0.0,0.045454545454545456,4.07775219768083,1176,392,392,392,276,336,564,462,714,678,390,108,516,660,0.041170097508125676,0.041170097508125676,0.041170097508125676,0.041170097508125676,0.10555555555555556,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03986710963455149,0.04180064308681672,0.059782608695652176,0.028639618138424822,0.029411764705882353,0.031496062992125984,0.05301204819277108,4.053130563479031,2769,923,923,923,1080,573,1116,903,1866,1104,1257,408,1524,1245
6,0.013605442176870748,0.012755102040816327,0.015306122448979591,0.012755102040816327,0.05434782608695652,0.0,0.0017730496453900709,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.012987012987012988,0.014005602240896359,0.02359882005899705,0.0,0.0,0.001937984496124031,0.022727272727272728,4.0711936691180375,1176,392,392,392,276,336,564,462,714,678,390,108,516,660,0.020585048754062838,0.020585048754062838,0.020585048754062838,0.020585048754062838,0.05277777777777778,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.019933554817275746,0.02090032154340836,0.029891304347826088,0.014319809069212411,0.014705882352941176,0.015748031496062992,0.02650602409638554,4.036711202713073,2769,923,923,923,1080,573,1116,903,1866,1104,1257,408,1524,1245
7,0.012755102040816327,0.012755102040816327,0.012755102040816327,0.012755102040816327,0.05434782608695652,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.012987012987012988,0.012605042016806723,0.022123893805309734,0.0,0.0,0.0,0.022727272727272728,4.061304261084317,1176,392,392,392,276,336,564,462,714,678,390,108,516,660,0.020585048754062838,0.020585048754062838,0.020585048754062838,0.020585048754062838,0.05277777777777778,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.019933554817275746,0.02090032154340836,0.029891304347826088,0.014319809069212411,0.014705882352941176,0.015748031496062992,0.02650602409638554,4.015186005355047,2769,923,923,923,1080,573,1116,903,1866,1104,1257,408,1524,1245
8,0.016156462585034014,0.017857142857142856,0.017857142857142856,0.012755102040816327,0.03985507246376811,0.0,0.014184397163120567,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.008658008658008658,0.02100840336134454,0.02359882005899705,0.0,0.027777777777777776,0.009689922480620155,0.021212121212121213,4.039855230422247,1176,392,392,392,276,336,564,462,714,678,390,108,516,660,0.023835319609967497,0.02275189599133261,0.02275189599133261,0.02600216684723727,0.049074074074074076,0.0,0.011648745519713262,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02547065337763012,0.02304394426580922,0.03170289855072464,0.016706443914081145,0.024509803921568627,0.025590551181102362,0.021686746987951807,3.9904278403544264,2769,923,923,923,1080,573,1116,903,1866,1104,1257,408,1524,1245
9,0.03231292517006803,0.03316326530612245,0.03316326530612245,0.030612244897959183,0.050724637681159424,0.0,0.0425531914893617,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.025974025974025976,0.036414565826330535,0.04277286135693215,0.010256410256410256,0.046296296296296294,0.03682170542635659,0.02878787878787879,4.000143557178731,1176,392,392,392,276,336,564,462,714,678,390,108,516,660,0.037197544239797764,0.03683640303358613,0.03683640303358613,0.03791982665222102,0.05277777777777778,0.0,0.04121863799283154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03433001107419712,0.03858520900321544,0.042572463768115944,0.031026252983293555,0.041666666666666664,0.03871391076115486,0.035341365461847386,3.9504644931891026,2769,923,923,923,1080,573,1116,903,1866,1104,1257,408,1524,1245
10,0.03741496598639456,0.030612244897959183,0.04846938775510204,0.03316326530612245,0.057971014492753624,0.0,0.04964539007092199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04112554112554113,0.0350140056022409,0.048672566371681415,0.01282051282051282,0.05555555555555555,0.04263565891472868,0.03333333333333333,3.9448529198056175,1176,392,392,392,276,336,564,462,714,678,390,108,516,660,0.044420368364030335,0.0390032502708559,0.04333694474539545,0.050920910075839654,0.06481481481481481,0.0,0.047491039426523295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.048726467331118496,0.04233654876741694,0.04891304347826087,0.03977724741447892,0.04656862745098039,0.045931758530183726,0.04257028112449799,3.8892671496224946,2769,923,923,923,1080,573,1116,903,1866,1104,1257,408,1524,1245
