epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.0,0.0,0.05303030303030303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.022727272727272728,0.014814814814814815,0.023529411764705882,0.014150943396226415,0.0,0.03333333333333333,0.0,4.517076634649021,1206,402,402,402,516,294,396,396,810,510,636,60,630,576,0.025191675794085433,0.025191675794085433,0.025191675794085433,0.025191675794085433,0.0,0.0,0.053738317757009345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02476780185758514,0.025423728813559324,0.02122641509433962,0.02373887240356083,0.039473684210526314,0.036170212765957444,0.013544018058690745,4.500600301597013,2739,913,913,913,840,615,1284,969,1770,1272,1011,456,1410,1329
2,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.0,0.0,0.05303030303030303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.022727272727272728,0.014814814814814815,0.023529411764705882,0.014150943396226415,0.0,0.03333333333333333,0.0,4.2758308777564,1206,402,402,402,516,294,396,396,810,510,636,60,630,576,0.025191675794085433,0.025191675794085433,0.025191675794085433,0.025191675794085433,0.0,0.0,0.053738317757009345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02476780185758514,0.025423728813559324,0.02122641509433962,0.02373887240356083,0.039473684210526314,0.036170212765957444,0.013544018058690745,4.213037251990918,2739,913,913,913,840,615,1284,969,1770,1272,1011,456,1410,1329
3,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.0,0.0,0.05303030303030303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.022727272727272728,0.014814814814814815,0.023529411764705882,0.014150943396226415,0.0,0.03333333333333333,0.0,4.21522074077853,1206,402,402,402,516,294,396,396,810,510,636,60,630,576,0.025191675794085433,0.025191675794085433,0.025191675794085433,0.025191675794085433,0.0,0.0,0.053738317757009345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02476780185758514,0.025423728813559324,0.02122641509433962,0.02373887240356083,0.039473684210526314,0.036170212765957444,0.013544018058690745,4.071097466927369,2739,913,913,913,840,615,1284,969,1770,1272,1011,456,1410,1329
4,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.0,0.0,0.05303030303030303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.022727272727272728,0.014814814814814815,0.023529411764705882,0.014150943396226415,0.0,0.03333333333333333,0.0,4.1513476015916515,1206,402,402,402,516,294,396,396,810,510,636,60,630,576,0.025191675794085433,0.025191675794085433,0.025191675794085433,0.025191675794085433,0.0,0.0,0.053738317757009345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02476780185758514,0.025423728813559324,0.02122641509433962,0.02373887240356083,0.039473684210526314,0.036170212765957444,0.013544018058690745,4.040399167693502,2739,913,913,913,840,615,1284,969,1770,1272,1011,456,1410,1329
5,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.0,0.0,0.05303030303030303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.022727272727272728,0.014814814814814815,0.023529411764705882,0.014150943396226415,0.0,0.03333333333333333,0.0,4.116418234349088,1206,402,402,402,516,294,396,396,810,510,636,60,630,576,0.025191675794085433,0.025191675794085433,0.025191675794085433,0.025191675794085433,0.0,0.0,0.053738317757009345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02476780185758514,0.025423728813559324,0.02122641509433962,0.02373887240356083,0.039473684210526314,0.036170212765957444,0.013544018058690745,4.043600048275488,2739,913,913,913,840,615,1284,969,1770,1272,1011,456,1410,1329
6,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.0,0.0,0.05303030303030303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.022727272727272728,0.014814814814814815,0.023529411764705882,0.014150943396226415,0.0,0.03333333333333333,0.0,4.118015624595123,1206,402,402,402,516,294,396,396,810,510,636,60,630,576,0.025191675794085433,0.025191675794085433,0.025191675794085433,0.025191675794085433,0.0,0.0,0.053738317757009345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02476780185758514,0.025423728813559324,0.02122641509433962,0.02373887240356083,0.039473684210526314,0.036170212765957444,0.013544018058690745,4.043906717067133,2739,913,913,913,840,615,1284,969,1770,1272,1011,456,1410,1329
7,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.0,0.0,0.05303030303030303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.022727272727272728,0.014814814814814815,0.023529411764705882,0.014150943396226415,0.0,0.03333333333333333,0.0,4.126017050165838,1206,402,402,402,516,294,396,396,810,510,636,60,630,576,0.025191675794085433,0.025191675794085433,0.025191675794085433,0.025191675794085433,0.0,0.0,0.053738317757009345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02476780185758514,0.025423728813559324,0.02122641509433962,0.02373887240356083,0.039473684210526314,0.036170212765957444,0.013544018058690745,4.035774244884367,2739,913,913,913,840,615,1284,969,1770,1272,1011,456,1410,1329
8,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.0,0.0,0.05303030303030303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.022727272727272728,0.014814814814814815,0.023529411764705882,0.014150943396226415,0.0,0.03333333333333333,0.0,4.131480810061023,1206,402,402,402,516,294,396,396,810,510,636,60,630,576,0.025191675794085433,0.025191675794085433,0.025191675794085433,0.025191675794085433,0.0,0.0,0.053738317757009345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02476780185758514,0.025423728813559324,0.02122641509433962,0.02373887240356083,0.039473684210526314,0.036170212765957444,0.013544018058690745,4.029707720263155,2739,913,913,913,840,615,1284,969,1770,1272,1011,456,1410,1329
9,0.03399668325041459,0.03233830845771144,0.03731343283582089,0.03233830845771144,0.0,0.0,0.10353535353535354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.045454545454545456,0.028395061728395062,0.043137254901960784,0.029874213836477988,0.0,0.06507936507936508,0.0,4.124496586484893,1206,402,402,402,516,294,396,396,810,510,636,60,630,576,0.050018254837531945,0.05257393209200438,0.047097480832420595,0.050383351588170866,0.0,0.0,0.10669781931464174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.048503611971104234,0.05084745762711865,0.04245283018867924,0.04846686449060336,0.07456140350877193,0.07304964539007092,0.025583145221971408,4.026360524662571,2739,913,913,913,840,615,1284,969,1770,1272,1011,456,1410,1329
10,0.02321724709784411,0.022388059701492536,0.024875621890547265,0.022388059701492536,0.0,0.0,0.0707070707070707,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.022727272727272728,0.02345679012345679,0.03137254901960784,0.018867924528301886,0.0,0.044444444444444446,0.0,4.115074954815765,1206,402,402,402,516,294,396,396,810,510,636,60,630,576,0.03322380430814166,0.03066812705366922,0.03723986856516977,0.03176341730558598,0.0,0.0,0.07087227414330217,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.033023735810113516,0.03333333333333333,0.031446540880503145,0.027695351137487636,0.05043859649122807,0.04822695035460993,0.01730624529721595,4.024101154261934,2739,913,913,913,840,615,1284,969,1770,1272,1011,456,1410,1329
