epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.04,0.0,0.0,0.0,0.0,0.30120481927710846,0.30120481927710846,0.30120481927710846,0.30120481927710846,1.0,0.0,0.0,0.0,0.0,0.3472222222222222,0.2902155887230514,0.1736111111111111,0.28901734104046245,0.6637168141592921,0.42857142857142855,0.0,0.013888888888888888,0.011608623548922056,0.006944444444444444,0.011560693641618497,0.02654867256637168,0.017142857142857144,0.0,3.111247289505243,2241,747,747,747,675,288,444,336,498,432,1809,864,1038,339,1575,666,0.015904572564612324,0.015904572564612324,0.015904572564612324,0.015904572564612324,0.04005006257822278,0.0,0.0,0.0,0.0,0.397117296222664,0.397117296222664,0.397117296222664,0.397117296222664,1.0,0.0,0.0,0.0,0.0,0.3756281407035176,0.41118421052631576,0.4072345390898483,0.36900369003690037,0.43859649122807015,0.4996873045653533,0.0,0.01507537688442211,0.01644736842105263,0.01633605600933489,0.014760147601476014,0.017543859649122806,0.020012507817385866,0.0,3.0363838898574698,6036,2012,2012,2012,2397,972,912,573,1182,2388,3648,2571,2439,1026,4797,1239
2,0.0142793395805444,0.013386880856760375,0.013386880856760375,0.01606425702811245,0.047407407407407405,0.0,0.0,0.0,0.0,0.30120481927710846,0.30120481927710846,0.30120481927710846,0.30120481927710846,1.0,0.0,0.0,0.0,0.0,0.3472222222222222,0.2902155887230514,0.1736111111111111,0.28901734104046245,0.6637168141592921,0.42857142857142855,0.0,0.013888888888888888,0.014372581536760642,0.009259259259259259,0.012524084778420038,0.032448377581120944,0.020317460317460317,0.0,3.1295461522740267,2241,747,747,747,675,288,444,336,498,432,1809,864,1038,339,1575,666,0.021537442014579192,0.021371769383697812,0.021371769383697812,0.02186878727634195,0.05423445974134335,0.0,0.0,0.0,0.0,0.397117296222664,0.397117296222664,0.397117296222664,0.397117296222664,1.0,0.0,0.0,0.0,0.0,0.3756281407035176,0.41118421052631576,0.4072345390898483,0.36900369003690037,0.43859649122807015,0.4996873045653533,0.0,0.02051926298157454,0.022203947368421052,0.021392454297938544,0.020910209102091022,0.023391812865497075,0.02710027100271003,0.0,3.018002034181629,6036,2012,2012,2012,2397,972,912,573,1182,2388,3648,2571,2439,1026,4797,1239
3,0.014725568942436412,0.014725568942436412,0.013386880856760375,0.01606425702811245,0.04888888888888889,0.0,0.0,0.0,0.0,0.30165104863900044,0.30120481927710846,0.30120481927710846,0.30254350736278446,1.0,0.0,0.0,0.0,0.002008032128514056,0.34953703703703703,0.2902155887230514,0.17476851851851852,0.28901734104046245,0.6637168141592921,0.4292063492063492,0.0,0.020833333333333332,0.013266998341625208,0.008101851851851851,0.016377649325626204,0.02654867256637168,0.02095238095238095,0.0,3.0964227461059517,2241,747,747,747,675,288,444,336,498,432,1809,864,1038,339,1575,666,0.020874751491053677,0.021371769383697812,0.019880715705765408,0.021371769383697812,0.05214851898206091,0.0,0.0,0.0,0.0008460236886632825,0.39827700463883364,0.3981113320079523,0.397117296222664,0.3996023856858847,0.9995828118481435,0.0,0.0,0.0017452006980802793,0.005922165820642978,0.37730318257956447,0.4120065789473684,0.40840140023337224,0.36982369823698236,0.4405458089668616,0.5007296226808422,0.0016142050040355124,0.020938023450586266,0.020833333333333332,0.020614546868922598,0.02050020500205002,0.022417153996101363,0.02626641651031895,0.0,2.973788474394518,6036,2012,2012,2012,2397,972,912,573,1182,2388,3648,2571,2439,1026,4797,1239
4,0.03346720214190094,0.030789825970548863,0.028112449799196786,0.041499330655957165,0.05925925925925926,0.003472222222222222,0.0,0.005952380952380952,0.0642570281124498,0.3427041499330656,0.3453815261044177,0.3360107095046854,0.3467202141900937,0.9407407407407408,0.0,0.0,0.15178571428571427,0.1646586345381526,0.3819444444444444,0.3333333333333333,0.2326388888888889,0.3208092485549133,0.6902654867256637,0.45396825396825397,0.07957957957957958,0.05787037037037037,0.027639579878385848,0.037037037037037035,0.024084778420038536,0.05309734513274336,0.04380952380952381,0.009009009009009009,3.0121431091117943,2241,747,747,747,675,288,444,336,498,432,1809,864,1038,339,1575,666,0.03462557985420808,0.029324055666003976,0.03628230616302187,0.03827037773359841,0.06633291614518148,0.00411522633744856,0.0,0.0034904013961605585,0.03722504230118443,0.4355533465871438,0.4388667992047714,0.4398608349900596,0.4279324055666004,0.9453483521068001,0.0,0.0,0.22338568935427575,0.1988155668358714,0.4221105527638191,0.44435307017543857,0.43173862310385064,0.42066420664206644,0.48050682261208577,0.5203252032520326,0.10734463276836158,0.03559463986599665,0.03399122807017544,0.032283158304161806,0.03772037720377204,0.03313840155945419,0.04210965186574943,0.005649717514124294,2.85795851114019,6036,2012,2012,2012,2397,972,912,573,1182,2388,3648,2571,2439,1026,4797,1239
5,0.047746541722445336,0.0428380187416332,0.04551539491298527,0.05488621151271754,0.09777777777777778,0.013888888888888888,0.0,0.0,0.07429718875502007,0.3413654618473896,0.3333333333333333,0.33065595716198126,0.36010709504685406,0.9644444444444444,0.0763888888888889,0.0,0.02976190476190476,0.1646586345381526,0.4166666666666667,0.32338308457711445,0.23842592592592593,0.3159922928709056,0.6814159292035398,0.4723809523809524,0.03153153153153153,0.06712962962962964,0.04311774461028192,0.052083333333333336,0.03468208092485549,0.07669616519174041,0.06666666666666667,0.003003003003003003,2.9318733811112505,2241,747,747,747,675,288,444,336,498,432,1809,864,1038,339,1575,666,0.05864811133200795,0.05417495029821073,0.055666003976143144,0.06610337972166998,0.1017939090529829,0.015432098765432098,0.0,0.0,0.08037225042301184,0.4372100728959576,0.43489065606361826,0.43439363817097415,0.4423459244532803,0.9707968293700459,0.06584362139917696,0.0010964912280701754,0.019197207678883072,0.1996615905245347,0.41164154103852596,0.45394736842105265,0.44457409568261375,0.4063140631406314,0.4922027290448343,0.5386700020846362,0.04439063761097659,0.051926298157453935,0.06304824561403509,0.056009334889148193,0.056990569905699055,0.06920077972709551,0.07046070460704607,0.0129136400322841,2.7611210180324304,6036,2012,2012,2012,2397,972,912,573,1182,2388,3648,2571,2439,1026,4797,1239
6,0.06381079875055778,0.06827309236947791,0.05488621151271754,0.06827309236947791,0.1259259259259259,0.03125,0.015765765765765764,0.005952380952380952,0.08032128514056225,0.34404283801874164,0.34404283801874164,0.3386880856760375,0.3493975903614458,0.9466666666666667,0.0,0.0045045045045045045,0.023809523809523808,0.24497991967871485,0.42592592592592593,0.3244886677722499,0.24768518518518517,0.3092485549132948,0.696165191740413,0.473015873015873,0.03903903903903904,0.07175925925925926,0.0619126589275843,0.05439814814814815,0.057803468208092484,0.10619469026548672,0.08444444444444445,0.015015015015015015,2.7701977070608823,2241,747,747,747,675,288,444,336,498,432,1809,864,1038,339,1575,666,0.08499005964214712,0.08598409542743539,0.0805168986083499,0.08846918489065607,0.14851898206090947,0.030864197530864196,0.006578947368421052,0.0,0.10236886632825719,0.441351888667992,0.4418489065606362,0.4393638170974155,0.4428429423459245,0.9578639966624948,0.0,0.0021929824561403508,0.013961605584642234,0.30287648054145516,0.41708542713567837,0.45723684210526316,0.44185141968105796,0.4141041410414104,0.5048732943469786,0.5376276839691474,0.06860371267150928,0.08333333333333333,0.08607456140350878,0.08012446518864255,0.08528085280852808,0.09649122807017543,0.10110485720241817,0.022598870056497175,2.5869798502280585,6036,2012,2012,2012,2397,972,912,573,1182,2388,3648,2571,2439,1026,4797,1239
7,0.07675145024542615,0.07630522088353414,0.06827309236947791,0.0856760374832664,0.17629629629629628,0.041666666666666664,0.02252252252252252,0.0,0.06224899598393574,0.33467202141900937,0.33065595716198126,0.32262382864792505,0.3507362784471218,0.9762962962962963,0.010416666666666666,0.0,0.0,0.17670682730923695,0.4050925925925926,0.31785516860143725,0.22800925925925927,0.30828516377649323,0.6873156342182891,0.46793650793650793,0.01951951951951952,0.0625,0.08015478164731896,0.0625,0.07707129094412331,0.11209439528023599,0.10476190476190476,0.010510510510510511,2.768201849280804,2241,747,747,747,675,288,444,336,498,432,1809,864,1038,339,1575,666,0.09078860172299535,0.08449304174950298,0.0775347912524851,0.110337972166998,0.16937838965373384,0.023662551440329218,0.015350877192982455,0.0,0.08883248730964467,0.432571239231279,0.43240556660039764,0.4269383697813121,0.4383697813121272,0.982060909470171,0.0051440329218107,0.0010964912280701754,0.0,0.21235194585448391,0.4091289782244556,0.4479166666666667,0.43912874367950216,0.4009840098400984,0.49122807017543857,0.5322076297686054,0.046811945117029866,0.08584589614740369,0.09402412280701754,0.08829249319330999,0.08692086920869209,0.10623781676413255,0.10715030227225349,0.02744148506860371,2.547688620069945,6036,2012,2012,2012,2397,972,912,573,1182,2388,3648,2571,2439,1026,4797,1239
8,0.06381079875055778,0.06693440428380187,0.04819277108433735,0.07630522088353414,0.15851851851851853,0.010416666666666666,0.018018018018018018,0.0,0.050200803212851405,0.32976349843819724,0.32262382864792505,0.31994645247657294,0.3467202141900937,0.9851851851851852,0.006944444444444444,0.02252252252252252,0.0,0.12449799196787148,0.39351851851851855,0.31453841901603097,0.2222222222222222,0.30828516377649323,0.6696165191740413,0.4615873015873016,0.018018018018018018,0.06018518518518518,0.06467661691542288,0.05324074074074074,0.05491329479768786,0.11799410029498525,0.08634920634920636,0.010510510510510511,2.7896076221117108,2241,747,747,747,675,288,444,336,498,432,1809,864,1038,339,1575,666,0.08482438701126574,0.07703777335984095,0.0705765407554672,0.10685884691848907,0.16228619107217354,0.01440329218106996,0.009868421052631578,0.0,0.08460236886632826,0.4279324055666004,0.4254473161033797,0.42147117296222664,0.43687872763419483,0.9866499791405924,0.012345679012345678,0.019736842105263157,0.0,0.15905245346869712,0.4053601340033501,0.4427083333333333,0.44146246596655,0.39073390733907337,0.4824561403508772,0.5269960391911611,0.04439063761097659,0.07747068676716917,0.08963815789473684,0.08323609490470633,0.07913079130791308,0.1023391812865497,0.1002710027100271,0.025020177562550445,2.5698561519878127,6036,2012,2012,2012,2397,972,912,573,1182,2388,3648,2571,2439,1026,4797,1239
9,0.07184292726461401,0.06961178045515395,0.060240963855421686,0.0856760374832664,0.1925925925925926,0.013888888888888888,0.024774774774774775,0.0,0.0321285140562249,0.321285140562249,0.3172690763052209,0.3092369477911647,0.3373493975903614,0.9911111111111112,0.07291666666666667,0.0022522522522522522,0.0,0.05823293172690763,0.38425925925925924,0.3062465450525152,0.2048611111111111,0.30732177263969174,0.6607669616519174,0.4558730158730159,0.003003003003003003,0.06481481481481481,0.07352128247650636,0.052083333333333336,0.07225433526011561,0.12094395280235988,0.09714285714285714,0.012012012012012012,2.7342951041361627,2241,747,747,747,675,288,444,336,498,432,1809,864,1038,339,1575,666,0.09393638170974156,0.08598409542743539,0.07703777335984095,0.11878727634194831,0.19440967876512308,0.013374485596707819,0.017543859649122806,0.0,0.06091370558375635,0.4222995361166335,0.42196819085487075,0.415506958250497,0.4294234592445328,0.9912390488110138,0.059670781893004114,0.0,0.0,0.09729272419627749,0.3990787269681742,0.4375,0.4344612991054065,0.3858138581385814,0.47855750487329435,0.5247029393370857,0.0258272800645682,0.08542713567839195,0.09950657894736842,0.09179307662388175,0.08897088970889709,0.1111111111111111,0.11277882009589327,0.020984665052461663,2.509967053149851,6036,2012,2012,2012,2397,972,912,573,1182,2388,3648,2571,2439,1026,4797,1239
10,0.08746095493083444,0.08969210174029452,0.08433734939759036,0.08835341365461848,0.17333333333333334,0.03819444444444445,0.02927927927927928,0.0,0.11044176706827309,0.3422579205711736,0.3360107095046854,0.3386880856760375,0.35207496653279785,0.9496296296296296,0.006944444444444444,0.0022522522522522522,0.0,0.2469879518072289,0.4074074074074074,0.32669983416252074,0.24189814814814814,0.30828516377649323,0.7020648967551623,0.473015873015873,0.03303303303303303,0.09027777777777778,0.08678828081813156,0.08564814814814815,0.07225433526011561,0.13864306784660768,0.11238095238095239,0.028528528528528527,2.669604960641176,2241,747,747,747,675,288,444,336,498,432,1809,864,1038,339,1575,666,0.09343936381709742,0.09244532803180915,0.08648111332007952,0.10139165009940358,0.14935335836462243,0.04938271604938271,0.03618421052631579,0.0,0.10575296108291032,0.4454937044400265,0.44831013916500995,0.4378727634194831,0.45029821073558646,0.9637046307884856,0.00720164609053498,0.0043859649122807015,0.0,0.311336717428088,0.42629815745393634,0.45805921052631576,0.4488525865422015,0.4145141451414514,0.5107212475633528,0.5438815926620805,0.0645682001614205,0.09170854271356783,0.09457236842105263,0.09996110462854921,0.08036080360803607,0.10818713450292397,0.1077756931415468,0.037933817594834544,2.4898867698755383,6036,2012,2012,2012,2397,972,912,573,1182,2388,3648,2571,2439,1026,4797,1239
