epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.0129366106080207,0.040160642570281124,0.0,0.0,0.0,0.0,0.3221216041397154,0.3221216041397154,0.3221216041397154,0.3221216041397154,1.0,0.0,0.0,0.0,0.0,0.3498233215547703,0.30612244897959184,0.3311036789297659,0.273224043715847,0.46296296296296297,0.4654205607476635,0.0,0.014134275618374558,0.012244897959183673,0.013377926421404682,0.01092896174863388,0.018518518518518517,0.018691588785046728,0.0,3.1185538031613844,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.015609264853977844,0.015609264853977844,0.015609264853977844,0.015609264853977844,0.04,0.0,0.0,0.0,0.0,0.3902316213494461,0.3902316213494461,0.3902316213494461,0.3902316213494461,1.0,0.0,0.0,0.0,0.0,0.380517503805175,0.39503386004514673,0.3546099290780142,0.37831021437578816,0.5043227665706052,0.48772813089993705,0.0,0.015220700152207,0.01580135440180587,0.014184397163120567,0.015132408575031526,0.020172910662824207,0.019509125235997484,0.0,3.035759307666688,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
2,0.03147908581285037,0.03234152652005175,0.03234152652005175,0.029754204398447608,0.09772423025435073,0.0,0.0,0.0,0.0,0.3221216041397154,0.3221216041397154,0.3221216041397154,0.3221216041397154,1.0,0.0,0.0,0.0,0.0,0.3498233215547703,0.30612244897959184,0.3311036789297659,0.273224043715847,0.46296296296296297,0.4654205607476635,0.0,0.03769140164899882,0.027891156462585033,0.032329988851727984,0.023679417122040074,0.05555555555555555,0.04548286604361371,0.0,3.1320460468800535,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.03323262839879154,0.03423967774420947,0.030715005035246726,0.03474320241691843,0.08516129032258064,0.0,0.0,0.0,0.0,0.3902316213494461,0.3902316213494461,0.3902316213494461,0.3902316213494461,1.0,0.0,0.0,0.0,0.0,0.380517503805175,0.39503386004514673,0.3546099290780142,0.37831021437578816,0.5043227665706052,0.48772813089993705,0.0,0.0334855403348554,0.03310759969902182,0.02955082742316785,0.03278688524590164,0.043227665706051875,0.04153555695405916,0.0,3.023115154879731,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
3,0.016817593790426907,0.016817593790426907,0.014230271668822769,0.019404915912031046,0.05220883534136546,0.0,0.0,0.0,0.0,0.32255282449331607,0.3221216041397154,0.32341526520051744,0.3221216041397154,1.0,0.0,0.0,0.0,0.0022222222222222222,0.3498233215547703,0.30680272108843537,0.3311036789297659,0.273224043715847,0.4660493827160494,0.4654205607476635,0.0014005602240896359,0.0176678445229682,0.0163265306122449,0.014492753623188406,0.015482695810564663,0.027777777777777776,0.024299065420560748,0.0,3.1078823101114437,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.015944947969117152,0.016112789526686808,0.01460221550855992,0.017119838872104734,0.04086021505376344,0.0,0.0,0.0,0.0,0.39056730446458543,0.3902316213494461,0.3902316213494461,0.39123867069486407,1.0,0.0,0.0,0.0,0.0016260162601626016,0.380517503805175,0.39553549034361674,0.3546099290780142,0.3791509037410677,0.5043227665706052,0.4881476819802811,0.0,0.017250126839167934,0.015299724103335842,0.015760441292356184,0.014291719209751997,0.020172910662824207,0.019928676316341515,0.0,3.0133245851658224,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
4,0.027598102630444158,0.028460543337645538,0.02328589909443726,0.031047865459249677,0.07228915662650602,0.03546099290780142,0.0,0.0,0.0,0.34411384217335056,0.34799482535575677,0.34152652005174644,0.3428201811125485,0.9598393574297188,0.0,0.0,0.0,0.18,0.38515901060070673,0.32040816326530613,0.35674470457079155,0.28415300546448086,0.5123456790123457,0.48473520249221186,0.028011204481792718,0.02591283863368669,0.02857142857142857,0.022296544035674472,0.028233151183970857,0.040123456790123455,0.03987538940809969,0.0,3.0733803917283176,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.03323262839879154,0.03172205438066465,0.029707955689828803,0.038267875125881166,0.06494623655913978,0.04294478527607362,0.0,0.0,0.0040650406504065045,0.4155756965424639,0.4174219536757301,0.41440080563947634,0.4149043303121853,0.9767741935483871,0.0,0.0,0.0038535645472061657,0.16504065040650406,0.40537798072044645,0.42061700526711815,0.3747044917257683,0.41067675493905004,0.526416906820365,0.5137402978812671,0.022670025188916875,0.0380517503805175,0.030850263355906696,0.030732860520094562,0.036990332072299285,0.03073967339097022,0.04132578141388714,0.0008396305625524769,2.9648672092997335,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
5,0.026735661923242778,0.0258732212160414,0.02457956015523933,0.029754204398447608,0.05488621151271754,0.024822695035460994,0.0,0.0,0.03111111111111111,0.34583872358775336,0.34928848641655885,0.34152652005174644,0.34670116429495473,0.9692101740294511,0.0,0.0,0.0,0.17333333333333334,0.38162544169611307,0.3251700680272109,0.3556298773690078,0.28415300546448086,0.5277777777777778,0.48473520249221186,0.03361344537815126,0.028268551236749116,0.02585034013605442,0.026755852842809364,0.023679417122040074,0.037037037037037035,0.037383177570093455,0.0028011204481792717,3.0666822110234073,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.03138637126552534,0.030211480362537766,0.02769385699899295,0.03625377643504532,0.04774193548387097,0.02147239263803681,0.0,0.0,0.044715447154471545,0.41574353810003356,0.4164149043303122,0.4133937562940584,0.4174219536757301,0.9875268817204301,0.0,0.0,0.0,0.14715447154471545,0.404363267376966,0.4213694507148232,0.380220646178093,0.4077343421605717,0.5206532180595581,0.5154185022026432,0.016792611251049538,0.035514967021816335,0.029345372460496615,0.03230890464933018,0.029424127784783524,0.03362151777137368,0.036920495070274804,0.009235936188077247,2.923720437594411,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
6,0.031047865459249677,0.031047865459249677,0.02457956015523933,0.037516170763260026,0.06827309236947791,0.0,0.0,0.0,0.04666666666666667,0.3311772315653299,0.33376455368693403,0.3260025873221216,0.33376455368693403,0.998661311914324,0.0,0.0,0.0,0.04888888888888889,0.35571260306242636,0.31700680272108844,0.3366778149386845,0.2768670309653916,0.5,0.47102803738317756,0.01680672268907563,0.02944640753828033,0.03197278911564626,0.020066889632107024,0.029143897996357013,0.06790123456790123,0.03987538940809969,0.011204481792717087,3.051786527185411,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.029036589459550184,0.032225579053373615,0.022658610271903322,0.032225579053373615,0.05806451612903226,0.0,0.0,0.0,0.030894308943089432,0.39543470963410543,0.39526686807653577,0.39123867069486407,0.3997985901309164,1.0,0.0,0.0,0.0,0.025203252032520326,0.3850837138508371,0.40055179332831703,0.35973207249802996,0.3858764186633039,0.5043227665706052,0.49423117264526956,0.0,0.029934043632673768,0.028592927012791574,0.02876280535855004,0.031105506515342583,0.024975984630163303,0.035452066289070695,0.0033585222502099076,2.912162276233111,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
7,0.04225959465286762,0.045278137128072445,0.031047865459249677,0.050452781371280724,0.10040160642570281,0.0,0.0,0.0,0.051111111111111114,0.34152652005174644,0.34540750323415265,0.3350582147477361,0.34411384217335056,0.9919678714859438,0.0,0.0,0.0,0.11333333333333333,0.3745583038869258,0.3224489795918367,0.3500557413600892,0.28324225865209474,0.5154320987654321,0.48286604361370716,0.023809523809523808,0.04004711425206125,0.04353741496598639,0.033444816053511704,0.04007285974499089,0.07407407407407407,0.056074766355140186,0.011204481792717087,2.9609552657311204,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.03910708291372944,0.04179254783484391,0.02769385699899295,0.04783484390735146,0.0821505376344086,0.0,0.0,0.0,0.03414634146341464,0.40886203423967776,0.4108761329305136,0.4043303121852971,0.41137965760322254,0.9987096774193548,0.0,0.0,0.0,0.09268292682926829,0.3952308472856418,0.41560070228241786,0.3750985027580772,0.39974779319041615,0.5120076849183477,0.5093350115376547,0.006717044500419815,0.041603247082699135,0.037873087534487086,0.03743104806934594,0.04539722572509458,0.02881844380403458,0.04803859869939165,0.0033585222502099076,2.8333710526091496,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
8,0.040965933592065545,0.042690815006468305,0.04657179818887452,0.03363518758085381,0.08165997322623829,0.0425531914893617,0.0,0.0,0.04888888888888889,0.3445450625269513,0.34799482535575677,0.36351875808538164,0.3221216041397154,0.7349397590361446,0.0,0.0,0.0,0.5555555555555556,0.42285041224970554,0.29931972789115646,0.37235228539576365,0.2586520947176685,0.558641975308642,0.4542056074766355,0.09803921568627451,0.053003533568904596,0.034013605442176874,0.055741360089186176,0.0273224043715847,0.046296296296296294,0.0573208722741433,0.004201680672268907,2.8925868894273528,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.062101376300772074,0.06243705941591138,0.0689828801611279,0.05488418932527694,0.11698924731182796,0.03680981595092025,0.0,0.0,0.05040650406504065,0.4211144679422625,0.42497482376636453,0.42648539778449146,0.4118831822759315,0.8055913978494623,0.0,0.0,0.0,0.5170731707317073,0.3952308472856418,0.4339102081765739,0.37155240346729707,0.417822614543926,0.5494716618635928,0.5078665827564506,0.07388748950461797,0.06291222729578894,0.06170052671181339,0.05476753349093775,0.05632618747372846,0.09317963496637849,0.07426054122089365,0.01343408900083963,2.803150321701782,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
9,0.05217766278568348,0.056921086675291076,0.04657179818887452,0.05304010349288486,0.09772423025435073,0.010638297872340425,0.0,0.0,0.1,0.35877533419577406,0.36610608020698576,0.36351875808538164,0.34670116429495473,0.8688085676037484,0.0,0.0,0.002564102564102564,0.40444444444444444,0.4169611307420495,0.3251700680272109,0.3801560758082497,0.2768670309653916,0.5771604938271605,0.48598130841121495,0.07282913165266107,0.06595995288574794,0.04421768707482993,0.05239687848383501,0.040983606557377046,0.08950617283950617,0.06853582554517133,0.015406162464985995,2.83203172375283,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.05824102047667002,0.05740181268882175,0.05840886203423968,0.05891238670694864,0.09634408602150538,0.009202453987730062,0.0,0.0,0.09268292682926829,0.43235985229942936,0.4350453172205438,0.4310171198388721,0.4310171198388721,0.901505376344086,0.0,0.0,0.017341040462427744,0.3829268292682927,0.4119736174530695,0.44243792325056436,0.38849487785658,0.4312736443883985,0.5417867435158501,0.5275854835326201,0.051217464315701094,0.06443429731100964,0.05517933283170304,0.05713159968479117,0.05926860025220681,0.05859750240153699,0.0696454793371093,0.012594458438287154,2.716599263693511,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
10,0.06813281586890901,0.0815006468305304,0.054333764553686936,0.0685640362225097,0.14725568942436412,0.031914893617021274,0.0,0.0,0.08666666666666667,0.3656748598533851,0.36998706338939197,0.36093143596377747,0.36610608020698576,0.9558232931726908,0.0,0.0,0.0,0.29777777777777775,0.4016489988221437,0.3448979591836735,0.3835005574136009,0.2887067395264117,0.5771604938271605,0.4996884735202492,0.06442577030812324,0.07420494699646643,0.06462585034013606,0.059085841694537344,0.060109289617486336,0.12037037037037036,0.09283489096573208,0.012605042016806723,2.8021977183221485,2319,773,773,773,747,282,450,390,450,849,1470,897,1098,324,1605,714,0.07854984894259819,0.08610271903323263,0.06948640483383686,0.08006042296072508,0.14580645161290323,0.02965235173824131,0.0,0.0,0.08130081300813008,0.43890567304464584,0.4390735146022155,0.43303121852970794,0.4446122860020141,0.9690322580645161,0.0,0.0,0.0,0.2943089430894309,0.42364282090309485,0.44645096563832454,0.4022852639873917,0.43631778058007564,0.5341018251681076,0.5414306691839732,0.028547439126784216,0.0882800608828006,0.07373965387509406,0.07565011820330969,0.08701134930643127,0.06628242074927954,0.0960771973987833,0.008396305625524769,2.68792843442509,5958,1986,1986,1986,2325,978,906,519,1230,1971,3987,2538,2379,1041,4767,1191
