epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010395010395010396,0.011737089201877934,0.011363636363636364,0.015873015873015872,0.014950166112956811,0.0,4.65243780196056,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,0.02102496714848883,0.0,4.5762199485527795,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
2,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010395010395010396,0.011737089201877934,0.011363636363636364,0.015873015873015872,0.014950166112956811,0.0,4.6360126172826055,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,0.02102496714848883,0.0,4.575697894110637,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
3,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010395010395010396,0.011737089201877934,0.011363636363636364,0.015873015873015872,0.014950166112956811,0.0,4.6424648087338145,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.016450648055832504,0.016450648055832504,0.016450648055832504,0.016450648055832504,0.04125,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.0171898355754858,0.016689847009735744,0.01452513966480447,0.02040816326530612,0.021681997371879105,0.0,4.568702583655284,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
4,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010395010395010396,0.011737089201877934,0.011363636363636364,0.015873015873015872,0.014950166112956811,0.0,4.617620392993996,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.01927550681289465,0.019441674975074777,0.019441674975074777,0.018943170488534396,0.04833333333333333,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.017964071856287425,0.019930244145490782,0.01761706073249884,0.01601489757914339,0.02976190476190476,0.025405168637757335,0.0,4.55083050003635,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
5,0.03939796370075255,0.03851261620185923,0.0398406374501992,0.0398406374501992,0.08630952380952381,0.0,0.0,0.0,0.05065359477124183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0392156862745098,0.0395010395010395,0.035211267605633804,0.03787878787878788,0.07407407407407407,0.04595791805094131,0.013245033112582781,4.487920794037392,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.03772017281488867,0.03788634097706879,0.036390827517447655,0.038883349950149554,0.075,0.0,0.0,0.0,0.04400749063670412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03792415169660679,0.03761833582461385,0.02920723226703755,0.042458100558659215,0.04251700680272109,0.047963206307490146,0.005509641873278237,4.40235200566919,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
6,0.035413899955732624,0.035856573705179286,0.03187250996015936,0.03851261620185923,0.11160714285714286,0.007662835249042145,0.0,0.0,0.0016339869281045752,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0392156862745098,0.033264033264033266,0.03286384976525822,0.03787878787878788,0.042328042328042326,0.044296788482835,0.0,4.270247379622137,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.04436689930209372,0.0423728813559322,0.04187437686939183,0.04885343968095713,0.105,0.016260162601626018,0.0010416666666666667,0.0011737089201877935,0.0009363295880149813,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04640718562874251,0.043348281016442454,0.033843300880853036,0.0521415270018622,0.04591836734693878,0.05825667980727114,0.0006887052341597796,4.183338250223288,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
7,0.043382027445772464,0.04648074369189907,0.029216467463479414,0.05444887118193891,0.09970238095238096,0.0038314176245210726,0.0,0.0,0.04738562091503268,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04044117647058824,0.04504504504504504,0.032081377151799685,0.05176767676767677,0.08465608465608465,0.050387596899224806,0.01545253863134658,4.204311146256986,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.045363908275174475,0.04287138584247258,0.031904287138584245,0.0613160518444666,0.08625,0.01084010840108401,0.007291666666666667,0.02464788732394366,0.028089887640449437,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04241516966067864,0.046836073741903336,0.03291608715808994,0.0521415270018622,0.05272108843537415,0.05475251861585633,0.01584022038567493,4.110318600675837,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
8,0.054891544931385566,0.05843293492695883,0.0451527224435591,0.06108897742363878,0.1324404761904762,0.0,0.020202020202020204,0.0,0.04411764705882353,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05269607843137255,0.056133056133056136,0.04460093896713615,0.06186868686868687,0.09523809523809523,0.06201550387596899,0.026490066225165563,4.0972153324635485,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.06231306081754736,0.06081754735792622,0.04735792622133599,0.07876370887337986,0.12416666666666666,0.0027100271002710027,0.01875,0.01995305164319249,0.03745318352059925,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.061377245508982034,0.06278026905829596,0.04636068613815485,0.07337057728119181,0.0663265306122449,0.07687253613666228,0.01652892561983471,3.9709656633939328,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
9,0.06551571491810536,0.06640106241699867,0.0451527224435591,0.0849933598937583,0.14583333333333334,0.0,0.025252525252525252,0.0,0.06535947712418301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05269607843137255,0.07276507276507277,0.05242566510172144,0.07323232323232323,0.12169312169312169,0.07364341085271318,0.033112582781456956,4.075511565932451,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.06264539714190762,0.05732801595214357,0.047856430707876374,0.08275174476570289,0.12208333333333334,0.0027100271002710027,0.017708333333333333,0.012910798122065728,0.05056179775280899,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06287425149700598,0.06253114100647733,0.05192396847473343,0.06666666666666667,0.07312925170068027,0.07731055628558914,0.01652892561983471,3.9303640186212196,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
10,0.04736609119079239,0.05179282868525897,0.027888446215139442,0.06241699867197875,0.12202380952380952,0.0,0.015151515151515152,0.0,0.03104575163398693,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04534313725490196,0.04851004851004851,0.03834115805946792,0.05176767676767677,0.08994708994708994,0.055924695459579184,0.013245033112582781,4.153726078757885,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.053838484546360914,0.053838484546360914,0.04287138584247258,0.06480558325024925,0.12041666666666667,0.0013550135501355014,0.009375,0.005868544600938967,0.018726591760299626,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04840319361277445,0.056552067762830095,0.04636068613815485,0.05288640595903166,0.06972789115646258,0.06876916338151555,0.006887052341597796,4.031929804661536,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
