epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010395010395010396,0.011737089201877934,0.011363636363636364,0.015873015873015872,0.014950166112956811,0.0,4.65322644967007,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,0.02102496714848883,0.0,4.56882834569209,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
2,0.01416555998229305,0.013280212483399735,0.013280212483399735,0.01593625498007968,0.047619047619047616,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01715686274509804,0.012474012474012475,0.014084507042253521,0.013888888888888888,0.015873015873015872,0.017718715393133997,0.0,4.618168817784418,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.020272515785975408,0.019940179461615155,0.020438683948155532,0.020438683948155532,0.050833333333333335,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.019461077844311378,0.020677628300946688,0.01808066759388039,0.01936685288640596,0.026360544217687076,0.026719229084537888,0.0,4.552386744389228,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
3,0.03408587870739265,0.03054448871181939,0.029216467463479414,0.04249667994687915,0.10714285714285714,0.0,0.0,0.05263157894736842,0.0032679738562091504,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04534313725490196,0.02772002772002772,0.03129890453834116,0.03282828282828283,0.0582010582010582,0.03986710963455149,0.011037527593818985,4.519370326852313,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.04320372216683283,0.04287138584247258,0.040877367896311065,0.045862412761714856,0.09541666666666666,0.0,0.0,0.03286384976525822,0.0028089887640449437,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03493013972055888,0.04733432984554061,0.043115438108484005,0.03947858472998138,0.05187074829931973,0.052562417871222074,0.013774104683195593,4.428752398403747,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
4,0.05046480743691899,0.049136786188579015,0.0451527224435591,0.057104913678618856,0.12202380952380952,0.0,0.0,0.05263157894736842,0.04738562091503268,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06495098039215687,0.04227304227304227,0.04929577464788732,0.047979797979797977,0.06878306878306878,0.05813953488372093,0.019867549668874173,4.142657992163291,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.059654370222665336,0.06281156530408774,0.058325024925224324,0.05782652043868395,0.11166666666666666,0.0,0.0,0.051643192488262914,0.04400749063670412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.054890219560878244,0.06203288490284006,0.059805285118219746,0.05921787709497207,0.06037414965986394,0.0700832238282961,0.026859504132231406,4.018765541753646,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
5,0.10668437361664453,0.10624169986719788,0.10092961487383798,0.11288180610889774,0.19345238095238096,0.040229885057471264,0.012626262626262626,0.05263157894736842,0.13398692810457516,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10049019607843138,0.1101871101871102,0.09546165884194054,0.11237373737373738,0.15873015873015872,0.12070874861572536,0.05077262693156733,3.7036565111083446,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.11365902293120637,0.11365902293120637,0.10418743768693918,0.12313060817547358,0.20791666666666667,0.03116531165311653,0.009375,0.02112676056338028,0.12640449438202248,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11526946107784432,0.11285500747384156,0.1186833565136764,0.10986964618249534,0.1130952380952381,0.14235654840122647,0.023415977961432508,3.5986798515586056,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
6,0.11199645861000443,0.10624169986719788,0.10092961487383798,0.12881806108897742,0.21428571428571427,0.02490421455938697,0.020202020202020204,0.05263157894736842,0.1388888888888889,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11642156862745098,0.1094941094941095,0.09859154929577464,0.12373737373737374,0.15343915343915343,0.12624584717607973,0.05518763796909492,3.6043741159493967,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.11232967763376538,0.1106679960119641,0.0967098703888335,0.1296111665004985,0.19833333333333333,0.024390243902439025,0.015625,0.03286384976525822,0.1301498127340824,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11726546906187625,0.10986547085201794,0.11219286045433473,0.11582867783985103,0.10459183673469388,0.13710030661410424,0.03443526170798898,3.537534856368395,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
7,0.12306330234617087,0.11553784860557768,0.1102257636122178,0.14342629482071714,0.21726190476190477,0.022988505747126436,0.05303030303030303,0.05263157894736842,0.1568627450980392,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12009803921568628,0.12474012474012475,0.11424100156494522,0.125,0.1746031746031746,0.13233665559246954,0.08609271523178808,3.5786079045363683,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.11831173147224992,0.11864406779661017,0.1036889332003988,0.13260219341974078,0.19375,0.02032520325203252,0.051041666666666666,0.03169014084507042,0.14606741573033707,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1277445109780439,0.11360239162929746,0.1214649976819657,0.12029795158286778,0.10799319727891156,0.13994743758212877,0.05027548209366391,3.532619791991214,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
8,0.1102257636122178,0.1102257636122178,0.08764940239043825,0.13280212483399734,0.22321428571428573,0.02681992337164751,0.020202020202020204,0.05263157894736842,0.12091503267973856,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11151960784313726,0.1094941094941095,0.09702660406885759,0.11616161616161616,0.1746031746031746,0.12347729789590255,0.05739514348785872,3.5347573735007884,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.11681621801262879,0.11515453639082751,0.09970089730807577,0.13559322033898305,0.22083333333333333,0.025745257452574527,0.030208333333333334,0.023474178403755867,0.09831460674157304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1122754491017964,0.11908320876930742,0.11404728789986092,0.12216014897579143,0.1096938775510204,0.14213753832676304,0.0371900826446281,3.485593187884264,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
9,0.14342629482071714,0.1460823373173971,0.14475431606905712,0.1394422310756972,0.3005952380952381,0.0421455938697318,0.050505050505050504,0.017543859649122806,0.12908496732026145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1323529411764706,0.1496881496881497,0.12754303599374023,0.1590909090909091,0.18518518518518517,0.1611295681063123,0.0728476821192053,3.360147652661922,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.1681621801262878,0.17846460618145563,0.15902293120638086,0.1669990029910269,0.3070833333333333,0.037940379403794036,0.075,0.05046948356807512,0.12359550561797752,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.17564870259481039,0.16442451420029897,0.16968011126564672,0.162756052141527,0.17772108843537415,0.19929916776171705,0.07024793388429752,3.255507139875945,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
10,0.1456396635679504,0.15670650730411687,0.16069057104913678,0.11952191235059761,0.25,0.04980842911877394,0.04040404040404041,0.05263157894736842,0.1895424836601307,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.125,0.1573111573111573,0.1267605633802817,0.16161616161616163,0.20634920634920634,0.16223698781838317,0.07947019867549669,3.4139302436521275,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.1656696576935859,0.17397806580259223,0.16600199401794616,0.15702891326021934,0.275,0.05013550135501355,0.0375,0.05868544600938967,0.20037453183520598,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.16516966067864272,0.16591928251121077,0.15808993973110802,0.14450651769087522,0.22789115646258504,0.19864213753832677,0.06198347107438017,3.239301220686898,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
