epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.013722886232846392,0.013280212483399735,0.014608233731739707,0.013280212483399735,0.046130952380952384,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01838235294117647,0.011088011088011088,0.014084507042253521,0.012626262626262626,0.015873015873015872,0.01716500553709856,0.0,4.630993198430238,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.015952143569292122,0.015952143569292122,0.016450648055832504,0.015453639082751745,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.015968063872255488,0.015944195316392625,0.01483541956420955,0.01452513966480447,0.021258503401360544,0.02102496714848883,0.0,4.596982429177312,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
2,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010395010395010396,0.011737089201877934,0.011363636363636364,0.015873015873015872,0.014950166112956811,0.0,4.634340918660428,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,0.02102496714848883,0.0,4.606647566253064,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
3,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010395010395010396,0.011737089201877934,0.011363636363636364,0.015873015873015872,0.014950166112956811,0.0,4.6298719239794295,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,0.02102496714848883,0.0,4.5939965341605395,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
4,0.015493581230633024,0.014608233731739707,0.017264276228419653,0.014608233731739707,0.052083333333333336,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0196078431372549,0.013167013167013167,0.01486697965571205,0.013888888888888888,0.026455026455026454,0.01937984496124031,0.0,4.622457841161396,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.020771020272515785,0.02193419740777667,0.019441674975074777,0.020937188434695914,0.052083333333333336,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01996007984031936,0.021175884404583956,0.02132591562355123,0.0186219739292365,0.02465986394557823,0.027376259307928166,0.0,4.595118960339035,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
5,0.013722886232846392,0.01195219123505976,0.014608233731739707,0.014608233731739707,0.046130952380952384,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01838235294117647,0.011088011088011088,0.013302034428794992,0.008838383838383838,0.037037037037037035,0.01716500553709856,0.0,4.592859437899444,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.026088401462279826,0.023928215353938187,0.025423728813559324,0.028913260219341975,0.065,0.0,0.0,0.0,0.0009363295880149813,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0249500998003992,0.02665670154459392,0.02132591562355123,0.0260707635009311,0.03486394557823129,0.03416557161629435,0.0006887052341597796,4.5756965553534705,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
6,0.017706949977866312,0.01859229747675963,0.01859229747675963,0.01593625498007968,0.004464285714285714,0.0,0.010101010101010102,0.0,0.05392156862745098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01715686274509804,0.018018018018018018,0.017996870109546165,0.012626262626262626,0.037037037037037035,0.01716500553709856,0.019867549668874173,4.582971472400329,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.01744765702891326,0.018444666001994018,0.01794616151545364,0.015952143569292122,0.016666666666666666,0.0,0.009375,0.0,0.052434456928838954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01996007984031936,0.01619332336821126,0.013908205841446454,0.01899441340782123,0.02040816326530612,0.02014892685063513,0.008953168044077135,4.562544544102069,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
7,0.023019034971226208,0.021248339973439574,0.02656042496679947,0.021248339973439574,0.005952380952380952,0.0210727969348659,0.010101010101010102,0.0,0.05392156862745098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024509803921568627,0.022176022176022176,0.02269170579029734,0.01893939393939394,0.042328042328042326,0.023809523809523808,0.019867549668874173,4.666618465374612,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.02143569292123629,0.02193419740777667,0.02193419740777667,0.020438683948155532,0.020416666666666666,0.018970189701897018,0.009375,0.0,0.05337078651685393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.023453093812375248,0.02042850024912805,0.016689847009735744,0.024208566108007448,0.023809523809523808,0.025624178712220762,0.008264462809917356,4.623228844553579,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
8,0.029216467463479414,0.033200531208499334,0.02656042496679947,0.027888446215139442,0.020833333333333332,0.0019157088122605363,0.045454545454545456,0.0,0.05392156862745098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02696078431372549,0.030492030492030493,0.0297339593114241,0.025252525252525252,0.042328042328042326,0.026578073089700997,0.039735099337748346,4.4773156722070055,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.026919242273180457,0.02642073778664008,0.027417746759720838,0.026919242273180457,0.02625,0.0027100271002710027,0.041666666666666664,0.0,0.05337078651685393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02694610778443114,0.026905829596412557,0.02920723226703755,0.024581005586592177,0.02806122448979592,0.027814279456855016,0.024104683195592287,4.419840697633662,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
9,0.033643204957945996,0.035856573705179286,0.035856573705179286,0.029216467463479414,0.022321428571428572,0.04789272030651341,0.005050505050505051,0.0,0.05555555555555555,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03431372549019608,0.033264033264033266,0.03442879499217527,0.030303030303030304,0.042328042328042326,0.03765227021040975,0.017660044150110375,4.534899329548127,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.029245596543702228,0.03140578265204387,0.028913260219341975,0.027417746759720838,0.03166666666666667,0.05013550135501355,0.003125,0.0,0.056179775280898875,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.029940119760479042,0.028898854010961636,0.021789522484932777,0.03202979515828678,0.036564625850340135,0.03591765221200175,0.008264462809917356,4.4577322313657985,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
10,0.04072598494909252,0.0398406374501992,0.041168658698539175,0.041168658698539175,0.02976190476190476,0.044061302681992334,0.030303030303030304,0.0,0.06045751633986928,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03799019607843137,0.04227304227304227,0.04225352112676056,0.03282828282828283,0.06349206349206349,0.04152823920265781,0.037527593818984545,4.367139136595977,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.04120970422067132,0.04287138584247258,0.0423728813559322,0.03838484546360917,0.044583333333333336,0.04065040650406504,0.040625,0.002347417840375587,0.06554307116104868,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04640718562874251,0.03861484803188839,0.039870190078813164,0.041713221601489756,0.04251700680272109,0.045992115637319315,0.026170798898071626,4.291580316829459,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
