epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.013280212483399735,0.013280212483399735,0.01195219123505976,0.014608233731739707,0.044642857142857144,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.015931372549019607,0.01178101178101178,0.012519561815336464,0.013888888888888888,0.015873015873015872,0.016611295681063124,0.0,4.630727740081341,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.017779993353273512,0.01744765702891326,0.016450648055832504,0.019441674975074777,0.044583333333333336,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.017964071856287425,0.01768809167912307,0.01761706073249884,0.017504655493482308,0.01870748299319728,0.02343407796758651,0.0,4.596731209366691,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
2,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010395010395010396,0.011737089201877934,0.011363636363636364,0.015873015873015872,0.014950166112956811,0.0,4.634164892080982,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,0.02102496714848883,0.0,4.606227237071338,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
3,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010395010395010396,0.011737089201877934,0.011363636363636364,0.015873015873015872,0.014950166112956811,0.0,4.62910170299704,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,0.02102496714848883,0.0,4.593039282218449,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
4,0.01637892872952634,0.014608233731739707,0.01593625498007968,0.01859229747675963,0.05505952380952381,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.023284313725490197,0.012474012474012475,0.017996870109546165,0.013888888888888888,0.015873015873015872,0.020487264673311186,0.0,4.6210800245199755,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.02143569292123629,0.022931206380857428,0.018943170488534396,0.02243270189431705,0.05375,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01746506986027944,0.023418036870951668,0.021789522484932777,0.01973929236499069,0.02465986394557823,0.028252299605781867,0.0,4.593075935766918,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
5,0.027445772465692783,0.03054448871181939,0.029216467463479414,0.02257636122177955,0.09226190476190477,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03308823529411765,0.024255024255024255,0.028169014084507043,0.021464646464646464,0.047619047619047616,0.03433001107419712,0.0,4.582275309569016,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.034396809571286144,0.03589232303090728,0.03938185443668993,0.027916251246261216,0.08625,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03592814371257485,0.033632286995515695,0.031988873435326845,0.03240223463687151,0.04336734693877551,0.04533508541392904,0.0,4.5603690637073155,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
6,0.03010181496237273,0.033200531208499334,0.03054448871181939,0.02656042496679947,0.047619047619047616,0.0,0.007575757575757576,0.0,0.05392156862745098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.031862745098039214,0.029106029106029108,0.03129890453834116,0.021464646464646464,0.0582010582010582,0.032668881506090805,0.019867549668874173,4.46677493584689,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.03489531405782652,0.03838484546360917,0.04037886340977069,0.0259222333000997,0.059166666666666666,0.0,0.0125,0.0,0.052434456928838954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04141716566866267,0.031639262580966616,0.0315252665739453,0.034636871508379886,0.041666666666666664,0.042706964520367936,0.010330578512396695,4.443249272365196,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
7,0.03939796370075255,0.0398406374501992,0.04249667994687915,0.035856573705179286,0.05654761904761905,0.0,0.03535353535353535,0.0,0.06045751633986928,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04534313725490196,0.036036036036036036,0.04538341158059468,0.026515151515151516,0.05291005291005291,0.03986710963455149,0.037527593818984545,4.371689052168064,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.03805250913924892,0.03738783649052842,0.04436689930209372,0.032402791625124626,0.058333333333333334,0.0,0.029166666666666667,0.0,0.05711610486891386,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04291417165668663,0.035625311410064774,0.037552155771905425,0.036126629422718805,0.04336734693877551,0.04467805519053877,0.01721763085399449,4.318598140312137,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
8,0.045595396193005754,0.05046480743691899,0.05312084993359894,0.033200531208499334,0.05952380952380952,0.0,0.045454545454545456,0.017543859649122806,0.0718954248366013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04411764705882353,0.04643104643104643,0.04616588419405321,0.039141414141414144,0.06878306878306878,0.043743078626799554,0.052980132450331126,4.299955964985544,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.05084745762711865,0.050348953140578266,0.06231306081754736,0.03988035892323031,0.07833333333333334,0.0,0.03958333333333333,0.014084507042253521,0.06367041198501873,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05738522954091816,0.047583457897359245,0.05702364394993046,0.0446927374301676,0.05357142857142857,0.05803766973280771,0.028236914600550965,4.211610529738908,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
9,0.0566622399291722,0.05179282868525897,0.0703851261620186,0.04780876494023904,0.08928571428571429,0.0,0.04292929292929293,0.017543859649122806,0.08169934640522876,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.049019607843137254,0.060984060984060985,0.053208137715179966,0.05303030303030303,0.09523809523809523,0.05758582502768549,0.052980132450331126,4.145722421728019,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.06015287470920572,0.05782652043868395,0.07676969092721835,0.045862412761714856,0.09291666666666666,0.0,0.034375,0.017605633802816902,0.0852059925093633,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0658682634730539,0.057299451918286,0.054705609643022714,0.0633147113594041,0.06292517006802721,0.0700832238282961,0.028925619834710745,4.025382491036007,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
10,0.04161133244798584,0.033200531208499334,0.05179282868525897,0.0398406374501992,0.041666666666666664,0.03639846743295019,0.030303030303030304,0.0,0.05718954248366013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.030637254901960783,0.04781704781704782,0.0406885758998435,0.036616161616161616,0.06878306878306878,0.04152823920265781,0.04194260485651214,4.332361769285704,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.05018278497839814,0.04935194416749751,0.06580259222333001,0.0353938185443669,0.06208333333333333,0.04607046070460705,0.03125,0.02699530516431925,0.06179775280898876,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0593812375249501,0.045590433482810166,0.0458970792767733,0.05139664804469274,0.055272108843537414,0.05562855891371003,0.03305785123966942,4.1908314160707985,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
