epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.012837538733953076,0.013280212483399735,0.013280212483399735,0.01195219123505976,0.043154761904761904,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01715686274509804,0.010395010395010396,0.012519561815336464,0.013888888888888888,0.010582010582010581,0.016057585825027684,0.0,4.634721260357874,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.018278497839813893,0.020438683948155532,0.018943170488534396,0.015453639082751745,0.04583333333333333,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01996007984031936,0.017438963627304436,0.014371812702828002,0.0186219739292365,0.02465986394557823,0.024091108190976786,0.0,4.60824443985751,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
2,0.02036299247454626,0.0199203187250996,0.0199203187250996,0.021248339973439574,0.06845238095238096,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.025735294117647058,0.017325017325017324,0.02034428794992175,0.020202020202020204,0.021164021164021163,0.02547065337763012,0.0,4.6283881941850655,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.030242605516782983,0.02991026919242273,0.029411764705882353,0.03140578265204387,0.07583333333333334,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027944111776447105,0.03139013452914798,0.027816411682892908,0.02867783985102421,0.03826530612244898,0.039859833552343404,0.0,4.601852077231846,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
3,0.02877379371403276,0.029216467463479414,0.02656042496679947,0.03054448871181939,0.09672619047619048,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.029411764705882353,0.028413028413028413,0.024256651017214397,0.03409090909090909,0.037037037037037035,0.03599114064230343,0.0,4.586855188836667,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.03705550016616816,0.03738783649052842,0.03788634097706879,0.03589232303090728,0.09291666666666666,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03243512974051896,0.0393622321873443,0.037552155771905425,0.030540037243947857,0.05102040816326531,0.04883924660534385,0.0,4.560797121169045,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
4,0.023461708720672863,0.025232403718459494,0.025232403718459494,0.0199203187250996,0.047619047619047616,0.0,0.05303030303030303,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0196078431372549,0.02564102564102564,0.023474178403755867,0.025252525252525252,0.015873015873015872,0.021040974529346623,0.033112582781456956,4.4454847169481795,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.03339980059820538,0.03389830508474576,0.03339980059820538,0.03290129611166501,0.06291666666666666,0.0,0.052083333333333336,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027445109780439122,0.036372695565520675,0.037552155771905425,0.02495344506517691,0.045068027210884355,0.03701270258431888,0.02203856749311295,4.420642410334102,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
5,0.044710048694112436,0.043824701195219126,0.04648074369189907,0.043824701195219126,0.08779761904761904,0.0,0.0,0.017543859649122806,0.06699346405228758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03553921568627451,0.0498960498960499,0.03912363067292645,0.04671717171717172,0.07407407407407407,0.050387596899224806,0.02207505518763797,4.254063282460436,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.05782652043868395,0.058325024925224324,0.05982053838484546,0.05533399800598205,0.10666666666666667,0.0,0.0,0.007042253521126761,0.08052434456928839,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05139720558882235,0.06103637269556552,0.05099675475197033,0.0521415270018622,0.08333333333333333,0.07074025405168638,0.01721763085399449,4.201758696891098,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
6,0.0451527224435591,0.049136786188579015,0.041168658698539175,0.0451527224435591,0.07589285714285714,0.0,0.0025252525252525255,0.0,0.08169934640522876,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.041666666666666664,0.04712404712404712,0.0406885758998435,0.041666666666666664,0.08994708994708994,0.050387596899224806,0.024282560706401765,4.225135482376051,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.054336989032901295,0.05633100697906281,0.05633100697906281,0.050348953140578266,0.09208333333333334,0.0,0.0010416666666666667,0.005868544600938967,0.09363295880149813,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05688622754491018,0.053064275037369206,0.041261010662957814,0.05661080074487896,0.07312925170068027,0.0657030223390276,0.01859504132231405,4.1489304871842805,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
7,0.05887560867640549,0.06241699867197875,0.06241699867197875,0.05179282868525897,0.11904761904761904,0.007662835249042145,0.05303030303030303,0.05263157894736842,0.04084967320261438,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06372549019607843,0.056133056133056136,0.0594679186228482,0.056818181818181816,0.06349206349206349,0.061461794019933555,0.04856512141280353,3.981125735772189,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.07028913260219342,0.06679960119641076,0.07726819541375872,0.06679960119641076,0.1225,0.009485094850948509,0.03333333333333333,0.0539906103286385,0.04119850187265917,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07435129740518961,0.06826108619830593,0.06583217431617988,0.07299813780260708,0.07227891156462585,0.08059570740254052,0.03787878787878788,3.9186579462458977,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
8,0.061531651173085435,0.06640106241699867,0.06241699867197875,0.055776892430278883,0.1130952380952381,0.019157088122605363,0.045454545454545456,0.07017543859649122,0.05065359477124183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06495098039215687,0.0595980595980596,0.06103286384976526,0.059343434343434344,0.07407407407407407,0.0636766334440753,0.052980132450331126,3.83596387021359,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.07909604519774012,0.07278165503489531,0.0872382851445663,0.07726819541375872,0.13125,0.014905149051490514,0.036458333333333336,0.07511737089201878,0.047752808988764044,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07884231536926148,0.07922272047832586,0.07510431154381085,0.08156424581005586,0.08078231292517007,0.08935611038107753,0.046831955922865015,3.7869890491286555,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
9,0.07702523240371846,0.08366533864541832,0.07436918990703852,0.07304116865869854,0.1130952380952381,0.03639846743295019,0.047979797979797977,0.017543859649122806,0.09640522875816994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06985294117647059,0.08108108108108109,0.07355242566510173,0.07575757575757576,0.10582010582010581,0.08028792912513842,0.0640176600441501,3.7938644996835573,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.08507809903622465,0.0847457627118644,0.09222333000997009,0.07826520438683948,0.12416666666666666,0.04742547425474255,0.051041666666666666,0.03051643192488263,0.09737827715355805,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0843313373253493,0.08545092177379172,0.08113120074177098,0.08603351955307263,0.09013605442176871,0.09833552343407796,0.04338842975206612,3.7625033428360752,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
10,0.099601593625498,0.10358565737051793,0.10225763612217796,0.09296148738379814,0.1324404761904762,0.09386973180076628,0.04292929292929293,0.0,0.11437908496732026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08946078431372549,0.10533610533610534,0.09624413145539906,0.10101010101010101,0.1164021164021164,0.11018826135105204,0.05739514348785872,3.7085426198850433,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.0928880026586906,0.09222333000997009,0.09870388833499502,0.08773678963110668,0.13083333333333333,0.09620596205962059,0.035416666666666666,0.03873239436619718,0.10018726591760299,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08832335329341318,0.09516691579471849,0.08669448307834957,0.09534450651769087,0.09863945578231292,0.10797196671046869,0.045454545454545456,3.691851812725885,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
