epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.019034971226206288,0.014608233731739707,0.021248339973439574,0.021248339973439574,0.06398809523809523,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02696078431372549,0.014553014553014554,0.02112676056338028,0.016414141414141416,0.015873015873015872,0.023809523809523808,0.0,4.630873829983884,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.023097374543037553,0.02193419740777667,0.023928215353938187,0.023429710867397806,0.057916666666666665,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.019461077844311378,0.02491280518186348,0.021789522484932777,0.01973929236499069,0.03316326530612245,0.030442400350416118,0.0,4.597110706454854,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
2,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010395010395010396,0.011737089201877934,0.011363636363636364,0.015873015873015872,0.014950166112956811,0.0,4.634214336231463,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,0.02102496714848883,0.0,4.606039040268517,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
3,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010395010395010396,0.011737089201877934,0.011363636363636364,0.015873015873015872,0.014950166112956811,0.0,4.629246360910525,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,0.02102496714848883,0.0,4.592727088104177,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
4,0.02036299247454626,0.01859229747675963,0.021248339973439574,0.021248339973439574,0.06845238095238096,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.028186274509803922,0.01593901593901594,0.02269170579029734,0.017676767676767676,0.015873015873015872,0.02547065337763012,0.0,4.620361949554214,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.02376204719175806,0.022931206380857428,0.023928215353938187,0.024426719840478565,0.059583333333333335,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.019461077844311378,0.025909317389138018,0.022716736207695872,0.01973929236499069,0.03486394557823129,0.03131844064826982,0.0,4.591300439501807,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
5,0.029216467463479414,0.03187250996015936,0.02656042496679947,0.029216467463479414,0.09375,0.0,0.007575757575757576,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.029411764705882353,0.029106029106029108,0.025821596244131457,0.030303030303030304,0.047619047619047616,0.036544850498338874,0.0,4.5786367604668134,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.03589232303090728,0.03339980059820538,0.036889332003988036,0.03738783649052842,0.0875,0.0,0.00625,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.031936127744510975,0.037867463876432486,0.03662494204914233,0.030912476722532587,0.04591836734693878,0.04730617608409987,0.0,4.556639184821837,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
6,0.03275785745905268,0.034528552456839307,0.029216467463479414,0.034528552456839307,0.05952380952380952,0.022988505747126436,0.045454545454545456,0.0,0.006535947712418301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03676470588235294,0.030492030492030493,0.03599374021909233,0.027777777777777776,0.031746031746031744,0.033776301218161685,0.02869757174392936,4.44316575927194,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.037221668328348285,0.0353938185443669,0.03738783649052842,0.038883349950149554,0.06375,0.02168021680216802,0.051041666666666666,0.0,0.0056179775280898875,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03642714570858283,0.03761833582461385,0.039870190078813164,0.03240223463687151,0.04336734693877551,0.04226894437144109,0.02134986225895317,4.442098428023222,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
7,0.04648074369189907,0.04648074369189907,0.049136786188579015,0.043824701195219126,0.06696428571428571,0.05172413793103448,0.007575757575757576,0.0,0.049019607843137254,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05392156862745098,0.04227304227304227,0.050078247261345854,0.039141414141414144,0.05291005291005291,0.05370985603543743,0.017660044150110375,4.300684658285261,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.0480225988700565,0.050348953140578266,0.04735792622133599,0.04636091724825524,0.07083333333333333,0.05420054200542006,0.03125,0.0,0.04588014981273408,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05139720558882235,0.04633781763826607,0.043115438108484005,0.047299813780260706,0.058673469387755105,0.057380639509417436,0.01859504132231405,4.304952736192464,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
8,0.04869411243913236,0.05046480743691899,0.04249667994687915,0.05312084993359894,0.06547619047619048,0.03639846743295019,0.05808080808080808,0.0,0.0392156862745098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04534313725490196,0.05058905058905059,0.054773082942097026,0.03787878787878788,0.05291005291005291,0.04817275747508306,0.05077262693156733,4.183966283304283,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.047025589896975736,0.05134596211365902,0.045363908275174475,0.04436689930209372,0.06791666666666667,0.03929539295392954,0.057291666666666664,0.0035211267605633804,0.03089887640449438,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04640718562874251,0.04733432984554061,0.04636068613815485,0.04506517690875233,0.05272108843537415,0.05300043802014893,0.028236914600550965,4.154618602688029,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
9,0.04780876494023904,0.05046480743691899,0.041168658698539175,0.05179282868525897,0.052083333333333336,0.05363984674329502,0.0707070707070707,0.017543859649122806,0.026143790849673203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05024509803921569,0.04643104643104643,0.054773082942097026,0.04419191919191919,0.015873015873015872,0.04817275747508306,0.046357615894039736,4.0919592841740675,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.04935194416749751,0.05284147557328016,0.0448654037886341,0.050348953140578266,0.06208333333333333,0.056910569105691054,0.07395833333333333,0.004694835680751174,0.02902621722846442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.053393213572854294,0.04733432984554061,0.05331478905887807,0.04655493482309125,0.04846938775510204,0.05409548839246606,0.03443526170798898,4.071321537503375,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
10,0.04957945993802568,0.04780876494023904,0.043824701195219126,0.057104913678618856,0.0625,0.05938697318007663,0.07575757575757576,0.0,0.014705882352941176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05269607843137255,0.04781704781704782,0.056338028169014086,0.04292929292929293,0.031746031746031744,0.050387596899224806,0.046357615894039736,4.104101065356629,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.05001661681621801,0.05284147557328016,0.04685942173479561,0.050348953140578266,0.06791666666666667,0.06775067750677506,0.065625,0.0,0.023408239700374533,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05239520958083832,0.048829098156452415,0.05146036161335188,0.049162011173184354,0.04931972789115646,0.05716162943495401,0.027548209366391185,4.085400638092234,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
