epoch,test_acc,test_acc_channel_music,test_acc_channel_noise,test_acc_channel_telephone,test_acc_gender_female,test_acc_gender_male,test_acc_language_maninka,test_acc_language_pular,test_acc_language_susu,test_acc_speaker_count_multiple,test_acc_speaker_count_single,test_acc_utterance_multilingual,test_acc_utterance_verbal_nod,test_loss,test_n,test_n_channel_music,test_n_channel_noise,test_n_channel_telephone,test_n_gender_female,test_n_gender_male,test_n_language_maninka,test_n_language_pular,test_n_language_susu,test_n_speaker_count_multiple,test_n_speaker_count_single,test_n_utterance_multilingual,test_n_utterance_verbal_nod,train_acc,train_acc_channel_music,train_acc_channel_noise,train_acc_channel_telephone,train_acc_gender_female,train_acc_gender_male,train_acc_language_maninka,train_acc_language_pular,train_acc_language_susu,train_acc_speaker_count_multiple,train_acc_speaker_count_single,train_acc_utterance_multilingual,train_acc_utterance_verbal_nod,train_loss,train_n,train_n_channel_music,train_n_channel_noise,train_n_channel_telephone,train_n_gender_female,train_n_gender_male,train_n_language_maninka,train_n_language_pular,train_n_language_susu,train_n_speaker_count_multiple,train_n_speaker_count_single,train_n_utterance_multilingual,train_n_utterance_verbal_nod
1,0.48484848484848486,0.5454545454545454,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.5,1.0,0.0,0.0,0.45,0.5384615384615384,0.42857142857142855,0.5238095238095238,1.0537039041519165,33,11,9,9,6,32,16,8,9,20,13,7,21,0.2549019607843137,0.2857142857142857,0.14285714285714285,0.4117647058823529,0.45454545454545453,0.24489795918367346,0.9166666666666666,0.1,0.0,0.30303030303030304,0.125,0.3333333333333333,0.28,1.1769709587097168,51,14,14,17,11,49,12,20,19,33,16,15,25
2,0.48484848484848486,0.5454545454545454,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.5,1.0,0.0,0.0,0.45,0.5384615384615384,0.42857142857142855,0.5238095238095238,1.0543845891952515,33,11,9,9,6,32,16,8,9,20,13,7,21,0.27450980392156865,0.2857142857142857,0.21428571428571427,0.35294117647058826,0.2727272727272727,0.2857142857142857,0.8333333333333334,0.2,0.0,0.30303030303030304,0.1875,0.3333333333333333,0.24,1.1752454042434692,51,14,14,17,11,49,12,20,19,33,16,15,25
3,0.48484848484848486,0.5454545454545454,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.5,1.0,0.0,0.0,0.45,0.5384615384615384,0.42857142857142855,0.5238095238095238,1.0551024675369263,33,11,9,9,6,32,16,8,9,20,13,7,21,0.2549019607843137,0.35714285714285715,0.21428571428571427,0.35294117647058826,0.45454545454545453,0.2653061224489796,1.0,0.05,0.0,0.2727272727272727,0.1875,0.4,0.2,1.1859712600708008,51,14,14,17,11,49,12,20,19,33,16,15,25
4,0.48484848484848486,0.5454545454545454,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.5,1.0,0.0,0.0,0.45,0.5384615384615384,0.42857142857142855,0.5238095238095238,1.0558470487594604,33,11,9,9,6,32,16,8,9,20,13,7,21,0.27450980392156865,0.21428571428571427,0.2857142857142857,0.4117647058823529,0.36363636363636365,0.2857142857142857,0.9166666666666666,0.15,0.0,0.2727272727272727,0.25,0.4666666666666667,0.2,1.1493628025054932,51,14,14,17,11,49,12,20,19,33,16,15,25
5,0.48484848484848486,0.5454545454545454,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.5,1.0,0.0,0.0,0.45,0.5384615384615384,0.42857142857142855,0.5238095238095238,1.0565813779830933,33,11,9,9,6,32,16,8,9,20,13,7,21,0.2549019607843137,0.21428571428571427,0.2857142857142857,0.35294117647058826,0.45454545454545453,0.2653061224489796,0.8333333333333334,0.15,0.0,0.30303030303030304,0.125,0.4,0.24,1.1625638008117676,51,14,14,17,11,49,12,20,19,33,16,15,25
6,0.48484848484848486,0.5454545454545454,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.5,1.0,0.0,0.0,0.45,0.5384615384615384,0.42857142857142855,0.5238095238095238,1.0573478937149048,33,11,9,9,6,32,16,8,9,20,13,7,21,0.21568627450980393,0.2857142857142857,0.07142857142857142,0.29411764705882354,0.45454545454545453,0.22448979591836735,0.75,0.1,0.0,0.2727272727272727,0.125,0.26666666666666666,0.28,1.171932578086853,51,14,14,17,11,49,12,20,19,33,16,15,25
7,0.48484848484848486,0.5454545454545454,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.5,1.0,0.0,0.0,0.45,0.5384615384615384,0.42857142857142855,0.5238095238095238,1.0581814050674438,33,11,9,9,6,32,16,8,9,20,13,7,21,0.19607843137254902,0.21428571428571427,0.14285714285714285,0.4117647058823529,0.36363636363636365,0.20408163265306123,0.75,0.05,0.0,0.24242424242424243,0.125,0.3333333333333333,0.16,1.1949479579925537,51,14,14,17,11,49,12,20,19,33,16,15,25
8,0.48484848484848486,0.5454545454545454,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.5,1.0,0.0,0.0,0.45,0.5384615384615384,0.42857142857142855,0.5238095238095238,1.0589842796325684,33,11,9,9,6,32,16,8,9,20,13,7,21,0.2549019607843137,0.21428571428571427,0.35714285714285715,0.4117647058823529,0.36363636363636365,0.2653061224489796,0.9166666666666666,0.1,0.0,0.30303030303030304,0.125,0.4,0.2,1.1495181322097778,51,14,14,17,11,49,12,20,19,33,16,15,25
9,0.48484848484848486,0.5454545454545454,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.5,1.0,0.0,0.0,0.45,0.5384615384615384,0.42857142857142855,0.5238095238095238,1.059843897819519,33,11,9,9,6,32,16,8,9,20,13,7,21,0.27450980392156865,0.2857142857142857,0.2857142857142857,0.35294117647058826,0.45454545454545453,0.2653061224489796,0.9166666666666666,0.15,0.0,0.2727272727272727,0.1875,0.3333333333333333,0.28,1.15606689453125,51,14,14,17,11,49,12,20,19,33,16,15,25
10,0.48484848484848486,0.5454545454545454,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.5,1.0,0.0,0.0,0.45,0.5384615384615384,0.42857142857142855,0.5238095238095238,1.0607471466064453,33,11,9,9,6,32,16,8,9,20,13,7,21,0.29411764705882354,0.2857142857142857,0.21428571428571427,0.29411764705882354,0.45454545454545453,0.30612244897959184,0.9166666666666666,0.2,0.0,0.30303030303030304,0.25,0.4666666666666667,0.32,1.1354801654815674,51,14,14,17,11,49,12,20,19,33,16,15,25
