epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d008,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d008,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d008,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.011346998535871157,0.011347517730496455,0.011347517730496455,0.011347517730496455,0.01090909090909091,0.015384615384615385,0.008,0.0,0.014925373134328358,0.040051679586563305,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010180995475113122,0.011904761904761904,0.00852099817407182,0.011267605633802818,0.023746701846965697,0.014889529298751201,0.0,4.646271265792288,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.015508094136852129,0.016066212268743916,0.016066212268743916,0.016066212268743916,0.012320328542094456,0.010273972602739725,0.015384615384615385,0.015384615384615385,0.022222222222222223,0.009523809523809525,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016040688575899843,0.015224191866527632,0.016039481801357187,0.014203584714237404,0.017361111111111112,0.0202991452991453,0.0,4.62901279375255,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
2,0.011346998535871157,0.011347517730496455,0.011347517730496455,0.011347517730496455,0.01090909090909091,0.015384615384615385,0.008,0.0,0.014925373134328358,0.040051679586563305,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010180995475113122,0.011904761904761904,0.00852099817407182,0.011267605633802818,0.023746701846965697,0.014889529298751201,0.0,4.647912155307753,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.015508094136852129,0.016066212268743916,0.016066212268743916,0.016066212268743916,0.012320328542094456,0.010273972602739725,0.015384615384615385,0.015384615384615385,0.022222222222222223,0.009523809523809525,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016040688575899843,0.015224191866527632,0.016039481801357187,0.014203584714237404,0.017361111111111112,0.0202991452991453,0.0,4.6360929133924165,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
3,0.01171303074670571,0.011347517730496455,0.011347517730496455,0.011347517730496455,0.01090909090909091,0.015384615384615385,0.008,0.0,0.029850746268656716,0.041343669250646,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010180995475113122,0.012445887445887446,0.009129640900791236,0.011267605633802818,0.023746701846965697,0.01536983669548511,0.0,4.644330294205538,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.015508094136852129,0.016066212268743916,0.016066212268743916,0.016066212268743916,0.012320328542094456,0.010273972602739725,0.015384615384615385,0.015384615384615385,0.022222222222222223,0.009523809523809525,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016040688575899843,0.015224191866527632,0.016039481801357187,0.014203584714237404,0.017361111111111112,0.0202991452991453,0.0,4.629994454278117,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
4,0.012445095168374817,0.01276595744680851,0.01276595744680851,0.009929078014184398,0.014545454545454545,0.023076923076923078,0.0,0.0,0.029850746268656716,0.04392764857881137,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00904977375565611,0.01406926406926407,0.00852099817407182,0.011267605633802818,0.0316622691292876,0.01633045148895293,0.0,4.63692777083524,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.018364848319956467,0.017039922103213243,0.020934761441090556,0.019474196689386564,0.012320328542094456,0.0136986301369863,0.010256410256410256,0.015384615384615385,0.044444444444444446,0.01904761904761905,0.04736842105263158,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.021517996870109544,0.016684045881126174,0.01881554595928439,0.01758539059857964,0.019097222222222224,0.02403846153846154,0.0,4.616695249928794,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
5,0.029282576866764276,0.032624113475177303,0.02269503546099291,0.029787234042553193,0.025454545454545455,0.06153846153846154,0.024,0.0,0.029850746268656716,0.10335917312661498,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02262443438914027,0.032467532467532464,0.02008520998174072,0.036619718309859155,0.055408970976253295,0.03842459173871278,0.0,4.59281101478141,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.044483743708339005,0.049172346640701074,0.0433300876338851,0.04965920155793573,0.026694045174537988,0.030821917808219176,0.03076923076923077,0.015384615384615385,0.06666666666666667,0.02857142857142857,0.11473684210526315,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.042644757433489826,0.04546402502606882,0.04441702652683529,0.042272573554277985,0.050347222222222224,0.05822649572649573,0.0,4.552484837442397,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
6,0.04062957540263543,0.031205673758865248,0.04964539007092199,0.032624113475177303,0.04,0.07692307692307693,0.048,0.0,0.05970149253731343,0.12403100775193798,0.0,0.0,0.0,0.024834437086092714,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.038461538461538464,0.041666666666666664,0.04017041996348144,0.03380281690140845,0.055408970976253295,0.052833813640730067,0.0015384615384615385,4.402229633024112,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.06924227996190994,0.06280428432327166,0.0798442064264849,0.06572541382667965,0.061601642710472276,0.06506849315068493,0.07179487179487179,0.12307692307692308,0.1111111111111111,0.047619047619047616,0.16280701754385965,0.0,0.0,0.0,0.030120481927710843,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0825508607198748,0.06214807090719499,0.06940160394818014,0.06188704768346297,0.0876736111111111,0.08867521367521368,0.006340057636887608,4.31397695778795,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
7,0.10029282576866765,0.07801418439716312,0.09929078014184398,0.08368794326241134,0.13090909090909092,0.18461538461538463,0.152,0.1,0.13432835820895522,0.22997416020671835,0.0,0.0391566265060241,0.0125,0.11092715231788079,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0667420814479638,0.11634199134199134,0.09190505173463177,0.11971830985915492,0.10026385224274406,0.11959654178674352,0.038461538461538464,3.902974699810693,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.1301863692014692,0.13437195715676728,0.13437195715676728,0.13096397273612465,0.10882956878850103,0.11986301369863013,0.09743589743589744,0.18461538461538463,0.15555555555555556,0.09523809523809523,0.25508771929824564,0.0,0.05574912891986063,0.004766444232602479,0.10776439089692101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11658841940532082,0.13743482794577686,0.13479333744602098,0.10923233006425431,0.17100694444444445,0.15473646723646722,0.050720461095100866,3.77411704854144,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
8,0.12518301610541727,0.10212765957446808,0.13333333333333333,0.09219858156028368,0.1781818181818182,0.25384615384615383,0.136,0.05,0.16417910447761194,0.29844961240310075,0.011111111111111112,0.01957831325301205,0.016666666666666666,0.14735099337748345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07918552036199095,0.1471861471861472,0.10712111990261716,0.16056338028169015,0.13720316622691292,0.15465898174831894,0.03076923076923077,3.6754030196942487,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.16310706026390967,0.16212268743914313,0.17234664070107109,0.15676728334956183,0.1437371663244353,0.15753424657534246,0.14871794871794872,0.2,0.3111111111111111,0.17142857142857143,0.31684210526315787,0.0049382716049382715,0.03832752613240418,0.01811248808388942,0.15327978580990628,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1541471048513302,0.1678832116788321,0.16409623689080816,0.1386540412580318,0.2230902777777778,0.19693732193732194,0.05360230547550432,3.5140695957209265,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
9,0.14714494875549047,0.11914893617021277,0.1475177304964539,0.11347517730496454,0.2,0.3076923076923077,0.2,0.1,0.1791044776119403,0.28294573643410853,0.013333333333333334,0.05572289156626506,0.041666666666666664,0.2152317880794702,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09615384615384616,0.17153679653679654,0.13877054169202677,0.1732394366197183,0.1345646437994723,0.17387127761767532,0.06153846153846154,3.528592222780644,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.20378179839477623,0.20788704965920154,0.2181110029211295,0.18403115871470302,0.1806981519507187,0.2191780821917808,0.19487179487179487,0.23076923076923078,0.4,0.20952380952380953,0.36105263157894735,0.007407407407407408,0.08013937282229965,0.03527168732125834,0.22356091030789826,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.20305164319248825,0.20417101147028155,0.20697100555212833,0.18025025363544134,0.2552083333333333,0.2412749287749288,0.08242074927953891,3.3443788921017337,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
10,0.17898975109809664,0.16453900709219857,0.16312056737588654,0.17163120567375886,0.2290909090909091,0.2846153846153846,0.176,0.15,0.1791044776119403,0.32041343669250644,0.015555555555555555,0.08132530120481928,0.075,0.2682119205298013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1334841628959276,0.20075757575757575,0.16129032258064516,0.21690140845070421,0.18469656992084432,0.2079731027857829,0.08615384615384615,3.3054496575239636,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.24840157801659637,0.2555988315481986,0.25705939629990265,0.23271665043816941,0.25051334702258726,0.273972602739726,0.18461538461538463,0.27692307692307694,0.4444444444444444,0.18095238095238095,0.39859649122807017,0.02962962962962963,0.11062717770034843,0.11916110581506197,0.27710843373493976,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2300469483568075,0.2581856100104275,0.24706971005552128,0.23435914778491715,0.2881944444444444,0.2825854700854701,0.1377521613832853,3.0970419628281864,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
