epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d008,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d008,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d008,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.011346998535871157,0.011347517730496455,0.011347517730496455,0.011347517730496455,0.01090909090909091,0.015384615384615385,0.008,0.0,0.014925373134328358,0.040051679586563305,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010180995475113122,0.011904761904761904,0.00852099817407182,0.011267605633802818,0.023746701846965697,0.014889529298751201,0.0,4.6457128343261,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.015508094136852129,0.016066212268743916,0.016066212268743916,0.016066212268743916,0.012320328542094456,0.010273972602739725,0.015384615384615385,0.015384615384615385,0.022222222222222223,0.009523809523809525,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016040688575899843,0.015224191866527632,0.016039481801357187,0.014203584714237404,0.017361111111111112,0.0202991452991453,0.0,4.628022913283482,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
2,0.011346998535871157,0.011347517730496455,0.011347517730496455,0.011347517730496455,0.01090909090909091,0.015384615384615385,0.008,0.0,0.014925373134328358,0.040051679586563305,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010180995475113122,0.011904761904761904,0.00852099817407182,0.011267605633802818,0.023746701846965697,0.014889529298751201,0.0,4.647131164461418,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.015508094136852129,0.016066212268743916,0.016066212268743916,0.016066212268743916,0.012320328542094456,0.010273972602739725,0.015384615384615385,0.015384615384615385,0.022222222222222223,0.009523809523809525,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016040688575899843,0.015224191866527632,0.016039481801357187,0.014203584714237404,0.017361111111111112,0.0202991452991453,0.0,4.634206037815859,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
3,0.010248901903367497,0.009929078014184398,0.009929078014184398,0.009929078014184398,0.01090909090909091,0.015384615384615385,0.008,0.0,0.014925373134328358,0.03617571059431524,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.007918552036199095,0.011363636363636364,0.007303712720632989,0.009859154929577466,0.023746701846965697,0.013448607108549471,0.0,4.641773095417163,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.016460345531220243,0.017039922103213243,0.01801363193768257,0.016553067185978577,0.012320328542094456,0.010273972602739725,0.015384615384615385,0.015384615384615385,0.022222222222222223,0.009523809523809525,0.04245614035087719,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.017214397496087636,0.016058394160583942,0.015731030228254166,0.015894487656408524,0.019965277777777776,0.021545584045584047,0.0,4.623406933434333,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
4,0.012445095168374817,0.011347517730496455,0.01276595744680851,0.014184397163120567,0.01090909090909091,0.015384615384615385,0.008,0.0,0.014925373134328358,0.04392764857881137,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010180995475113122,0.013528138528138528,0.00852099817407182,0.014084507042253521,0.026385224274406333,0.01633045148895293,0.0,4.619353979956877,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.016188273704257922,0.016066212268743916,0.016066212268743916,0.018500486854917234,0.012320328542094456,0.010273972602739725,0.015384615384615385,0.015384615384615385,0.022222222222222223,0.009523809523809525,0.04175438596491228,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016040688575899843,0.01626694473409802,0.01634793337446021,0.015556307067974298,0.017361111111111112,0.02118945868945869,0.0,4.57987648729499,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
5,0.02562225475841874,0.02695035460992908,0.028368794326241134,0.02553191489361702,0.02909090909090909,0.015384615384615385,0.016,0.0,0.014925373134328358,0.05167958656330749,0.0,0.0,0.0,0.04966887417218543,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02262443438914027,0.027056277056277056,0.02130249543517955,0.023943661971830985,0.047493403693931395,0.03266090297790586,0.003076923076923077,4.492342277292277,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.030336008706298462,0.030671859785783837,0.034079844206426485,0.02872444011684518,0.022587268993839837,0.023972602739726026,0.02564102564102564,0.03076923076923077,0.06666666666666667,0.02857142857142857,0.05263157894736842,0.0,0.0,0.0,0.048862115127175365,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03560250391236307,0.027528675703858186,0.032078963602714373,0.02603990530943524,0.036458333333333336,0.037037037037037035,0.008645533141210375,4.416129027008442,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
6,0.03294289897510981,0.03829787234042553,0.03687943262411347,0.02695035460992908,0.02909090909090909,0.03076923076923077,0.024,0.0,0.04477611940298507,0.06847545219638243,0.0,0.0,0.0,0.061258278145695365,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02262443438914027,0.03787878787878788,0.03225806451612903,0.030985915492957747,0.0395778364116095,0.04226705091258405,0.003076923076923077,4.325792795742588,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.04475581553530132,0.046251217137293084,0.04868549172346641,0.043816942551119765,0.03490759753593429,0.03767123287671233,0.03076923076923077,0.06153846153846154,0.06666666666666667,0.02857142857142857,0.08210526315789474,0.0,0.0,0.0,0.06358768406961178,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0418622848200313,0.04629822732012513,0.043491671807526215,0.04091985120054109,0.058159722222222224,0.054843304843304845,0.012103746397694525,4.2256044365243675,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
7,0.055636896046852125,0.05531914893617021,0.07659574468085106,0.04680851063829787,0.04363636363636364,0.038461538461538464,0.04,0.0,0.05970149253731343,0.08397932816537468,0.0,0.0,0.0,0.14403973509933773,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04072398190045249,0.06277056277056277,0.054169202678027994,0.057746478873239436,0.05804749340369393,0.07204610951008646,0.003076923076923077,4.180818303612281,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.06284859202829547,0.06329113924050633,0.06621226874391431,0.062317429406037,0.055441478439425054,0.05821917808219178,0.041025641025641026,0.09230769230769231,0.1111111111111111,0.047619047619047616,0.0856140350877193,0.0,0.0,0.0009532888465204957,0.14524765729585007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06455399061032864,0.06193952033368092,0.06014805675508945,0.05410889414947582,0.09288194444444445,0.07247150997150997,0.03170028818443804,4.063562780574071,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
8,0.06698389458272327,0.07092198581560284,0.08085106382978724,0.062411347517730496,0.06545454545454546,0.038461538461538464,0.04,0.0,0.05970149253731343,0.12144702842377261,0.0,0.0,0.0,0.14735099337748345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04638009049773756,0.07683982683982683,0.060255629945222156,0.07323943661971831,0.08443271767810026,0.08645533141210375,0.004615384615384616,4.063877736841428,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.07577200380900558,0.07108081791626096,0.07789678675754626,0.0827653359298929,0.06776180698151951,0.0684931506849315,0.06153846153846154,0.09230769230769231,0.06666666666666667,0.06666666666666667,0.11368421052631579,0.0,0.0,0.004766444232602479,0.15261044176706828,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07589984350547731,0.07570385818561001,0.07186921653300432,0.067974298275279,0.10677083333333333,0.08885327635327635,0.03342939481268011,3.9472375526474925,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
9,0.09150805270863836,0.10070921985815603,0.11773049645390071,0.07801418439716312,0.08363636363636363,0.046153846153846156,0.056,0.0,0.07462686567164178,0.16795865633074936,0.0,0.0,0.004166666666666667,0.19701986754966888,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07013574660633484,0.10173160173160173,0.07668898356664638,0.10704225352112676,0.1266490765171504,0.11719500480307397,0.009230769230769232,3.932556978954578,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.11127737722758808,0.10759493670886076,0.11830574488802337,0.11100292112950341,0.10472279260780287,0.1095890410958904,0.08205128205128205,0.16923076923076924,0.13333333333333333,0.09523809523809523,0.1856140350877193,0.0,0.0,0.005719733079122974,0.1894243641231593,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10602503912363068,0.11407716371220021,0.1095003084515731,0.09401420358471424,0.1605902777777778,0.13354700854700854,0.03919308357348703,3.810736514908686,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
10,0.11456808199121522,0.12198581560283688,0.12624113475177304,0.0950354609929078,0.12727272727272726,0.1076923076923077,0.112,0.0,0.11940298507462686,0.2364341085271318,0.0022222222222222222,0.0015060240963855422,0.025,0.20198675496688742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07692307692307693,0.13257575757575757,0.09433962264150944,0.12816901408450704,0.17678100263852242,0.14649375600384246,0.012307692307692308,3.7935492318685373,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.14351788872262278,0.1460564751703992,0.15822784810126583,0.13631937682570594,0.12114989733059549,0.1267123287671233,0.10256410256410256,0.16923076923076924,0.17777777777777778,0.14285714285714285,0.2519298245614035,0.0,0.006097560975609756,0.0219256434699714,0.20548862115127176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1396713615023474,0.14556830031282586,0.13448488587291796,0.13053770713561041,0.20225694444444445,0.1727207977207977,0.04899135446685879,3.6634301870732937,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
