epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d008,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d008,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d008,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.012445095168374817,0.014184397163120567,0.011347517730496455,0.01276595744680851,0.01090909090909091,0.015384615384615385,0.008,0.0,0.014925373134328358,0.04392764857881137,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010180995475113122,0.013528138528138528,0.010955569080949483,0.011267605633802818,0.021108179419525065,0.01633045148895293,0.0,4.636823104031787,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.017412596925588355,0.019474196689386564,0.01557935735150925,0.01801363193768257,0.018480492813141684,0.010273972602739725,0.020512820512820513,0.015384615384615385,0.022222222222222223,0.009523809523809525,0.04491228070175438,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.017996870109546165,0.017101147028154327,0.01881554595928439,0.015218126479540075,0.019097222222222224,0.022792022792022793,0.0,4.6128921560682645,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
2,0.020497803806734993,0.02269503546099291,0.019858156028368795,0.018439716312056736,0.01818181818181818,0.03076923076923077,0.008,0.0,0.04477611940298507,0.07235142118863049,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.023755656108597284,0.01893939393939394,0.018259281801582473,0.016901408450704224,0.036939313984168866,0.026897214217098942,0.0,4.60346582728284,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.027343218609712963,0.027263875365141188,0.024829600778967866,0.027750730282375853,0.03285420944558522,0.0273972602739726,0.02564102564102564,0.06153846153846154,0.022222222222222223,0.02857142857142857,0.07052631578947369,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.028169014084507043,0.026903023983315955,0.0283775447254781,0.02434900236726412,0.03211805555555555,0.03579059829059829,0.0,4.569157830421138,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
3,0.05087847730600293,0.0524822695035461,0.0524822695035461,0.04822695035460993,0.04727272727272727,0.038461538461538464,0.048,0.0,0.1044776119402985,0.13824289405684753,0.0,0.0,0.0,0.052980132450331126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03733031674208145,0.05735930735930736,0.044430919050517347,0.05070422535211268,0.079155672823219,0.06580211335254563,0.003076923076923077,4.403516107561996,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.05591076044075636,0.05258033106134372,0.05598831548198637,0.06183057448880234,0.045174537987679675,0.05136986301369863,0.05641025641025641,0.03076923076923077,0.1111111111111111,0.05714285714285714,0.11649122807017544,0.0,0.0,0.0,0.05287817938420348,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06377151799687011,0.05172054223149114,0.06045650832819247,0.048359824146094015,0.0625,0.06997863247863248,0.01037463976945245,4.336405629933958,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
4,0.08565153733528551,0.08085106382978724,0.08368794326241134,0.059574468085106386,0.13454545454545455,0.13846153846153847,0.128,0.0,0.07462686567164178,0.20155038759689922,0.0,0.016566265060240965,0.07916666666666666,0.07947019867549669,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06221719457013575,0.09686147186147186,0.07425441265976872,0.09014084507042254,0.1266490765171504,0.10278578290105668,0.03076923076923077,4.120347387445095,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.1092368385253707,0.12171372930866602,0.12609542356377798,0.08227848101265822,0.10061601642710473,0.09931506849315068,0.12307692307692308,0.09230769230769231,0.1111111111111111,0.11428571428571428,0.1975438596491228,0.0,0.016550522648083623,0.08579599618684461,0.08768406961178045,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10054773082942096,0.11386861313868613,0.11998766193707588,0.09130875887724045,0.125,0.12767094017094016,0.04956772334293948,4.030874846760326,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
5,0.15849194729136165,0.15886524822695036,0.16879432624113475,0.1148936170212766,0.21454545454545454,0.2153846153846154,0.176,0.05,0.16417910447761194,0.28165374677002586,0.0,0.05572289156626506,0.06666666666666667,0.2682119205298013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10294117647058823,0.18506493506493507,0.1472915398660986,0.16338028169014085,0.19788918205804748,0.1882804995196926,0.06307692307692307,3.739630211848291,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.19153856618147191,0.2005842259006816,0.20496592015579357,0.13924050632911392,0.24435318275154005,0.2226027397260274,0.2358974358974359,0.27692307692307694,0.28888888888888886,0.26666666666666666,0.2785964912280702,0.0,0.06707317073170732,0.07435653002859867,0.3072289156626506,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.18974960876369326,0.19249217935349322,0.22331893892658852,0.14372675008454514,0.2248263888888889,0.21812678062678062,0.10547550432276658,3.645840886271319,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
6,0.24341142020497805,0.23546099290780143,0.2581560283687943,0.19148936170212766,0.31636363636363635,0.3384615384615385,0.24,0.1,0.2835820895522388,0.42248062015503873,0.0022222222222222222,0.09036144578313253,0.14583333333333334,0.40066225165562913,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.16515837104072398,0.28084415584415584,0.21911138161898966,0.2915492957746479,0.25857519788918204,0.2829010566762728,0.11692307692307692,3.245830217531799,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.29900693783158755,0.2882181110029211,0.3140214216163583,0.2638753651411879,0.33675564681724846,0.3664383561643836,0.3076923076923077,0.4,0.5555555555555556,0.3523809523809524,0.4256140350877193,0.0049382716049382715,0.09930313588850175,0.18493803622497618,0.4504685408299866,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2977308294209703,0.2996871741397289,0.3146206045650833,0.26614812309773417,0.3394097222222222,0.33475783475783477,0.18328530259365994,3.0794103832865,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
7,0.3052708638360176,0.29219858156028367,0.32340425531914896,0.25957446808510637,0.38181818181818183,0.4230769230769231,0.264,0.1,0.3283582089552239,0.4509043927648579,0.03333333333333333,0.15210843373493976,0.24583333333333332,0.5132450331125827,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.22850678733031674,0.341991341991342,0.28423615337796715,0.34225352112676055,0.32717678100263853,0.3410182516810759,0.19076923076923077,2.9422281469118894,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.36593660726431776,0.34079844206426485,0.35978578383641674,0.3466407010710808,0.4394250513347023,0.4726027397260274,0.41025641025641024,0.5538461538461539,0.5777777777777777,0.42857142857142855,0.46,0.028395061728395062,0.18292682926829268,0.30028598665395617,0.5562248995983936,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3642410015649452,0.3668404588112617,0.3864898210980876,0.3354751437267501,0.3862847222222222,0.39084757834757833,0.28530259365994237,2.7380769802524743,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
8,0.36676427525622257,0.3617021276595745,0.3773049645390071,0.2822695035460993,0.4763636363636364,0.5769230769230769,0.368,0.25,0.373134328358209,0.5335917312661499,0.05333333333333334,0.20180722891566266,0.30833333333333335,0.5910596026490066,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2647058823529412,0.4155844155844156,0.33901399878271454,0.43802816901408453,0.35356200527704484,0.4024975984630163,0.2523076923076923,2.6602950312557194,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.43381852809141613,0.42210321324245376,0.443524829600779,0.3924050632911392,0.48254620123203285,0.5034246575342466,0.48717948717948717,0.6615384615384615,0.7777777777777778,0.47619047619047616,0.5466666666666666,0.07407407407407407,0.21080139372822299,0.3536701620591039,0.6412315930388219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.4350547730829421,0.4331595411887383,0.4497223935842073,0.3993912749408184,0.4774305555555556,0.4656339031339031,0.330835734870317,2.4472980107471027,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
9,0.42752562225475843,0.39858156028368796,0.4226950354609929,0.3829787234042553,0.5309090909090909,0.6461538461538462,0.4,0.35,0.47761194029850745,0.5542635658914729,0.13777777777777778,0.30873493975903615,0.3958333333333333,0.6241721854304636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.32805429864253394,0.4751082251082251,0.4029214850882532,0.4971830985915493,0.40369393139841686,0.4514889529298751,0.3507692307692308,2.403704552489877,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.49979594612977823,0.48880233690360275,0.5,0.46592015579357354,0.5646817248459959,0.6095890410958904,0.5435897435897435,0.6615384615384615,0.6666666666666666,0.5142857142857142,0.5880701754385965,0.17901234567901234,0.34146341463414637,0.45376549094375596,0.6593038821954484,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.49061032863849763,0.5046923879040668,0.5107958050586058,0.4748055461616503,0.5329861111111112,0.5247507122507122,0.41902017291066285,2.1719955757773177,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
10,0.4747437774524158,0.4624113475177305,0.4595744680851064,0.4297872340425532,0.5672727272727273,0.7,0.448,0.4,0.4925373134328358,0.5904392764857881,0.21333333333333335,0.3644578313253012,0.42083333333333334,0.6639072847682119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.36425339366515835,0.5275974025974026,0.4528301886792453,0.5535211267605634,0.42216358839050133,0.5,0.39384615384615385,2.202655317493623,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.5510814855121752,0.5467380720545277,0.5535540408958131,0.5189873417721519,0.5995893223819302,0.6164383561643836,0.5743589743589743,0.7076923076923077,0.7555555555555555,0.580952380952381,0.6301754385964913,0.2740740740740741,0.3806620209059233,0.5157292659675882,0.7061579651941098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5402973395931142,0.556830031282586,0.5592227020357804,0.5370307744335475,0.5642361111111112,0.5785256410256411,0.4622478386167147,1.9508440321018186,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
