epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.01644528779253637,0.016229712858926344,0.018726591760299626,0.018726591760299626,0.011204481792717087,0.00881057268722467,0.015384615384615385,0.022222222222222223,0.03851851851851852,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.019448946515397084,0.014522821576763486,0.011936339522546418,0.023224043715846996,0.0,0.022127659574468085,0.0,4.628240740955215,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.0137263401242595,0.013278855975485188,0.013278855975485188,0.01481103166496425,0.012345679012345678,0.015384615384615385,0.010526315789473684,0.015384615384615385,0.015384615384615385,0.015748031496062992,0.04177660510114336,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010879419764279238,0.01505832449628844,0.014806040864672786,0.006354970494779845,0.023117076808351976,0.01776364996260284,0.0,4.624568776611716,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
2,0.018975332068311195,0.017478152309612985,0.02122347066167291,0.019975031210986267,0.01680672268907563,0.013215859030837005,0.023076923076923078,0.022222222222222223,0.04148148148148148,0.0,0.0,0.0,0.008333333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.025121555915721232,0.01504149377593361,0.011936339522546418,0.0273224043715847,0.010526315789473684,0.02468085106382979,0.0024630541871921183,4.5979679790499235,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.018783412801618264,0.017364657814096015,0.01940755873340143,0.01940755873340143,0.01728395061728395,0.015384615384615385,0.02631578947368421,0.015384615384615385,0.03076923076923077,0.015748031496062992,0.048372911169744945,0.0,0.0,0.0,0.012360939431396786,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016772438803263828,0.019724284199363732,0.02013621557595499,0.009986382206082615,0.02982848620432513,0.02393418100224383,0.0012714558169103624,4.591434738364217,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
3,0.033839342188488296,0.02871410736579276,0.033707865168539325,0.02746566791510612,0.04481792717086835,0.06167400881057269,0.03076923076923077,0.022222222222222223,0.025925925925925925,0.0,0.0,0.0,0.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04457050243111831,0.026970954356846474,0.03249336870026525,0.02459016393442623,0.11578947368421053,0.036170212765957444,0.027093596059113302,4.4450781265442165,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.03901170351105332,0.04085801838610827,0.04136874361593463,0.03626149131767109,0.0345679012345679,0.010256410256410256,0.031578947368421054,0.07692307692307693,0.046153846153846156,0.06299212598425197,0.022867194371152155,0.0,0.0,0.0,0.13473423980222496,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03762466001813237,0.03966065747613998,0.042049156055670715,0.038129822968679075,0.03281133482475764,0.0456245325355273,0.01652892561983471,4.398369136391959,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
4,0.08001265022137888,0.06367041198501873,0.07615480649188515,0.07615480649188515,0.09523809523809523,0.13656387665198239,0.06923076923076923,0.13333333333333333,0.09555555555555556,0.0,0.03588516746411483,0.0,0.22708333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0753646677471637,0.08298755186721991,0.07692307692307693,0.0703551912568306,0.17894736842105263,0.08851063829787234,0.05541871921182266,4.2330583141696065,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.10937725762173096,0.10725229826353422,0.12563840653728295,0.09090909090909091,0.11358024691358025,0.12307692307692308,0.12105263157894737,0.15384615384615385,0.09230769230769231,0.11023622047244094,0.1547933157431838,0.0,0.02582496413199426,0.0,0.2280593325092707,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08068902991840435,0.12279957582184517,0.11696772283091501,0.08216068996822515,0.13497390007457122,0.1293941660433807,0.04132231404958678,4.157733010549866,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
5,0.13630613535736874,0.1198501872659176,0.14481897627965043,0.11860174781523096,0.1568627450980392,0.18061674008810572,0.13076923076923078,0.2222222222222222,0.18666666666666668,0.0078125,0.08133971291866028,0.0,0.29583333333333334,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1426256077795786,0.13226141078838174,0.1359416445623342,0.125,0.22631578947368422,0.15531914893617021,0.0812807881773399,3.82833290944591,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.15908105765062852,0.1675178753830439,0.16547497446373852,0.13329928498467825,0.17777777777777778,0.15897435897435896,0.1631578947368421,0.23076923076923078,0.2,0.2047244094488189,0.22295514511873352,0.0045662100456621,0.07604017216642754,0.0,0.29913473423980225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12692656391659113,0.17412513255567338,0.1711578323956174,0.12619155696777123,0.18269947800149142,0.18193717277486912,0.08137317228226319,3.727485020679815,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
6,0.21062618595825428,0.1797752808988764,0.22347066167290885,0.18102372034956304,0.23529411764705882,0.31277533039647576,0.2153846153846154,0.3333333333333333,0.2762962962962963,0.018229166666666668,0.22248803827751196,0.007547169811320755,0.39375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2025931928687196,0.2157676348547718,0.22811671087533156,0.18169398907103826,0.29473684210526313,0.23063829787234041,0.15270935960591134,3.4609563297896653,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.2492414390983962,0.254341164453524,0.24310520939734423,0.21859039836567926,0.30864197530864196,0.3230769230769231,0.2578947368421053,0.38461538461538464,0.4,0.2755905511811024,0.3113456464379947,0.0136986301369863,0.24748923959827834,0.019762845849802372,0.39864029666254636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.21441523118767,0.2655355249204666,0.2899022801302932,0.19019518837948252,0.24384787472035793,0.25953627524308154,0.21424030514939607,3.3356177995976917,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
7,0.3051865907653384,0.26591760299625467,0.3208489388264669,0.2846441947565543,0.33053221288515405,0.40969162995594716,0.3,0.37777777777777777,0.39185185185185184,0.078125,0.2942583732057416,0.06037735849056604,0.5229166666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.29740680713128037,0.31016597510373445,0.3103448275862069,0.27937158469945356,0.4631578947368421,0.334468085106383,0.2204433497536946,3.0795475997780035,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.3603525502095073,0.3478038815117467,0.37231869254341166,0.32737487231869256,0.41975308641975306,0.4512820512820513,0.3684210526315789,0.5692307692307692,0.46153846153846156,0.3779527559055118,0.43007915567282323,0.10159817351598173,0.3593974175035868,0.0764163372859025,0.5364647713226205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3019038984587489,0.3876988335100742,0.37873852531832986,0.32637312755333636,0.3698732289336316,0.37976813762154077,0.29434202161474887,2.933800578134595,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
8,0.33523086654016443,0.2908863920099875,0.33083645443196,0.3208489388264669,0.3949579831932773,0.44493392070484583,0.3384615384615385,0.4222222222222222,0.4,0.13541666666666666,0.3875598086124402,0.07924528301886792,0.55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3354943273905997,0.3350622406639004,0.35079575596816975,0.29508196721311475,0.5210526315789473,0.35617021276595745,0.2746305418719212,2.8541983424071495,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.3966189856957087,0.3794688457609806,0.4070480081716037,0.36057201225740554,0.48641975308641977,0.4717948717948718,0.4421052631578947,0.5538461538461539,0.5230769230769231,0.4409448818897638,0.4252418645558487,0.16552511415525115,0.45408895265423244,0.10540184453227931,0.5686032138442522,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3467815049864007,0.41993637327677624,0.4204915605567071,0.36359509759418973,0.3907531692766592,0.4035153328347046,0.3731722822631914,2.694550781955507,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
9,0.38140417457305503,0.32709113607990015,0.37952559300873906,0.36953807740324596,0.4425770308123249,0.5154185022026432,0.36923076923076925,0.4666666666666667,0.4177777777777778,0.19791666666666666,0.44019138755980863,0.1830188679245283,0.59375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.36304700162074555,0.39315352697095435,0.3952254641909814,0.3463114754098361,0.5421052631578948,0.39617021276595743,0.33866995073891626,2.599526923491486,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.4438664932813177,0.41164453524004085,0.4346271705822268,0.4433094994892748,0.5209876543209877,0.5384615384615384,0.45263157894736844,0.676923076923077,0.5846153846153846,0.49606299212598426,0.44810905892700087,0.2100456621004566,0.4935437589670014,0.1963109354413702,0.6378244746600742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.39664551223934724,0.4659597030752916,0.47142434113118153,0.40807989105764864,0.4332587621178225,0.4468960359012715,0.43356643356643354,2.4172182671511524,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
10,0.40955091714104996,0.3470661672908864,0.3945068664169788,0.4069912609238452,0.49019607843137253,0.5198237885462555,0.45384615384615384,0.5111111111111111,0.4288888888888889,0.22916666666666666,0.4784688995215311,0.3113207547169811,0.5479166666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.36142625607779577,0.4403526970954357,0.4403183023872679,0.3620218579234973,0.531578947368421,0.4123404255319149,0.4014778325123153,2.4901534194511976,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.4447334200260078,0.3947906026557712,0.42390194075587334,0.46016343207354443,0.5728395061728395,0.558974358974359,0.4842105263157895,0.6615384615384615,0.5076923076923077,0.5118110236220472,0.44371152154793314,0.25,0.503586800573888,0.2753623188405797,0.5803461063040791,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.4011786038077969,0.4651113467656416,0.47468167012140955,0.41398093508851563,0.4198359433258762,0.4457741211667913,0.44119516846789575,2.3435286560631816,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
