epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d008,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d008,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d008,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.011346998535871157,0.011347517730496455,0.011347517730496455,0.011347517730496455,0.01090909090909091,0.015384615384615385,0.008,0.0,0.014925373134328358,0.040051679586563305,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010180995475113122,0.011904761904761904,0.00852099817407182,0.011267605633802818,0.023746701846965697,0.014889529298751201,0.0,4.6462516058590895,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.015508094136852129,0.016066212268743916,0.016066212268743916,0.016066212268743916,0.012320328542094456,0.010273972602739725,0.015384615384615385,0.015384615384615385,0.022222222222222223,0.009523809523809525,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016040688575899843,0.015224191866527632,0.016039481801357187,0.014203584714237404,0.017361111111111112,0.0202991452991453,0.0,4.629076784767272,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
2,0.011346998535871157,0.011347517730496455,0.011347517730496455,0.011347517730496455,0.01090909090909091,0.015384615384615385,0.008,0.0,0.014925373134328358,0.040051679586563305,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010180995475113122,0.011904761904761904,0.00852099817407182,0.011267605633802818,0.023746701846965697,0.014889529298751201,0.0,4.647333371342538,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.015508094136852129,0.016066212268743916,0.016066212268743916,0.016066212268743916,0.012320328542094456,0.010273972602739725,0.015384615384615385,0.015384615384615385,0.022222222222222223,0.009523809523809525,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016040688575899843,0.015224191866527632,0.016039481801357187,0.014203584714237404,0.017361111111111112,0.0202991452991453,0.0,4.635379555143964,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
3,0.01171303074670571,0.011347517730496455,0.011347517730496455,0.011347517730496455,0.01090909090909091,0.015384615384615385,0.008,0.0,0.029850746268656716,0.041343669250646,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010180995475113122,0.012445887445887446,0.009129640900791236,0.011267605633802818,0.023746701846965697,0.01536983669548511,0.0,4.642858077980589,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.015508094136852129,0.016066212268743916,0.016066212268743916,0.016066212268743916,0.012320328542094456,0.010273972602739725,0.015384615384615385,0.015384615384615385,0.022222222222222223,0.009523809523809525,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016040688575899843,0.015224191866527632,0.016039481801357187,0.014203584714237404,0.017361111111111112,0.0202991452991453,0.0,4.628008217020856,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
4,0.014641288433382138,0.01702127659574468,0.015602836879432624,0.01276595744680851,0.014545454545454545,0.015384615384615385,0.016,0.0,0.0,0.05167958656330749,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.01461038961038961,0.012172854534388313,0.014084507042253521,0.026385224274406333,0.01921229586935639,0.0,4.63052926684892,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.018908991973881104,0.020934761441090556,0.019961051606621226,0.018500486854917234,0.012320328542094456,0.010273972602739725,0.020512820512820513,0.03076923076923077,0.022222222222222223,0.009523809523809525,0.048771929824561404,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.017996870109546165,0.019395203336809178,0.020974706971005553,0.01758539059857964,0.016493055555555556,0.02475071225071225,0.0,4.606386676903015,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
5,0.02232796486090776,0.019858156028368795,0.02127659574468085,0.024113475177304965,0.02909090909090909,0.023076923076923078,0.024,0.0,0.014925373134328358,0.05167958656330749,0.0,0.0,0.0,0.0347682119205298,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01583710407239819,0.025432900432900432,0.018259281801582473,0.028169014084507043,0.029023746701846966,0.028338136407300672,0.003076923076923077,4.559041750727775,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.030063936879336145,0.028237585199610515,0.02969814995131451,0.033106134371957155,0.03285420944558522,0.023972602739726026,0.02564102564102564,0.03076923076923077,0.022222222222222223,0.02857142857142857,0.05473684210526316,0.0012345679012345679,0.0,0.0,0.0428380187416332,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.030125195618153366,0.03003128258602711,0.02961135101789019,0.02874535001690903,0.034722222222222224,0.03685897435897436,0.008069164265129682,4.511028980498508,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
6,0.03257686676427526,0.03546099290780142,0.03404255319148936,0.02553191489361702,0.04363636363636364,0.015384615384615385,0.032,0.0,0.05970149253731343,0.06330749354005168,0.0,0.0,0.0,0.06622516556291391,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.021493212669683258,0.03787878787878788,0.029214850882531954,0.030985915492957747,0.05013192612137203,0.04178674351585014,0.003076923076923077,4.43894089437683,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.04189906135219698,0.0501460564751704,0.049172346640701074,0.024829600778967866,0.049281314168377825,0.04452054794520548,0.02564102564102564,0.06153846153846154,0.022222222222222223,0.05714285714285714,0.06947368421052631,0.0,0.0,0.0,0.07362784471218206,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04303599374021909,0.04129301355578728,0.04565083281924738,0.03178897531281705,0.057291666666666664,0.05092592592592592,0.012680115273775217,4.38963098465026,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
7,0.04575402635431918,0.04822695035460993,0.05390070921985816,0.04113475177304964,0.04363636363636364,0.03076923076923077,0.048,0.0,0.029850746268656716,0.06201550387596899,0.0,0.0,0.0,0.12748344370860928,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027149321266968326,0.054653679653679656,0.044430919050517347,0.04647887323943662,0.05013192612137203,0.05811719500480307,0.006153846153846154,4.291962988031033,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.05305400625765202,0.054527750730282376,0.054527750730282376,0.048198636806231744,0.057494866529774126,0.05136986301369863,0.046153846153846156,0.09230769230769231,0.08888888888888889,0.047619047619047616,0.07052631578947369,0.0,0.0,0.0,0.12650602409638553,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06259780907668232,0.047966631908237745,0.05737199259716225,0.04362529590801488,0.06510416666666667,0.062321937321937325,0.023054755043227664,4.2088660244195095,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
8,0.0739385065885798,0.0851063829787234,0.08794326241134752,0.06382978723404255,0.06545454545454546,0.03076923076923077,0.072,0.0,0.05970149253731343,0.10335917312661498,0.0,0.0,0.0,0.20198675496688742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.048642533936651584,0.08603896103896104,0.07121119902617164,0.07887323943661972,0.07651715039577836,0.09510086455331412,0.006153846153846154,4.179065084387583,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.07890082981907223,0.08422590068159688,0.08714703018500487,0.06523855890944498,0.08213552361396304,0.06506849315068493,0.05641025641025641,0.13846153846153847,0.1111111111111111,0.09523809523809523,0.09824561403508772,0.0,0.0,0.0,0.20080321285140562,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08607198748043818,0.07507820646506778,0.08359037631091919,0.0639161312140683,0.10416666666666667,0.09063390313390314,0.04092219020172911,4.083447787051719,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
9,0.09077598828696926,0.1049645390070922,0.09078014184397164,0.07659574468085106,0.10545454545454545,0.08461538461538462,0.096,0.0,0.05970149253731343,0.17054263565891473,0.0,0.004518072289156626,0.0,0.1870860927152318,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06221719457013575,0.10443722943722944,0.08399269628727937,0.09295774647887324,0.11609498680738786,0.1143131604226705,0.015384615384615385,4.02743898897185,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.10080261188953883,0.10370009737098344,0.09542356377799416,0.0988315481986368,0.10472279260780287,0.10616438356164383,0.08717948717948718,0.15384615384615385,0.2222222222222222,0.09523809523809523,0.15263157894736842,0.0,0.0008710801393728223,0.004766444232602479,0.20080321285140562,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10093896713615023,0.10072992700729927,0.10302282541640963,0.0848833276969902,0.13541666666666666,0.11894586894586895,0.04207492795389049,3.915844791325691,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
10,0.14019033674963396,0.14893617021276595,0.1375886524822695,0.12056737588652482,0.1781818181818182,0.19230769230769232,0.104,0.0,0.13432835820895522,0.2842377260981912,0.0,0.0015060240963855422,0.05,0.24834437086092714,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09728506787330317,0.16071428571428573,0.12172854534388314,0.15352112676056337,0.19525065963060687,0.17531219980787704,0.027692307692307693,3.8019891518275872,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.16120255747517345,0.1640701071080818,0.1587147030185005,0.15141187925998054,0.18275154004106775,0.1643835616438356,0.14871794871794872,0.2153846153846154,0.28888888888888886,0.17142857142857143,0.26070175438596493,0.0,0.0017421602787456446,0.03336510962821735,0.2710843373493976,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.17644757433489827,0.15307612095933265,0.16995681677976557,0.14778491714575584,0.17100694444444445,0.19373219373219372,0.05590778097982709,3.6765507529534673,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
