epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.017077798861480076,0.018726591760299626,0.018726591760299626,0.018726591760299626,0.011204481792717087,0.00881057268722467,0.015384615384615385,0.022222222222222223,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02106969205834684,0.014522821576763486,0.011936339522546418,0.02459016393442623,0.0,0.02297872340425532,0.0,4.639709916618487,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.013148388961132785,0.013278855975485188,0.013278855975485188,0.013278855975485188,0.012345679012345678,0.015384615384615385,0.010526315789473684,0.015384615384615385,0.015384615384615385,0.007874015748031496,0.04001759014951627,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010879419764279238,0.014209968186638389,0.014213799230085875,0.006354970494779845,0.02162565249813572,0.017015706806282723,0.0,4.63729723029322,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
2,0.017077798861480076,0.018726591760299626,0.018726591760299626,0.018726591760299626,0.011204481792717087,0.00881057268722467,0.015384615384615385,0.022222222222222223,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02106969205834684,0.014522821576763486,0.011936339522546418,0.02459016393442623,0.0,0.02297872340425532,0.0,4.643812311065114,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.013292876751914463,0.013278855975485188,0.013278855975485188,0.013278855975485188,0.012345679012345678,0.015384615384615385,0.010526315789473684,0.015384615384615385,0.015384615384615385,0.015748031496062992,0.040457343887423045,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010879419764279238,0.014422057264050901,0.01450992004737933,0.006354970494779845,0.02162565249813572,0.01720269259536275,0.0,4.642312272403509,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
3,0.017077798861480076,0.018726591760299626,0.018726591760299626,0.018726591760299626,0.011204481792717087,0.00881057268722467,0.015384615384615385,0.022222222222222223,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02106969205834684,0.014522821576763486,0.011936339522546418,0.02459016393442623,0.0,0.02297872340425532,0.0,4.64221573599828,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.013292876751914463,0.013278855975485188,0.013278855975485188,0.013278855975485188,0.012345679012345678,0.015384615384615385,0.010526315789473684,0.015384615384615385,0.015384615384615385,0.015748031496062992,0.040457343887423045,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010879419764279238,0.014422057264050901,0.01450992004737933,0.006354970494779845,0.02162565249813572,0.01720269259536275,0.0,4.639041789848152,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
4,0.010752688172043012,0.008739076154806492,0.009987515605493134,0.011235955056179775,0.014005602240896359,0.01762114537444934,0.007692307692307693,0.0,0.006666666666666667,0.0,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.017017828200972446,0.006742738589211619,0.007957559681697613,0.009562841530054645,0.042105263157894736,0.011063829787234043,0.009852216748768473,4.636525414097091,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.014448779078167894,0.01634320735444331,0.01481103166496425,0.014300306435137897,0.009876543209876543,0.005128205128205128,0.010526315789473684,0.015384615384615385,0.015384615384615385,0.015748031496062992,0.006156552330694811,0.0,0.0,0.0,0.05315203955500618,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.012239347234814143,0.015482502651113467,0.013621557595498964,0.015433499773036768,0.014914243102162566,0.016454749439042633,0.007628734901462174,4.630133708352523,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
5,0.022770398481973434,0.02372034956304619,0.02372034956304619,0.02122347066167291,0.022408963585434174,0.02643171806167401,0.015384615384615385,0.022222222222222223,0.03481481481481481,0.0,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02674230145867099,0.020228215767634856,0.01856763925729443,0.02459016393442623,0.042105263157894736,0.02723404255319149,0.009852216748768473,4.6181998207627935,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.02355150989741367,0.02400408580183861,0.024514811031664963,0.02247191011235955,0.022222222222222223,0.020512820512820513,0.021052631578947368,0.03076923076923077,0.03076923076923077,0.023622047244094488,0.03386103781882146,0.0,0.0,0.0,0.05315203955500618,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.022212148685403447,0.024178154825026513,0.024578027835356824,0.01861098502042669,0.029082774049217,0.028234854151084517,0.007628734901462174,4.604865823896475,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
6,0.026565464895635674,0.02871410736579276,0.02871410736579276,0.026217228464419477,0.022408963585434174,0.022026431718061675,0.023076923076923078,0.022222222222222223,0.045925925925925926,0.0,0.0,0.0,0.04583333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03484602917341977,0.021265560165975105,0.019230769230769232,0.03278688524590164,0.03684210526315789,0.03276595744680851,0.008620689655172414,4.473666331648902,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.02759716803930068,0.028600612870275793,0.028089887640449437,0.03013278855975485,0.019753086419753086,0.015384615384615385,0.015789473684210527,0.03076923076923077,0.03076923076923077,0.023622047244094488,0.051451187335092345,0.0,0.0,0.0,0.04573547589616811,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024478694469628286,0.029056203605514315,0.030796564998519398,0.019518837948252384,0.03281133482475764,0.033844427823485415,0.006357279084551812,4.435799234779115,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
7,0.04269449715370019,0.046192259675405745,0.04119850187265917,0.03495630461922597,0.056022408963585436,0.048458149779735685,0.038461538461538464,0.022222222222222223,0.0437037037037037,0.0,0.0430622009569378,0.0,0.12083333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04051863857374392,0.044087136929460584,0.04045092838196287,0.036202185792349725,0.11052631578947368,0.04212765957446808,0.04433497536945813,4.248192533219185,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.05317150700765785,0.05005107252298264,0.05362614913176711,0.04698672114402452,0.07654320987654321,0.07179487179487179,0.05789473684210526,0.046153846153846156,0.06153846153846154,0.07874015748031496,0.04397537379067722,0.0,0.06097560975609756,0.0,0.11310259579728059,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04805077062556664,0.05556733828207847,0.06248149244891916,0.04584657285519746,0.041759880686055184,0.054225878833208674,0.049586776859504134,4.200362006117026,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
8,0.07147375079063883,0.06741573033707865,0.0686641697877653,0.0686641697877653,0.08403361344537816,0.09251101321585903,0.06153846153846154,0.06666666666666667,0.08518518518518518,0.0,0.009569377990430622,0.0,0.22291666666666668,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08346839546191248,0.0637966804979253,0.0629973474801061,0.0662568306010929,0.17894736842105263,0.08,0.046798029556650245,4.087945029676752,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.09955208784857679,0.10112359550561797,0.10163432073544433,0.09959141981613892,0.10123456790123457,0.05128205128205128,0.09473684210526316,0.1076923076923077,0.13846153846153847,0.09448818897637795,0.10817941952506596,0.0,0.02654232424677188,0.0,0.25092707045735474,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09338168631006347,0.1024390243902439,0.10956470239857861,0.08352246935996369,0.10067114093959731,0.11406133133881825,0.050222504767959315,4.04312577817399,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
9,0.10025300442757748,0.09363295880149813,0.08489388264669163,0.09987515605493133,0.12044817927170869,0.13656387665198239,0.1,0.15555555555555556,0.09037037037037036,0.0,0.15550239234449761,0.0,0.2708333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09562398703403566,0.10321576763485477,0.10543766578249338,0.07855191256830601,0.22631578947368422,0.09659574468085107,0.11083743842364532,3.8087367927025273,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.1317728651928912,0.1348314606741573,0.13789581205311544,0.12257405515832483,0.14074074074074075,0.09743589743589744,0.12631578947368421,0.13846153846153847,0.1076923076923077,0.1732283464566929,0.11829375549692173,0.0,0.15423242467718795,0.0,0.26452410383189123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12239347234814144,0.1361611876988335,0.1557595498963577,0.11075805719473446,0.1058911260253542,0.1336948391922214,0.12523839796567068,3.725696649153166,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
10,0.16160657811511703,0.14481897627965043,0.16604244694132334,0.14481897627965043,0.1876750700280112,0.19823788546255505,0.2,0.17777777777777778,0.20666666666666667,0.0,0.1722488038277512,0.005660377358490566,0.32708333333333334,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.17260940032414912,0.1545643153526971,0.15583554376657824,0.1557377049180328,0.25263157894736843,0.1753191489361702,0.12192118226600986,3.540685934782179,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.18841207917930936,0.18590398365679264,0.18998978549540346,0.16956077630234934,0.2222222222222222,0.19487179487179487,0.21052631578947367,0.26153846153846155,0.26153846153846155,0.2677165354330709,0.22295514511873352,0.0045662100456621,0.19225251076040173,0.0013175230566534915,0.3238566131025958,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.185856754306437,0.18960763520678686,0.22297897542197218,0.14434861552428507,0.17375093214019388,0.19708302169035152,0.1589319771137953,3.4727634253003767,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
