epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d008,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d008,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d008,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.023060029282576867,0.01702127659574468,0.02127659574468085,0.028368794326241134,0.02181818181818182,0.038461538461538464,0.024,0.0,0.029850746268656716,0.08139534883720931,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.020361990950226245,0.024350649350649352,0.018867924528301886,0.023943661971830985,0.0395778364116095,0.03025936599423631,0.0,4.6131897642881246,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.028703577744524554,0.025803310613437196,0.0311587147030185,0.03213242453748783,0.022587268993839837,0.017123287671232876,0.035897435897435895,0.046153846153846156,0.022222222222222223,0.009523809523809525,0.07368421052631578,0.0,0.0,0.0,0.0006693440428380187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03247261345852895,0.026694473409801876,0.028685996298581123,0.028068988840040582,0.030381944444444444,0.037571225071225074,0.0,4.582797315522548,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
2,0.020863836017569547,0.024113475177304965,0.019858156028368795,0.02127659574468085,0.02181818181818182,0.023076923076923078,0.008,0.0,0.014925373134328358,0.07364341085271318,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01809954751131222,0.022186147186147188,0.013390139987827145,0.029577464788732393,0.036939313984168866,0.027377521613832854,0.0,4.567639843785745,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.03754591212079989,0.03894839337877313,0.04186952288218111,0.0365141187925998,0.03696098562628337,0.017123287671232876,0.02564102564102564,0.03076923076923077,0.022222222222222223,0.0380952380952381,0.09649122807017543,0.0,0.0,0.0,0.0006693440428380187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04303599374021909,0.03461939520333681,0.037322640345465764,0.036185322962461956,0.041666666666666664,0.049145299145299144,0.0,4.504894154361439,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
3,0.027086383601756955,0.028368794326241134,0.024113475177304965,0.03546099290780142,0.025454545454545455,0.023076923076923078,0.008,0.0,0.014925373134328358,0.08656330749354005,0.0,0.0030120481927710845,0.004166666666666667,0.006622516556291391,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03167420814479638,0.024891774891774892,0.01704199634814364,0.029577464788732393,0.06596306068601583,0.03506243996157541,0.0015384615384615385,4.470009419788902,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.046796354237518704,0.048198636806231744,0.054527750730282376,0.046251217137293084,0.045174537987679675,0.02054794520547945,0.02564102564102564,0.03076923076923077,0.022222222222222223,0.01904761904761905,0.10421052631578948,0.0,0.006968641114982578,0.009532888465204958,0.019410977242302542,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05555555555555555,0.04212721584984359,0.04904380012338063,0.044978018261751775,0.04513888888888889,0.058582621082621085,0.008645533141210375,4.369846203362531,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
4,0.04868228404099561,0.0425531914893617,0.03971631205673759,0.04680851063829787,0.07272727272727272,0.06923076923076923,0.048,0.05,0.08955223880597014,0.11886304909560723,0.0,0.022590361445783132,0.0,0.04304635761589404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0418552036199095,0.05194805194805195,0.04382227632379793,0.057746478873239436,0.052770448548812667,0.05571565802113353,0.026153846153846153,4.3274584165603835,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.06624948986532445,0.06621226874391431,0.07156767283349562,0.06864654333008763,0.061601642710472276,0.03767123287671233,0.035897435897435895,0.07692307692307693,0.06666666666666667,0.06666666666666667,0.12736842105263158,0.011111111111111112,0.020905923344947737,0.014299332697807437,0.050870147255689425,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06298904538341157,0.06798748696558915,0.06384947563232572,0.0608725059181603,0.08680555555555555,0.07923789173789174,0.02420749279538905,4.190667343502904,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
5,0.050512445095168376,0.04964539007092199,0.04822695035460993,0.04964539007092199,0.05454545454545454,0.046153846153846156,0.032,0.0,0.13432835820895522,0.12919896640826872,0.0,0.009036144578313253,0.0125,0.048013245033112585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03619909502262444,0.05735930735930736,0.041387705416920266,0.057746478873239436,0.07651715039577836,0.06292026897214217,0.010769230769230769,4.242951310745619,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.08339001496395049,0.09250243427458617,0.08763388510223953,0.08081791626095423,0.08418891170431211,0.03424657534246575,0.05641025641025641,0.06153846153846154,0.13333333333333333,0.047619047619047616,0.15403508771929825,0.0049382716049382715,0.014808362369337979,0.030505243088655862,0.08099062918340026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09233176838810642,0.0786235662148071,0.07927205428747687,0.08183970240108218,0.09895833333333333,0.099002849002849,0.032853025936599424,4.075125102558325,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
6,0.06442166910688141,0.06666666666666667,0.07234042553191489,0.06666666666666667,0.05090909090909091,0.05384615384615385,0.032,0.0,0.08955223880597014,0.14470284237726097,0.0,0.015060240963855422,0.020833333333333332,0.08112582781456953,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05429864253393665,0.06926406926406926,0.0505173463177115,0.07183098591549296,0.11081794195250659,0.07829010566762729,0.02,4.120426406972055,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.0942728880424432,0.10662122687439143,0.09980525803310614,0.09104186952288218,0.08213552361396304,0.0410958904109589,0.046153846153846156,0.1076923076923077,0.17777777777777778,0.05714285714285714,0.1617543859649123,0.0049382716049382715,0.023519163763066203,0.044804575786463297,0.10307898259705489,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10211267605633803,0.09009384775808134,0.09099321406539174,0.090632397700372,0.11284722222222222,0.10844017094017094,0.0484149855907781,3.929187519860712,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
7,0.08345534407027819,0.07375886524822695,0.09078014184397164,0.08085106382978724,0.09454545454545454,0.07692307692307693,0.08,0.0,0.13432835820895522,0.17829457364341086,0.017777777777777778,0.015060240963855422,0.025,0.10927152317880795,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.058823529411764705,0.09523809523809523,0.06877662811929397,0.10422535211267606,0.10817941952506596,0.10326609029779059,0.02,4.032972969736571,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.11073323357366345,0.11100292112950341,0.11587147030185005,0.11538461538461539,0.11293634496919917,0.05136986301369863,0.07179487179487179,0.13846153846153847,0.2,0.08571428571428572,0.1736842105263158,0.027160493827160494,0.02700348432055749,0.04099142040038131,0.14926372155287818,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10758998435054773,0.11240875912408758,0.10425663170882171,0.10382144064930673,0.1467013888888889,0.1290954415954416,0.051296829971181554,3.8016032526532317,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
8,0.10724743777452415,0.10921985815602837,0.10354609929078014,0.10212765957446808,0.14181818181818182,0.07692307692307693,0.104,0.0,0.13432835820895522,0.20671834625322996,0.042222222222222223,0.024096385542168676,0.041666666666666664,0.1456953642384106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06900452488687783,0.12554112554112554,0.08642726719415703,0.14366197183098592,0.12928759894459102,0.13160422670509125,0.02923076923076923,3.926430899088065,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.13426744660590395,0.12755598831548198,0.13924050632911392,0.14216163583252192,0.13141683778234087,0.07534246575342465,0.09230769230769231,0.23076923076923078,0.26666666666666666,0.1523809523809524,0.19929824561403509,0.0654320987654321,0.04006968641114982,0.06196377502383222,0.1706827309236948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12167449139280125,0.14098018769551615,0.1314003701418877,0.12411227595536016,0.1684027777777778,0.1534900284900285,0.07204610951008646,3.6923760455768133,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
9,0.11786237188872621,0.11205673758865248,0.11631205673758865,0.12198581560283688,0.14181818181818182,0.1,0.112,0.0,0.13432835820895522,0.21963824289405684,0.042222222222222223,0.025602409638554216,0.058333333333333334,0.16887417218543047,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.083710407239819,0.1341991341991342,0.09981740718198417,0.14647887323943662,0.1424802110817942,0.14505283381364073,0.03076923076923077,3.828975537860027,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.1523602230988981,0.14995131450827653,0.15141187925998054,0.15774099318403115,0.16427104722792607,0.0958904109589041,0.09743589743589744,0.3230769230769231,0.3111111111111111,0.14285714285714285,0.21859649122807018,0.0691358024691358,0.03832752613240418,0.09151572926596759,0.20147255689424365,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.13262910798122066,0.16287799791449425,0.14774830351634793,0.14203584714237402,0.1918402777777778,0.1727207977207977,0.08645533141210375,3.5765226590132295,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
10,0.13360175695461202,0.1276595744680851,0.1276595744680851,0.1375886524822695,0.1709090909090909,0.1076923076923077,0.128,0.0,0.16417910447761194,0.23126614987080105,0.05333333333333334,0.05421686746987952,0.06666666666666667,0.18211920529801323,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08936651583710407,0.15476190476190477,0.11564211807668898,0.15774647887323945,0.1662269129287599,0.1585014409221902,0.05384615384615385,3.736109229516494,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.16909264045708067,0.15676728334956183,0.16309639727361247,0.18403115871470302,0.188911704312115,0.1232876712328767,0.13846153846153847,0.35384615384615387,0.35555555555555557,0.13333333333333333,0.23333333333333334,0.07654320987654321,0.08275261324041812,0.10200190657769304,0.2101740294511379,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.14906103286384975,0.1797705943691345,0.1674892041949414,0.15826851538721678,0.2013888888888889,0.18696581196581197,0.11123919308357348,3.471058309589044,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
