epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.016129032258064516,0.017478152309612985,0.016229712858926344,0.011235955056179775,0.0196078431372549,0.022026431718061675,0.015384615384615385,0.022222222222222223,0.03037037037037037,0.0,0.0,0.0,0.020833333333333332,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01620745542949757,0.016078838174273857,0.012599469496021221,0.02117486338797814,0.005263157894736842,0.02127659574468085,0.0012315270935960591,4.604497785284729,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.019361363964744978,0.01787538304392237,0.02093973442288049,0.015832482124616958,0.019753086419753086,0.02564102564102564,0.031578947368421054,0.046153846153846156,0.046153846153846156,0.015748031496062992,0.03781882145998241,0.0,0.0,0.0,0.029666254635352288,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.015412511332728921,0.021208907741251327,0.02280130293159609,0.009532455742169769,0.026845637583892617,0.02318623784592371,0.006357279084551812,4.58339113197718,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
2,0.03478810879190386,0.03495630461922597,0.03245942571785269,0.03245942571785269,0.04201680672268908,0.030837004405286344,0.046153846153846156,0.044444444444444446,0.05925925925925926,0.0,0.014354066985645933,0.0,0.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04051863857374392,0.03112033195020747,0.029840848806366047,0.0389344262295082,0.042105263157894736,0.04085106382978723,0.017241379310344827,4.563864295954647,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.03539950874151134,0.03472931562819203,0.03677221654749745,0.03575076608784474,0.037037037037037035,0.015384615384615385,0.031578947368421054,0.06153846153846154,0.046153846153846156,0.031496062992125984,0.056288478452066845,0.0,0.010043041606886656,0.0,0.06365883807169345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.034904805077062555,0.035630965005302224,0.040568551969203434,0.024058102587380843,0.041014168530947054,0.04094988780852655,0.01652892561983471,4.522078746833685,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
3,0.033523086654016446,0.03870162297128589,0.033707865168539325,0.031210986267166042,0.036414565826330535,0.013215859030837005,0.038461538461538464,0.044444444444444446,0.056296296296296296,0.0,0.0215311004784689,0.0,0.04375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04376012965964344,0.026970954356846474,0.029840848806366047,0.03346994535519126,0.06315789473684211,0.03659574468085106,0.024630541871921183,4.484813229333442,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.042334922699031934,0.04290091930541369,0.04290091930541369,0.04187946884576098,0.044444444444444446,0.020512820512820513,0.021052631578947368,0.07692307692307693,0.09230769230769231,0.047244094488188976,0.0681618293755497,0.0,0.02582496413199426,0.0,0.0630407911001236,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03989120580235721,0.043478260869565216,0.04915605567071365,0.02315024965955515,0.05667412378821775,0.0456245325355273,0.031150667514303877,4.421441783555032,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
4,0.049019607843137254,0.06117353308364544,0.04744069912609238,0.04868913857677903,0.047619047619047616,0.022026431718061675,0.038461538461538464,0.044444444444444446,0.09111111111111111,0.0,0.019138755980861243,0.0,0.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06158833063209076,0.040975103734439834,0.04111405835543767,0.05669398907103825,0.05263157894736842,0.05914893617021277,0.019704433497536946,4.316150604962247,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.05606126282329143,0.054647599591419814,0.05873340143003064,0.05873340143003064,0.05185185185185185,0.02564102564102564,0.03684210526315789,0.12307692307692308,0.06153846153846154,0.047244094488188976,0.10422163588390501,0.0,0.032281205164992825,0.0,0.06551297898640297,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05349048050770626,0.05726405090137858,0.060408646727864966,0.03858374943259192,0.0738255033557047,0.0643231114435303,0.027972027972027972,4.233632154262164,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
5,0.058823529411764705,0.07116104868913857,0.049937578027465665,0.0599250936329588,0.0700280112044818,0.039647577092511016,0.038461538461538464,0.044444444444444446,0.09259259259259259,0.0,0.023923444976076555,0.0,0.10625,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06969205834683954,0.05186721991701245,0.050397877984084884,0.06557377049180328,0.07368421052631578,0.06978723404255319,0.027093596059113302,4.1943992793296125,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.07585609016038145,0.07405515832482125,0.07609805924412666,0.0822267620020429,0.07654320987654321,0.010256410256410256,0.04736842105263158,0.16923076923076924,0.09230769230769231,0.08661417322834646,0.11477572559366754,0.005707762557077625,0.03299856527977044,0.0013175230566534915,0.13102595797280595,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06980961015412511,0.07868504772004242,0.07995262066923305,0.05946436677258284,0.0924683072334079,0.08788332086761406,0.03496503496503497,4.108663267111644,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
6,0.06293485135989879,0.07116104868913857,0.05368289637952559,0.066167290886392,0.08123249299719888,0.03524229074889868,0.046153846153846156,0.06666666666666667,0.09259259259259259,0.0,0.05741626794258373,0.0037735849056603774,0.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07212317666126418,0.05705394190871369,0.057692307692307696,0.06693989071038252,0.07368421052631578,0.06978723404255319,0.04310344827586207,4.117276630244777,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.09319462505418293,0.0888661899897855,0.09346271705822268,0.10112359550561797,0.1037037037037037,0.02564102564102564,0.06315789473684211,0.18461538461538463,0.12307692307692308,0.08661417322834646,0.13500439753737906,0.005707762557077625,0.05954088952654232,0.006587615283267457,0.15142150803461063,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08114233907524931,0.09883351007423118,0.0956470239857862,0.07898320472083523,0.11036539895600299,0.10508601346297682,0.052765416401780035,4.004488451841542,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
7,0.068943706514864,0.07365792759051186,0.05867665418227216,0.07116104868913857,0.0896358543417367,0.039647577092511016,0.06923076923076923,0.1111111111111111,0.10074074074074074,0.0,0.04066985645933014,0.0018867924528301887,0.13333333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08265802269043761,0.06016597510373444,0.0603448275862069,0.07581967213114754,0.08421052631578947,0.07914893617021276,0.03940886699507389,4.03517441384631,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.10952174541251264,0.10163432073544433,0.10776302349336057,0.12104187946884576,0.10617283950617284,0.05641025641025641,0.08947368421052632,0.27692307692307694,0.13846153846153847,0.10236220472440945,0.14819700967458224,0.01141552511415525,0.05236728837876614,0.011857707509881422,0.20333745364647712,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0929283771532185,0.11728525980911983,0.11430263547527392,0.08942351339083068,0.13049962714392244,0.12528047868362005,0.055944055944055944,3.9007592170229195,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
8,0.0825426944971537,0.08364544319600499,0.08114856429463171,0.08114856429463171,0.10084033613445378,0.05726872246696035,0.08461538461538462,0.08888888888888889,0.12444444444444444,0.005208333333333333,0.05980861244019139,0.011320754716981131,0.125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09238249594813615,0.0762448132780083,0.07427055702917772,0.09016393442622951,0.08947368421052632,0.09446808510638298,0.0480295566502463,3.982471010038025,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.11587920820690652,0.10469867211440245,0.11389172625127682,0.12768130745658834,0.11604938271604938,0.06666666666666667,0.06842105263157895,0.38461538461538464,0.15384615384615385,0.12598425196850394,0.16974494283201408,0.0136986301369863,0.06384505021520803,0.023715415019762844,0.18355995055624227,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09655485040797825,0.12492046659597031,0.11963281018655611,0.09214707217430776,0.14541387024608501,0.131264023934181,0.06357279084551812,3.827908303589167,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
9,0.08507273877292852,0.08489388264669163,0.07240948813982521,0.0986267166042447,0.11204481792717087,0.048458149779735685,0.06153846153846154,0.1111111111111111,0.13037037037037036,0.018229166666666668,0.05263157894736842,0.0037735849056603774,0.12916666666666668,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09157212317666126,0.08091286307053942,0.07360742705570292,0.09699453551912568,0.08421052631578947,0.09914893617021277,0.04433497536945813,3.925364456321528,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.11819101285941339,0.1128702757916241,0.11491317671092952,0.13074565883554648,0.1111111111111111,0.07179487179487179,0.08421052631578947,0.2923076923076923,0.13846153846153847,0.10236220472440945,0.17106420404573439,0.02054794520547945,0.06169296987087518,0.019762845849802372,0.1915945611866502,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09791477787851315,0.12767762460233298,0.12525910571513177,0.09214707217430776,0.14317673378076062,0.1323859386686612,0.06993006993006994,3.7563686098016906,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
10,0.09266287160025301,0.08114856429463171,0.08364544319600499,0.10362047440699126,0.12885154061624648,0.06167400881057269,0.09230769230769231,0.13333333333333333,0.13185185185185186,0.026041666666666668,0.10526315789473684,0.007547169811320755,0.11875,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09886547811993517,0.08869294605809129,0.09151193633952255,0.0935792349726776,0.09473684210526316,0.10297872340425532,0.06280788177339902,3.917172793268328,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.12411501228146221,0.10061287027579162,0.12206332992849847,0.14964249233912155,0.1308641975308642,0.07179487179487179,0.10526315789473684,0.2923076923076923,0.15384615384615385,0.11023622047244094,0.16754617414248021,0.02511415525114155,0.08680057388809183,0.014492753623188406,0.20024721878862795,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10924750679963735,0.13107104984093318,0.1311815220610009,0.09668633681343622,0.15137956748695003,0.13593866866118176,0.08391608391608392,3.7366117916429618,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
