epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d007,test_acc_device_id__d008,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d007,test_acc_lng_device_id__d008,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d007,test_n_device_id__d008,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.016711229946524065,0.014364640883977901,0.01878453038674033,0.014364640883977901,0.0,0.0,0.0,0.03076923076923077,0.0,0.06944444444444445,0.06648936170212766,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.021759697256385997,0.013953488372093023,0.009630818619582664,0.020669992872416252,0.026239067055393587,0.023084025854108958,0.0,4.630114672655727,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.025384289945000704,0.02535059331175836,0.03128371089536138,0.02481121898597627,0.017094017094017096,0.022388059701492536,0.02142857142857143,0.044444444444444446,0.0,0.06232590529247911,0.0,0.0,0.0,0.0007142857142857143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.017205203524968526,0.029524214103653357,0.023358065402583127,0.023409893992932862,0.03535353535353535,0.03253796095444685,0.0,4.547732194914769,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
2,0.025066844919786096,0.026519337016574586,0.017679558011049725,0.028729281767955802,0.0,0.0,0.0,0.06153846153846154,0.0,0.06944444444444445,0.09973404255319149,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.043519394512771994,0.014987080103359173,0.016051364365971106,0.03349964362081254,0.023323615160349854,0.03462603878116344,0.0,4.603605382582721,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.04146100691016782,0.04638619201725998,0.045307443365695796,0.042071197411003236,0.039886039886039885,0.029850746268656716,0.014285714285714285,0.044444444444444446,0.0,0.10236768802228412,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02853545950482585,0.04800339847068819,0.041220115416323165,0.03268551236749117,0.058922558922558925,0.05314533622559653,0.0,4.497904697773807,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
3,0.029745989304812835,0.03425414364640884,0.027624309392265192,0.02430939226519337,0.0,0.0,0.0,0.09230769230769231,0.05,0.05555555555555555,0.10505319148936171,0.0,0.0017123287671232876,0.0,0.012893982808022923,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05487228003784295,0.016020671834625324,0.021669341894060994,0.03848895224518888,0.023323615160349854,0.03970452446906741,0.0036319612590799033,4.499161133791674,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.04555069806797349,0.04908306364617044,0.04800431499460626,0.05447680690399137,0.03418803418803419,0.024875621890547265,0.02142857142857143,0.044444444444444446,0.0,0.10376044568245125,0.0,0.0024429967426710096,0.0,0.015714285714285715,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03441040704993705,0.05118946474086661,0.0464413300357241,0.037102473498233215,0.058922558922558925,0.05676066522053507,0.005772931366260423,4.3764848818044,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
4,0.04478609625668449,0.051933701657458566,0.039779005524861875,0.0430939226519337,0.03333333333333333,0.0,0.0,0.07692307692307693,0.05,0.05555555555555555,0.125,0.0,0.023972602739726026,0.0,0.03724928366762178,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06906338694418164,0.03152454780361757,0.03932584269662921,0.04989308624376337,0.043731778425655975,0.05355493998153278,0.021791767554479417,4.331093976841891,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.06656324918911297,0.07605177993527508,0.07119741100323625,0.07173678532901834,0.04985754985754986,0.04477611940298507,0.025,0.06666666666666667,0.03,0.1333565459610028,0.0,0.035830618892508145,0.0,0.03214285714285714,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05371380612673101,0.07306711979609176,0.0651277823577906,0.0534452296819788,0.09595959595959595,0.0777295733911786,0.026940346375881975,4.229586559161701,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
5,0.05514705882352941,0.057458563535911604,0.04419889502762431,0.057458563535911604,0.03333333333333333,0.0,0.025,0.09230769230769231,0.1,0.1388888888888889,0.15159574468085107,0.0,0.02054794520547945,0.0,0.055873925501432664,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0804162724692526,0.041343669250646,0.04735152487961477,0.06200997861724875,0.05539358600583091,0.06879039704524469,0.01937046004842615,4.21056006936466,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.08066563249189113,0.08468176914778856,0.08845738942826321,0.08629989212513485,0.07122507122507123,0.05970149253731343,0.039285714285714285,0.044444444444444446,0.04,0.1594707520891365,0.0,0.030944625407166124,0.0,0.054285714285714284,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07175828787242972,0.08517417162276976,0.07694421544380324,0.06713780918727916,0.11784511784511785,0.09580621836587129,0.026940346375881975,4.088180522625511,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
6,0.05447860962566845,0.04861878453038674,0.04640883977900553,0.056353591160221,0.05,0.0,0.025,0.12307692307692308,0.1,0.16666666666666666,0.1529255319148936,0.0,0.017123287671232876,0.0045871559633027525,0.05157593123209169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07757805108798486,0.04186046511627907,0.04333868378812199,0.06343549536707056,0.05830903790087463,0.06879039704524469,0.01694915254237288,4.168534467564547,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.08376815681850233,0.08629989212513485,0.08737864077669903,0.09223300970873786,0.08831908831908832,0.03731343283582089,0.060714285714285714,0.06666666666666667,0.04,0.17548746518105848,0.0,0.017915309446254073,0.0011723329425556857,0.047857142857142855,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07679395719681074,0.0872982158028887,0.08491343775762572,0.06802120141342756,0.11026936026936027,0.10231381055676067,0.01796023091725465,3.9983916706972304,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
7,0.05548128342245989,0.04861878453038674,0.045303867403314914,0.05856353591160221,0.06666666666666667,0.0,0.05,0.15384615384615385,0.1,0.1388888888888889,0.15558510638297873,0.0,0.010273972602739725,0.0022935779816513763,0.06017191977077364,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08230842005676443,0.04082687338501292,0.04975922953451043,0.05844618674269423,0.0641399416909621,0.07063711911357341,0.015738498789346248,4.129031380230093,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.08799887180933577,0.08683926645091694,0.09277238403451996,0.09870550161812297,0.09116809116809117,0.04228855721393035,0.07142857142857142,0.06666666666666667,0.04,0.1758356545961003,0.0,0.02035830618892508,0.0023446658851113715,0.06571428571428571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08015107007973143,0.09197111299915038,0.0868370431437208,0.07685512367491167,0.1127946127946128,0.10773680404916848,0.01796023091725465,3.9185174208503737,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
8,0.0518048128342246,0.04640883977900553,0.04088397790055249,0.051933701657458566,0.08333333333333333,0.0,0.025,0.18461538461538463,0.1,0.125,0.14893617021276595,0.0019157088122605363,0.017123287671232876,0.0022935779816513763,0.044412607449856735,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0804162724692526,0.03617571059431524,0.04012841091492777,0.06200997861724875,0.052478134110787174,0.06509695290858726,0.01694915254237288,4.267105673723679,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.08010153715978001,0.0744336569579288,0.07659115426105717,0.10140237324703344,0.08262108262108261,0.03980099502487562,0.07142857142857142,0.044444444444444446,0.04,0.16016713091922005,0.005420054200542005,0.016286644951140065,0.008206330597889801,0.055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07889215274863617,0.08071367884451996,0.07914262159934048,0.0719964664310954,0.09848484848484848,0.09815618221258135,0.01603592046183451,3.9841075677189837,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
9,0.05848930481283422,0.049723756906077346,0.05082872928176796,0.056353591160221,0.08333333333333333,0.0,0.025,0.24615384615384617,0.15,0.1111111111111111,0.15558510638297873,0.005747126436781609,0.02054794520547945,0.0022935779816513763,0.06017191977077364,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07473982970671712,0.04961240310077519,0.05056179775280899,0.0684248039914469,0.04664723032069971,0.07433056325023084,0.01694915254237288,4.061973245386134,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.10337046960936398,0.10032362459546926,0.10517799352750809,0.127831715210356,0.09116809116809117,0.05970149253731343,0.06785714285714285,0.06666666666666667,0.05,0.1991643454038997,0.01084010840108401,0.021172638436482084,0.01875732708089097,0.07928571428571428,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08266890474192194,0.11384876805437553,0.09618026930475405,0.09673144876325088,0.13804713804713806,0.1240057845263919,0.030147530468248876,3.84716306252534,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
10,0.0855614973262032,0.08397790055248619,0.07624309392265194,0.07845303867403315,0.1,0.0,0.1,0.23076923076923078,0.15,0.16666666666666666,0.19414893617021275,0.009578544061302681,0.025684931506849314,0.022935779816513763,0.11461318051575932,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10501419110690634,0.07493540051679587,0.07303370786516854,0.0955096222380613,0.09037900874635568,0.10295475530932595,0.039951573849878935,3.874548478560014,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.12663940205894797,0.12944983818770225,0.1488673139158576,0.1192017259978425,0.12962962962962962,0.07960199004975124,0.08571428571428572,0.044444444444444446,0.12,0.1998607242339833,0.018970189701897018,0.04315960912052117,0.02579132473622509,0.16785714285714284,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10574905581200168,0.13721325403568393,0.11871393239901072,0.11837455830388692,0.16666666666666666,0.1480477223427332,0.05067350865939705,3.712215786709165,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
