epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d008,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d008,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d008,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.014275256222547585,0.014184397163120567,0.011347517730496455,0.014184397163120567,0.014545454545454545,0.03076923076923077,0.008,0.0,0.029850746268656716,0.050387596899224806,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.012443438914027148,0.015151515151515152,0.012172854534388313,0.014084507042253521,0.023746701846965697,0.018731988472622477,0.0,4.658554993122598,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.014963950482927493,0.01801363193768257,0.015092502434274586,0.012171372930866602,0.014373716632443531,0.0136986301369863,0.015384615384615385,0.0,0.022222222222222223,0.01904761904761905,0.03859649122807018,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016823161189358372,0.01397288842544317,0.015731030228254166,0.013865404125803178,0.015625,0.019586894586894586,0.0,4.579145875468154,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
2,0.011346998535871157,0.011347517730496455,0.011347517730496455,0.011347517730496455,0.01090909090909091,0.015384615384615385,0.008,0.0,0.014925373134328358,0.040051679586563305,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010180995475113122,0.011904761904761904,0.00852099817407182,0.011267605633802818,0.023746701846965697,0.014889529298751201,0.0,4.6452124220036835,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.015508094136852129,0.016066212268743916,0.016066212268743916,0.016066212268743916,0.012320328542094456,0.010273972602739725,0.015384615384615385,0.015384615384615385,0.022222222222222223,0.009523809523809525,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016040688575899843,0.015224191866527632,0.016039481801357187,0.014203584714237404,0.017361111111111112,0.0202991452991453,0.0,4.578915077721144,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
3,0.018667642752562226,0.018439716312056736,0.018439716312056736,0.015602836879432624,0.025454545454545455,0.023076923076923078,0.016,0.0,0.029850746268656716,0.06589147286821706,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.019230769230769232,0.0183982683982684,0.015216068167985392,0.01267605633802817,0.044854881266490766,0.024495677233429394,0.0,4.643192587275805,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.021357638416541966,0.021421616358325218,0.021908471275559883,0.022395326192794548,0.02053388090349076,0.0136986301369863,0.015384615384615385,0.046153846153846156,0.022222222222222223,0.009523809523809525,0.055087719298245616,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.021517996870109544,0.021272158498435872,0.02282541640962369,0.019614474129184985,0.021701388888888888,0.027955840455840455,0.0,4.575344990198506,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
4,0.021595900439238654,0.02269503546099291,0.02127659574468085,0.02127659574468085,0.01818181818181818,0.03076923076923077,0.008,0.0,0.04477611940298507,0.07622739018087855,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02262443438914027,0.021103896103896104,0.01582471089470481,0.01971830985915493,0.05013192612137203,0.028338136407300672,0.0,4.621238339872346,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.028431505917562237,0.029211295034079845,0.030671859785783837,0.030671859785783837,0.01642710472279261,0.017123287671232876,0.015384615384615385,0.03076923076923077,0.06666666666666667,0.01904761904761905,0.07333333333333333,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.032081377151799685,0.0264859228362878,0.0283775447254781,0.026716266486303687,0.03298611111111111,0.03721509971509972,0.0,4.556206337984947,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
5,0.02964860907759883,0.032624113475177303,0.03404255319148936,0.028368794326241134,0.025454545454545455,0.038461538461538464,0.008,0.0,0.014925373134328358,0.06847545219638243,0.05333333333333334,0.0,0.0,0.006622516556291391,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.026018099547511313,0.031385281385281384,0.024345709068776627,0.0323943661971831,0.047493403693931395,0.03890489913544669,0.0,4.437548770038834,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.03849816351516801,0.03602726387536514,0.042843232716650435,0.042843232716650435,0.028747433264887063,0.023972602739726026,0.02564102564102564,0.03076923076923077,0.022222222222222223,0.0380952380952381,0.07894736842105263,0.05308641975308642,0.0,0.0,0.010040160642570281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03873239436619718,0.0383733055265902,0.03269586674892042,0.038890767669935745,0.05381944444444445,0.049679487179487176,0.0023054755043227667,4.383699157905812,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
6,0.04575402635431918,0.04964539007092199,0.04539007092198582,0.03687943262411347,0.06545454545454546,0.046153846153846156,0.024,0.0,0.07462686567164178,0.10852713178294573,0.057777777777777775,0.0,0.020833333333333332,0.016556291390728478,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05090497737556561,0.04329004329004329,0.035909920876445525,0.04084507042253521,0.09762532981530343,0.059077809798270896,0.003076923076923077,4.22733354917557,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.051829683036321586,0.05209347614410906,0.05306718597857838,0.05160662122687439,0.049281314168377825,0.0547945205479452,0.05128205128205128,0.06153846153846154,0.044444444444444446,0.02857142857142857,0.10701754385964912,0.05308641975308642,0.0008710801393728223,0.0076263107721639654,0.01606425702811245,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04890453834115806,0.05338894681960375,0.05305367057371992,0.04261075414271221,0.0720486111111111,0.06641737891737892,0.004610951008645533,4.189576756271468,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
7,0.055636896046852125,0.06808510638297872,0.062411347517730496,0.03687943262411347,0.06909090909090909,0.07692307692307693,0.016,0.0,0.04477611940298507,0.12919896640826872,0.035555555555555556,0.0030120481927710845,0.004166666666666667,0.054635761589403975,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05203619909502263,0.05735930735930736,0.04686548995739501,0.04507042253521127,0.11345646437994723,0.07060518731988473,0.007692307692307693,4.028248285653825,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.07318732145286355,0.07108081791626096,0.07740993184031159,0.07448880233690361,0.06365503080082136,0.06506849315068493,0.07179487179487179,0.09230769230769231,0.1111111111111111,0.047619047619047616,0.12140350877192982,0.06049382716049383,0.01132404181184669,0.032411820781696854,0.0642570281124498,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08020344287949922,0.06944734098018769,0.06693399136335595,0.07000338180588435,0.09895833333333333,0.0868945868945869,0.02881844380403458,3.9593060321831213,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
8,0.07796486090775988,0.08652482269503546,0.08368794326241134,0.08226950354609928,0.05818181818181818,0.06923076923076923,0.048,0.05,0.04477611940298507,0.13565891472868216,0.015555555555555555,0.03162650602409638,0.008333333333333333,0.1291390728476821,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0667420814479638,0.08333333333333333,0.06938527084601338,0.08028169014084507,0.11081794195250659,0.09269932756964457,0.03076923076923077,3.7524662939381632,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.1046116174670113,0.09834469328140215,0.10467380720545277,0.10272638753651411,0.11704312114989733,0.10273972602739725,0.13333333333333333,0.1076923076923077,0.2222222222222222,0.10476190476190476,0.15824561403508772,0.027160493827160494,0.037456445993031356,0.02478551000953289,0.15194109772423026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11424100156494522,0.09947862356621481,0.10579888957433684,0.0892796753466351,0.140625,0.12072649572649573,0.05244956772334294,3.642316174497411,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
9,0.09150805270863836,0.09787234042553192,0.09787234042553192,0.10354609929078014,0.05818181818181818,0.09230769230769231,0.048,0.05,0.05970149253731343,0.19121447028423771,0.013333333333333334,0.03162650602409638,0.008333333333333333,0.12086092715231789,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07126696832579185,0.10119047619047619,0.07060255629945222,0.1056338028169014,0.15567282321899736,0.11095100864553314,0.02923076923076923,3.611291642419416,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.11739899333424024,0.11295034079844206,0.11879259980525804,0.11733203505355404,0.12320328542094455,0.11986301369863013,0.11282051282051282,0.16923076923076924,0.2,0.08571428571428572,0.18666666666666668,0.0345679012345679,0.03571428571428571,0.034318398474737846,0.15127175368139223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11932707355242567,0.11637122002085505,0.11813695249845774,0.10213053770713561,0.1545138888888889,0.13603988603988604,0.057060518731988474,3.4896873086994966,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
10,0.09956076134699854,0.09219858156028368,0.10638297872340426,0.10638297872340426,0.10545454545454545,0.11538461538461539,0.056,0.05,0.07462686567164178,0.19638242894056848,0.02666666666666667,0.03765060240963856,0.03333333333333333,0.12417218543046357,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0667420814479638,0.11525974025974026,0.08216676810712112,0.11830985915492957,0.13984168865435356,0.11959654178674352,0.03538461538461538,3.5193407943971335,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.13222690790368657,0.12706913339824732,0.13729308666017526,0.12658227848101267,0.13552361396303902,0.136986301369863,0.13333333333333333,0.2,0.28888888888888886,0.10476190476190476,0.2143859649122807,0.050617283950617285,0.04790940766550523,0.04194470924690181,0.14792503346720215,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1322378716744914,0.13222106360792493,0.1310919185687847,0.12106865065945215,0.1640625,0.1525997150997151,0.06628242074927954,3.3888485290585466,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
