epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d007,test_acc_device_id__d008,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d007,test_acc_lng_device_id__d008,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d007,test_n_device_id__d008,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.010026737967914439,0.009944751381215469,0.009944751381215469,0.009944751381215469,0.0,0.0,0.0,0.015384615384615385,0.0,0.027777777777777776,0.0398936170212766,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.017975402081362345,0.005684754521963824,0.004815409309791332,0.01496792587312901,0.008746355685131196,0.013850415512465374,0.0,4.6859493969596,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.016217740798194893,0.017259978425026967,0.017259978425026967,0.017259978425026967,0.01282051282051282,0.012437810945273632,0.014285714285714285,0.022222222222222223,0.0,0.04004178272980501,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013008812421317666,0.01784197111299915,0.016488046166529265,0.012809187279151944,0.021885521885521887,0.020788141720896602,0.0,4.562826909495752,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
2,0.010026737967914439,0.009944751381215469,0.009944751381215469,0.009944751381215469,0.0,0.0,0.0,0.015384615384615385,0.0,0.027777777777777776,0.0398936170212766,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.017975402081362345,0.005684754521963824,0.004815409309791332,0.01496792587312901,0.008746355685131196,0.013850415512465374,0.0,4.686704992610503,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.016217740798194893,0.017259978425026967,0.017259978425026967,0.017259978425026967,0.01282051282051282,0.012437810945273632,0.014285714285714285,0.022222222222222223,0.0,0.04004178272980501,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013008812421317666,0.01784197111299915,0.016488046166529265,0.012809187279151944,0.021885521885521887,0.020788141720896602,0.0,4.559894829135303,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
3,0.009358288770053475,0.0066298342541436465,0.009944751381215469,0.011049723756906077,0.0,0.0,0.0,0.015384615384615385,0.0,0.027777777777777776,0.03723404255319149,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.017029328287606435,0.00516795865633075,0.0040128410914927765,0.0135424091233072,0.011661807580174927,0.012927054478301015,0.0,4.678299276586523,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.019743336623889437,0.021574973031283712,0.02319309600862999,0.018878101402373247,0.01282051282051282,0.017412935323383085,0.017857142857142856,0.022222222222222223,0.0,0.04874651810584958,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01174989509022241,0.0237892948173322,0.020610057708161583,0.013250883392226149,0.029461279461279462,0.025307302964569775,0.0,4.55882766501992,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
4,0.011697860962566845,0.013259668508287293,0.009944751381215469,0.011049723756906077,0.0,0.0,0.0,0.03076923076923077,0.0,0.027777777777777776,0.04654255319148936,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.020813623462630087,0.006718346253229974,0.0056179775280898875,0.017106200997861726,0.011661807580174927,0.016158818097876268,0.0,4.674642226275275,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.02143562262022282,0.023732470334412083,0.024271844660194174,0.021574973031283712,0.01566951566951567,0.012437810945273632,0.017857142857142856,0.044444444444444446,0.0,0.052924791086350974,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01678556441460344,0.0237892948173322,0.02115965924704589,0.018109540636042403,0.02861952861952862,0.0274765003615329,0.0,4.550690596740146,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
5,0.023729946524064172,0.022099447513812154,0.02430939226519337,0.022099447513812154,0.016666666666666666,0.0,0.025,0.046153846153846156,0.05,0.041666666666666664,0.07180851063829788,0.0,0.0,0.0,0.024355300859598854,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03878902554399243,0.015503875968992248,0.01765650080256822,0.027797576621525304,0.029154518950437316,0.030932594644506,0.004842615012106538,4.5775954710608495,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.0353969820899732,0.03559870550161812,0.039913700107874865,0.03559870550161812,0.029914529914529916,0.02736318407960199,0.03571428571428571,0.044444444444444446,0.01,0.07973537604456825,0.0,0.0,0.0,0.015714285714285715,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03063365505665128,0.037807986406117246,0.037372904644133,0.02782685512367491,0.04377104377104377,0.04483007953723789,0.001924310455420141,4.476703644336792,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
6,0.04344919786096257,0.0430939226519337,0.04640883977900553,0.041988950276243095,0.016666666666666666,0.0,0.025,0.06153846153846154,0.05,0.05555555555555555,0.12101063829787234,0.0,0.0,0.0,0.055873925501432664,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.065279091769158,0.03152454780361757,0.028089887640449437,0.05702066999287242,0.043731778425655975,0.05678670360110803,0.00847457627118644,4.30357830027208,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.04921731772669581,0.05070118662351672,0.05124056094929881,0.05124056094929881,0.038461538461538464,0.04477611940298507,0.05,0.08888888888888889,0.02,0.09644846796657382,0.0,0.0,0.0,0.05142857142857143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.044481745698699116,0.0516142735768904,0.049189337730145645,0.04240282685512368,0.06228956228956229,0.061641359363702096,0.005131494547787043,4.236124404780267,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
7,0.042446524064171126,0.045303867403314914,0.0430939226519337,0.04419889502762431,0.0,0.0,0.0,0.046153846153846156,0.0,0.05555555555555555,0.11436170212765957,0.04980842911877394,0.0,0.0,0.02148997134670487,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06811731315042574,0.028423772609819122,0.027287319422150885,0.05559515324305061,0.043731778425655975,0.057248384118190214,0.0036319612590799033,4.214197495404412,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.05499929488083486,0.06040992448759439,0.05717367853290183,0.05609492988133765,0.04843304843304843,0.0472636815920398,0.04285714285714286,0.044444444444444446,0.01,0.10863509749303621,0.051490514905149054,0.0,0.0,0.02857142857142857,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04657994125052455,0.05926083262531861,0.05441055234954658,0.04107773851590106,0.08333333333333333,0.06941431670281996,0.003848620910840282,4.131619151229331,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
8,0.06717914438502674,0.0718232044198895,0.0707182320441989,0.06298342541436464,0.0,0.0,0.0,0.06153846153846154,0.05,0.1388888888888889,0.1622340425531915,0.028735632183908046,0.023972602739726026,0.0,0.07163323782234957,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09744560075685904,0.050645994832041345,0.04735152487961477,0.07982893799002139,0.08746355685131195,0.08125577100646353,0.03026634382566586,4.026765099183761,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.07714003666619659,0.07766990291262135,0.08629989212513485,0.07605177993527508,0.06695156695156695,0.07213930348258707,0.07142857142857142,0.06666666666666667,0.03,0.12569637883008355,0.04742547425474255,0.033387622149837134,0.0,0.07857142857142857,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06462442299622324,0.0834749362786746,0.07447100851882385,0.05962897526501767,0.11868686868686869,0.09164859002169197,0.025657472738935216,3.9207792937074726,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
9,0.08455882352941177,0.08397790055248619,0.08839779005524862,0.07845303867403315,0.03333333333333333,0.0,0.05,0.15384615384615385,0.2,0.1111111111111111,0.17819148936170212,0.007662835249042145,0.0410958904109589,0.0,0.1303724928366762,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10501419110690634,0.07338501291989664,0.06821829855537721,0.09194583036350677,0.11370262390670553,0.09695290858725762,0.05205811138014528,3.781307444852941,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.10661401776900296,0.104638619201726,0.11326860841423948,0.1111111111111111,0.09401709401709402,0.1044776119402985,0.08928571428571429,0.13333333333333333,0.07,0.17270194986072424,0.02168021680216802,0.021172638436482084,0.0,0.15571428571428572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09399916072177927,0.11299915038232795,0.10634789777411377,0.09717314487632508,0.12542087542087543,0.12906724511930587,0.026940346375881975,3.5913405961066402,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
10,0.10494652406417113,0.1005524861878453,0.10828729281767956,0.09834254143646409,0.016666666666666666,0.0,0.05,0.2,0.25,0.20833333333333334,0.21409574468085107,0.022988505747126436,0.03767123287671233,0.0,0.17048710601719197,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12677388836329234,0.09302325581395349,0.08507223113964688,0.11546685673556664,0.13411078717201166,0.12419205909510618,0.05447941888619855,3.6086225050655916,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.1255112113947257,0.12405609492988134,0.13700107874865156,0.12243797195253506,0.10683760683760683,0.13930348258706468,0.12142857142857143,0.13333333333333333,0.08,0.20055710306406685,0.018970189701897018,0.029315960912052116,0.0,0.18857142857142858,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10071338648762064,0.13806287170773152,0.12228634240175873,0.11307420494699646,0.1590909090909091,0.14985538684020247,0.0391276459268762,3.4544666200443346,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
