epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.012600630031501575,0.012547051442910916,0.012547051442910916,0.012547051442910916,0.014150943396226415,0.013605442176870748,0.022222222222222223,0.0,0.04004449388209121,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.021111111111111112,0.008686765457332652,0.017289073305670817,0.010119595216191352,0.0,0.01602136181575434,0.0,4.6477673737202485,2857,797,797,797,212,147,45,62,899,504,404,428,622,900,1957,1446,1087,324,2247,610,0.015084417381677276,0.01580020387359837,0.01580020387359837,0.01580020387359837,0.01090909090909091,0.01090909090909091,0.01090909090909091,0.015384615384615385,0.015384615384615385,0.01818181818181818,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.012204724409448819,0.016645326504481434,0.0119220703692934,0.015116279069767442,0.024026512013256007,0.019996330948449825,0.0,4.5748757056968214,7226,1962,1962,1962,550,275,275,65,65,110,2725,756,1408,861,1476,2540,4686,3439,2580,1207,5451,1775
2,0.01295064753237662,0.00878293601003764,0.010037641154328732,0.013801756587202008,0.02358490566037736,0.027210884353741496,0.044444444444444446,0.0,0.041156840934371525,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.025555555555555557,0.007153806847215125,0.017289073305670817,0.011039558417663294,0.0,0.016466399643969738,0.0,4.649546088144251,2857,797,797,797,212,147,45,62,899,504,404,428,622,900,1957,1446,1087,324,2247,610,0.016329919734292833,0.017329255861365953,0.01529051987767584,0.019877675840978593,0.01090909090909091,0.01090909090909091,0.007272727272727273,0.0,0.015384615384615385,0.02727272727272727,0.04330275229357798,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013779527559055118,0.017712334613743063,0.01279441698168072,0.015116279069767442,0.02899751449875725,0.02164740414602825,0.0,4.573413894277446,7226,1962,1962,1962,550,275,275,65,65,110,2725,756,1408,861,1476,2540,4686,3439,2580,1207,5451,1775
3,0.01295064753237662,0.011292346298619825,0.013801756587202008,0.013801756587202008,0.014150943396226415,0.013605442176870748,0.022222222222222223,0.0,0.041156840934371525,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.022222222222222223,0.008686765457332652,0.016597510373443983,0.011959521619135235,0.0,0.016466399643969738,0.0,4.644251218908602,2857,797,797,797,212,147,45,62,899,504,404,428,622,900,1957,1446,1087,324,2247,610,0.016191530584002214,0.017329255861365953,0.017329255861365953,0.016819571865443424,0.01090909090909091,0.01090909090909091,0.01090909090909091,0.015384615384615385,0.015384615384615385,0.01818181818181818,0.04293577981651376,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.012598425196850394,0.018139137857447717,0.0119220703692934,0.017829457364341085,0.024855012427506214,0.02146395156851954,0.0,4.570271310138465,7226,1962,1962,1962,550,275,275,65,65,110,2725,756,1408,861,1476,2540,4686,3439,2580,1207,5451,1775
4,0.017150857542877145,0.018820577164366373,0.01631116687578419,0.01756587202007528,0.018867924528301886,0.013605442176870748,0.022222222222222223,0.0,0.04671857619577308,0.0,0.0,0.0,0.011254019292604502,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03111111111111111,0.010730710270822688,0.022821576763485476,0.010119595216191352,0.015432098765432098,0.019581664441477527,0.00819672131147541,4.6149604538332385,2857,797,797,797,212,147,45,62,899,504,404,428,622,900,1957,1446,1087,324,2247,610,0.02283420979795184,0.02599388379204893,0.024464831804281346,0.022935779816513763,0.012727272727272728,0.01090909090909091,0.01818181818181818,0.015384615384615385,0.03076923076923077,0.02727272727272727,0.04660550458715596,0.0,0.0,0.0,0.025745257452574527,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02125984251968504,0.023687580025608196,0.017737714451875546,0.024806201550387597,0.033140016570008285,0.02971931755641167,0.0016901408450704226,4.543026980883917,7226,1962,1962,1962,550,275,275,65,65,110,2725,756,1408,861,1476,2540,4686,3439,2580,1207,5451,1775
5,0.04060203010150507,0.04140526976160602,0.04015056461731493,0.043914680050188205,0.02358490566037736,0.047619047619047616,0.044444444444444446,0.03225806451612903,0.06340378197997776,0.0,0.0,0.0,0.09485530546623794,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05,0.036280020439448134,0.042185338865836794,0.03311867525298988,0.05864197530864197,0.04316866933689364,0.03114754098360656,4.394424433135719,2857,797,797,797,212,147,45,62,899,504,404,428,622,900,1957,1446,1087,324,2247,610,0.04207030168834763,0.046381243628950054,0.0417940876656473,0.045871559633027525,0.02727272727272727,0.02909090909090909,0.02909090909090909,0.046153846153846156,0.046153846153846156,0.03636363636363636,0.0653211009174312,0.0,0.0,0.0,0.08536585365853659,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04409448818897638,0.040973111395646605,0.03751090433265484,0.043410852713178294,0.05219552609776305,0.0537516052100532,0.006197183098591549,4.319705622103153,7226,1962,1962,1962,550,275,275,65,65,110,2725,756,1408,861,1476,2540,4686,3439,2580,1207,5451,1775
6,0.03885194259712986,0.04140526976160602,0.04265997490589712,0.03262233375156838,0.03773584905660377,0.04081632653061224,0.06666666666666667,0.016129032258064516,0.07897664071190211,0.05357142857142857,0.0024752475247524753,0.0,0.01929260450160772,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04555555555555556,0.03576903423607562,0.050484094052558784,0.03035878564857406,0.015432098765432098,0.04806408544726302,0.004918032786885246,4.255710557744684,2857,797,797,797,212,147,45,62,899,504,404,428,622,900,1957,1446,1087,324,2247,610,0.048297813451425406,0.05606523955147808,0.047400611620795105,0.04994903160040775,0.02727272727272727,0.04727272727272727,0.01818181818181818,0.046153846153846156,0.046153846153846156,0.08181818181818182,0.10495412844036697,0.051587301587301584,0.002130681818181818,0.0,0.014227642276422764,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03897637795275591,0.05335040546308152,0.035184646699621985,0.04263565891472868,0.09776304888152444,0.06255732893047147,0.004507042253521127,4.208380858851311,7226,1962,1962,1962,550,275,275,65,65,110,2725,756,1408,861,1476,2540,4686,3439,2580,1207,5451,1775
7,0.0448022401120056,0.04265997490589712,0.04015056461731493,0.0451693851944793,0.06132075471698113,0.05442176870748299,0.044444444444444446,0.04838709677419355,0.04671857619577308,0.027777777777777776,0.024752475247524754,0.004672897196261682,0.09646302250803858,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04666666666666667,0.04394481349003577,0.04426002766251729,0.03955841766329347,0.06481481481481481,0.046283934134401426,0.03934426229508197,4.164794964601746,2857,797,797,797,212,147,45,62,899,504,404,428,622,900,1957,1446,1087,324,2247,610,0.055494049266537504,0.05963302752293578,0.0545361875637105,0.05606523955147808,0.05272727272727273,0.04727272727272727,0.03636363636363636,0.07692307692307693,0.046153846153846156,0.06363636363636363,0.07559633027522936,0.041005291005291,0.03622159090909091,0.006968641114982578,0.07249322493224933,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.051181102362204724,0.057831839521980365,0.05670252980517592,0.04689922480620155,0.07042253521126761,0.06310768666299761,0.03211267605633803,4.095525336668097,7226,1962,1962,1962,550,275,275,65,65,110,2725,756,1408,861,1476,2540,4686,3439,2580,1207,5451,1775
8,0.06790339516975849,0.06900878293601004,0.06900878293601004,0.06775407779171895,0.0660377358490566,0.08843537414965986,0.022222222222222223,0.03225806451612903,0.11345939933259176,0.00992063492063492,0.08663366336633663,0.0,0.08360128617363344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07,0.06693919264179868,0.07607192254495158,0.062557497700092,0.04938271604938271,0.07209612817089453,0.05245901639344262,3.8867838228337197,2857,797,797,797,212,147,45,62,899,504,404,428,622,900,1957,1446,1087,324,2247,610,0.08760033213396069,0.09072375127421,0.09123343527013252,0.08766564729867482,0.07272727272727272,0.06181818181818182,0.06909090909090909,0.07692307692307693,0.13846153846153847,0.12727272727272726,0.13871559633027522,0.026455026455026454,0.07386363636363637,0.0,0.08875338753387534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08740157480314961,0.08770806658130602,0.08345449258505379,0.07674418604651163,0.12261806130903065,0.09814712896716199,0.0552112676056338,3.755736500148525,7226,1962,1962,1962,550,275,275,65,65,110,2725,756,1408,861,1476,2540,4686,3439,2580,1207,5451,1775
9,0.07630381519075954,0.08155583437892096,0.06398996235884567,0.07277289836888332,0.10377358490566038,0.10884353741496598,0.044444444444444446,0.06451612903225806,0.10344827586206896,0.0,0.04702970297029703,0.002336448598130841,0.16881028938906753,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08555555555555555,0.07204905467552376,0.07952973720608575,0.06347746090156393,0.10493827160493827,0.0778816199376947,0.07049180327868852,3.7246388991812873,2857,797,797,797,212,147,45,62,899,504,404,428,622,900,1957,1446,1087,324,2247,610,0.10406864101854414,0.1019367991845056,0.11162079510703364,0.09480122324159021,0.1,0.09090909090909091,0.10545454545454545,0.12307692307692308,0.15384615384615385,0.18181818181818182,0.15302752293577981,0.0,0.056107954545454544,0.0,0.17344173441734417,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09173228346456692,0.11075544174135724,0.09712125617912183,0.09108527131782945,0.1516155758077879,0.12089524857824252,0.0523943661971831,3.585991119038455,7226,1962,1962,1962,550,275,275,65,65,110,2725,756,1408,861,1476,2540,4686,3439,2580,1207,5451,1775
10,0.08715435771788589,0.08155583437892096,0.08155583437892096,0.08281053952321205,0.1179245283018868,0.1564625850340136,0.044444444444444446,0.04838709677419355,0.13793103448275862,0.03373015873015873,0.054455445544554455,0.0,0.1382636655948553,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10555555555555556,0.07869187531936638,0.09336099585062241,0.078196872125115,0.08950617283950617,0.09434801958166444,0.060655737704918035,3.588916793251772,2857,797,797,797,212,147,45,62,899,504,404,428,622,900,1957,1446,1087,324,2247,610,0.11320232493772488,0.11009174311926606,0.12130479102956167,0.10448521916411825,0.10909090909090909,0.12,0.09090909090909091,0.16923076923076924,0.16923076923076924,0.17272727272727273,0.18311926605504586,0.03571428571428571,0.05965909090909091,0.0,0.14092140921409213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09606299212598425,0.12249253094323517,0.10526315789473684,0.10503875968992248,0.15327257663628832,0.13318657127132635,0.051830985915492955,3.463862968421596,7226,1962,1962,1962,550,275,275,65,65,110,2725,756,1408,861,1476,2540,4686,3439,2580,1207,5451,1775
