epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d008,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d008,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d008,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.013177159590043924,0.014184397163120567,0.011347517730496455,0.009929078014184398,0.01818181818181818,0.023076923076923078,0.008,0.0,0.029850746268656716,0.046511627906976744,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013574660633484163,0.012987012987012988,0.01278149726110773,0.011267605633802818,0.018469656992084433,0.01729106628242075,0.0,4.658607158968075,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.012379268126785472,0.012171372930866602,0.014118792599805257,0.012658227848101266,0.01026694045174538,0.010273972602739725,0.005128205128205128,0.015384615384615385,0.0,0.009523809523809525,0.03192982456140351,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013693270735524257,0.01167883211678832,0.012954966070326958,0.01217450118363206,0.011284722222222222,0.016203703703703703,0.0,4.579110405166495,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
2,0.011346998535871157,0.011347517730496455,0.011347517730496455,0.011347517730496455,0.01090909090909091,0.015384615384615385,0.008,0.0,0.014925373134328358,0.040051679586563305,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010180995475113122,0.011904761904761904,0.00852099817407182,0.011267605633802818,0.023746701846965697,0.014889529298751201,0.0,4.6455744998870445,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.015508094136852129,0.016066212268743916,0.016066212268743916,0.016066212268743916,0.012320328542094456,0.010273972602739725,0.015384615384615385,0.015384615384615385,0.022222222222222223,0.009523809523809525,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016040688575899843,0.015224191866527632,0.016039481801357187,0.014203584714237404,0.017361111111111112,0.0202991452991453,0.0,4.57894656259565,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
3,0.013543191800878478,0.01276595744680851,0.014184397163120567,0.014184397163120567,0.014545454545454545,0.015384615384615385,0.008,0.0,0.014925373134328358,0.04780361757105943,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013574660633484163,0.013528138528138528,0.010955569080949483,0.01267605633802817,0.026385224274406333,0.01777137367915466,0.0,4.644693779561391,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.017412596925588355,0.01801363193768257,0.01801363193768257,0.01801363193768257,0.014373716632443531,0.0136986301369863,0.015384615384615385,0.015384615384615385,0.022222222222222223,0.009523809523809525,0.04491228070175438,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016040688575899843,0.018143899895724715,0.016656384947563233,0.014541765302671627,0.026909722222222224,0.022792022792022793,0.0,4.576040115117735,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
4,0.0157393850658858,0.01702127659574468,0.01702127659574468,0.01702127659574468,0.01090909090909091,0.015384615384615385,0.008,0.0,0.014925373134328358,0.05555555555555555,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016968325791855202,0.015151515151515152,0.012172854534388313,0.015492957746478873,0.0316622691292876,0.020653218059558116,0.0,4.633633391574396,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.017548632839069513,0.019474196689386564,0.0189873417721519,0.017039922103213243,0.012320328542094456,0.010273972602739725,0.015384615384615385,0.015384615384615385,0.022222222222222223,0.009523809523809525,0.045263157894736845,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01643192488262911,0.018143899895724715,0.018198642813078345,0.014203584714237404,0.024305555555555556,0.022970085470085472,0.0,4.56381045826567,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
5,0.039897510980966326,0.04113475177304964,0.0425531914893617,0.03971631205673759,0.03636363636363636,0.038461538461538464,0.032,0.0,0.04477611940298507,0.09948320413436693,0.0,0.0,0.0,0.052980132450331126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.033936651583710405,0.04274891774891775,0.036518563603164945,0.0323943661971831,0.06860158311345646,0.05139289145052834,0.003076923076923077,4.516123759100762,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.05373418582505782,0.05598831548198637,0.054527750730282376,0.056962025316455694,0.039014373716632446,0.03767123287671233,0.046153846153846156,0.046153846153846156,0.08888888888888889,0.047619047619047616,0.1119298245614035,0.0,0.0,0.0,0.050870147255689425,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.057902973395931145,0.05151199165797706,0.050894509561998764,0.05207981061887048,0.06597222222222222,0.0673076923076923,0.009798270893371758,4.448832130354289,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
6,0.05856515373352855,0.06382978723404255,0.062411347517730496,0.04964539007092199,0.06181818181818182,0.06153846153846154,0.048,0.0,0.07462686567164178,0.10465116279069768,0.03333333333333333,0.010542168674698794,0.008333333333333333,0.09105960264900662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.057692307692307696,0.058982683982683984,0.05964698721850274,0.030985915492957747,0.10554089709762533,0.07300672430355427,0.012307692307692308,4.2040912857167365,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.07277921371242008,0.07205452775073028,0.07351509250243428,0.07156767283349562,0.06981519507186858,0.07534246575342465,0.06153846153846154,0.06153846153846154,0.17777777777777778,0.08571428571428572,0.11859649122807017,0.03827160493827161,0.013937282229965157,0.017159199237368923,0.08835341365461848,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0880281690140845,0.06465067778936393,0.07001850709438619,0.07135610415962124,0.0842013888888889,0.08671652421652422,0.0276657060518732,4.130235481288154,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
7,0.05929721815519766,0.06950354609929078,0.05815602836879433,0.05390070921985816,0.05818181818181818,0.023076923076923078,0.072,0.05,0.07462686567164178,0.09560723514211886,0.0044444444444444444,0.010542168674698794,0.0,0.13079470198675497,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04524886877828054,0.06601731601731602,0.06086427267194157,0.04084507042253521,0.0870712401055409,0.07396733909702209,0.012307692307692308,3.9442196311224604,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.08719902054142294,0.08617332035053554,0.0881207400194742,0.0813047711781889,0.09034907597535935,0.09246575342465753,0.09230769230769231,0.09230769230769231,0.17777777777777778,0.12380952380952381,0.12631578947368421,0.024691358024691357,0.018292682926829267,0.017159199237368923,0.14859437751004015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11189358372456965,0.0740354535974974,0.0879086983343615,0.08150152181264796,0.0998263888888889,0.1014957264957265,0.04092219020172911,3.8308310303099704,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
8,0.07613469985358712,0.08652482269503546,0.075177304964539,0.07234042553191489,0.05454545454545454,0.11538461538461539,0.04,0.05,0.1044776119402985,0.13565891472868216,0.0022222222222222222,0.02108433734939759,0.008333333333333333,0.1423841059602649,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.058823529411764705,0.08441558441558442,0.060255629945222156,0.09295774647887324,0.11345646437994723,0.09269932756964457,0.023076923076923078,3.780776553063232,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.10243504285131275,0.0988315481986368,0.10272638753651411,0.09834469328140215,0.10882956878850103,0.1232876712328767,0.10256410256410256,0.16923076923076924,0.15555555555555556,0.09523809523809523,0.163859649122807,0.02345679012345679,0.024390243902439025,0.01334604385128694,0.15060240963855423,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1111111111111111,0.09781021897810219,0.09500308451573103,0.10179235711870138,0.125,0.11858974358974358,0.05014409221902017,3.6407657769111985,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
9,0.0849194729136164,0.09078014184397164,0.07943262411347518,0.08936170212765958,0.07272727272727272,0.09230769230769231,0.072,0.05,0.1044776119402985,0.14857881136950904,0.011111111111111112,0.02108433734939759,0.008333333333333333,0.15894039735099338,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07126696832579185,0.09145021645021645,0.07486305538648813,0.09154929577464789,0.11609498680738786,0.1042267050912584,0.023076923076923078,3.693066397313667,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.11576656237246633,0.10418695228821812,0.11295034079844206,0.11781888997078871,0.12525667351129363,0.1506849315068493,0.14358974358974358,0.18461538461538463,0.2,0.08571428571428572,0.1775438596491228,0.03950617283950617,0.020905923344947737,0.02669208770257388,0.1746987951807229,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1396713615023474,0.10302398331595412,0.10980876002467613,0.11633412242137302,0.1310763888888889,0.13568376068376067,0.051296829971181554,3.5562925975738846,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
10,0.09736456808199122,0.10638297872340426,0.07943262411347518,0.10070921985815603,0.08727272727272728,0.13846153846153847,0.088,0.05,0.14925373134328357,0.1640826873385013,0.03777777777777778,0.03313253012048193,0.016666666666666666,0.15894039735099338,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07805429864253394,0.1066017316017316,0.09068776628119293,0.10704225352112676,0.10817941952506596,0.11719500480307397,0.033846153846153845,3.674080531733277,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.12406475309481703,0.10759493670886076,0.1085686465433301,0.13388510223953262,0.1540041067761807,0.1780821917808219,0.1641025641025641,0.2153846153846154,0.26666666666666666,0.0761904761904762,0.19228070175438597,0.05185185185185185,0.03397212543554007,0.02669208770257388,0.1706827309236948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1388888888888889,0.11616266944734098,0.11844540407156076,0.1261413594859655,0.1345486111111111,0.14583333333333334,0.05360230547550432,3.519757713594983,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
