epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d007,test_acc_device_id__d008,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d007,test_acc_lng_device_id__d008,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d007,test_n_device_id__d008,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.010026737967914439,0.009944751381215469,0.009944751381215469,0.009944751381215469,0.0,0.0,0.0,0.015384615384615385,0.0,0.027777777777777776,0.0398936170212766,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.017975402081362345,0.005684754521963824,0.004815409309791332,0.01496792587312901,0.008746355685131196,0.013850415512465374,0.0,4.685820309236088,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.016217740798194893,0.017259978425026967,0.017259978425026967,0.017259978425026967,0.01282051282051282,0.012437810945273632,0.014285714285714285,0.022222222222222223,0.0,0.04004178272980501,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013008812421317666,0.01784197111299915,0.016488046166529265,0.012809187279151944,0.021885521885521887,0.020788141720896602,0.0,4.562853058812447,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
2,0.010026737967914439,0.009944751381215469,0.009944751381215469,0.009944751381215469,0.0,0.0,0.0,0.015384615384615385,0.0,0.027777777777777776,0.0398936170212766,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.017975402081362345,0.005684754521963824,0.004815409309791332,0.01496792587312901,0.008746355685131196,0.013850415512465374,0.0,4.686788140771223,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.016217740798194893,0.017259978425026967,0.017259978425026967,0.017259978425026967,0.01282051282051282,0.012437810945273632,0.014285714285714285,0.022222222222222223,0.0,0.04004178272980501,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013008812421317666,0.01784197111299915,0.016488046166529265,0.012809187279151944,0.021885521885521887,0.020788141720896602,0.0,4.5599602798937475,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
3,0.012366310160427808,0.014364640883977901,0.012154696132596685,0.012154696132596685,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.04920212765957447,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.023651844843897825,0.006201550387596899,0.0032102728731942215,0.021382751247327157,0.008746355685131196,0.017082179132040628,0.0,4.678832436627883,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.018756169792694965,0.018878101402373247,0.019956850053937433,0.020496224379719527,0.01566951566951567,0.014925373134328358,0.014285714285714285,0.044444444444444446,0.0,0.046309192200557105,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013008812421317666,0.021665250637213255,0.017862050013740038,0.016342756183745585,0.026094276094276093,0.024041937816341286,0.0,4.559136963751366,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
4,0.013368983957219251,0.012154696132596685,0.012154696132596685,0.012154696132596685,0.0,0.0,0.0,0.03076923076923077,0.0,0.06944444444444445,0.05319148936170213,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02459791863765374,0.007235142118863049,0.008025682182985553,0.01924447612259444,0.008746355685131196,0.018467220683287166,0.0,4.678796533594794,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.021999717952333943,0.02319309600862999,0.022114347357065803,0.023732470334412083,0.019943019943019943,0.017412935323383085,0.02142857142857143,0.022222222222222223,0.0,0.054317548746518104,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0209819555182543,0.022514868309260833,0.023358065402583127,0.017226148409893994,0.026936026936026935,0.028199566160520606,0.0,4.553235619011996,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
5,0.019719251336898395,0.01878453038674033,0.022099447513812154,0.019889502762430938,0.016666666666666666,0.0,0.025,0.03076923076923077,0.0,0.0,0.07180851063829788,0.0,0.0,0.0,0.0071633237822349575,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03122043519394513,0.013436692506459949,0.009630818619582664,0.0270848182466144,0.026239067055393587,0.02723915050784857,0.0,4.6198466499859,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.030461147934000846,0.03344120819848975,0.03505933117583603,0.03182308522114347,0.017094017094017096,0.022388059701492536,0.017857142857142856,0.06666666666666667,0.01,0.07381615598885793,0.0,0.0,0.0,0.002857142857142857,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.023919429290809903,0.03377230246389125,0.029953283869194835,0.02120141342756184,0.049663299663299666,0.03850325379609545,0.001924310455420141,4.509050228585311,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
6,0.035762032085561495,0.03535911602209945,0.03425414364640884,0.03535911602209945,0.016666666666666666,0.0,0.025,0.07692307692307693,0.05,0.05555555555555555,0.08776595744680851,0.0,0.0,0.0,0.05873925501432665,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.048249763481551564,0.028940568475452195,0.025682182985553772,0.042052744119743406,0.04664723032069971,0.0443213296398892,0.013317191283292978,4.355984611307236,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.04597376956705683,0.04746494066882417,0.0447680690399137,0.04800431499460626,0.042735042735042736,0.0472636815920398,0.04285714285714286,0.044444444444444446,0.03,0.08983286908077995,0.0,0.0,0.0,0.04857142857142857,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04406210658833403,0.046941376380628716,0.04479252541907117,0.044169611307420496,0.05303030303030303,0.057483731019522775,0.005131494547787043,4.277046742652438,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
7,0.051470588235294115,0.05303867403314917,0.049723756906077346,0.05414364640883978,0.0,0.0,0.0,0.046153846153846156,0.05,0.1111111111111111,0.12234042553191489,0.040229885057471264,0.0,0.0,0.05873925501432665,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0804162724692526,0.03565891472868217,0.03290529695024077,0.06699928724162509,0.05539358600583091,0.06602031394275161,0.013317191283292978,4.195926401066908,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.06261458186433508,0.0668824163969795,0.07011866235167206,0.0593311758360302,0.05555555555555555,0.05223880597014925,0.04642857142857143,0.1111111111111111,0.02,0.108983286908078,0.04742547425474255,0.0,0.0,0.06857142857142857,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.058749475451112046,0.06457094307561598,0.06265457543281121,0.0534452296819788,0.07996632996632996,0.07718727404193781,0.010904425914047467,4.1405065275855835,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
8,0.05481283422459893,0.05082872928176796,0.06298342541436464,0.05082872928176796,0.0,0.0,0.0,0.09230769230769231,0.05,0.1111111111111111,0.11436170212765957,0.017241379310344827,0.018835616438356163,0.0,0.0830945558739255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07095553453169347,0.04599483204134367,0.048154093097913325,0.05915894511760513,0.061224489795918366,0.06463527239150507,0.029055690072639227,4.030048227565174,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.07587082216894656,0.07605177993527508,0.08576051779935275,0.06634304207119741,0.07692307692307693,0.06965174129353234,0.075,0.13333333333333333,0.06,0.11002785515320335,0.03523035230352303,0.03664495114006515,0.0,0.10785714285714286,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07343684431389005,0.07710280373831775,0.07941742236878263,0.06051236749116608,0.09427609427609428,0.08911785972523499,0.028864656831302116,3.957674567949249,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
9,0.06651069518716578,0.06850828729281767,0.056353591160221,0.06408839779005525,0.05,0.0,0.075,0.12307692307692308,0.1,0.16666666666666666,0.12898936170212766,0.0,0.03767123287671233,0.0,0.11461318051575932,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08325449385052035,0.05736434108527132,0.06340288924558588,0.06557377049180328,0.08163265306122448,0.07433056325023084,0.04600484261501211,3.8722844251336896,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.09674234945705824,0.09924487594390508,0.09546925566343042,0.09385113268608414,0.08974358974358974,0.10945273631840796,0.10714285714285714,0.13333333333333333,0.08,0.15529247910863508,0.0040650406504065045,0.024429967426710098,0.0,0.14785714285714285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10113302559798573,0.09451996601529312,0.09398186314921682,0.0892226148409894,0.11952861952861953,0.1146059291395517,0.03335471456061578,3.70599615710055,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
10,0.08288770053475936,0.07845303867403315,0.07734806629834254,0.07955801104972375,0.05,0.0,0.075,0.16923076923076924,0.15,0.20833333333333334,0.1702127659574468,0.0,0.046232876712328765,0.0,0.1332378223495702,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09649952696310313,0.07545219638242893,0.07463884430176565,0.08410548823948681,0.10787172011661808,0.09233610341643583,0.05811138014527845,3.741066590987425,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.11422930475250317,0.11380798274002157,0.1202804746494067,0.11165048543689321,0.10113960113960115,0.13681592039800994,0.11785714285714285,0.13333333333333333,0.04,0.18384401114206128,0.0,0.04804560260586319,0.0,0.15928571428571428,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11204364246747797,0.1153355989804588,0.104973893926903,0.11351590106007067,0.14393939393939395,0.13430947216196673,0.042976266837716486,3.5713387616950625,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
