epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d008,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d008,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d008,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.011346998535871157,0.011347517730496455,0.011347517730496455,0.011347517730496455,0.01090909090909091,0.015384615384615385,0.008,0.0,0.014925373134328358,0.040051679586563305,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010180995475113122,0.011904761904761904,0.00852099817407182,0.011267605633802818,0.023746701846965697,0.014889529298751201,0.0,4.653251592097136,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.015916201877295606,0.016553067185978577,0.016553067185978577,0.016553067185978577,0.012320328542094456,0.010273972602739725,0.015384615384615385,0.015384615384615385,0.022222222222222223,0.009523809523809525,0.04105263157894737,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.017214397496087636,0.015224191866527632,0.016039481801357187,0.015218126479540075,0.017361111111111112,0.020833333333333332,0.0,4.576952661694094,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
2,0.016471449487554905,0.015602836879432624,0.018439716312056736,0.014184397163120567,0.014545454545454545,0.03076923076923077,0.008,0.0,0.029850746268656716,0.05813953488372093,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.011312217194570135,0.01893939393939394,0.010346926354230066,0.02112676056338028,0.03430079155672823,0.021613832853025938,0.0,4.638144407928601,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.020133315195211537,0.019961051606621226,0.022395326192794548,0.019961051606621226,0.01642710472279261,0.0136986301369863,0.020512820512820513,0.03076923076923077,0.022222222222222223,0.009523809523809525,0.051929824561403506,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02112676056338028,0.019603753910323252,0.020974706971005553,0.019952654717619207,0.018229166666666668,0.026353276353276354,0.0,4.5679080834957615,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
3,0.02232796486090776,0.024113475177304965,0.02269503546099291,0.02127659574468085,0.01818181818181818,0.03076923076923077,0.008,0.0,0.04477611940298507,0.07881136950904392,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02262443438914027,0.022186147186147188,0.01704199634814364,0.018309859154929577,0.052770448548812667,0.029298751200768493,0.0,4.5627932010946655,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.032376547408515845,0.03261927945472249,0.03554040895813048,0.0311587147030185,0.02053388090349076,0.023972602739726026,0.02564102564102564,0.06153846153846154,0.1111111111111111,0.02857142857142857,0.08350877192982456,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027386541471048513,0.035036496350364967,0.0323874151758174,0.026378085897869462,0.04774305555555555,0.04237891737891738,0.0,4.494706954198408,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
4,0.05527086383601757,0.05390070921985816,0.059574468085106386,0.05815602836879433,0.04363636363636364,0.06153846153846154,0.04,0.05,0.05970149253731343,0.13824289405684753,0.0,0.03765060240963856,0.0,0.03145695364238411,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05203619909502263,0.056818181818181816,0.04686548995739501,0.04647887323943662,0.10817941952506596,0.06388088376560999,0.027692307692307693,4.24824993083278,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.06162426880696504,0.06183057448880234,0.06134371957156767,0.06377799415774099,0.055441478439425054,0.0547945205479452,0.05641025641025641,0.06153846153846154,0.08888888888888889,0.06666666666666667,0.1224561403508772,0.008641975308641974,0.041811846689895474,0.0009532888465204957,0.0321285140562249,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06533646322378717,0.05964546402502607,0.06878470080197409,0.049374365911396684,0.07291666666666667,0.07336182336182336,0.02363112391930836,4.170587441334512,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
5,0.06515373352855051,0.07375886524822695,0.07801418439716312,0.04822695035460993,0.06181818181818182,0.06923076923076923,0.056,0.0,0.05970149253731343,0.12919896640826872,0.017777777777777778,0.0,0.0,0.11589403973509933,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.057692307692307696,0.06872294372294373,0.057212416311625075,0.06338028169014084,0.10290237467018469,0.08405379442843419,0.004615384615384616,3.999491813067636,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.07930893755951571,0.07546251217137293,0.08081791626095423,0.07448880233690361,0.08008213552361396,0.07876712328767123,0.08717948717948718,0.13846153846153847,0.24444444444444444,0.09523809523809523,0.13052631578947368,0.027160493827160494,0.0017421602787456446,0.009532888465204958,0.11847389558232932,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08176838810641628,0.07799791449426485,0.08359037631091919,0.06459249239093676,0.10503472222222222,0.0957977207977208,0.025936599423631124,3.91455696696506,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
6,0.09443631039531479,0.10070921985815603,0.11205673758865248,0.07375886524822695,0.08727272727272728,0.1,0.096,0.05,0.08955223880597014,0.17958656330749354,0.0,0.024096385542168676,0.0,0.17052980132450332,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05995475113122172,0.11093073593073594,0.08642726719415703,0.09014084507042254,0.13720316622691292,0.11575408261287223,0.026153846153846153,3.7390953499611093,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.11522241871854169,0.11879259980525804,0.12268743914313535,0.09931840311587146,0.11909650924024641,0.1095890410958904,0.11794871794871795,0.13846153846153847,0.2222222222222222,0.14285714285714285,0.18385964912280703,0.0,0.042682926829268296,0.0219256434699714,0.1680053547523427,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1255868544600939,0.10969760166840459,0.12338062924120913,0.09299966181941156,0.14930555555555555,0.13141025641025642,0.0628242074927954,3.6128583546642252,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
7,0.12884333821376281,0.12624113475177304,0.13900709219858157,0.09929078014184398,0.14909090909090908,0.2230769230769231,0.104,0.05,0.16417910447761194,0.27906976744186046,0.04,0.024096385542168676,0.041666666666666664,0.152317880794702,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10067873303167421,0.1423160173160173,0.10651247717589775,0.1591549295774648,0.16886543535620052,0.1575408261287224,0.036923076923076927,3.5523281963119393,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.15154400761801115,0.15822784810126583,0.1587147030185005,0.13631937682570594,0.15195071868583163,0.14383561643835616,0.11282051282051282,0.23076923076923078,0.26666666666666666,0.17142857142857143,0.2501754385964912,0.044444444444444446,0.037456445993031356,0.04194470924690181,0.18607764390896922,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1467136150234742,0.15411887382690304,0.1634793337446021,0.12343591477849171,0.19010416666666666,0.17930911680911682,0.061671469740634005,3.3678620833634456,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
8,0.14751098096632503,0.14893617021276595,0.16028368794326242,0.11914893617021277,0.16727272727272727,0.2153846153846154,0.128,0.05,0.14925373134328357,0.29069767441860467,0.03333333333333333,0.046686746987951805,0.004166666666666667,0.21688741721854304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10180995475113122,0.16937229437229437,0.1363359707851491,0.16056338028169015,0.17150395778364116,0.1786743515850144,0.047692307692307694,3.4132140174966255,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.18473677050741397,0.19133398247322297,0.18597857838364168,0.17575462512171372,0.19096509240246407,0.1780821917808219,0.12307692307692308,0.23076923076923078,0.4,0.19047619047619047,0.2985964912280702,0.04197530864197531,0.050522648083623695,0.02478551000953289,0.2603748326639893,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1928794992175274,0.18039624608967675,0.19401603948180135,0.16401758539059857,0.21180555555555555,0.21919515669515668,0.07319884726224783,3.223848249746527,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
9,0.1438506588579795,0.13900709219858157,0.15460992907801419,0.12624113475177304,0.1709090909090909,0.16923076923076924,0.136,0.05,0.14925373134328357,0.2751937984496124,0.015555555555555555,0.03313253012048193,0.008333333333333333,0.24668874172185432,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09615384615384616,0.16666666666666666,0.13085818624467438,0.1647887323943662,0.16094986807387862,0.1786743515850144,0.03230769230769231,3.35974999088494,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.1922187457488777,0.1937682570593963,0.1962025316455696,0.1830574488802337,0.19917864476386038,0.1780821917808219,0.15897435897435896,0.2153846153846154,0.4222222222222222,0.21904761904761905,0.29894736842105263,0.03580246913580247,0.04355400696864112,0.05052430886558627,0.28714859437751006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.20461658841940533,0.18561001042752867,0.2011104256631709,0.17720662833953332,0.20572916666666666,0.2256054131054131,0.08414985590778098,3.1579084441769187,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
10,0.15226939970717424,0.14609929078014183,0.15886524822695036,0.14184397163120568,0.16363636363636364,0.18461538461538463,0.168,0.05,0.14925373134328357,0.28036175710594313,0.024444444444444446,0.030120481927710843,0.0125,0.2731788079470199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10067873303167421,0.17694805194805194,0.1430310407790627,0.1619718309859155,0.1741424802110818,0.18924111431316043,0.033846153846153845,3.325605892332197,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.19738811046116175,0.19328140214216163,0.2005842259006816,0.19961051606621227,0.19301848049281314,0.1780821917808219,0.15384615384615385,0.24615384615384617,0.37777777777777777,0.21904761904761905,0.30912280701754385,0.043209876543209874,0.041811846689895474,0.04861773117254528,0.2918340026773762,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.20657276995305165,0.19249217935349322,0.20481184454040716,0.18430842069665201,0.21006944444444445,0.23237179487179488,0.08414985590778098,3.119323199078463,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
