epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d007,test_acc_device_id__d008,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d007,test_acc_lng_device_id__d008,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d007,test_n_device_id__d008,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.014037433155080214,0.014364640883977901,0.014364640883977901,0.014364640883977901,0.0,0.0,0.0,0.015384615384615385,0.0,0.027777777777777776,0.05585106382978723,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.026490066225165563,0.007235142118863049,0.004815409309791332,0.023521026372059873,0.008746355685131196,0.019390581717451522,0.0,4.682086720186121,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.020307431956000564,0.02319309600862999,0.022114347357065803,0.022114347357065803,0.011396011396011397,0.012437810945273632,0.017857142857142856,0.022222222222222223,0.0,0.05013927576601671,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.015107007973143098,0.022939677145284623,0.020060456169277274,0.018551236749116608,0.02441077441077441,0.026030368763557483,0.0,4.560756534333795,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
2,0.02072192513368984,0.020994475138121547,0.020994475138121547,0.019889502762430938,0.0,0.0,0.0,0.03076923076923077,0.0,0.05555555555555555,0.08244680851063829,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03784295175023652,0.011369509043927648,0.012038523274478331,0.029223093371347115,0.01749271137026239,0.028624192059095107,0.0,4.680189081691803,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.03074319560005641,0.02750809061488673,0.037756202804746494,0.03290183387270766,0.024216524216524215,0.022388059701492536,0.02857142857142857,0.044444444444444446,0.0,0.07590529247910864,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02308015107007973,0.03462192013593883,0.03160208848584776,0.02120141342756184,0.046296296296296294,0.03940708604483008,0.0,4.550445853596328,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
3,0.017045454545454544,0.017679558011049725,0.015469613259668509,0.015469613259668509,0.016666666666666666,0.0,0.025,0.015384615384615385,0.0,0.05555555555555555,0.061170212765957445,0.0,0.0,0.0,0.0071633237822349575,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.026490066225165563,0.011886304909560724,0.009630818619582664,0.022095509622238062,0.023323615160349854,0.023545706371191136,0.0,4.59037229976552,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.02665350444225074,0.02750809061488673,0.03128371089536138,0.024271844660194174,0.022792022792022793,0.029850746268656716,0.02142857142857143,0.022222222222222223,0.0,0.0644150417827298,0.0,0.0,0.0,0.002857142857142857,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.020562316407889216,0.029736618521665252,0.026930475405331136,0.02075971731448763,0.037037037037037035,0.033622559652928416,0.001924310455420141,4.489800595880782,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
4,0.04913101604278075,0.04419889502762431,0.045303867403314914,0.05303867403314917,0.016666666666666666,0.0,0.025,0.09230769230769231,0.05,0.125,0.12632978723404256,0.0,0.0,0.0,0.07449856733524356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06811731315042574,0.03875968992248062,0.040930979133226325,0.05630791161796151,0.04956268221574344,0.06371191135734072,0.010895883777239709,4.328502797825451,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.07248625017627978,0.07820927723840346,0.07820927723840346,0.0674217907227616,0.06552706552706553,0.06218905472636816,0.075,0.08888888888888889,0.03,0.14066852367688024,0.0,0.0,0.0,0.07857142857142857,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.060847671002937476,0.07837723024638912,0.07557021159659247,0.053003533568904596,0.10016835016835017,0.09002169197396963,0.010262989095574085,4.238054599635541,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
5,0.06049465240641711,0.06077348066298342,0.061878453038674036,0.057458563535911604,0.05,0.0,0.05,0.06153846153846154,0.15,0.08333333333333333,0.09308510638297872,0.0,0.003424657534246575,0.0,0.15616045845272206,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07757805108798486,0.05116279069767442,0.06179775280898876,0.047042052744119746,0.11078717201166181,0.06971375807940905,0.03631961259079903,4.038345459310766,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.08362713298547454,0.09169363538295577,0.09169363538295577,0.07281553398058252,0.07692307692307693,0.0945273631840796,0.05357142857142857,0.08888888888888889,0.07,0.1288300835654596,0.0,0.004885993485342019,0.0,0.155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07259756609315988,0.08920985556499575,0.08051662544655125,0.0719964664310954,0.11531986531986532,0.10140997830802603,0.02052597819114817,3.952791015211844,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
6,0.0962566844919786,0.09834254143646409,0.09392265193370165,0.08729281767955802,0.05,0.0,0.075,0.2,0.1,0.19444444444444445,0.1875,0.0,0.04794520547945205,0.0,0.17048710601719197,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12015137180700095,0.08320413436692506,0.09630818619582665,0.09123307198859587,0.11661807580174927,0.11126500461680518,0.05690072639225181,3.6983145647507936,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.13495980820758707,0.13592233009708737,0.14509169363538296,0.12351672060409924,0.13532763532763534,0.17164179104477612,0.09285714285714286,0.13333333333333333,0.11,0.21204735376044567,0.0,0.04560260586319218,0.0011723329425556857,0.20785714285714285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11078472513638271,0.14719626168224298,0.1313547677933498,0.11925795053003534,0.17592592592592593,0.15925524222704265,0.048749198203976905,3.5430502449738226,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
7,0.11229946524064172,0.10828729281767956,0.11602209944751381,0.09502762430939227,0.06666666666666667,0.0,0.1,0.24615384615384617,0.1,0.2916666666666667,0.23404255319148937,0.028735632183908046,0.039383561643835614,0.0,0.17478510028653296,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.13339640491958374,0.10077519379844961,0.10674157303370786,0.1104775481111903,0.13994169096209913,0.13342566943674977,0.05690072639225181,3.5387885761770974,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.15597235932872655,0.1634304207119741,0.16558791801510248,0.1429341963322546,0.15669515669515668,0.1691542288557214,0.12857142857142856,0.2222222222222222,0.07,0.26357938718662954,0.017615176151761516,0.03908794788273615,0.0,0.2057142857142857,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12673101133025597,0.1707731520815633,0.15278922780983786,0.142226148409894,0.1919191919191919,0.18655097613882862,0.04746632456703015,3.36741993454511,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
8,0.1266711229946524,0.11602209944751381,0.13149171270718232,0.11823204419889503,0.08333333333333333,0.0,0.125,0.23076923076923078,0.2,0.2638888888888889,0.26861702127659576,0.0038314176245210726,0.046232876712328765,0.0,0.21203438395415472,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.15894039735099338,0.10904392764857881,0.11316211878009631,0.1361368496079829,0.13702623906705538,0.14912280701754385,0.06779661016949153,3.4277044694053935,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.18079255394161614,0.1790722761596548,0.19741100323624594,0.16558791801510248,0.17806267806267806,0.208955223880597,0.15714285714285714,0.26666666666666666,0.12,0.298050139275766,0.0040650406504065045,0.046416938110749185,0.0,0.26142857142857145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.14813260595887537,0.19732370433305013,0.18301731244847486,0.16342756183745583,0.20707070707070707,0.21619667389732466,0.055163566388710714,3.2503454670753418,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
9,0.13068181818181818,0.12486187845303867,0.13149171270718232,0.11602209944751381,0.1,0.0,0.15,0.2153846153846154,0.3,0.3055555555555556,0.2752659574468085,0.01532567049808429,0.03424657534246575,0.0,0.22349570200573066,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1608325449385052,0.11421188630490955,0.10914927768860354,0.14468995010691377,0.15160349854227406,0.15650969529085873,0.06295399515738499,3.3842010906035886,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.18995910308842195,0.19093851132686085,0.20981661272923408,0.16936353829557713,0.18945868945868946,0.20149253731343283,0.175,0.37777777777777777,0.1,0.3161559888579387,0.013550135501355014,0.035830618892508145,0.0011723329425556857,0.2742857142857143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1594628619387327,0.2053950722175021,0.20005496015388843,0.1598939929328622,0.21632996632996632,0.22830802603036876,0.05388069275176395,3.1897272882769534,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
10,0.1413770053475936,0.13370165745856355,0.143646408839779,0.1281767955801105,0.1,0.0,0.15,0.2153846153846154,0.35,0.3194444444444444,0.3151595744680851,0.0210727969348659,0.032534246575342464,0.0045871559633027525,0.22063037249283668,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1759697256385998,0.12248062015503876,0.10914927768860354,0.1660727013542409,0.15743440233236153,0.16897506925207756,0.06900726392251816,3.344530034192743,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.20025384289945,0.19579288025889968,0.21952535059331177,0.18446601941747573,0.19943019943019943,0.20398009950248755,0.21071428571428572,0.3333333333333333,0.12,0.334958217270195,0.016260162601626018,0.03175895765472313,0.009378663540445486,0.285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1619806966009232,0.21962616822429906,0.20582577631217366,0.17226148409893993,0.23653198653198654,0.24078091106290672,0.05644644002565747,3.127919702902447,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
