epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.011900595029751488,0.011292346298619825,0.011292346298619825,0.012547051442910916,0.014150943396226415,0.013605442176870748,0.022222222222222223,0.0,0.03781979977753059,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01888888888888889,0.008686765457332652,0.017289073305670817,0.00827966881324747,0.0,0.015131286159323543,0.0,4.644076039251181,2857,797,797,797,212,147,45,62,899,504,404,428,622,900,1957,1446,1087,324,2247,610,0.013977304179352338,0.014780835881753314,0.0163098878695209,0.013251783893985729,0.00909090909090909,0.01090909090909091,0.007272727272727273,0.015384615384615385,0.015384615384615385,0.01818181818181818,0.03706422018348624,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010236220472440945,0.016005121638924456,0.011631288165164292,0.01317829457364341,0.02236951118475559,0.018528710328380115,0.0,4.5723550238505055,7226,1962,1962,1962,550,275,275,65,65,110,2725,756,1408,861,1476,2540,4686,3439,2580,1207,5451,1775
2,0.01295064753237662,0.012547051442910916,0.012547051442910916,0.013801756587202008,0.014150943396226415,0.013605442176870748,0.022222222222222223,0.0,0.041156840934371525,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.021111111111111112,0.009197751660705161,0.017980636237897647,0.010119595216191352,0.0,0.016466399643969738,0.0,4.638853677303006,2857,797,797,797,212,147,45,62,899,504,404,428,622,900,1957,1446,1087,324,2247,610,0.015637973982839747,0.0163098878695209,0.0163098878695209,0.01580020387359837,0.01090909090909091,0.01090909090909091,0.01090909090909091,0.015384615384615385,0.03076923076923077,0.02727272727272727,0.04146788990825688,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.012598425196850394,0.017285531370038413,0.013085199185809828,0.015116279069767442,0.024026512013256007,0.020730141258484682,0.0,4.55987994386455,7226,1962,1962,1962,550,275,275,65,65,110,2725,756,1408,861,1476,2540,4686,3439,2580,1207,5451,1775
3,0.028351417570878543,0.027603513174404015,0.027603513174404015,0.030112923462986198,0.02830188679245283,0.04081632653061224,0.022222222222222223,0.0,0.07563959955506118,0.0,0.0,0.0,0.02090032154340836,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04111111111111111,0.022483392948390392,0.035269709543568464,0.021159153633854646,0.021604938271604937,0.032932799287939477,0.011475409836065573,4.540325374423018,2857,797,797,797,212,147,45,62,899,504,404,428,622,900,1957,1446,1087,324,2247,610,0.03556601162468862,0.03720693170234455,0.03669724770642202,0.03618756371049949,0.023636363636363636,0.02909090909090909,0.025454545454545455,0.06153846153846154,0.06153846153846154,0.045454545454545456,0.07706422018348624,0.0,0.0,0.0,0.03184281842818428,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.026771653543307086,0.04033290653008963,0.030822913637685374,0.02945736434108527,0.06213753106876554,0.04623004953219593,0.0028169014084507044,4.4719694017737055,7226,1962,1962,1962,550,275,275,65,65,110,2725,756,1408,861,1476,2540,4686,3439,2580,1207,5451,1775
4,0.06335316765838292,0.06398996235884567,0.06273525721455459,0.05897114178168131,0.07547169811320754,0.08163265306122448,0.044444444444444446,0.04838709677419355,0.11345939933259176,0.0,0.009900990099009901,0.0,0.12057877813504823,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08222222222222222,0.054675523760858456,0.07883817427385892,0.04323827046918123,0.06172839506172839,0.07031597685803294,0.03770491803278689,4.1641989264990595,2857,797,797,797,212,147,45,62,899,504,404,428,622,900,1957,1446,1087,324,2247,610,0.07334624965402713,0.07900101936799185,0.07390417940876656,0.06931702344546381,0.07090909090909091,0.05090909090909091,0.06545454545454546,0.1076923076923077,0.1076923076923077,0.08181818181818182,0.11559633027522936,0.006613756613756613,0.009943181818181818,0.0,0.13279132791327913,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06771653543307087,0.07639778062313274,0.06280895609188718,0.07248062015503876,0.1052195526097763,0.09025866813428729,0.02140845070422535,4.086324071475023,7226,1962,1962,1962,550,275,275,65,65,110,2725,756,1408,861,1476,2540,4686,3439,2580,1207,5451,1775
5,0.09800490024501225,0.10163111668757842,0.09661229611041405,0.08657465495608532,0.1320754716981132,0.10204081632653061,0.08888888888888889,0.0967741935483871,0.17130144605116795,0.0,0.034653465346534656,0.0,0.18006430868167203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10666666666666667,0.09402146142054164,0.12240663900414937,0.06623735050597976,0.09567901234567901,0.10769915442812639,0.06229508196721312,3.8377747073388826,2857,797,797,797,212,147,45,62,899,504,404,428,622,900,1957,1446,1087,324,2247,610,0.10074730141156933,0.10091743119266056,0.11009174311926606,0.08511722731906218,0.09636363636363636,0.08,0.12,0.18461538461538463,0.16923076923076924,0.14545454545454545,0.1559633027522936,0.0,0.03551136363636364,0.0,0.1714092140921409,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08385826771653543,0.10990183525394794,0.09857516719976737,0.08372093023255814,0.14333057166528584,0.12071179600073381,0.03943661971830986,3.7541799621835428,7226,1962,1962,1962,550,275,275,65,65,110,2725,756,1408,861,1476,2540,4686,3439,2580,1207,5451,1775
6,0.11095554777738886,0.11292346298619825,0.11166875784190715,0.10163111668757842,0.12264150943396226,0.1292517006802721,0.15555555555555556,0.08064516129032258,0.18909899888765294,0.0,0.03217821782178218,0.007009345794392523,0.21061093247588425,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.13111111111111112,0.10168625447112928,0.13485477178423236,0.07911683532658693,0.1111111111111111,0.12194036493101913,0.07049180327868852,3.624688564750503,2857,797,797,797,212,147,45,62,899,504,404,428,622,900,1957,1446,1087,324,2247,610,0.1262109050650429,0.1218144750254842,0.1437308868501529,0.10805300713557595,0.12727272727272726,0.10909090909090909,0.13454545454545455,0.18461538461538463,0.16923076923076924,0.17272727272727273,0.20036697247706423,0.0,0.037642045454545456,0.0011614401858304297,0.21138211382113822,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1110236220472441,0.13444302176696543,0.1285257342250654,0.10813953488372093,0.15824357912178957,0.15336635479728492,0.0428169014084507,3.5334062700353432,7226,1962,1962,1962,550,275,275,65,65,110,2725,756,1408,861,1476,2540,4686,3439,2580,1207,5451,1775
7,0.1431571578578929,0.13801756587202008,0.14178168130489335,0.13174404015056462,0.19339622641509435,0.23809523809523808,0.044444444444444446,0.04838709677419355,0.24694104560622915,0.017857142857142856,0.04702970297029703,0.002336448598130841,0.2540192926045016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.17,0.1308124680633623,0.169432918395574,0.1140754369825207,0.12345679012345678,0.16154873164218958,0.07540983606557378,3.472341097523626,2857,797,797,797,212,147,45,62,899,504,404,428,622,900,1957,1446,1087,324,2247,610,0.1536119568225851,0.15902140672782875,0.16309887869520898,0.13608562691131498,0.14181818181818182,0.1781818181818182,0.11636363636363636,0.26153846153846155,0.15384615384615385,0.22727272727272727,0.24770642201834864,0.011904761904761904,0.056818181818181816,0.008130081300813009,0.22967479674796748,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11968503937007874,0.1720017072129748,0.14073858679848794,0.1434108527131783,0.212096106048053,0.1836360300862227,0.061408450704225355,3.3530912528630608,7226,1962,1962,1962,550,275,275,65,65,110,2725,756,1408,861,1476,2540,4686,3439,2580,1207,5451,1775
8,0.168008400420021,0.1618569636135508,0.16938519447929737,0.15558343789209536,0.2169811320754717,0.272108843537415,0.06666666666666667,0.04838709677419355,0.3003337041156841,0.017857142857142856,0.05198019801980198,0.016355140186915886,0.27813504823151125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.19333333333333333,0.15636177823198774,0.1970954356846473,0.13707451701931922,0.1419753086419753,0.18914107699154428,0.09016393442622951,3.345389168872506,2857,797,797,797,212,147,45,62,899,504,404,428,622,900,1957,1446,1087,324,2247,610,0.18059784112925548,0.17889908256880735,0.19418960244648317,0.16666666666666666,0.16,0.16,0.17454545454545456,0.27692307692307694,0.3076923076923077,0.2545454545454545,0.2961467889908257,0.015873015873015872,0.05752840909090909,0.006968641114982578,0.2703252032520325,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.16220472440944883,0.19056764831412717,0.16661820296597848,0.17829457364341086,0.22535211267605634,0.21849201981287836,0.06422535211267606,3.224423028147191,7226,1962,1962,1962,550,275,275,65,65,110,2725,756,1408,861,1476,2540,4686,3439,2580,1207,5451,1775
9,0.1792089604480224,0.17314930991217065,0.18193224592220827,0.1656210790464241,0.2358490566037736,0.2653061224489796,0.08888888888888889,0.06451612903225806,0.31590656284760843,0.005952380952380952,0.054455445544554455,0.035046728971962614,0.3022508038585209,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2111111111111111,0.16453755748594787,0.21715076071922546,0.13615455381784727,0.15432098765432098,0.20026702269692923,0.10163934426229508,3.2584416086038677,2857,797,797,797,212,147,45,62,899,504,404,428,622,900,1957,1446,1087,324,2247,610,0.1962358151120952,0.19724770642201836,0.2069317023445464,0.17737003058103976,0.19090909090909092,0.17454545454545456,0.18545454545454546,0.27692307692307694,0.3384615384615385,0.3,0.31339449541284403,0.003968253968253968,0.06605113636363637,0.03716608594657375,0.2953929539295393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.17165354330708663,0.2095603926589842,0.1831927886013376,0.1945736434108527,0.23695111847555925,0.23390203632361034,0.08056338028169015,3.14470442648644,7226,1962,1962,1962,550,275,275,65,65,110,2725,756,1408,861,1476,2540,4686,3439,2580,1207,5451,1775
10,0.20406020301015051,0.19071518193224593,0.21455457967377667,0.18444165621079048,0.2830188679245283,0.3129251700680272,0.06666666666666667,0.06451612903225806,0.3526140155728587,0.047619047619047616,0.06683168316831684,0.02570093457943925,0.3279742765273312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.24,0.18753193663771078,0.24412171507607192,0.16835326586936522,0.14506172839506173,0.2349799732977303,0.09016393442622951,3.187383740524917,2857,797,797,797,212,147,45,62,899,504,404,428,622,900,1957,1446,1087,324,2247,610,0.21270412399667865,0.22120285423037717,0.2217125382262997,0.18552497451580022,0.20545454545454545,0.21454545454545454,0.21454545454545454,0.24615384615384617,0.38461538461538464,0.2909090909090909,0.3460550458715596,0.03835978835978836,0.078125,0.032520325203252036,0.28929539295392953,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.18031496062992125,0.23026034997865985,0.1986042454201803,0.20891472868217054,0.2609776304888152,0.25279765180700786,0.0895774647887324,3.058951885984639,7226,1962,1962,1962,550,275,275,65,65,110,2725,756,1408,861,1476,2540,4686,3439,2580,1207,5451,1775
