epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d008,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d008,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d008,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.014275256222547585,0.01276595744680851,0.015602836879432624,0.015602836879432624,0.01090909090909091,0.015384615384615385,0.008,0.0,0.029850746268656716,0.050387596899224806,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013574660633484163,0.01461038961038961,0.012172854534388313,0.011267605633802818,0.029023746701846966,0.018731988472622477,0.0,4.658672885699293,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.015508094136852129,0.014605647517039922,0.016066212268743916,0.016553067185978577,0.012320328542094456,0.010273972602739725,0.015384615384615385,0.03076923076923077,0.044444444444444446,0.009523809523809525,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.015258215962441314,0.01564129301355579,0.016656384947563233,0.013189042948934731,0.018229166666666668,0.0202991452991453,0.0,4.579192911811531,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
2,0.011346998535871157,0.011347517730496455,0.011347517730496455,0.011347517730496455,0.01090909090909091,0.015384615384615385,0.008,0.0,0.014925373134328358,0.040051679586563305,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010180995475113122,0.011904761904761904,0.00852099817407182,0.011267605633802818,0.023746701846965697,0.014889529298751201,0.0,4.645212623071182,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.015508094136852129,0.016066212268743916,0.016066212268743916,0.016066212268743916,0.012320328542094456,0.010273972602739725,0.015384615384615385,0.015384615384615385,0.022222222222222223,0.009523809523809525,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016040688575899843,0.015224191866527632,0.016039481801357187,0.014203584714237404,0.017361111111111112,0.0202991452991453,0.0,4.579044521073876,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
3,0.013909224011713031,0.01276595744680851,0.01702127659574468,0.01276595744680851,0.014545454545454545,0.015384615384615385,0.008,0.0,0.014925373134328358,0.04909560723514212,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013574660633484163,0.01406926406926407,0.010955569080949483,0.011267605633802818,0.0316622691292876,0.01825168107588857,0.0,4.642582704870802,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.017412596925588355,0.01801363193768257,0.0189873417721519,0.017526777020447908,0.014373716632443531,0.010273972602739725,0.015384615384615385,0.015384615384615385,0.022222222222222223,0.009523809523809525,0.04491228070175438,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01643192488262911,0.017935349322210636,0.017890191239975324,0.014541765302671627,0.0234375,0.022792022792022793,0.0,4.575229753232978,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
4,0.021595900439238654,0.02269503546099291,0.018439716312056736,0.02553191489361702,0.01818181818181818,0.023076923076923078,0.008,0.0,0.04477611940298507,0.06718346253229975,0.0,0.0,0.0,0.011589403973509934,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.021493212669683258,0.021645021645021644,0.01399878271454656,0.029577464788732393,0.0395778364116095,0.028338136407300672,0.0,4.608890918826638,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.027207182696231805,0.028237585199610515,0.029211295034079845,0.030671859785783837,0.012320328542094456,0.017123287671232876,0.010256410256410256,0.03076923076923077,0.044444444444444446,0.01904761904761905,0.06596491228070175,0.0,0.0,0.0,0.008032128514056224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027777777777777776,0.026903023983315955,0.02652683528685996,0.024687182955698342,0.035590277777777776,0.03507834757834758,0.001729106628242075,4.544879280747304,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
5,0.03257686676427526,0.032624113475177303,0.03971631205673759,0.032624113475177303,0.02909090909090909,0.03076923076923077,0.016,0.0,0.014925373134328358,0.06589147286821706,0.0,0.0,0.0,0.06291390728476821,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.021493212669683258,0.03787878787878788,0.028606208155812538,0.03380281690140845,0.047493403693931395,0.04178674351585014,0.003076923076923077,4.368089064323012,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.045980138756631754,0.047224926971762414,0.04868549172346641,0.045764362220058426,0.03285420944558522,0.0410958904109589,0.035897435897435895,0.06153846153846154,0.08888888888888889,0.0380952380952381,0.08701754385964912,0.0,0.0,0.0,0.060240963855421686,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05242566510172144,0.042544316996871744,0.04256631708821715,0.045316198850186,0.057291666666666664,0.057158119658119656,0.009798270893371758,4.312961927612952,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
6,0.045021961932650074,0.04822695035460993,0.03971631205673759,0.05390070921985816,0.04,0.05384615384615385,0.016,0.0,0.04477611940298507,0.12144702842377261,0.03777777777777778,0.0,0.0,0.019867549668874173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04524886877828054,0.04491341991341991,0.03225806451612903,0.05211267605633803,0.0870712401055409,0.05859750240153699,0.0015384615384615385,4.2234960642601,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.048156713372330295,0.046251217137293084,0.05209347614410906,0.049172346640701074,0.03696098562628337,0.04452054794520548,0.046153846153846156,0.09230769230769231,0.022222222222222223,0.0380952380952381,0.10140350877192983,0.04814814814814815,0.0,0.0,0.01740294511378849,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.050078247261345854,0.04713242961418144,0.048118445404071564,0.04869800473452824,0.046875,0.062321937321937325,0.0023054755043227667,4.176974586525217,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
7,0.05710102489019034,0.06950354609929078,0.05531914893617021,0.05815602836879433,0.05090909090909091,0.03076923076923077,0.048,0.0,0.04477611940298507,0.12015503875968993,0.02666666666666667,0.0,0.0,0.08443708609271523,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.048642533936651584,0.061147186147186144,0.04686548995739501,0.061971830985915494,0.09234828496042216,0.07300672430355427,0.006153846153846154,4.105494508980658,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.07114678275064618,0.07546251217137293,0.07935735150925025,0.06669912366114898,0.055441478439425054,0.0547945205479452,0.05128205128205128,0.06153846153846154,0.1111111111111111,0.05714285714285714,0.11263157894736842,0.05308641975308642,0.0,0.0,0.10642570281124498,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07863849765258216,0.06715328467153285,0.0715607649599013,0.06763611768684477,0.07899305555555555,0.08742877492877493,0.018443804034582133,4.040754886731503,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
8,0.07174231332357248,0.08226950354609928,0.07092198581560284,0.06950354609929078,0.07636363636363637,0.06153846153846154,0.056,0.0,0.04477611940298507,0.13565891472868216,0.02,0.007530120481927711,0.0,0.12748344370860928,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06334841628959276,0.07575757575757576,0.06390748630553865,0.07323943661971831,0.10290237467018469,0.09029779058597502,0.012307692307692308,3.9693972586189146,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.08719902054142294,0.08909444985394352,0.08714703018500487,0.09006815968841285,0.07186858316221766,0.0684931506849315,0.07179487179487179,0.13846153846153847,0.1111111111111111,0.10476190476190476,0.1375438596491228,0.019753086419753086,0.013066202090592335,0.0,0.1459170013386881,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10172143974960876,0.0794577685088634,0.08482418260333127,0.08657423063916131,0.0954861111111111,0.10505698005698005,0.029394812680115272,3.8703589534746548,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
9,0.0808931185944363,0.08794326241134752,0.06524822695035461,0.09219858156028368,0.08727272727272728,0.07692307692307693,0.056,0.05,0.08955223880597014,0.16020671834625322,0.0044444444444444444,0.03162650602409638,0.004166666666666667,0.12086092715231789,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06108597285067873,0.09036796536796536,0.06755934266585514,0.08873239436619719,0.12401055408970976,0.09654178674351585,0.03076923076923077,3.8370888571788067,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.09944225275472725,0.09785783836416748,0.0949367088607595,0.10370009737098344,0.10061601642710473,0.10273972602739725,0.08205128205128205,0.12307692307692308,0.17777777777777778,0.10476190476190476,0.16912280701754387,0.014814814814814815,0.028745644599303136,0.005719733079122974,0.13253012048192772,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1056338028169014,0.09614181438998957,0.09962985811227637,0.09841055123435914,0.1015625,0.1176994301994302,0.040345821325648415,3.7061667112148857,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
10,0.08272327964860908,0.09219858156028368,0.06382978723404255,0.09219858156028368,0.09090909090909091,0.06153846153846154,0.096,0.05,0.07462686567164178,0.17054263565891473,0.02666666666666667,0.03765060240963856,0.0,0.09437086092715231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06900452488687783,0.08928571428571429,0.07425441265976872,0.08873239436619719,0.10817941952506596,0.0994236311239193,0.02923076923076923,3.733860982110176,2732,705,705,705,275,130,125,20,67,774,450,664,240,604,884,1848,1643,710,379,2082,650,0.11046116174670113,0.10467380720545277,0.1056475170399221,0.11684518013631938,0.1293634496919918,0.09931506849315068,0.08717948717948718,0.15384615384615385,0.15555555555555556,0.13333333333333333,0.18596491228070175,0.0345679012345679,0.04878048780487805,0.00667302192564347,0.1278447121820616,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11737089201877934,0.1067778936392075,0.11104256631708821,0.10787960771051741,0.1154513888888889,0.1306980056980057,0.044956772334293946,3.5755734963249046,7351,2054,2054,2054,487,292,195,65,45,105,2850,810,1148,1049,1494,2556,4795,3242,2957,1152,5616,1735
