epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.017077798861480076,0.018726591760299626,0.018726591760299626,0.018726591760299626,0.011204481792717087,0.00881057268722467,0.015384615384615385,0.022222222222222223,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02106969205834684,0.014522821576763486,0.011936339522546418,0.02459016393442623,0.0,0.02297872340425532,0.0,4.61124856889738,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.013292876751914463,0.013278855975485188,0.013278855975485188,0.013278855975485188,0.012345679012345678,0.015384615384615385,0.010526315789473684,0.015384615384615385,0.015384615384615385,0.015748031496062992,0.040457343887423045,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010879419764279238,0.014422057264050901,0.01450992004737933,0.006354970494779845,0.02162565249813572,0.01720269259536275,0.0,4.594844082293698,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
2,0.01739405439595193,0.018726591760299626,0.018726591760299626,0.018726591760299626,0.014005602240896359,0.00881057268722467,0.015384615384615385,0.022222222222222223,0.040740740740740744,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02188006482982172,0.014522821576763486,0.012599469496021221,0.02459016393442623,0.0,0.023404255319148935,0.0,4.611298707676115,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.013437364542696142,0.013278855975485188,0.013278855975485188,0.014300306435137897,0.012345679012345678,0.015384615384615385,0.010526315789473684,0.015384615384615385,0.015384615384615385,0.007874015748031496,0.040897097625329816,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.011332728921124207,0.014422057264050901,0.014806040864672786,0.006354970494779845,0.02162565249813572,0.017389678384442782,0.0,4.594684531932931,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
3,0.027830487033523088,0.02871410736579276,0.02871410736579276,0.026217228464419477,0.028011204481792718,0.030837004405286344,0.023076923076923078,0.022222222222222223,0.047407407407407405,0.0,0.0,0.0,0.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03079416531604538,0.025933609958506226,0.023872679045092837,0.030737704918032786,0.03684210526315789,0.03446808510638298,0.008620689655172414,4.6031389906012805,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.026730241294610605,0.029111338100102146,0.027579162410623085,0.026557711950970377,0.019753086419753086,0.015384615384615385,0.021052631578947368,0.03076923076923077,0.03076923076923077,0.023622047244094488,0.0505716798592788,0.0,0.0,0.0,0.04326328800988875,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024478694469628286,0.027783669141039236,0.02783535682558484,0.021334543803903767,0.03281133482475764,0.03328347045624533,0.004450095359186269,4.581976308658657,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
4,0.0290955091714105,0.031210986267166042,0.02746566791510612,0.02746566791510612,0.03081232492997199,0.030837004405286344,0.03076923076923077,0.022222222222222223,0.03851851851851852,0.0,0.0,0.0,0.08333333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03727714748784441,0.023858921161825725,0.02453580901856764,0.031420765027322405,0.04736842105263158,0.03531914893617021,0.011083743842364532,4.502350365037333,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.03178731397196937,0.03319713993871297,0.032175689479060264,0.031664964249233915,0.024691358024691357,0.03076923076923077,0.02631578947368421,0.046153846153846156,0.046153846153846156,0.023622047244094488,0.04353562005277045,0.0,0.0,0.0,0.07478368355995056,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.028105167724388033,0.03351007423117709,0.03286941071957358,0.02723558783477077,0.036539895600298286,0.0381451009723261,0.010171646535282899,4.463696860523001,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
5,0.041429475015812775,0.049937578027465665,0.04369538077403246,0.04244694132334582,0.03081232492997199,0.01762114537444934,0.038461538461538464,0.044444444444444446,0.08296296296296296,0.0,0.007177033492822967,0.0,0.03333333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.050243111831442464,0.03578838174273859,0.029177718832891247,0.05669398907103825,0.021052631578947368,0.05276595744680851,0.008620689655172414,4.301369818458823,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.042334922699031934,0.03983656792645557,0.03881511746680286,0.045454545454545456,0.05185185185185185,0.05641025641025641,0.04736842105263158,0.046153846153846156,0.03076923076923077,0.031496062992125984,0.09454705364995603,0.0,0.015781922525107604,0.0,0.034610630407911,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.038077969174977334,0.04432661717921527,0.04501036422860527,0.030866999546073536,0.054436987322893364,0.05179506357516829,0.010171646535282899,4.253794868115382,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
6,0.04206198608475648,0.04119850187265917,0.0449438202247191,0.04119850187265917,0.0392156862745098,0.04405286343612335,0.038461538461538464,0.044444444444444446,0.0674074074074074,0.0,0.0,0.0,0.0875,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05753646677471637,0.032157676348547715,0.034482758620689655,0.0471311475409836,0.06315789473684211,0.05148936170212766,0.014778325123152709,4.213505068736164,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.045947117468573904,0.049029622063329927,0.04341164453524004,0.04851889683350358,0.0345679012345679,0.05128205128205128,0.02631578947368421,0.06153846153846154,0.06153846153846154,0.03937007874015748,0.07563764291996482,0.0,0.0,0.0,0.09023485784919653,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04079782411604715,0.048356309650053025,0.04915605567071365,0.03767589650476623,0.05145413870246085,0.05646970830216903,0.010171646535282899,4.155381362401342,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
7,0.056925996204933584,0.05867665418227216,0.05742821473158552,0.05493133583021224,0.05042016806722689,0.06607929515418502,0.05384615384615385,0.06666666666666667,0.08888888888888889,0.015625,0.0,0.0,0.1125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0713128038897893,0.04771784232365145,0.04442970822281167,0.0662568306010929,0.08421052631578947,0.06978723404255319,0.019704433497536946,4.137367996515012,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.05620575061407311,0.05720122574055159,0.054136874361593465,0.05822267620020429,0.05185185185185185,0.06153846153846154,0.03684210526315789,0.07692307692307693,0.06153846153846154,0.06299212598425197,0.10026385224274406,0.01141552511415525,0.0,0.0,0.09332509270704574,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0557570262919311,0.05641569459172852,0.059816405093278055,0.051747616886064454,0.054436987322893364,0.07068062827225131,0.006993006993006993,4.07904790870855,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
8,0.068943706514864,0.08364544319600499,0.05493133583021224,0.06741573033707865,0.06442577030812324,0.07488986784140969,0.06923076923076923,0.08888888888888889,0.10074074074074074,0.0,0.0,0.0,0.17083333333333334,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09076175040518639,0.054979253112033194,0.05305039787798409,0.07923497267759563,0.11578947368421053,0.08340425531914894,0.027093596059113302,4.086001729754087,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.06386360352550209,0.06281920326864147,0.06435137895812053,0.06384065372829417,0.05185185185185185,0.05641025641025641,0.05263157894736842,0.12307692307692308,0.09230769230769231,0.09448818897637795,0.08619173262972735,0.0,0.0014347202295552368,0.0,0.1508034610630408,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.061650045330915684,0.06489925768822906,0.06899615042937518,0.05764866091693146,0.061148396718866516,0.07741211667913239,0.017800381436745075,4.0247959356882586,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
9,0.07685009487666034,0.08114856429463171,0.06741573033707865,0.07740324594257178,0.0700280112044818,0.09691629955947137,0.08461538461538462,0.08888888888888889,0.12,0.0026041666666666665,0.03827751196172249,0.0,0.13333333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08833063209076175,0.06950207468879668,0.0636604774535809,0.0860655737704918,0.11052631578947368,0.0902127659574468,0.038177339901477834,4.007773035617662,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.07860135818523335,0.07916241062308478,0.0755873340143003,0.07865168539325842,0.07160493827160494,0.07692307692307693,0.08947368421052632,0.1076923076923077,0.09230769230769231,0.10236220472440945,0.1297273526824978,0.00228310502283105,0.040172166427546625,0.0,0.1180469715698393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08114233907524931,0.07741251325556733,0.0849866745632218,0.06445755787562416,0.08575689783743475,0.09218399401645475,0.03242212333121424,3.9481167307549034,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
10,0.09392789373814042,0.09737827715355805,0.08239700374531835,0.1111111111111111,0.07282913165266107,0.1013215859030837,0.06923076923076923,0.13333333333333333,0.13185185185185186,0.0234375,0.050239234449760764,0.0,0.18541666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11507293354943274,0.0803941908713693,0.07625994694960213,0.10382513661202186,0.15789473684210525,0.10638297872340426,0.05788177339901478,3.8996298281472366,3162,801,801,801,357,227,130,45,1350,384,418,530,480,1234,1928,1508,1464,190,2350,812,0.09276116168183789,0.09244126659856997,0.09141981613891727,0.09193054136874361,0.10123456790123457,0.1076923076923077,0.06842105263157895,0.12307692307692308,0.1076923076923077,0.09448818897637795,0.13412489006156553,0.02511415525114155,0.047345767575322814,0.0,0.15389369592089,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0883952855847688,0.09480381760339343,0.10008883624518804,0.07852927825692238,0.0976882923191648,0.10770381451009724,0.04195804195804196,3.841481742754163,6921,1958,1958,1958,405,195,190,65,65,127,2274,876,1394,759,1618,2206,4715,3377,2203,1341,5348,1573
