epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d007,test_acc_device_id__d008,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d007,test_acc_lng_device_id__d008,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d007,test_n_device_id__d008,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.010026737967914439,0.009944751381215469,0.009944751381215469,0.009944751381215469,0.0,0.0,0.0,0.015384615384615385,0.0,0.027777777777777776,0.0398936170212766,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.017975402081362345,0.005684754521963824,0.004815409309791332,0.01496792587312901,0.008746355685131196,0.013850415512465374,0.0,4.685981301700368,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.016217740798194893,0.017259978425026967,0.017259978425026967,0.017259978425026967,0.01282051282051282,0.012437810945273632,0.014285714285714285,0.022222222222222223,0.0,0.04004178272980501,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013008812421317666,0.01784197111299915,0.016488046166529265,0.012809187279151944,0.021885521885521887,0.020788141720896602,0.0,4.562870686791576,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
2,0.010026737967914439,0.009944751381215469,0.009944751381215469,0.009944751381215469,0.0,0.0,0.0,0.015384615384615385,0.0,0.027777777777777776,0.0398936170212766,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.017975402081362345,0.005684754521963824,0.004815409309791332,0.01496792587312901,0.008746355685131196,0.013850415512465374,0.0,4.686483454576788,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.016217740798194893,0.017259978425026967,0.017259978425026967,0.017259978425026967,0.01282051282051282,0.012437810945273632,0.014285714285714285,0.022222222222222223,0.0,0.04004178272980501,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013008812421317666,0.01784197111299915,0.016488046166529265,0.012809187279151944,0.021885521885521887,0.020788141720896602,0.0,4.5598162951111005,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
3,0.009692513368983958,0.009944751381215469,0.009944751381215469,0.009944751381215469,0.0,0.0,0.0,0.015384615384615385,0.0,0.013888888888888888,0.03856382978723404,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01608325449385052,0.006201550387596899,0.0032102728731942215,0.01496792587312901,0.011661807580174927,0.013388734995383195,0.0,4.675847670611213,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.017345931462417148,0.017259978425026967,0.018338727076591153,0.018338727076591153,0.01566951566951567,0.017412935323383085,0.014285714285714285,0.022222222222222223,0.0,0.042827298050139274,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01258917331095258,0.0197536108751062,0.017587249244297883,0.012367491166077738,0.026094276094276093,0.022234273318872018,0.0,4.557599352942991,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
4,0.02606951871657754,0.02541436464088398,0.026519337016574586,0.02541436464088398,0.0,0.0,0.0,0.06153846153846154,0.0,0.05555555555555555,0.10372340425531915,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.048249763481551564,0.013953488372093023,0.012841091492776886,0.03848895224518888,0.023323615160349854,0.036011080332409975,0.0,4.65274064171123,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.037794387251445495,0.038834951456310676,0.04692556634304207,0.036677454153182305,0.027065527065527065,0.02736318407960199,0.02857142857142857,0.06666666666666667,0.0,0.09331476323119778,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.029374737725556023,0.04205607476635514,0.039296510030228084,0.024734982332155476,0.05808080808080808,0.04844540853217643,0.0,4.536130058128261,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
5,0.034759358288770054,0.03756906077348066,0.03535911602209945,0.03314917127071823,0.016666666666666666,0.0,0.025,0.046153846153846156,0.05,0.027777777777777776,0.07180851063829788,0.0,0.0,0.0,0.07163323782234957,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05771050141911069,0.022222222222222223,0.028892455858747994,0.03991446899501069,0.03498542274052478,0.043859649122807015,0.010895883777239709,4.443436688917844,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.043576364405584544,0.04638619201725998,0.043689320388349516,0.04692556634304207,0.03561253561253561,0.03980099502487562,0.03571428571428571,0.044444444444444446,0.02,0.06894150417827298,0.0,0.0,0.0,0.07928571428571428,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.038187159043222826,0.04630416312659303,0.04451772464962902,0.04107773851590106,0.045454545454545456,0.05350686912509038,0.008338678640153944,4.357662934171617,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
6,0.046122994652406414,0.04640883977900553,0.041988950276243095,0.05082872928176796,0.016666666666666666,0.0,0.0,0.06153846153846154,0.0,0.09722222222222222,0.12101063829787234,0.009578544061302681,0.0,0.0,0.06017191977077364,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06244087038789026,0.037209302325581395,0.033707865168539325,0.05630791161796151,0.04956268221574344,0.06001846722068329,0.009685230024213076,4.231131854541799,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.0593710337046961,0.06364617044228695,0.06796116504854369,0.05016181229773463,0.05698005698005698,0.04975124378109453,0.06428571428571428,0.1111111111111111,0.01,0.11142061281337047,0.013550135501355014,0.0,0.0,0.065,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.051195971464540496,0.0635089209855565,0.06237977466336906,0.04946996466431095,0.06902356902356903,0.07447577729573392,0.005772931366260423,4.169018888655073,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
7,0.047459893048128345,0.049723756906077346,0.03756906077348066,0.055248618784530384,0.0,0.0,0.0,0.06153846153846154,0.05,0.1111111111111111,0.1196808510638298,0.019157088122605363,0.0,0.0,0.06017191977077364,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06717123935666983,0.03669250645994832,0.03210272873194221,0.05915894511760513,0.05539358600583091,0.060480147737765465,0.013317191283292978,4.14714225728244,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.06289662953039063,0.07119741100323625,0.06202804746494067,0.0668824163969795,0.05270655270655271,0.04228855721393035,0.060714285714285714,0.06666666666666667,0.01,0.11525069637883008,0.02168021680216802,0.0,0.0,0.07071428571428572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.061686949223667645,0.0635089209855565,0.06128057158560044,0.06007067137809187,0.07323232323232323,0.0784526391901663,0.007697241821680564,4.036649239986206,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
8,0.06584224598930481,0.06519337016574586,0.056353591160221,0.06961325966850829,0.03333333333333333,0.0,0.05,0.1076923076923077,0.15,0.1388888888888889,0.1529255319148936,0.0,0.008561643835616438,0.0,0.11031518624641834,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09176915799432356,0.05167958656330749,0.051364365971107544,0.07412687099073414,0.08454810495626822,0.07940904893813482,0.03026634382566586,4.04580672157002,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.08447327598364124,0.09331175836030205,0.08468176914778856,0.08522114347357065,0.06837606837606838,0.07711442786069651,0.08571428571428572,0.08888888888888889,0.04,0.149025069637883,0.0,0.011400651465798045,0.0,0.11214285714285714,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08476710029374737,0.08432455395072218,0.0802418246771091,0.08789752650176678,0.09090909090909091,0.10357917570498916,0.01667735728030789,3.908231030228679,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
9,0.07085561497326204,0.08287292817679558,0.05303867403314917,0.07845303867403315,0.0,0.0,0.0,0.13846153846153847,0.05,0.1111111111111111,0.15691489361702127,0.01532567049808429,0.030821917808219176,0.0,0.09742120343839542,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09366130558183539,0.05839793281653747,0.05778491171749599,0.08196721311475409,0.0728862973760933,0.08448753462603878,0.035108958837772396,3.9253717514282878,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.09307572979833592,0.09816612729234088,0.09870550161812297,0.09439050701186623,0.07407407407407407,0.06965174129353234,0.10714285714285714,0.08888888888888889,0.06,0.16469359331476324,0.02168021680216802,0.02035830618892508,0.0,0.10428571428571429,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08770457406630298,0.09579439252336448,0.08766144545204727,0.09275618374558305,0.11026936026936027,0.11370209689081706,0.019884541372674792,3.755069317896365,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
10,0.07820855614973261,0.08287292817679558,0.06077348066298342,0.0861878453038674,0.03333333333333333,0.0,0.05,0.16923076923076924,0.15,0.1111111111111111,0.1502659574468085,0.0038314176245210726,0.046232876712328765,0.0,0.1318051575931232,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09744560075685904,0.06770025839793281,0.07303370786516854,0.08267997148966501,0.07871720116618076,0.08956602031394276,0.048426150121065374,3.8205622300744695,2992,905,905,905,60,20,40,65,20,72,752,522,584,436,698,1057,1935,1246,1403,343,2166,826,0.1070370892680863,0.10679611650485436,0.10841423948220065,0.11380798274002157,0.09544159544159544,0.1044776119402985,0.10357142857142858,0.1111111111111111,0.06,0.17653203342618384,0.0013550135501355014,0.039902280130293157,0.0,0.1442857142857143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10155266470835082,0.10981308411214953,0.10112668315471283,0.10998233215547704,0.11952861952861953,0.1265365148228489,0.03784477228992944,3.6390561787168596,7091,1854,1854,1854,702,402,280,45,100,2872,738,1228,853,1400,2383,4708,3639,2264,1188,5532,1559
