epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d008,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d008,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d008,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.01705237515225335,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.01875,0.025,0.0125,0.05,0.0,0.0,0.052830188679245285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018461538461538463,0.016129032258064516,0.015250544662309368,0.011764705882352941,0.037383177570093455,0.029239766081871343,0.008350730688935281,4.323065289626313,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.02333427045262862,0.026106696935300794,0.026106696935300794,0.026106696935300794,0.015915119363395226,0.013824884792626729,0.014285714285714285,0.025,0.0,0.016666666666666666,0.0,0.0,0.05293367346938776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024669603524229075,0.022708505367464906,0.022556390977443608,0.022709475332811275,0.028708133971291867,0.03333333333333333,0.008409250175192713,4.2958759246731795,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
2,0.01705237515225335,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.01875,0.025,0.0125,0.05,0.0,0.0,0.052830188679245285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018461538461538463,0.016129032258064516,0.015250544662309368,0.011764705882352941,0.037383177570093455,0.029239766081871343,0.008350730688935281,4.150213894396839,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.02333427045262862,0.026106696935300794,0.026106696935300794,0.026106696935300794,0.015915119363395226,0.013824884792626729,0.014285714285714285,0.025,0.0,0.016666666666666666,0.0,0.0,0.05293367346938776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024669603524229075,0.022708505367464906,0.022556390977443608,0.022709475332811275,0.028708133971291867,0.03333333333333333,0.008409250175192713,4.083055583620326,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
3,0.01705237515225335,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.01875,0.025,0.0125,0.05,0.0,0.0,0.052830188679245285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018461538461538463,0.016129032258064516,0.015250544662309368,0.011764705882352941,0.037383177570093455,0.029239766081871343,0.008350730688935281,4.108286180391672,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.02333427045262862,0.026106696935300794,0.026106696935300794,0.026106696935300794,0.015915119363395226,0.013824884792626729,0.014285714285714285,0.025,0.0,0.016666666666666666,0.0,0.0,0.05293367346938776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024669603524229075,0.022708505367464906,0.022556390977443608,0.022709475332811275,0.028708133971291867,0.03333333333333333,0.008409250175192713,4.080576736068404,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
4,0.01705237515225335,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.01875,0.025,0.0125,0.05,0.0,0.0,0.052830188679245285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018461538461538463,0.016129032258064516,0.015250544662309368,0.011764705882352941,0.037383177570093455,0.029239766081871343,0.008350730688935281,4.110623432861031,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.02333427045262862,0.026106696935300794,0.026106696935300794,0.026106696935300794,0.015915119363395226,0.013824884792626729,0.014285714285714285,0.025,0.0,0.016666666666666666,0.0,0.0,0.05293367346938776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024669603524229075,0.022708505367464906,0.022556390977443608,0.022709475332811275,0.028708133971291867,0.03333333333333333,0.008409250175192713,4.074924266301483,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
5,0.01705237515225335,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.01875,0.025,0.0125,0.05,0.0,0.0,0.052830188679245285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018461538461538463,0.016129032258064516,0.015250544662309368,0.011764705882352941,0.037383177570093455,0.029239766081871343,0.008350730688935281,4.114775719218655,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.02333427045262862,0.026106696935300794,0.026106696935300794,0.026106696935300794,0.015915119363395226,0.013824884792626729,0.014285714285714285,0.025,0.0,0.016666666666666666,0.0,0.0,0.05293367346938776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024669603524229075,0.022708505367464906,0.022556390977443608,0.022709475332811275,0.028708133971291867,0.03333333333333333,0.008409250175192713,4.064493346086941,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
6,0.018270401948842874,0.016129032258064516,0.016129032258064516,0.018433179723502304,0.025,0.025,0.0125,0.05,0.0,0.0,0.05660377358490566,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02,0.017137096774193547,0.016339869281045753,0.011764705882352941,0.04205607476635514,0.03070175438596491,0.009394572025052192,4.109484896735355,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.023615406241214505,0.026106696935300794,0.026106696935300794,0.02724177071509648,0.015915119363395226,0.013824884792626729,0.014285714285714285,0.025,0.0,0.016666666666666666,0.0,0.0,0.05357142857142857,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02555066079295154,0.022708505367464906,0.02309344790547798,0.022709475332811275,0.028708133971291867,0.03380281690140845,0.008409250175192713,4.060848910653728,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
7,0.0341047503045067,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0375,0.05,0.025,0.1,0.0,0.0,0.10566037735849057,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.036923076923076927,0.03225806451612903,0.030501089324618737,0.023529411764705882,0.07476635514018691,0.05847953216374269,0.016701461377870562,4.101464126345301,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.044419454596570145,0.04880817253121453,0.049943246311010214,0.0510783200908059,0.026525198938992044,0.027649769585253458,0.02857142857142857,0.05,0.0,0.03333333333333333,0.0,0.0,0.10076530612244898,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04933920704845815,0.042113955408753095,0.043501611170784105,0.04541895066562255,0.045454545454545456,0.06525821596244132,0.013314646110721794,4.0604436454526285,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
8,0.026187576126674786,0.02304147465437788,0.02304147465437788,0.02304147465437788,0.0375,0.05,0.025,0.05,0.0,0.0,0.08113207547169811,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03076923076923077,0.023185483870967742,0.026143790849673203,0.01764705882352941,0.04672897196261682,0.04824561403508772,0.010438413361169102,4.099084387162426,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.03008152937868991,0.03518728717366629,0.032917139614074914,0.0340522133938706,0.01856763925729443,0.018433179723502304,0.014285714285714285,0.025,0.0,0.025,0.0,0.0,0.06823979591836735,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03259911894273128,0.028901734104046242,0.03329752953813104,0.025841816758026624,0.028708133971291867,0.04460093896713615,0.008409250175192713,4.05794183893555,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
9,0.021315468940316686,0.020737327188940093,0.018433179723502304,0.018433179723502304,0.03125,0.025,0.025,0.05,0.0,0.0,0.0660377358490566,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024615384615384615,0.019153225806451613,0.020697167755991286,0.013725490196078431,0.04205607476635514,0.038011695906432746,0.009394572025052192,4.0960423124547995,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.025583356761315717,0.029511918274687854,0.028376844494892167,0.028376844494892167,0.01856763925729443,0.013824884792626729,0.014285714285714285,0.025,0.0,0.016666666666666666,0.0,0.0,0.05803571428571429,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.028193832599118944,0.02436003303055326,0.022556390977443608,0.02427564604541895,0.0430622009569378,0.03427230046948357,0.012613875262789068,4.050792163230074,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
10,0.01705237515225335,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.01875,0.025,0.0125,0.05,0.0,0.0,0.052830188679245285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018461538461538463,0.016129032258064516,0.015250544662309368,0.011764705882352941,0.037383177570093455,0.029239766081871343,0.008350730688935281,4.085055315247697,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.02333427045262862,0.026106696935300794,0.026106696935300794,0.026106696935300794,0.015915119363395226,0.013824884792626729,0.014285714285714285,0.025,0.0,0.016666666666666666,0.0,0.0,0.05293367346938776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024669603524229075,0.022708505367464906,0.022556390977443608,0.022709475332811275,0.028708133971291867,0.03333333333333333,0.008409250175192713,4.038160888740512,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
