epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d008,test_acc_device_id__d009,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d008,test_acc_lng_device_id__d009,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d008,test_n_device_id__d009,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.019455252918287938,0.01832460732984293,0.01832460732984293,0.01832460732984293,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027960526315789474,0.013918629550321198,0.02530120481927711,0.01618705035971223,0.0,0.03171247357293869,0.0,4.239889353938913,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.022149302707136997,0.02465166130760986,0.02465166130760986,0.02465166130760986,0.013927576601671309,0.016736401673640166,0.008333333333333333,0.025,0.0,0.0125,0.0,0.0,0.053219448094612355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01954120645709431,0.02338709677419355,0.017948717948717947,0.021121039805036556,0.04201680672268908,0.032655246252676656,0.011179429849077696,4.233848941042543,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
2,0.019455252918287938,0.01832460732984293,0.01832460732984293,0.01832460732984293,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027960526315789474,0.013918629550321198,0.02530120481927711,0.01618705035971223,0.0,0.03171247357293869,0.0,4.106083554516506,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.022149302707136997,0.02465166130760986,0.02465166130760986,0.02465166130760986,0.013927576601671309,0.016736401673640166,0.008333333333333333,0.025,0.0,0.0125,0.0,0.0,0.053219448094612355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01954120645709431,0.02338709677419355,0.017948717948717947,0.021121039805036556,0.04201680672268908,0.032655246252676656,0.011179429849077696,4.0804368838737135,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
3,0.019455252918287938,0.01832460732984293,0.01832460732984293,0.01832460732984293,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027960526315789474,0.013918629550321198,0.02530120481927711,0.01618705035971223,0.0,0.03171247357293869,0.0,4.1030022674342845,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.022149302707136997,0.02465166130760986,0.02465166130760986,0.02465166130760986,0.013927576601671309,0.016736401673640166,0.008333333333333333,0.025,0.0,0.0125,0.0,0.0,0.053219448094612355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01954120645709431,0.02338709677419355,0.017948717948717947,0.021121039805036556,0.04201680672268908,0.032655246252676656,0.011179429849077696,4.090636272393911,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
4,0.019455252918287938,0.01832460732984293,0.01832460732984293,0.01832460732984293,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027960526315789474,0.013918629550321198,0.02530120481927711,0.01618705035971223,0.0,0.03171247357293869,0.0,4.090719386297441,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.027071369975389663,0.031082529474812434,0.03215434083601286,0.028938906752411574,0.013927576601671309,0.016736401673640166,0.016666666666666666,0.025,0.0,0.0125,0.0,0.0,0.06504599211563732,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0237892948173322,0.028629032258064516,0.02,0.02924451665312754,0.05042016806722689,0.04014989293361884,0.013415315818893237,4.080318685630191,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
5,0.019455252918287938,0.01832460732984293,0.01832460732984293,0.01832460732984293,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027960526315789474,0.013918629550321198,0.02530120481927711,0.01618705035971223,0.0,0.03171247357293869,0.0,4.082849950332741,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.02242275088870659,0.02465166130760986,0.02572347266881029,0.02465166130760986,0.013927576601671309,0.016736401673640166,0.008333333333333333,0.025,0.0,0.0125,0.0,0.0,0.05387647831800263,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01954120645709431,0.02379032258064516,0.017948717948717947,0.021933387489845652,0.04201680672268908,0.033190578158458245,0.011179429849077696,4.069848961604564,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
6,0.03761348897535668,0.03664921465968586,0.03664921465968586,0.03664921465968586,0.033707865168539325,0.034482758620689655,0.04,0.1,0.05,0.0,0.0,0.10069444444444445,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.054276315789473686,0.02676659528907923,0.04819277108433735,0.03237410071942446,0.0,0.0613107822410148,0.0,4.082834734836286,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.04183757178014766,0.04608788853161844,0.04715969989281887,0.04715969989281887,0.025069637883008356,0.029288702928870293,0.016666666666666666,0.05,0.0,0.025,0.0,0.0,0.10052562417871222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03908241291418862,0.04314516129032258,0.03435897435897436,0.04224207961007311,0.07142857142857142,0.06370449678800856,0.019005030743432086,4.068033812441786,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
7,0.029831387808041506,0.031413612565445025,0.028795811518324606,0.031413612565445025,0.028089887640449437,0.034482758620689655,0.02,0.05,0.025,0.0,0.0,0.0798611111111111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04111842105263158,0.022483940042826552,0.04096385542168675,0.02158273381294964,0.0,0.048625792811839326,0.0,4.080589682830138,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.03171998906207274,0.03429796355841372,0.03215434083601286,0.03965702036441586,0.019498607242339833,0.02510460251046025,0.008333333333333333,0.025,0.0,0.025,0.0,0.0,0.07621550591327202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027187765505522515,0.03387096774193549,0.024615384615384615,0.02924451665312754,0.06722689075630252,0.044967880085653104,0.017887087758524316,4.064738581602385,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
8,0.019455252918287938,0.01832460732984293,0.01832460732984293,0.01832460732984293,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027960526315789474,0.013918629550321198,0.02530120481927711,0.01618705035971223,0.0,0.03171247357293869,0.0,4.066530979715587,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.023243095433415368,0.02679528403001072,0.02465166130760986,0.02465166130760986,0.016713091922005572,0.02092050209205021,0.008333333333333333,0.025,0.0,0.0125,0.0,0.0,0.05584756898817345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.020390824129141887,0.024596774193548387,0.018461538461538463,0.021121039805036556,0.04831932773109244,0.033190578158458245,0.012856344326439352,4.049582018498876,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
9,0.020752269779507133,0.020942408376963352,0.020942408376963352,0.01832460732984293,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.05555555555555555,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03125,0.013918629550321198,0.027710843373493974,0.01618705035971223,0.0,0.03382663847780127,0.0,4.032862167259444,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.025157232704402517,0.027867095391211148,0.027867095391211148,0.027867095391211148,0.016713091922005572,0.02092050209205021,0.008333333333333333,0.025,0.0,0.0125,0.0,0.0,0.06044678055190539,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.021240441801189464,0.027016129032258064,0.019487179487179488,0.025182778229082048,0.04831932773109244,0.03693790149892934,0.012856344326439352,4.014775381278627,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
10,0.05512321660181582,0.05759162303664921,0.05759162303664921,0.0549738219895288,0.05056179775280899,0.05172413793103448,0.04,0.1,0.05,0.0,0.0,0.14756944444444445,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07730263157894737,0.04068522483940043,0.06626506024096386,0.0539568345323741,0.0,0.08985200845665962,0.0,3.927403322608245,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.05550998085862729,0.06216505894962487,0.05787781350482315,0.06216505894962487,0.03899721448467967,0.0502092050209205,0.016666666666666666,0.05,0.0,0.0375,0.0,0.0,0.133377135348226,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0475785896346644,0.059274193548387095,0.045641025641025644,0.04955320877335499,0.11134453781512606,0.08029978586723768,0.029625489100055896,3.905855190828911,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
