epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d008,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d008,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d008,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.01705237515225335,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.01875,0.025,0.0125,0.05,0.0,0.0,0.052830188679245285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018461538461538463,0.016129032258064516,0.015250544662309368,0.011764705882352941,0.037383177570093455,0.029239766081871343,0.008350730688935281,4.322980446298578,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.02333427045262862,0.026106696935300794,0.026106696935300794,0.026106696935300794,0.015915119363395226,0.013824884792626729,0.014285714285714285,0.025,0.0,0.016666666666666666,0.0,0.0,0.05293367346938776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024669603524229075,0.022708505367464906,0.022556390977443608,0.022709475332811275,0.028708133971291867,0.03333333333333333,0.008409250175192713,4.295906605263389,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
2,0.01705237515225335,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.01875,0.025,0.0125,0.05,0.0,0.0,0.052830188679245285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018461538461538463,0.016129032258064516,0.015250544662309368,0.011764705882352941,0.037383177570093455,0.029239766081871343,0.008350730688935281,4.150077866288254,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.02333427045262862,0.026106696935300794,0.026106696935300794,0.026106696935300794,0.015915119363395226,0.013824884792626729,0.014285714285714285,0.025,0.0,0.016666666666666666,0.0,0.0,0.05293367346938776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024669603524229075,0.022708505367464906,0.022556390977443608,0.022709475332811275,0.028708133971291867,0.03333333333333333,0.008409250175192713,4.0831074386223465,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
3,0.01705237515225335,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.01875,0.025,0.0125,0.05,0.0,0.0,0.052830188679245285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018461538461538463,0.016129032258064516,0.015250544662309368,0.011764705882352941,0.037383177570093455,0.029239766081871343,0.008350730688935281,4.108129596594045,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.02333427045262862,0.026106696935300794,0.026106696935300794,0.026106696935300794,0.015915119363395226,0.013824884792626729,0.014285714285714285,0.025,0.0,0.016666666666666666,0.0,0.0,0.05293367346938776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024669603524229075,0.022708505367464906,0.022556390977443608,0.022709475332811275,0.028708133971291867,0.03333333333333333,0.008409250175192713,4.080282044538059,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
4,0.01705237515225335,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.01875,0.025,0.0125,0.05,0.0,0.0,0.052830188679245285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018461538461538463,0.016129032258064516,0.015250544662309368,0.011764705882352941,0.037383177570093455,0.029239766081871343,0.008350730688935281,4.110697124820389,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.02333427045262862,0.026106696935300794,0.026106696935300794,0.026106696935300794,0.015915119363395226,0.013824884792626729,0.014285714285714285,0.025,0.0,0.016666666666666666,0.0,0.0,0.05293367346938776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024669603524229075,0.022708505367464906,0.022556390977443608,0.022709475332811275,0.028708133971291867,0.03333333333333333,0.008409250175192713,4.075002100282014,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
5,0.01705237515225335,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.01875,0.025,0.0125,0.05,0.0,0.0,0.052830188679245285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018461538461538463,0.016129032258064516,0.015250544662309368,0.011764705882352941,0.037383177570093455,0.029239766081871343,0.008350730688935281,4.114762318990988,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.02333427045262862,0.026106696935300794,0.026106696935300794,0.026106696935300794,0.015915119363395226,0.013824884792626729,0.014285714285714285,0.025,0.0,0.016666666666666666,0.0,0.0,0.05293367346938776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024669603524229075,0.022708505367464906,0.022556390977443608,0.022709475332811275,0.028708133971291867,0.03333333333333333,0.008409250175192713,4.064580720564204,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
6,0.020706455542021926,0.020737327188940093,0.020737327188940093,0.020737327188940093,0.01875,0.025,0.0125,0.05,0.0,0.0,0.06415094339622641,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.023076923076923078,0.019153225806451613,0.018518518518518517,0.011764705882352941,0.0514018691588785,0.033625730994152045,0.011482254697286013,4.109671775083739,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.023896542029800395,0.026106696935300794,0.026106696935300794,0.02724177071509648,0.015915119363395226,0.018433179723502304,0.014285714285714285,0.025,0.0,0.016666666666666666,0.0,0.0,0.054209183673469385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024669603524229075,0.023534269199009084,0.022556390977443608,0.023492560689115115,0.03110047846889952,0.03380281690140845,0.009110021023125438,4.060945688354389,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
7,0.030450669914738125,0.027649769585253458,0.027649769585253458,0.027649769585253458,0.0375,0.05,0.025,0.1,0.0,0.0,0.09433962264150944,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03230769230769231,0.029233870967741934,0.027233115468409588,0.01764705882352941,0.07476635514018691,0.049707602339181284,0.016701461377870562,4.101752129019251,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.04273263986505482,0.04767309875141884,0.046538024971623154,0.046538024971623154,0.03183023872679045,0.027649769585253458,0.02857142857142857,0.05,0.0,0.03333333333333333,0.0,0.0,0.09693877551020408,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04581497797356828,0.04128819157720892,0.041353383458646614,0.04306969459671104,0.04784688995215311,0.061971830985915494,0.01401541695865452,4.060685486749279,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
8,0.03227771010962241,0.03686635944700461,0.03225806451612903,0.03225806451612903,0.025,0.0375,0.0125,0.05,0.0,0.0,0.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04,0.02721774193548387,0.030501089324618737,0.021568627450980392,0.06542056074766354,0.05701754385964912,0.014613778705636743,4.0996912818007285,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.044981726173741916,0.0510783200908059,0.05448354143019296,0.04880817253121453,0.029177718832891247,0.03225806451612903,0.014285714285714285,0.05,0.0,0.016666666666666666,0.0,0.0,0.10204081632653061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04052863436123348,0.04706853839801817,0.040279269602577876,0.04306969459671104,0.07177033492822966,0.06103286384976526,0.02102312543798178,4.058650272295385,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
9,0.027405602923264313,0.02534562211981567,0.027649769585253458,0.027649769585253458,0.025,0.0375,0.025,0.05,0.0,0.0,0.08490566037735849,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03230769230769231,0.024193548387096774,0.026143790849673203,0.021568627450980392,0.04672897196261682,0.05116959064327485,0.010438413361169102,4.097526931298055,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.03542310936182176,0.03745743473325766,0.04199772985244041,0.04086265607264472,0.023872679045092837,0.02304147465437788,0.014285714285714285,0.05,0.0,0.016666666666666666,0.0,0.0,0.08035714285714286,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03436123348017621,0.035920726672171756,0.03490870032223416,0.03288958496476116,0.045454545454545456,0.050234741784037557,0.013314646110721794,4.052434158217951,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
10,0.018270401948842874,0.016129032258064516,0.018433179723502304,0.018433179723502304,0.01875,0.025,0.0125,0.05,0.0,0.0,0.05660377358490566,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018461538461538463,0.018145161290322582,0.015250544662309368,0.01568627450980392,0.037383177570093455,0.03216374269005848,0.008350730688935281,4.088488988841495,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.02333427045262862,0.026106696935300794,0.026106696935300794,0.026106696935300794,0.015915119363395226,0.013824884792626729,0.014285714285714285,0.025,0.0,0.016666666666666666,0.0,0.0,0.05293367346938776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024669603524229075,0.022708505367464906,0.022556390977443608,0.022709475332811275,0.028708133971291867,0.03333333333333333,0.008409250175192713,4.041356886508996,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
