epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d008,test_acc_device_id__d009,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d008,test_acc_lng_device_id__d009,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d008,test_n_device_id__d009,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.019455252918287938,0.01832460732984293,0.01832460732984293,0.01832460732984293,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027960526315789474,0.013918629550321198,0.02530120481927711,0.01618705035971223,0.0,0.03171247357293869,0.0,4.23974834001791,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.022149302707136997,0.02465166130760986,0.02465166130760986,0.02465166130760986,0.013927576601671309,0.016736401673640166,0.008333333333333333,0.025,0.0,0.0125,0.0,0.0,0.053219448094612355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01954120645709431,0.02338709677419355,0.017948717948717947,0.021121039805036556,0.04201680672268908,0.032655246252676656,0.011179429849077696,4.233830290020637,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
2,0.019455252918287938,0.01832460732984293,0.01832460732984293,0.01832460732984293,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027960526315789474,0.013918629550321198,0.02530120481927711,0.01618705035971223,0.0,0.03171247357293869,0.0,4.105701457665588,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.022149302707136997,0.02465166130760986,0.02465166130760986,0.02465166130760986,0.013927576601671309,0.016736401673640166,0.008333333333333333,0.025,0.0,0.0125,0.0,0.0,0.053219448094612355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01954120645709431,0.02338709677419355,0.017948717948717947,0.021121039805036556,0.04201680672268908,0.032655246252676656,0.011179429849077696,4.080471423730389,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
3,0.019455252918287938,0.01832460732984293,0.01832460732984293,0.01832460732984293,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027960526315789474,0.013918629550321198,0.02530120481927711,0.01618705035971223,0.0,0.03171247357293869,0.0,4.103019107022019,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.022149302707136997,0.02465166130760986,0.02465166130760986,0.02465166130760986,0.013927576601671309,0.016736401673640166,0.008333333333333333,0.025,0.0,0.0125,0.0,0.0,0.053219448094612355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01954120645709431,0.02338709677419355,0.017948717948717947,0.021121039805036556,0.04201680672268908,0.032655246252676656,0.011179429849077696,4.090787466673503,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
4,0.019455252918287938,0.01832460732984293,0.01832460732984293,0.01832460732984293,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027960526315789474,0.013918629550321198,0.02530120481927711,0.01618705035971223,0.0,0.03171247357293869,0.0,4.090874106658263,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.022149302707136997,0.02465166130760986,0.02465166130760986,0.02465166130760986,0.013927576601671309,0.016736401673640166,0.008333333333333333,0.025,0.0,0.0125,0.0,0.0,0.053219448094612355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01954120645709431,0.02338709677419355,0.017948717948717947,0.021121039805036556,0.04201680672268908,0.032655246252676656,0.011179429849077696,4.080497885650059,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
5,0.019455252918287938,0.01832460732984293,0.01832460732984293,0.01832460732984293,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027960526315789474,0.013918629550321198,0.02530120481927711,0.01618705035971223,0.0,0.03171247357293869,0.0,4.082940847493331,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.022149302707136997,0.02465166130760986,0.02465166130760986,0.02465166130760986,0.013927576601671309,0.016736401673640166,0.008333333333333333,0.025,0.0,0.0125,0.0,0.0,0.053219448094612355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01954120645709431,0.02338709677419355,0.017948717948717947,0.021121039805036556,0.04201680672268908,0.032655246252676656,0.011179429849077696,4.070184262750056,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
6,0.033073929961089495,0.028795811518324606,0.028795811518324606,0.028795811518324606,0.0449438202247191,0.034482758620689655,0.04,0.1,0.05,0.0,0.0,0.08854166666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05098684210526316,0.021413276231263382,0.046987951807228916,0.02158273381294964,0.0,0.05391120507399577,0.0,4.0832494025719,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.03418102269619907,0.03965702036441586,0.03858520900321544,0.03751339764201501,0.019498607242339833,0.02092050209205021,0.016666666666666666,0.025,0.0,0.025,0.0,0.0,0.0821287779237845,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.033984706881903144,0.034274193548387094,0.024102564102564103,0.03736799350121852,0.06722689075630252,0.04978586723768737,0.017887087758524316,4.068892185043239,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
7,0.03696498054474708,0.03664921465968586,0.03664921465968586,0.03664921465968586,0.03932584269662921,0.034482758620689655,0.03,0.05,0.05,0.0,0.0,0.09895833333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05098684210526316,0.027837259100642397,0.046987951807228916,0.03237410071942446,0.0,0.06025369978858351,0.0,4.0821969963697144,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.044298605414273995,0.04930332261521972,0.04930332261521972,0.04930332261521972,0.027855153203342618,0.03347280334728033,0.016666666666666666,0.05,0.0,0.025,0.0,0.0,0.10643889618922471,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03908241291418862,0.0467741935483871,0.035897435897435895,0.04224207961007311,0.08403361344537816,0.06531049250535331,0.022358859698155393,4.067090387842451,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
8,0.029182879377431907,0.031413612565445025,0.031413612565445025,0.031413612565445025,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.078125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03289473684210526,0.02676659528907923,0.03253012048192771,0.03237410071942446,0.0,0.04756871035940803,0.0,4.070725961727236,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.03500136724090785,0.03644158628081458,0.04072883172561629,0.04180064308681672,0.019498607242339833,0.02510460251046025,0.008333333333333333,0.05,0.0,0.0125,0.0,0.0,0.08409986859395532,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.033984706881903144,0.035483870967741936,0.030256410256410255,0.030869212022745736,0.06512605042016807,0.05192719486081371,0.01732811626607043,4.0554104169470575,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
9,0.02204928664072633,0.02356020942408377,0.020942408376963352,0.020942408376963352,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.059027777777777776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027960526315789474,0.018201284796573874,0.02650602409638554,0.02158273381294964,0.0,0.035940803382663845,0.0,4.046227228780665,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.028165162701668033,0.031082529474812434,0.031082529474812434,0.031082529474812434,0.019498607242339833,0.02092050209205021,0.016666666666666666,0.025,0.0,0.0125,0.0017241379310344827,0.0,0.06636005256241786,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027187765505522515,0.028629032258064516,0.024102564102564103,0.026807473598700244,0.04831932773109244,0.0417558886509636,0.013974287311347122,4.031113584673336,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
10,0.04669260700389105,0.04712041884816754,0.04450261780104712,0.04712041884816754,0.05056179775280899,0.05172413793103448,0.04,0.05,0.05,0.003067484662576687,0.0,0.12152777777777778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06743421052631579,0.033190578158458245,0.05783132530120482,0.04316546762589928,0.0,0.07399577167019028,0.003355704697986577,3.964027925533389,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.05004101722723544,0.05359056806002144,0.055734190782422297,0.05466237942122187,0.036211699164345405,0.04184100418410042,0.025,0.05,0.0,0.025,0.0017241379310344827,0.0,0.11892247043363995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.041631265930331354,0.05403225806451613,0.041025641025641026,0.0463038180341186,0.09663865546218488,0.07226980728051392,0.026830631637786474,3.946843836520714,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
