epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d008,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d008,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d008,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.01705237515225335,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.01875,0.025,0.0125,0.05,0.0,0.0,0.052830188679245285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018461538461538463,0.016129032258064516,0.015250544662309368,0.011764705882352941,0.037383177570093455,0.029239766081871343,0.008350730688935281,4.309475284255814,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.02333427045262862,0.026106696935300794,0.026106696935300794,0.026106696935300794,0.015915119363395226,0.013824884792626729,0.014285714285714285,0.025,0.0,0.016666666666666666,0.0,0.0,0.05293367346938776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024669603524229075,0.022708505367464906,0.022556390977443608,0.022709475332811275,0.028708133971291867,0.03333333333333333,0.008409250175192713,4.279636283318983,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
2,0.01705237515225335,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.01875,0.025,0.0125,0.05,0.0,0.0,0.052830188679245285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018461538461538463,0.016129032258064516,0.015250544662309368,0.011764705882352941,0.037383177570093455,0.029239766081871343,0.008350730688935281,4.139523356318038,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.02333427045262862,0.026106696935300794,0.026106696935300794,0.026106696935300794,0.015915119363395226,0.013824884792626729,0.014285714285714285,0.025,0.0,0.016666666666666666,0.0,0.0,0.05293367346938776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024669603524229075,0.022708505367464906,0.022556390977443608,0.022709475332811275,0.028708133971291867,0.03333333333333333,0.008409250175192713,4.074302315142237,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
3,0.018879415347137638,0.018433179723502304,0.018433179723502304,0.018433179723502304,0.01875,0.025,0.0125,0.05,0.0,0.0,0.05849056603773585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018461538461538463,0.019153225806451613,0.015250544662309368,0.011764705882352941,0.0514018691588785,0.029239766081871343,0.011482254697286013,4.106747254384421,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.03008152937868991,0.032917139614074914,0.032917139614074914,0.03518728717366629,0.01856763925729443,0.013824884792626729,0.02857142857142857,0.025,0.0,0.025,0.0,0.0,0.06823979591836735,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03524229074889868,0.027663088356729974,0.028464017185821696,0.03210649960845732,0.03110047846889952,0.044131455399061034,0.009110021023125438,4.079310698424761,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
4,0.020706455542021926,0.020737327188940093,0.018433179723502304,0.020737327188940093,0.025,0.025,0.0125,0.05,0.0,0.0,0.06415094339622641,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.021538461538461538,0.020161290322580645,0.017429193899782137,0.01568627450980392,0.04672897196261682,0.03508771929824561,0.010438413361169102,4.102960881594473,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.02980039359010402,0.03178206583427923,0.032917139614074914,0.03064699205448354,0.026525198938992044,0.027649769585253458,0.014285714285714285,0.05,0.0,0.016666666666666666,0.0,0.0,0.06760204081632654,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.033480176211453744,0.028075970272502065,0.02953813104189044,0.030540328895849646,0.028708133971291867,0.044131455399061034,0.008409250175192713,4.064120923531066,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
5,0.020097442143727162,0.018433179723502304,0.018433179723502304,0.016129032258064516,0.03125,0.0375,0.0125,0.05,0.0,0.0,0.062264150943396226,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02,0.020161290322580645,0.016339869281045753,0.01568627450980392,0.04672897196261682,0.033625730994152045,0.010438413361169102,4.098056100898771,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.032892887264548774,0.03518728717366629,0.039727582292849034,0.032917139614074914,0.029177718832891247,0.027649769585253458,0.014285714285714285,0.025,0.0,0.016666666666666666,0.0,0.0,0.07461734693877552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.029955947136563875,0.0342691990090834,0.03007518796992481,0.02975724353954581,0.05502392344497608,0.044131455399061034,0.0161177295024527,4.042692556051448,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
6,0.01705237515225335,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.01875,0.025,0.0125,0.05,0.0,0.0,0.052830188679245285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018461538461538463,0.016129032258064516,0.015250544662309368,0.011764705882352941,0.037383177570093455,0.029239766081871343,0.008350730688935281,4.065585899585347,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.02333427045262862,0.026106696935300794,0.026106696935300794,0.026106696935300794,0.015915119363395226,0.013824884792626729,0.014285714285714285,0.025,0.0,0.016666666666666666,0.0,0.0,0.05293367346938776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024669603524229075,0.022708505367464906,0.022556390977443608,0.022709475332811275,0.028708133971291867,0.03333333333333333,0.008409250175192713,4.013887291179804,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
7,0.030450669914738125,0.03225806451612903,0.03225806451612903,0.027649769585253458,0.03125,0.0375,0.0125,0.05,0.0,0.0,0.09433962264150944,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02923076923076923,0.03125,0.02287581699346405,0.029411764705882353,0.06542056074766354,0.05263157894736842,0.014613778705636743,4.0002697516010395,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.04385718301939837,0.046538024971623154,0.05221339387060159,0.04880817253121453,0.026525198938992044,0.041474654377880185,0.014285714285714285,0.025,0.0,0.03333333333333333,0.0,0.0,0.09948979591836735,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04052863436123348,0.04541701073492981,0.03866809881847476,0.042286609240407204,0.07177033492822966,0.059154929577464786,0.02102312543798178,3.954828356168295,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
8,0.045676004872107184,0.041474654377880185,0.04608294930875576,0.041474654377880185,0.05625,0.0875,0.025,0.05,0.0,0.0,0.14150943396226415,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.047692307692307694,0.04435483870967742,0.0392156862745098,0.03725490196078431,0.09345794392523364,0.0804093567251462,0.020876826722338204,3.882067904547855,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.06803486083778465,0.07377979568671963,0.07832009080590238,0.07150964812712826,0.05305039787798409,0.055299539170506916,0.02857142857142857,0.075,0.0,0.05,0.0,0.0,0.15433673469387754,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06431718061674009,0.06977704376548308,0.06713211600429646,0.06342991386061081,0.0861244019138756,0.09671361502347418,0.025227750525578137,3.830487439764461,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
9,0.05115712545676005,0.04608294930875576,0.052995391705069124,0.041474654377880185,0.075,0.075,0.0375,0.1,0.0,0.0,0.15849056603773584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05846153846153846,0.046370967741935484,0.04793028322440087,0.03333333333333333,0.10747663551401869,0.0891812865497076,0.024008350730688934,3.7248103040725393,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.07000281135788586,0.07945516458569807,0.07604994324631101,0.07264472190692395,0.05305039787798409,0.055299539170506916,0.05714285714285714,0.075,0.0,0.041666666666666664,0.0,0.0,0.15880102040816327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06607929515418502,0.07184145334434351,0.06928034371643395,0.05951448707909162,0.10526315789473684,0.09624413145539906,0.030833917309039945,3.6656955722211486,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
10,0.05115712545676005,0.052995391705069124,0.05069124423963134,0.03917050691244239,0.06875,0.075,0.05,0.05,0.0,0.0,0.15849056603773584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05076923076923077,0.05141129032258065,0.044662309368191724,0.041176470588235294,0.102803738317757,0.09064327485380116,0.022964509394572025,3.6229463082428537,1642,434,434,434,160,80,80,20,690,422,530,650,992,918,510,214,684,958,0.07056508293505763,0.07945516458569807,0.0851305334846765,0.07377979568671963,0.050397877984084884,0.03686635944700461,0.05,0.025,0.0,0.05,0.0017825311942959,0.0,0.15880102040816327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07665198237885462,0.06771263418662263,0.06766917293233082,0.06186374314800313,0.11004784688995216,0.09530516431924882,0.03363700070077085,3.5601908909259032,3557,881,881,881,377,217,140,40,20,120,1122,867,1568,1135,2422,1862,1277,418,2130,1427
