epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d008,test_acc_device_id__d009,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d008,test_acc_lng_device_id__d009,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d008,test_n_device_id__d009,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.023994811932555125,0.020942408376963352,0.01832460732984293,0.02356020942408377,0.033707865168539325,0.017241379310344827,0.03,0.1,0.025,0.0,0.0,0.0642361111111111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03289473684210526,0.018201284796573874,0.03493975903614458,0.014388489208633094,0.0,0.039112050739957716,0.0,4.2258860035165275,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.03281378178835111,0.03751339764201501,0.03644158628081458,0.03751339764201501,0.019498607242339833,0.02092050209205021,0.008333333333333333,0.025,0.0,0.025,0.0,0.0,0.07884362680683311,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.026338147833474938,0.03588709677419355,0.024615384615384615,0.03249390739236393,0.06722689075630252,0.047109207708779445,0.017887087758524316,4.218682088583325,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
2,0.020752269779507133,0.01832460732984293,0.01832460732984293,0.01832460732984293,0.028089887640449437,0.017241379310344827,0.03,0.05,0.025,0.0,0.0,0.05555555555555555,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03125,0.013918629550321198,0.027710843373493974,0.01618705035971223,0.0,0.03382663847780127,0.0,4.102566162435925,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.0257041290675417,0.028938906752411574,0.027867095391211148,0.030010718113612004,0.013927576601671309,0.016736401673640166,0.016666666666666666,0.025,0.0,0.0125,0.0,0.0,0.06176084099868594,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.025488530161427356,0.025806451612903226,0.02,0.025995125913891144,0.04831932773109244,0.03800856531049251,0.012856344326439352,4.076112792568191,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
3,0.03372243839169909,0.031413612565445025,0.028795811518324606,0.034031413612565446,0.0449438202247191,0.034482758620689655,0.03,0.05,0.05,0.0,0.0,0.09027777777777778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04276315789473684,0.027837259100642397,0.046987951807228916,0.023381294964028777,0.0,0.05496828752642706,0.0,4.100534018530147,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.039649986327590925,0.04608788853161844,0.04608788853161844,0.04180064308681672,0.016713091922005572,0.029288702928870293,0.025,0.05,0.0,0.025,0.0,0.0,0.09526938239159001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0356839422259983,0.04153225806451613,0.03076923076923077,0.04224207961007311,0.06932773109243698,0.059957173447537475,0.0184460592509782,4.088078779179377,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
4,0.023346303501945526,0.02356020942408377,0.02356020942408377,0.020942408376963352,0.028089887640449437,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.0625,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03289473684210526,0.017130620985010708,0.02650602409638554,0.025179856115107913,0.0,0.03805496828752643,0.0,4.070824781435164,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.026251025430680888,0.027867095391211148,0.028938906752411574,0.028938906752411574,0.019498607242339833,0.02510460251046025,0.008333333333333333,0.025,0.0,0.0125,0.0,0.0,0.06307490144546649,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02463891248937978,0.027016129032258064,0.023076923076923078,0.023558082859463852,0.046218487394957986,0.03961456102783726,0.012297372833985467,4.05841460004999,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
5,0.019455252918287938,0.01832460732984293,0.01832460732984293,0.01832460732984293,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027960526315789474,0.013918629550321198,0.02530120481927711,0.01618705035971223,0.0,0.03171247357293869,0.0,4.038266514680419,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.022149302707136997,0.02465166130760986,0.02465166130760986,0.02465166130760986,0.013927576601671309,0.016736401673640166,0.008333333333333333,0.025,0.0,0.0125,0.0,0.0,0.053219448094612355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01954120645709431,0.02338709677419355,0.017948717948717947,0.021121039805036556,0.04201680672268908,0.032655246252676656,0.011179429849077696,4.021658367754691,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
6,0.03437094682230869,0.034031413612565446,0.03664921465968586,0.034031413612565446,0.033707865168539325,0.034482758620689655,0.02,0.05,0.05,0.0,0.0,0.0920138888888889,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.046052631578947366,0.02676659528907923,0.04578313253012048,0.02697841726618705,0.0,0.056025369978858354,0.0,3.9636940430419765,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.042111019961717254,0.04715969989281887,0.04715969989281887,0.04287245444801715,0.03064066852367688,0.03765690376569038,0.016666666666666666,0.05,0.0,0.025,0.0,0.0,0.1011826544021025,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03313508920985556,0.046370967741935484,0.03435897435897436,0.03899268887083672,0.0819327731092437,0.06156316916488223,0.021799888205701508,3.943085225840426,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
7,0.04928664072632944,0.049738219895287955,0.04712041884816754,0.04712041884816754,0.056179775280898875,0.05172413793103448,0.04,0.05,0.075,0.003067484662576687,0.0,0.1284722222222222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06907894736842106,0.03640256959314775,0.06385542168674699,0.04136690647482014,0.0,0.07822410147991543,0.003355704697986577,3.806127948983634,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.05824446267432322,0.06216505894962487,0.06430868167202572,0.05894962486602358,0.04456824512534819,0.06276150627615062,0.025,0.075,0.0,0.0375,0.004310344827586207,0.0,0.1366622864651774,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.051826677994902294,0.06129032258064516,0.048205128205128206,0.050365556458164096,0.11974789915966387,0.08244111349036402,0.03297931805477921,3.780387429875496,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
8,0.07133592736705577,0.07329842931937172,0.07068062827225131,0.06806282722513089,0.08426966292134831,0.034482758620689655,0.08,0.0,0.1,0.05214723926380368,0.0,0.13194444444444445,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07236842105263158,0.07066381156316917,0.08674698795180723,0.05935251798561151,0.03205128205128205,0.09513742071881606,0.03355704697986577,3.646848328537205,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.06863549357396773,0.07395498392282958,0.06752411575562701,0.07395498392282958,0.0584958217270195,0.07112970711297072,0.025,0.1,0.05,0.05,0.04655172413793104,0.0,0.12943495400788435,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05777400169923534,0.07379032258064516,0.06871794871794872,0.04955320877335499,0.11764705882352941,0.08458244111349036,0.05198434879821129,3.6125925224206146,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
9,0.08171206225680934,0.08638743455497382,0.08115183246073299,0.07329842931937172,0.10674157303370786,0.06896551724137931,0.07,0.0,0.1,0.05214723926380368,0.0,0.1597222222222222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08223684210526316,0.08137044967880086,0.10481927710843374,0.06115107913669065,0.03205128205128205,0.11205073995771671,0.03355704697986577,3.5362032780232906,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.08887065901011758,0.09753483386923902,0.09217577706323687,0.09431939978563773,0.06406685236768803,0.08786610878661087,0.041666666666666664,0.15,0.05,0.05,0.04913793103448276,0.0,0.17608409986859397,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09090909090909091,0.08790322580645162,0.0841025641025641,0.06742485783915515,0.1638655462184874,0.11081370449678801,0.06595863610955842,3.4938949572443474,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
10,0.11997405966277562,0.13350785340314136,0.10471204188481675,0.11780104712041885,0.14606741573033707,0.08620689655172414,0.1,0.1,0.15,0.05521472392638037,0.0,0.2586805555555556,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.13980263157894737,0.10706638115631692,0.15180722891566265,0.09712230215827339,0.03205128205128205,0.1733615221987315,0.03523489932885906,3.41451128973262,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.11949685534591195,0.12861736334405144,0.12754555198285103,0.1307609860664523,0.08635097493036212,0.10460251046025104,0.05,0.15,0.05,0.0875,0.05603448275862069,0.0,0.24441524310118265,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12149532710280374,0.11854838709677419,0.11641025641025642,0.08285946385052803,0.226890756302521,0.15417558886509636,0.08328675237562884,3.3604787816628425,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
